ticker,date,open,high,low,close
MATV,1995-11-09,12.69,12.94,12.69,12.69
MATV,1995-11-10,12.62,12.62,12.44,12.44
MATV,1995-11-13,12.38,12.38,12.12,12.12
MATV,1995-11-14,12.12,12.12,11.88,11.88
MATV,1995-11-15,11.88,11.94,11.88,11.88
MATV,1995-11-16,11.88,11.88,11.88,11.88
MATV,1995-11-17,11.81,11.81,11.62,11.62
MATV,1995-11-20,11.5,11.5,11.06,11.25
MATV,1995-11-21,11.31,11.81,11.31,11.81
MATV,1995-11-22,11.81,11.88,11.75,11.88
MATV,1995-11-24,11.88,11.88,11.81,11.88
MATV,1995-11-27,11.88,12.12,11.88,12.0
MATV,1995-11-28,12.0,12.0,12.0,12.0
MATV,1995-11-29,11.75,11.75,11.0,11.06
MATV,1995-11-30,11.06,11.06,11.0,11.0
MATV,1995-12-01,11.0,11.12,10.88,10.88
MATV,1995-12-04,10.81,10.81,10.25,10.25
MATV,1995-12-05,10.31,10.38,10.19,10.19
MATV,1995-12-06,10.19,10.69,10.19,10.62
MATV,1995-12-07,10.75,11.06,10.75,10.94
MATV,1995-12-08,10.88,11.5,10.88,11.44
MATV,1995-12-11,11.44,11.81,11.44,11.62
MATV,1995-12-12,11.62,11.75,11.5,11.5
MATV,1995-12-13,11.38,11.44,11.25,11.31
MATV,1995-12-14,11.25,11.38,11.19,11.19
MATV,1995-12-15,11.25,11.56,11.12,11.5
MATV,1995-12-18,11.5,11.5,11.12,11.12
MATV,1995-12-19,11.06,11.12,10.94,11.06
MATV,1995-12-20,11.0,11.12,10.97,11.12
MATV,1995-12-21,11.06,11.25,11.0,11.25
MATV,1995-12-22,11.19,11.31,11.19,11.25
MATV,1995-12-26,11.25,11.38,11.25,11.38
MATV,1995-12-27,11.38,11.62,11.38,11.5
MATV,1995-12-28,11.5,11.56,11.44,11.5
MATV,1995-12-29,11.5,11.62,11.44,11.56
MATV,1996-01-02,11.5,11.69,11.44,11.5
MATV,1996-01-03,11.5,11.88,11.5,11.62
MATV,1996-01-04,11.56,11.56,11.44,11.44
MATV,1996-01-05,11.44,11.81,11.44,11.81
MATV,1996-01-08,11.62,11.69,11.56,11.56
MATV,1996-01-09,11.5,11.56,11.38,11.38
MATV,1996-01-10,11.38,11.69,11.38,11.62
MATV,1996-01-11,11.56,11.81,11.56,11.75
MATV,1996-01-12,11.81,12.19,11.81,12.19
MATV,1996-01-15,12.19,12.5,12.19,12.44
MATV,1996-01-16,12.5,12.88,12.5,12.69
MATV,1996-01-17,12.62,12.62,12.44,12.5
MATV,1996-01-18,12.44,12.5,12.38,12.38
MATV,1996-01-19,12.31,12.31,12.0,12.0
MATV,1996-01-22,12.06,12.12,12.0,12.12
MATV,1996-01-23,12.06,12.31,12.06,12.25
MATV,1996-01-24,12.25,12.31,11.88,11.88
MATV,1996-01-25,11.88,11.94,11.81,11.88
MATV,1996-01-26,11.75,11.94,11.62,11.94
MATV,1996-01-29,12.0,12.0,11.69,11.69
MATV,1996-01-30,11.62,11.62,11.44,11.44
MATV,1996-01-31,11.44,12.44,11.44,12.44
MATV,1996-02-01,12.38,13.25,12.31,13.25
MATV,1996-02-02,13.25,13.75,13.06,13.5
MATV,1996-02-05,13.38,13.44,13.31,13.38
MATV,1996-02-06,13.25,13.38,13.19,13.31
MATV,1996-02-07,13.31,13.38,13.12,13.25
MATV,1996-02-08,13.12,13.25,12.84,13.12
MATV,1996-02-09,13.06,13.06,12.81,12.94
MATV,1996-02-12,12.88,12.94,12.81,12.94
MATV,1996-02-13,12.88,13.38,12.88,13.38
MATV,1996-02-14,13.31,13.38,13.12,13.12
MATV,1996-02-15,13.06,13.06,12.88,12.88
MATV,1996-02-16,12.88,13.0,12.75,12.94
MATV,1996-02-20,12.81,13.0,12.69,12.94
MATV,1996-02-21,12.88,13.12,12.88,13.06
MATV,1996-02-22,13.06,13.75,13.06,13.69
MATV,1996-02-23,14.0,14.25,13.94,14.12
MATV,1996-02-26,14.12,14.31,14.12,14.12
MATV,1996-02-27,14.12,14.44,14.0,14.12
MATV,1996-02-28,14.06,14.31,14.06,14.12
MATV,1996-02-29,14.12,14.25,14.12,14.19
MATV,1996-03-01,14.25,14.25,14.06,14.12
MATV,1996-03-04,14.12,14.38,14.06,14.38
MATV,1996-03-05,14.38,14.38,14.31,14.31
MATV,1996-03-06,14.31,14.44,14.19,14.19
MATV,1996-03-07,14.19,14.25,14.06,14.12
MATV,1996-03-08,14.0,14.0,13.81,13.81
MATV,1996-03-11,13.81,13.94,13.81,13.88
MATV,1996-03-12,13.88,13.94,13.38,13.38
MATV,1996-03-13,13.38,13.38,12.75,13.38
MATV,1996-03-14,13.31,13.69,13.31,13.5
MATV,1996-03-15,13.5,13.88,13.5,13.88
MATV,1996-03-18,13.81,13.81,13.38,13.38
MATV,1996-03-19,13.44,13.5,13.31,13.31
MATV,1996-03-20,13.25,13.25,13.12,13.12
MATV,1996-03-21,13.12,13.38,13.12,13.31
MATV,1996-03-22,13.25,13.25,12.94,12.94
MATV,1996-03-25,12.81,12.81,12.69,12.75
MATV,1996-03-26,12.62,12.94,12.62,12.94
MATV,1996-03-27,13.0,13.75,13.0,13.5
MATV,1996-03-28,13.38,13.75,13.38,13.69
MATV,1996-03-29,13.81,13.81,13.56,13.75
MATV,1996-04-01,14.0,14.12,13.94,14.0
MATV,1996-04-02,13.94,14.19,13.94,14.12
MATV,1996-04-03,14.12,14.19,14.0,14.0
MATV,1996-04-04,14.0,14.0,13.94,13.94
MATV,1996-04-08,13.88,13.88,13.75,13.81
MATV,1996-04-09,13.69,13.75,13.5,13.5
MATV,1996-04-10,13.5,13.5,13.25,13.38
MATV,1996-04-11,13.31,13.38,13.25,13.38
MATV,1996-04-12,13.38,13.62,13.38,13.62
MATV,1996-04-15,13.62,13.94,13.62,13.81
MATV,1996-04-16,13.88,13.94,13.81,13.81
MATV,1996-04-17,13.81,13.88,13.75,13.81
MATV,1996-04-18,13.81,14.0,13.81,14.0
MATV,1996-04-19,13.94,13.94,13.81,13.94
MATV,1996-04-22,14.0,14.0,13.88,13.94
MATV,1996-04-23,13.94,13.94,13.62,13.62
MATV,1996-04-24,13.62,13.62,13.25,13.25
MATV,1996-04-25,13.25,13.25,12.81,13.12
MATV,1996-04-26,13.12,13.19,13.0,13.0
MATV,1996-04-29,13.0,13.0,12.94,12.94
MATV,1996-04-30,12.94,13.62,12.94,13.56
MATV,1996-05-01,13.5,13.69,13.44,13.5
MATV,1996-05-02,13.44,13.44,13.25,13.31
