ticker,date,open,high,low,close
MEG,2020-07-23,16.5,22.91,16.41,22.0
MEG,2020-07-24,20.06,24.69,19.71,22.39
MEG,2020-07-27,22.39,22.7,21.75,21.75
MEG,2020-07-28,21.15,22.23,20.0,21.48
MEG,2020-07-29,21.28,23.26,20.93,22.28
MEG,2020-07-30,21.74,22.75,21.04,22.22
MEG,2020-07-31,22.53,22.62,21.1801,21.75
MEG,2020-08-03,21.78,24.87,21.75,23.99
MEG,2020-08-04,24.21,24.5,23.39,24.37
MEG,2020-08-05,24.5,25.92,23.86,24.06
MEG,2020-08-06,24.02,25.0,23.22,25.0
MEG,2020-08-07,24.63,24.85,23.11,23.25
MEG,2020-08-10,23.26,23.3,21.96,22.8
MEG,2020-08-11,22.58,22.98,21.9603,22.46
MEG,2020-08-12,22.42,24.67,22.11,23.7
MEG,2020-08-13,23.86,25.0,22.825,24.74
MEG,2020-08-14,24.4,26.0,23.78,25.72
MEG,2020-08-17,25.61,25.61,23.81,23.81
MEG,2020-08-18,23.88,26.486,23.26,26.04
MEG,2020-08-19,26.25,26.7,25.39,25.62
MEG,2020-08-20,24.96,26.932,24.8601,25.17
MEG,2020-08-21,25.33,26.48,25.18,26.14
MEG,2020-08-24,26.14,26.92,24.04,25.24
MEG,2020-08-25,24.67,26.22,24.345,26.22
MEG,2020-08-26,26.2,27.51,25.355,27.51
MEG,2020-08-27,27.4,27.75,26.01,27.08
MEG,2020-08-28,27.08,29.12,26.87,28.8
MEG,2020-08-31,29.42,29.9,28.02,28.19
MEG,2020-09-01,26.6,28.54,26.58,28.2
MEG,2020-09-02,27.88,33.103,27.77,31.42
MEG,2020-09-03,31.06,31.06,28.3,29.22
MEG,2020-09-04,29.02,29.59,28.45,28.94
MEG,2020-09-08,28.51,31.21,28.51,30.64
MEG,2020-09-09,30.48,31.75,28.83,29.0
MEG,2020-09-10,29.11,30.97,28.6,30.05
MEG,2020-09-11,29.84,30.34,28.61,29.07
MEG,2020-09-14,29.0,30.61,28.8,29.59
MEG,2020-09-15,29.37,29.475,26.96,26.98
MEG,2020-09-16,27.23,27.93,26.72,26.75
MEG,2020-09-17,26.08,27.1,25.22,25.7
MEG,2020-09-18,25.38,26.63,24.3,24.45
MEG,2020-09-21,23.81,24.29,22.36,22.37
MEG,2020-09-22,22.75,24.5,22.4,24.12
MEG,2020-09-23,23.94,24.68,23.42,23.54
MEG,2020-09-24,23.21,24.14,23.14,23.91
MEG,2020-09-25,23.76,24.41,23.43,24.18
MEG,2020-09-28,24.28,24.87,23.955,24.66
MEG,2020-09-29,24.46,25.0,23.95,24.69
MEG,2020-09-30,24.98,25.16,23.415,23.82
MEG,2020-10-01,23.94,24.57,23.31,24.54
MEG,2020-10-02,24.0,24.46,23.44,23.96
MEG,2020-10-05,24.16,24.5,23.98,24.35
MEG,2020-10-06,24.25,24.57,22.89,23.26
MEG,2020-10-07,23.67,23.9,23.02,23.31
MEG,2020-10-08,23.39,23.615,23.07,23.12
MEG,2020-10-09,23.1,23.54,22.66,23.37
MEG,2020-10-12,23.41,23.58,22.43,22.47
MEG,2020-10-13,22.65,24.66,21.98,24.48
MEG,2020-10-14,24.4,24.76,23.45,24.24
MEG,2020-10-15,23.94,25.64,23.57,25.34
MEG,2020-10-16,25.19,27.08,25.03,26.52
MEG,2020-10-19,26.75,27.1252,26.0,26.05
MEG,2020-10-20,26.47,26.7,26.08,26.55
MEG,2020-10-21,26.86,29.09,26.485,28.32
MEG,2020-10-22,28.61,28.75,27.82,28.04
MEG,2020-10-23,28.29,28.9,27.14,27.67
MEG,2020-10-26,27.21,27.69,25.9,26.1
MEG,2020-10-27,25.98,26.13,25.5,25.87
MEG,2020-10-28,24.98,26.95,24.93,26.77
MEG,2020-10-29,26.64,26.95,25.55,26.79
MEG,2020-10-30,26.57,27.54,25.87,27.03
MEG,2020-11-02,27.33,27.68,26.24,26.6
MEG,2020-11-03,27.05,27.92,26.76,27.78
MEG,2020-11-04,27.96,28.33,26.9718,27.6
MEG,2020-11-05,27.82,30.4,27.82,29.8
MEG,2020-11-06,30.12,30.21,28.09,28.35
MEG,2020-11-09,29.55,30.39,28.0,28.57
MEG,2020-11-10,28.57,30.2,28.57,29.53
MEG,2020-11-11,30.37,31.73,30.37,31.09
MEG,2020-11-12,31.23,31.6516,29.81,30.0
MEG,2020-11-13,30.25,31.34,29.9001,30.93
MEG,2020-11-16,31.48,33.88,31.48,33.09
MEG,2020-11-17,32.79,35.097,32.6,34.71
MEG,2020-11-18,34.81,35.888,34.31,34.38
MEG,2020-11-19,34.17,34.82,33.635,34.62
MEG,2020-11-20,34.44,35.06,33.3,33.67
MEG,2020-11-23,32.44,32.44,28.5939,29.93
MEG,2020-11-24,29.91,29.93,27.346,27.81
MEG,2020-11-25,28.8,30.17,27.52,29.58
MEG,2020-11-27,29.25,30.0,27.98,28.44
MEG,2020-11-30,29.75,29.885,27.21,27.39
MEG,2020-12-01,27.5,32.3099,26.89,29.78
MEG,2020-12-02,29.34,29.34,27.25,27.68
MEG,2020-12-03,27.67,27.95,26.17,27.65
MEG,2020-12-04,27.93,28.99,27.4,28.23
MEG,2020-12-07,28.15,29.47,27.56,28.57
MEG,2020-12-08,28.37,29.11,27.295,28.83
MEG,2020-12-09,28.89,29.92,28.44,28.79
MEG,2020-12-10,28.66,29.025,28.02,28.75
MEG,2020-12-11,28.85,29.58,28.53,28.89
MEG,2020-12-14,29.11,29.54,28.18,28.23
MEG,2020-12-15,28.54,28.54,27.4,28.18
MEG,2020-12-16,28.64,29.33,28.36,28.82
MEG,2020-12-17,29.31,31.29,28.74,30.3
MEG,2020-12-18,30.4,31.98,30.0,31.7
MEG,2020-12-21,31.01,31.97,30.05,31.85
MEG,2020-12-22,32.02,32.24,30.965,31.51
MEG,2020-12-23,31.66,32.88,30.78,32.2
MEG,2020-12-24,32.44,32.5,31.91,32.1
MEG,2020-12-28,32.21,32.48,31.76,31.95
MEG,2020-12-29,32.03,32.16,30.46,31.36
MEG,2020-12-30,31.57,32.04,30.93,31.26
MEG,2020-12-31,31.13,31.13,29.56,30.96
MEG,2021-01-04,30.98,33.87,30.91,33.51
MEG,2021-01-05,33.17,34.1,32.9,33.84
MEG,2021-01-06,34.14,36.79,34.14,36.63
MEG,2021-01-07,36.94,41.86,36.88,41.15
MEG,2021-01-08,41.42,43.6,38.765,39.22
MEG,2021-01-11,39.0,41.97,38.0616,40.6
MEG,2021-01-12,40.96,41.91,39.0,41.63
MEG,2021-01-13,41.4,43.36,39.285,43.14
