ticker,date,open,high,low,close
MFC,1999-09-24,6.09,6.16,5.91,6.09
MFC,1999-09-27,6.06,6.09,5.88,5.94
MFC,1999-09-28,5.94,6.0,5.81,5.88
MFC,1999-09-29,5.88,6.06,5.88,5.91
MFC,1999-09-30,5.94,6.0,5.91,5.94
MFC,1999-10-01,5.94,5.94,5.81,5.84
MFC,1999-10-04,5.84,5.94,5.84,5.88
MFC,1999-10-05,5.91,5.97,5.88,5.91
MFC,1999-10-06,5.88,5.94,5.88,5.91
MFC,1999-10-07,5.88,5.94,5.84,5.84
MFC,1999-10-08,5.84,5.94,5.75,5.78
MFC,1999-10-11,5.75,5.75,5.28,5.62
MFC,1999-10-12,5.75,5.84,5.75,5.84
MFC,1999-10-13,5.81,5.91,5.78,5.81
MFC,1999-10-14,5.81,5.84,5.75,5.81
MFC,1999-10-15,5.75,5.78,5.69,5.72
MFC,1999-10-18,5.75,5.81,5.72,5.81
MFC,1999-10-19,5.88,6.06,5.84,6.0
MFC,1999-10-20,6.06,6.19,5.94,5.97
MFC,1999-10-21,5.94,6.0,5.91,5.94
MFC,1999-10-22,5.97,5.97,5.94,5.94
MFC,1999-10-25,5.94,6.12,5.94,6.06
MFC,1999-10-26,6.06,6.16,6.03,6.12
MFC,1999-10-27,6.12,6.19,6.12,6.19
MFC,1999-10-28,6.25,6.25,6.09,6.09
MFC,1999-10-29,6.12,6.12,5.84,6.03
MFC,1999-11-01,6.0,6.03,5.94,6.0
MFC,1999-11-02,6.06,6.12,6.0,6.12
MFC,1999-11-03,6.12,6.16,6.09,6.16
MFC,1999-11-04,6.16,6.25,6.12,6.22
MFC,1999-11-05,6.22,6.28,6.22,6.22
MFC,1999-11-08,6.22,6.22,6.12,6.12
MFC,1999-11-09,6.12,6.16,6.06,6.12
MFC,1999-11-10,6.12,6.22,6.09,6.16
MFC,1999-11-11,6.19,6.69,6.19,6.62
MFC,1999-11-12,6.69,6.91,6.66,6.84
MFC,1999-11-15,6.84,7.19,6.62,7.19
MFC,1999-11-16,7.16,7.19,6.84,6.94
MFC,1999-11-17,6.91,6.94,6.72,6.88
MFC,1999-11-18,6.84,6.91,6.75,6.78
MFC,1999-11-19,6.78,6.78,6.44,6.56
