ticker,date,open,high,low,close
MIR,2020-08-20,10.05,10.47,9.85,9.95
MIR,2020-08-21,9.94,9.9799,9.9,9.9799
MIR,2020-08-24,10.0,10.115,9.9,9.97
MIR,2020-08-25,9.95,10.01,9.85,10.01
MIR,2020-08-26,9.91,10.05,9.91,9.97
MIR,2020-08-27,9.99,9.99,9.9107,9.955
MIR,2020-08-28,9.91,10.05,9.91,10.0
MIR,2020-08-31,10.08,10.18,9.9001,10.0
MIR,2020-09-01,10.1,10.135,9.96,10.11
MIR,2020-09-02,10.21,10.7198,10.05,10.27
MIR,2020-09-03,10.35,10.44,10.15,10.32
MIR,2020-09-04,10.48,10.48,10.25,10.34
MIR,2020-09-08,10.5,10.57,10.3,10.42
MIR,2020-09-09,10.5,10.5,10.3,10.4
MIR,2020-09-10,10.5,10.5,10.3,10.32
MIR,2020-09-11,10.33,10.5,10.3,10.39
MIR,2020-09-14,10.35,10.4977,10.3,10.38
MIR,2020-09-15,10.32,10.685,10.32,10.5275
MIR,2020-09-16,10.56,10.6,10.46,10.5
MIR,2020-09-17,10.5,10.6,10.35,10.435
MIR,2020-09-18,10.36,11.03,10.36,11.03
MIR,2020-09-21,10.6,10.845,10.44,10.7
MIR,2020-09-22,10.75,10.75,10.4325,10.65
MIR,2020-09-23,10.52,10.65,10.4502,10.65
MIR,2020-09-24,10.35,10.72,10.35,10.69
MIR,2020-09-25,10.42,10.7,10.35,10.6
MIR,2020-09-28,10.58,10.81,10.5,10.62
MIR,2020-09-29,10.65,10.97,10.45,10.85
MIR,2020-09-30,10.85,11.07,10.69,10.76
MIR,2020-10-01,10.76,10.85,10.59,10.62
MIR,2020-10-02,10.5,10.71,10.5,10.52
MIR,2020-10-05,10.575,10.65,10.46,10.47
MIR,2020-10-06,10.55,10.55,10.3,10.38
MIR,2020-10-07,10.45,10.5,10.3,10.35
MIR,2020-10-08,10.41,10.46,10.2,10.33
MIR,2020-10-09,10.3,10.3,10.14,10.274
MIR,2020-10-12,10.3,10.31,10.25,10.3
MIR,2020-10-13,10.46,10.46,10.21,10.2944
MIR,2020-10-14,10.31,10.3646,10.23,10.3
MIR,2020-10-15,10.3,10.3,10.26,10.3
MIR,2020-10-16,10.36,10.36,10.2,10.2999
MIR,2020-10-19,10.34,10.41,10.25,10.27
MIR,2020-10-20,10.38,10.38,10.26,10.26
MIR,2020-10-21,10.26,10.3,10.25,10.25
MIR,2020-10-22,10.25,10.25,10.15,10.22
MIR,2020-10-23,10.25,10.27,10.12,10.1499
