ticker,date,open,high,low,close
MNR,2023-10-25,19.0,19.2,18.02,18.34
MNR,2023-10-26,18.17,18.69,18.06,18.69
MNR,2023-10-27,18.86,18.91,18.7043,18.8
MNR,2023-10-30,18.95,18.95,18.23,18.74
MNR,2023-10-31,18.91,18.91,18.43,18.43
MNR,2023-11-01,18.48,18.79,18.08,18.3
MNR,2023-11-02,18.65,18.9095,18.12,18.38
MNR,2023-11-03,18.52,18.597,18.21,18.37
MNR,2023-11-06,18.61,18.61,18.03,18.15
MNR,2023-11-07,17.87,18.3,17.49,18.02
MNR,2023-11-08,18.26,18.26,17.9,17.95
MNR,2023-11-09,18.0,18.28,17.03,17.42
MNR,2023-11-10,17.69,18.42,16.11,17.49
MNR,2023-11-13,17.75,18.19,17.5,17.87
MNR,2023-11-14,18.0,18.29,17.92,18.15
MNR,2023-11-15,18.15,18.15,17.71,18.1
MNR,2023-11-16,18.1,18.1,17.48,18.1
MNR,2023-11-17,18.16,18.3,18.04,18.25
MNR,2023-11-20,18.3,18.5581,18.18,18.25
MNR,2023-11-21,18.3,18.5706,17.145,18.2
MNR,2023-11-22,18.2,18.3,17.825,17.86
MNR,2023-11-24,18.03,18.31,17.785,18.21
MNR,2023-11-27,18.27,18.38,17.51,17.68
MNR,2023-11-28,17.77,18.0,17.43,17.49
MNR,2023-11-29,17.75,18.22,17.56,17.85
MNR,2023-11-30,18.0,18.06,17.68,17.72
MNR,2023-12-01,17.84,18.01,17.73,17.79
MNR,2023-12-04,17.75,18.4,17.61,17.86
MNR,2023-12-05,17.87,18.0599,17.75,17.89
MNR,2023-12-06,17.95,18.03,16.52,17.27
MNR,2023-12-07,17.02,17.5,16.68,16.99
MNR,2023-12-08,17.67,18.14,16.95,17.0
MNR,2023-12-11,16.78,17.1967,16.59,16.69
MNR,2023-12-12,17.4577,17.4577,16.6,16.64
MNR,2023-12-13,16.785,16.785,16.3,16.65
MNR,2023-12-14,16.63,17.09,15.56,15.81
MNR,2023-12-15,15.89,16.15,14.96,14.96
MNR,2023-12-18,15.05,15.53,14.79,15.21
MNR,2023-12-19,15.34,15.63,14.8,15.31
MNR,2023-12-20,15.51,15.6486,14.6,14.84
MNR,2023-12-21,15.0,15.23,14.4,14.73
MNR,2023-12-22,14.87,15.9484,14.61,15.59
MNR,2023-12-26,15.75,16.43,15.69,16.31
MNR,2023-12-27,16.34,16.34,15.8,15.98
MNR,2023-12-28,15.85,16.29,15.85,16.29
MNR,2023-12-29,16.06,16.64,15.6,16.49
MNR,2024-01-02,16.49,16.6,15.9,15.9
MNR,2024-01-03,15.9,16.0399,15.32,15.76
MNR,2024-01-04,15.83,16.42,15.62,16.24
MNR,2024-01-05,16.01,16.3799,16.01,16.31
MNR,2024-01-08,16.48,16.48,16.115,16.29
MNR,2024-01-09,16.25,16.42,16.1442,16.37
MNR,2024-01-10,16.52,16.82,16.33,16.68
MNR,2024-01-11,16.5,17.1134,16.5,16.77
MNR,2024-01-12,16.97,17.33,16.9028,16.99
MNR,2024-01-16,17.24,17.24,16.84,16.91
MNR,2024-01-17,16.75,17.14,16.71,17.0
MNR,2024-01-18,16.7544,17.48,16.7544,17.24
MNR,2024-01-19,17.18,17.61,17.08,17.36
MNR,2024-01-22,17.49,18.04,17.4032,17.6
MNR,2024-01-23,17.57,17.92,17.57,17.85
MNR,2024-01-24,18.02,18.02,17.45,17.91
MNR,2024-01-25,18.09,18.09,17.89,18.06
MNR,2024-01-26,18.22,18.22,17.9201,18.1
MNR,2024-01-29,18.33,18.33,18.03,18.04
MNR,2024-01-30,18.37,18.45,17.69,17.82
MNR,2024-01-31,17.97,18.0678,17.7501,17.89
MNR,2024-02-01,18.04,18.04,17.26,17.27
MNR,2024-02-02,17.25,17.56,16.93,17.56
MNR,2024-02-05,17.63,17.7068,17.195,17.36
MNR,2024-02-06,17.3189,17.45,16.94,17.0
MNR,2024-02-07,17.25,17.25,16.44,17.03
MNR,2024-02-08,17.1542,17.77,16.933,17.7
MNR,2024-02-09,17.89,17.89,17.4201,17.55
MNR,2024-02-12,17.65,17.89,17.56,17.59
MNR,2024-02-13,17.67,17.6899,17.26,17.27
MNR,2024-02-14,17.49,17.49,17.0,17.14
MNR,2024-02-15,17.0993,17.55,17.0993,17.25
MNR,2024-02-16,18.0,18.59,17.65,18.29
MNR,2024-02-20,19.53,19.58,18.4,18.61
MNR,2024-02-21,18.83,19.4499,18.83,19.35
MNR,2024-02-22,19.67,19.78,19.155,19.5
MNR,2024-02-23,20.07,20.07,19.0,19.54
MNR,2024-02-26,19.98,19.98,19.01,19.37
MNR,2024-02-27,19.26,19.59,19.095,19.58
MNR,2024-02-28,18.89,18.89,17.8,18.08
MNR,2024-02-29,17.95,18.4726,17.9,18.4
MNR,2024-03-01,18.45,18.5882,18.31,18.55
MNR,2024-03-04,18.58,18.89,18.55,18.88
MNR,2024-03-05,18.98,19.11,18.75,19.04
MNR,2024-03-06,19.19,19.1999,18.73,18.75
MNR,2024-03-07,18.87,19.03,18.71,19.0
MNR,2024-03-08,19.18,19.44,18.85,18.88
MNR,2024-03-11,18.97,18.97,18.0266,18.46
MNR,2024-03-12,18.5,19.07,18.44,18.85
