ticker,date,open,high,low,close
MRSH,2026-01-14,183.74,184.66,182.03,183.27
MRSH,2026-01-15,183.55,184.45,181.88,182.26
MRSH,2026-01-16,179.93,182.67,179.8801,182.4
MRSH,2026-01-20,181.8,182.52,180.06,181.0
MRSH,2026-01-21,181.4,182.0,178.26,179.68
MRSH,2026-01-22,178.7742,180.73,178.305,180.65
MRSH,2026-01-23,179.71,183.27,178.0001,183.16
MRSH,2026-01-26,183.33,185.0,182.2821,183.66
MRSH,2026-01-27,182.14,182.5,178.57,179.18
MRSH,2026-01-28,178.6,179.741,176.88,178.18
MRSH,2026-01-29,183.25,188.84,180.61,187.86
MRSH,2026-01-30,187.93,190.0,185.65,188.19
MRSH,2026-02-02,190.0,191.61,187.6901,188.25
MRSH,2026-02-03,187.59,190.36,186.71,188.49
MRSH,2026-02-04,188.915,193.32,187.23,189.75
MRSH,2026-02-05,190.225,193.08,187.07,187.51
MRSH,2026-02-06,188.175,189.11,184.64,185.03
MRSH,2026-02-09,184.66,184.97,170.78,171.14
MRSH,2026-02-10,172.75,176.39,172.06,175.34
MRSH,2026-02-11,174.98,175.91,172.01,173.0
MRSH,2026-02-12,172.48,175.58,170.37,173.33
MRSH,2026-02-13,173.15,174.77,172.51,174.06
MRSH,2026-02-17,176.05,178.31,174.28,175.83
MRSH,2026-02-18,176.73,178.19,175.6,178.11
MRSH,2026-02-19,178.31,179.41,176.75,178.87
MRSH,2026-02-20,178.475,179.99,178.01,179.32
MRSH,2026-02-23,179.12,181.0,176.645,176.99
MRSH,2026-02-24,176.06,178.54,174.24,178.43
MRSH,2026-02-25,179.48,181.64,179.48,181.1
MRSH,2026-02-26,184.19,185.75,184.19,185.29
MRSH,2026-02-27,185.725,187.77,184.59,186.74
MRSH,2026-03-02,185.69,187.505,184.63,186.43
MRSH,2026-03-03,183.875,186.08,182.1101,184.23
MRSH,2026-03-04,183.65,184.99,181.87,184.84
MRSH,2026-03-05,183.99,186.795,183.99,185.0
MRSH,2026-03-06,183.77,184.23,180.97,183.08
MRSH,2026-03-09,182.35,182.445,177.92,179.97
MRSH,2026-03-10,178.32,178.845,173.82,174.0
MRSH,2026-03-11,174.35,175.31,171.565,173.97
MRSH,2026-03-12,173.18,176.42,170.84,170.88
