ticker,date,open,high,low,close
MTRN,1980-03-17,0.0,8.62,8.38,8.38
MTRN,1980-03-18,0.0,8.62,8.25,8.62
MTRN,1980-03-19,0.0,9.21,8.67,9.21
MTRN,1980-03-20,0.0,9.29,9.17,9.17
MTRN,1980-03-21,0.0,9.12,9.04,9.12
MTRN,1980-03-24,0.0,8.96,8.62,8.62
MTRN,1980-03-25,0.0,8.5,8.08,8.42
MTRN,1980-03-26,0.0,8.75,8.33,8.33
MTRN,1980-03-27,0.0,7.96,7.25,7.25
MTRN,1980-03-28,0.0,8.29,7.25,8.29
MTRN,1980-03-31,0.0,8.38,8.25,8.38
MTRN,1980-04-01,0.0,8.29,8.08,8.21
MTRN,1980-04-02,0.0,8.42,8.17,8.17
MTRN,1980-04-03,0.0,8.42,8.25,8.29
MTRN,1980-04-07,0.0,8.21,7.79,7.92
MTRN,1980-04-08,0.0,8.04,7.58,8.04
MTRN,1980-04-09,0.0,8.17,7.96,7.96
MTRN,1980-04-10,0.0,8.08,7.92,8.04
MTRN,1980-04-11,0.0,8.04,7.92,8.0
MTRN,1980-04-14,0.0,8.0,7.67,7.67
MTRN,1980-04-15,0.0,7.79,7.71,7.79
MTRN,1980-04-16,0.0,7.92,7.75,7.83
MTRN,1980-04-17,0.0,7.75,7.54,7.58
MTRN,1980-04-18,0.0,7.5,7.42,7.5
MTRN,1980-04-21,0.0,7.54,7.33,7.33
MTRN,1980-04-22,0.0,7.58,7.42,7.58
MTRN,1980-04-23,0.0,8.08,7.54,8.0
MTRN,1980-04-24,0.0,8.08,7.92,8.08
MTRN,1980-04-25,0.0,8.17,7.75,8.17
MTRN,1980-04-28,0.0,8.17,8.08,8.17
MTRN,1980-04-29,0.0,8.17,7.92,8.0
MTRN,1980-04-30,0.0,7.92,7.67,7.79
MTRN,1980-05-01,0.0,7.71,7.67,7.67
MTRN,1980-05-02,0.0,7.67,7.58,7.67
MTRN,1980-05-05,0.0,7.92,7.58,7.83
MTRN,1980-05-06,0.0,8.17,7.92,7.92
MTRN,1980-05-07,0.0,7.83,7.75,7.75
MTRN,1980-05-08,0.0,7.75,7.29,7.29
MTRN,1980-05-09,0.0,7.38,7.25,7.33
MTRN,1980-05-12,0.0,7.25,7.12,7.17
MTRN,1980-05-13,0.0,7.46,7.25,7.25
MTRN,1980-05-14,0.0,7.67,7.38,7.62
MTRN,1980-05-15,0.0,7.75,7.62,7.62
MTRN,1980-05-16,0.0,7.67,7.54,7.54
MTRN,1980-05-19,0.0,8.0,7.67,8.0
MTRN,1980-05-20,0.0,8.08,8.0,8.08
MTRN,1980-05-21,0.0,8.29,8.17,8.25
MTRN,1980-05-22,0.0,8.83,8.33,8.75
MTRN,1980-05-23,0.0,9.0,8.67,8.67
MTRN,1980-05-27,0.0,8.92,8.71,8.88
MTRN,1980-05-28,0.0,8.88,8.83,8.88
MTRN,1980-05-29,0.0,8.88,8.5,8.58
MTRN,1980-05-30,0.0,8.67,8.42,8.67
MTRN,1980-06-02,0.0,9.0,8.79,9.0
MTRN,1980-06-03,0.0,9.38,9.08,9.17
MTRN,1980-06-04,0.0,9.38,9.08,9.38
MTRN,1980-06-05,0.0,10.08,9.62,9.62
MTRN,1980-06-06,0.0,9.62,9.38,9.62
MTRN,1980-06-09,0.0,9.54,9.38,9.5
MTRN,1980-06-10,0.0,9.5,9.42,9.42
MTRN,1980-06-11,0.0,9.42,9.25,9.25
MTRN,1980-06-12,0.0,9.33,9.17,9.29
MTRN,1980-06-13,0.0,9.25,9.17,9.25
MTRN,1980-06-16,0.0,9.29,9.21,9.29
MTRN,1980-06-17,0.0,9.42,8.5,8.71
MTRN,1980-06-18,0.0,8.25,7.88,8.08
MTRN,1980-06-19,0.0,8.12,7.88,7.96
MTRN,1980-06-20,0.0,8.08,7.83,8.0
MTRN,1980-06-23,0.0,8.21,8.04,8.17
MTRN,1980-06-24,0.0,8.33,8.17,8.33
MTRN,1980-06-25,0.0,8.67,8.33,8.67
MTRN,1980-06-26,0.0,9.08,8.79,9.04
MTRN,1980-06-27,0.0,9.5,8.96,9.42
MTRN,1980-06-30,0.0,9.33,9.08,9.08
MTRN,1980-07-01,0.0,9.33,9.04,9.33
MTRN,1980-07-02,0.0,9.33,9.29,9.33
MTRN,1980-07-03,0.0,9.33,9.17,9.33
MTRN,1980-07-07,0.0,9.33,9.21,9.33
MTRN,1980-07-08,0.0,9.54,9.29,9.5
MTRN,1980-07-09,0.0,9.75,9.38,9.46
MTRN,1980-07-10,0.0,9.79,9.54,9.71
MTRN,1980-07-11,0.0,9.88,9.67,9.88
MTRN,1980-07-14,0.0,10.29,9.92,10.29
MTRN,1980-07-15,0.0,10.54,10.0,10.0
MTRN,1980-07-16,0.0,10.42,10.12,10.29
MTRN,1980-07-17,0.0,10.38,10.21,10.33
MTRN,1980-07-18,0.0,10.54,10.38,10.38
MTRN,1980-07-21,0.0,10.54,10.38,10.46
MTRN,1980-07-22,0.0,10.79,10.42,10.46
MTRN,1980-07-23,0.0,10.67,10.42,10.42
MTRN,1980-07-24,0.0,10.58,10.42,10.5
MTRN,1980-07-25,0.0,10.58,10.42,10.46
MTRN,1980-07-28,0.0,10.67,10.5,10.67
MTRN,1980-07-29,0.0,10.96,10.71,10.83
MTRN,1980-07-30,0.0,10.88,10.75,10.75
MTRN,1980-07-31,0.0,10.83,10.58,10.83
MTRN,1980-08-01,0.0,11.12,11.0,11.12
MTRN,1980-08-04,0.0,11.08,10.83,10.83
MTRN,1980-08-05,0.0,11.17,10.75,11.12
MTRN,1980-08-06,0.0,11.38,11.17,11.21
MTRN,1980-08-07,0.0,11.42,11.29,11.42
MTRN,1980-08-08,0.0,11.75,11.21,11.21
MTRN,1980-08-11,0.0,11.58,11.21,11.46
MTRN,1980-08-12,0.0,11.54,11.33,11.38
MTRN,1980-08-13,0.0,11.67,11.38,11.67
MTRN,1980-08-14,0.0,11.67,11.46,11.54
MTRN,1980-08-15,0.0,11.58,11.33,11.58
MTRN,1980-08-18,0.0,11.58,11.33,11.33
MTRN,1980-08-19,0.0,11.5,11.17,11.17
MTRN,1980-08-20,0.0,11.42,11.17,11.25
MTRN,1980-08-21,0.0,11.42,11.17,11.25
MTRN,1980-08-22,0.0,11.38,11.08,11.08
MTRN,1980-08-25,0.0,11.17,10.83,10.83
MTRN,1980-08-26,0.0,10.92,10.67,10.71
MTRN,1980-08-27,0.0,10.92,10.58,10.58
MTRN,1980-08-28,0.0,10.75,10.25,10.67
MTRN,1980-08-29,0.0,10.92,10.71,10.92
MTRN,1980-09-02,0.0,11.25,10.92,11.21
MTRN,1980-09-03,0.0,11.83,11.21,11.83
MTRN,1980-09-04,0.0,11.96,11.54,11.54
MTRN,1980-09-05,0.0,11.67,11.5,11.67
MTRN,1980-09-08,0.0,11.67,11.58,11.67
MTRN,1980-09-09,0.0,11.58,11.42,11.58
MTRN,1980-09-10,0.0,11.79,11.67,11.79
MTRN,1980-09-11,0.0,11.96,11.71,11.96
MTRN,1980-09-12,0.0,12.0,11.67,11.71
MTRN,1980-09-15,0.0,11.71,11.62,11.67
MTRN,1980-09-16,0.0,11.67,11.42,11.62
MTRN,1980-09-17,0.0,12.0,11.67,11.92
MTRN,1980-09-18,0.0,11.96,11.67,11.75
MTRN,1980-09-19,0.0,11.88,11.58,11.79
MTRN,1980-09-22,0.0,11.96,11.75,11.92
MTRN,1980-09-23,0.0,12.29,11.83,12.17
MTRN,1980-09-24,0.0,12.12,11.96,12.12
MTRN,1980-09-25,0.0,12.17,12.0,12.0
MTRN,1980-09-26,0.0,11.96,11.71,11.79
MTRN,1980-09-29,0.0,11.67,11.38,11.38
MTRN,1980-09-30,0.0,11.58,11.38,11.58
MTRN,1980-10-01,0.0,11.67,11.5,11.5
MTRN,1980-10-02,0.0,11.62,11.5,11.5
MTRN,1980-10-03,0.0,11.71,11.5,11.71
MTRN,1980-10-06,0.0,11.96,11.75,11.88
MTRN,1980-10-07,0.0,11.96,11.71,11.83
MTRN,1980-10-08,0.0,11.83,11.67,11.79
MTRN,1980-10-09,0.0,11.88,11.71,11.71
MTRN,1980-10-10,0.0,11.83,11.58,11.58
MTRN,1980-10-13,0.0,11.5,11.33,11.5
MTRN,1980-10-14,0.0,11.79,11.5,11.79
MTRN,1980-10-15,0.0,11.83,11.67,11.83
MTRN,1980-10-16,0.0,11.92,11.67,11.67
MTRN,1980-10-17,0.0,11.79,11.62,11.62
MTRN,1980-10-20,0.0,11.75,11.04,11.04
MTRN,1980-10-21,0.0,11.46,11.04,11.42
MTRN,1980-10-22,0.0,11.75,11.58,11.75
MTRN,1980-10-23,0.0,11.71,11.67,11.67
MTRN,1980-10-24,0.0,11.58,11.38,11.46
MTRN,1980-10-27,0.0,11.46,11.33,11.33
MTRN,1980-10-28,0.0,11.5,11.33,11.38
MTRN,1980-10-29,0.0,11.62,11.33,11.58
MTRN,1980-10-30,0.0,11.75,11.62,11.67
MTRN,1980-10-31,0.0,11.67,11.58,11.62
MTRN,1980-11-03,0.0,11.71,11.62,11.62
MTRN,1980-11-05,0.0,12.12,11.96,12.12
MTRN,1980-11-06,0.0,12.12,12.0,12.0
MTRN,1980-11-07,0.0,12.08,11.92,12.08
MTRN,1980-11-10,0.0,12.12,12.0,12.12
MTRN,1980-11-11,0.0,12.21,12.0,12.21
MTRN,1980-11-12,0.0,13.08,12.29,13.08
MTRN,1980-11-13,0.0,13.04,12.83,13.04
MTRN,1980-11-14,0.0,13.08,12.92,12.92
MTRN,1980-11-17,0.0,12.96,12.71,12.71
MTRN,1980-11-18,0.0,12.96,12.54,12.54
MTRN,1980-11-19,0.0,12.58,12.33,12.5
MTRN,1980-11-20,0.0,12.58,12.42,12.5
MTRN,1980-11-21,0.0,12.75,12.5,12.5
MTRN,1980-11-24,0.0,12.5,12.21,12.33
MTRN,1980-11-25,0.0,12.67,12.42,12.67
MTRN,1980-11-26,0.0,12.54,12.33,12.38
MTRN,1980-11-28,0.0,12.29,12.25,12.25
MTRN,1980-12-01,0.0,12.21,12.12,12.21
MTRN,1980-12-02,0.0,12.17,12.04,12.17
MTRN,1980-12-03,0.0,12.0,11.92,11.92
MTRN,1980-12-04,0.0,12.17,11.92,12.0
MTRN,1980-12-05,0.0,12.0,11.83,11.96
MTRN,1980-12-08,0.0,11.79,11.25,11.25
MTRN,1980-12-09,0.0,11.08,10.92,10.96
MTRN,1980-12-10,0.0,11.5,11.08,11.25
MTRN,1980-12-11,0.0,11.04,10.67,10.67
MTRN,1980-12-12,0.0,10.75,10.42,10.5
MTRN,1980-12-15,0.0,10.58,10.17,10.29
MTRN,1980-12-16,0.0,10.67,10.33,10.67
MTRN,1980-12-17,0.0,11.0,10.71,10.83
MTRN,1980-12-18,0.0,11.33,10.96,11.04
MTRN,1980-12-19,0.0,11.12,10.92,10.92
MTRN,1980-12-22,0.0,11.17,10.83,11.17
MTRN,1980-12-23,0.0,11.25,11.0,11.25
MTRN,1980-12-24,0.0,11.17,11.04,11.04
MTRN,1980-12-26,0.0,11.08,10.96,10.96
MTRN,1980-12-29,0.0,11.0,10.67,10.67
MTRN,1980-12-30,0.0,10.58,10.38,10.38
MTRN,1980-12-31,0.0,10.54,10.38,10.54
MTRN,1981-01-02,0.0,10.46,10.38,10.46
MTRN,1981-01-05,0.0,10.67,10.38,10.54
MTRN,1981-01-06,0.0,10.71,10.5,10.5
MTRN,1981-01-07,0.0,10.42,10.0,10.33
MTRN,1981-01-08,0.0,10.42,10.17,10.33
MTRN,1981-01-09,0.0,10.71,10.38,10.71
