ticker,date,open,high,low,close
MTW,1990-03-26,1.43,1.44,1.41,1.44
MTW,1990-03-27,1.46,1.46,1.43,1.46
MTW,1990-03-28,1.43,1.46,1.43,1.44
MTW,1990-03-29,1.46,1.46,1.45,1.46
MTW,1990-03-30,1.46,1.46,1.43,1.43
MTW,1990-04-02,1.44,1.46,1.43,1.46
MTW,1990-04-03,1.44,1.48,1.44,1.48
MTW,1990-04-04,1.46,1.48,1.44,1.44
MTW,1990-04-05,1.46,1.46,1.44,1.44
MTW,1990-04-06,1.44,1.44,1.38,1.38
MTW,1990-04-09,1.36,1.39,1.36,1.36
MTW,1990-04-10,1.36,1.36,1.31,1.33
MTW,1990-04-11,1.33,1.33,1.31,1.33
MTW,1990-04-12,1.31,1.38,1.31,1.34
MTW,1990-04-16,1.38,1.38,1.34,1.34
MTW,1990-04-17,1.34,1.38,1.34,1.38
MTW,1990-04-18,1.39,1.39,1.36,1.36
MTW,1990-04-19,1.36,1.38,1.34,1.36
MTW,1990-04-20,1.38,1.38,1.34,1.38
MTW,1990-04-23,1.38,1.38,1.34,1.36
MTW,1990-04-24,1.36,1.36,1.34,1.34
MTW,1990-04-25,1.36,1.38,1.34,1.34
MTW,1990-04-26,1.34,1.34,1.33,1.33
MTW,1990-04-27,1.33,1.34,1.33,1.34
MTW,1990-04-30,1.36,1.36,1.34,1.34
MTW,1990-05-01,1.34,1.38,1.34,1.36
MTW,1990-05-02,1.39,1.39,1.36,1.36
MTW,1990-05-03,1.36,1.39,1.36,1.39
MTW,1990-05-04,1.39,1.39,1.36,1.36
MTW,1990-05-07,1.36,1.39,1.36,1.36
MTW,1990-05-08,1.39,1.42,1.38,1.42
MTW,1990-05-09,1.41,1.43,1.39,1.43
MTW,1990-05-10,1.39,1.43,1.39,1.43
MTW,1990-05-11,1.41,1.44,1.41,1.41
MTW,1990-05-14,1.44,1.48,1.43,1.44
MTW,1990-05-15,1.44,1.48,1.44,1.47
MTW,1990-05-16,1.46,1.48,1.46,1.46
MTW,1990-05-17,1.46,1.48,1.46,1.48
MTW,1990-05-18,1.46,1.48,1.44,1.44
MTW,1990-05-21,1.44,1.46,1.44,1.44
MTW,1990-05-22,1.48,1.48,1.44,1.46
MTW,1990-05-23,1.48,1.48,1.46,1.46
MTW,1990-05-24,1.46,1.48,1.46,1.47
MTW,1990-05-25,1.44,1.46,1.42,1.43
MTW,1990-05-29,1.41,1.43,1.38,1.4
MTW,1990-05-30,1.4,1.41,1.38,1.41
MTW,1990-05-31,1.38,1.41,1.38,1.41
MTW,1990-06-01,1.38,1.38,1.38,1.38
MTW,1990-06-04,1.38,1.41,1.38,1.38
MTW,1990-06-05,1.38,1.41,1.38,1.41
MTW,1990-06-06,1.39,1.41,1.39,1.39
MTW,1990-06-07,1.39,1.41,1.39,1.41
MTW,1990-06-08,1.41,1.49,1.41,1.48
MTW,1990-06-11,1.48,1.48,1.46,1.48
MTW,1990-06-12,1.48,1.49,1.48,1.48
MTW,1990-06-13,1.48,1.49,1.47,1.47
MTW,1990-06-14,1.47,1.49,1.47,1.48
MTW,1990-06-15,1.47,1.49,1.47,1.48
MTW,1990-06-18,1.47,1.47,1.47,1.47
MTW,1990-06-19,1.47,1.48,1.44,1.44
MTW,1990-06-20,1.44,1.44,1.39,1.39
MTW,1990-06-21,1.43,1.43,1.38,1.38
MTW,1990-06-22,1.41,1.41,1.39,1.39
MTW,1990-06-25,1.38,1.39,1.38,1.38
MTW,1990-06-26,1.38,1.39,1.38,1.38
MTW,1990-06-27,1.38,1.38,1.34,1.34
MTW,1990-06-28,1.34,1.36,1.34,1.34
MTW,1990-06-29,1.34,1.36,1.34,1.34
MTW,1990-07-02,1.34,1.36,1.34,1.36
MTW,1990-07-03,1.36,1.36,1.34,1.35
MTW,1990-07-05,1.35,1.36,1.34,1.36
MTW,1990-07-06,1.34,1.36,1.34,1.36
MTW,1990-07-09,1.39,1.39,1.36,1.39
MTW,1990-07-10,1.38,1.38,1.37,1.37
MTW,1990-07-11,1.37,1.38,1.37,1.37
MTW,1990-07-12,1.38,1.39,1.37,1.39
MTW,1990-07-13,1.39,1.41,1.38,1.41
MTW,1990-07-16,1.41,1.44,1.41,1.44
MTW,1990-07-17,1.42,1.46,1.42,1.42
MTW,1990-07-18,1.42,1.44,1.41,1.44
MTW,1990-07-19,1.43,1.46,1.43,1.44
MTW,1990-07-20,1.43,1.48,1.43,1.43
MTW,1990-07-23,1.43,1.44,1.41,1.43
MTW,1990-07-24,1.43,1.43,1.43,1.43
MTW,1990-07-25,1.43,1.44,1.43,1.43
MTW,1990-07-26,1.43,1.43,1.41,1.41
MTW,1990-07-27,1.39,1.41,1.39,1.39
MTW,1990-07-30,1.39,1.43,1.38,1.39
MTW,1990-07-31,1.38,1.38,1.34,1.36
MTW,1990-08-01,1.36,1.36,1.34,1.35
MTW,1990-08-02,1.34,1.38,1.34,1.38
MTW,1990-08-03,1.36,1.36,1.35,1.35
MTW,1990-08-06,1.35,1.36,1.33,1.33
MTW,1990-08-07,1.34,1.35,1.33,1.34
MTW,1990-08-08,1.36,1.41,1.36,1.38
MTW,1990-08-09,1.38,1.41,1.38,1.41
MTW,1990-08-10,1.38,1.39,1.36,1.38
MTW,1990-08-13,1.36,1.36,1.36,1.36
MTW,1990-08-14,1.38,1.38,1.36,1.36
MTW,1990-08-15,1.38,1.38,1.36,1.36
MTW,1990-08-16,1.36,1.36,1.34,1.34
MTW,1990-08-17,1.34,1.34,1.33,1.34
MTW,1990-08-20,1.33,1.36,1.33,1.36
MTW,1990-08-21,1.33,1.36,1.33,1.33
MTW,1990-08-22,1.33,1.34,1.31,1.31
MTW,1990-08-23,1.29,1.29,1.16,1.16
MTW,1990-08-24,1.19,1.21,1.17,1.19
MTW,1990-08-27,1.22,1.22,1.2,1.21
MTW,1990-08-28,1.22,1.22,1.22,1.22
MTW,1990-08-29,1.22,1.22,1.21,1.22
MTW,1990-08-30,1.24,1.24,1.24,1.24
MTW,1990-08-31,1.26,1.29,1.25,1.29
MTW,1990-09-04,1.26,1.26,1.26,1.26
MTW,1990-09-05,1.24,1.27,1.24,1.27
MTW,1990-09-06,1.29,1.33,1.27,1.32
MTW,1990-09-07,1.34,1.34,1.33,1.33
MTW,1990-09-10,1.34,1.38,1.34,1.36
MTW,1990-09-11,1.38,1.38,1.34,1.34
MTW,1990-09-12,1.34,1.34,1.34,1.34
MTW,1990-09-13,1.38,1.38,1.34,1.34
MTW,1990-09-14,1.36,1.36,1.31,1.32
MTW,1990-09-17,1.33,1.33,1.31,1.31
MTW,1990-09-18,1.34,1.34,1.28,1.29
MTW,1990-09-19,1.27,1.27,1.27,1.27
MTW,1990-09-20,1.27,1.27,1.26,1.26
MTW,1990-09-21,1.24,1.26,1.21,1.21
MTW,1990-09-24,1.21,1.24,1.19,1.19
MTW,1990-09-25,1.19,1.22,1.19,1.19
MTW,1990-09-26,1.2,1.22,1.19,1.22
MTW,1990-09-27,1.19,1.21,1.19,1.19
MTW,1990-09-28,1.21,1.21,1.17,1.19
MTW,1990-10-01,1.22,1.22,1.19,1.21
MTW,1990-10-02,1.22,1.22,1.21,1.21
MTW,1990-10-03,1.21,1.21,1.17,1.17
MTW,1990-10-04,1.19,1.19,1.17,1.17
MTW,1990-10-05,1.17,1.21,1.17,1.17
MTW,1990-10-08,1.19,1.19,1.17,1.17
MTW,1990-10-09,1.18,1.18,1.17,1.17
MTW,1990-10-10,1.17,1.17,1.14,1.16
MTW,1990-10-11,1.17,1.17,1.16,1.16
MTW,1990-10-12,1.17,1.19,1.17,1.19
MTW,1990-10-15,1.21,1.21,1.17,1.19
MTW,1990-10-16,1.19,1.21,1.19,1.2
MTW,1990-10-17,1.21,1.22,1.2,1.21
MTW,1990-10-18,1.22,1.22,1.19,1.21
MTW,1990-10-19,1.22,1.22,1.22,1.22
MTW,1990-10-22,1.21,1.22,1.21,1.21
MTW,1990-10-23,1.22,1.22,1.21,1.21
MTW,1990-10-24,1.22,1.22,1.2,1.2
MTW,1990-10-25,1.19,1.2,1.19,1.2
MTW,1990-10-26,1.19,1.19,1.19,1.19
MTW,1990-10-29,1.2,1.22,1.2,1.2
MTW,1990-10-30,1.2,1.2,1.2,1.2
MTW,1990-10-31,1.22,1.22,1.2,1.21
MTW,1990-11-01,1.22,1.22,1.22,1.22
MTW,1990-11-02,1.21,1.22,1.21,1.21
MTW,1990-11-05,1.21,1.22,1.21,1.22
MTW,1990-11-06,1.21,1.22,1.21,1.22
MTW,1990-11-07,1.22,1.22,1.21,1.22
MTW,1990-11-08,1.22,1.22,1.21,1.21
MTW,1990-11-09,1.21,1.22,1.21,1.21
MTW,1990-11-12,1.22,1.25,1.22,1.25
MTW,1990-11-13,1.25,1.25,1.23,1.23
MTW,1990-11-14,1.25,1.25,1.23,1.25
MTW,1990-11-15,1.23,1.23,1.21,1.21
MTW,1990-11-16,1.22,1.23,1.22,1.22
MTW,1990-11-19,1.23,1.23,1.21,1.21
MTW,1990-11-20,1.21,1.22,1.21,1.22
MTW,1990-11-21,1.19,1.19,1.17,1.19
MTW,1990-11-23,1.17,1.21,1.17,1.21
