ticker,date,open,high,low,close
MUX,1980-05-07,3.08,4.32,3.08,3.08
MUX,1980-05-08,3.08,4.32,3.08,3.08
MUX,1980-05-09,3.08,4.32,3.08,3.08
MUX,1980-05-12,3.08,4.32,3.08,3.08
MUX,1980-05-13,3.08,4.32,3.08,3.08
MUX,1980-05-14,3.08,4.32,3.08,3.08
MUX,1980-05-15,3.08,4.0,2.8,2.8
MUX,1980-05-16,2.8,3.72,2.48,2.48
MUX,1980-05-19,2.48,3.08,1.88,1.88
MUX,1980-05-20,1.88,3.08,1.88,1.88
MUX,1980-05-21,2.16,3.4,2.16,2.16
MUX,1980-05-22,2.16,3.4,2.16,2.16
MUX,1980-05-23,2.16,3.4,2.16,2.16
MUX,1980-05-27,2.16,3.4,2.16,2.16
MUX,1980-05-28,2.16,3.4,2.16,2.16
MUX,1980-05-29,2.16,3.4,2.16,2.16
MUX,1980-05-30,2.16,3.4,2.16,2.16
MUX,1980-06-02,2.16,3.4,2.16,2.16
MUX,1980-06-03,2.16,3.4,2.16,2.16
MUX,1980-06-04,2.16,3.4,2.16,2.16
MUX,1980-06-05,2.48,3.72,2.48,2.48
MUX,1980-06-06,3.08,4.32,3.08,3.08
MUX,1980-06-09,4.0,5.24,4.0,4.0
MUX,1980-06-10,4.0,4.32,3.08,3.08
MUX,1980-06-11,3.08,4.32,3.08,3.08
MUX,1980-06-12,3.08,4.32,3.08,3.08
MUX,1980-06-13,3.08,4.32,3.08,3.08
MUX,1980-06-16,3.4,4.64,3.4,3.4
MUX,1980-06-17,3.4,4.64,3.4,3.4
MUX,1980-06-18,3.4,4.32,3.08,3.08
MUX,1980-06-19,3.4,4.64,3.4,3.4
MUX,1980-06-20,3.4,4.64,3.4,3.4
MUX,1980-06-23,3.4,4.64,3.4,3.4
MUX,1980-06-24,3.4,4.64,3.4,3.4
MUX,1980-06-25,3.4,4.64,3.4,3.4
MUX,1980-06-26,3.72,5.0,3.72,3.72
MUX,1980-06-27,4.32,5.56,4.32,4.32
MUX,1980-06-30,4.32,5.56,4.32,4.32
MUX,1980-07-01,4.32,5.0,3.72,3.72
MUX,1980-07-02,3.72,5.0,3.72,3.72
MUX,1980-07-03,4.0,5.24,4.0,4.0
MUX,1980-07-07,4.64,5.0,4.64,4.64
MUX,1980-07-08,5.0,5.56,5.0,5.0
MUX,1980-07-09,5.0,5.24,5.0,5.0
MUX,1980-07-10,5.0,5.56,5.0,5.0
MUX,1980-07-11,5.56,5.88,5.56,5.56
MUX,1980-07-14,5.56,5.88,5.56,5.56
MUX,1980-07-15,5.56,5.56,5.0,5.0
MUX,1980-07-16,5.0,5.24,5.0,5.0
MUX,1980-07-17,5.0,5.24,5.0,5.0
MUX,1980-07-18,5.24,5.56,5.24,5.24
MUX,1980-07-21,5.24,5.56,5.0,5.0
MUX,1980-07-22,5.0,5.24,5.0,5.0
MUX,1980-07-23,5.0,5.56,5.0,5.0
MUX,1980-07-24,5.0,5.24,5.0,5.0
MUX,1980-07-25,5.0,5.24,5.0,5.0
MUX,1980-07-28,5.0,5.0,4.64,4.64
MUX,1980-07-29,4.64,5.0,4.64,4.64
MUX,1980-07-30,4.64,5.0,4.32,4.32
MUX,1980-07-31,4.32,5.0,4.32,4.32
MUX,1980-08-01,4.64,5.24,4.64,4.64
MUX,1980-08-04,5.0,5.24,5.0,5.0
MUX,1980-08-05,5.0,5.24,5.0,5.0
MUX,1980-08-06,5.0,5.24,5.0,5.0
MUX,1980-08-07,5.0,5.24,5.0,5.0
MUX,1980-08-08,5.0,5.24,5.0,5.0
MUX,1980-08-11,5.0,5.24,5.0,5.0
MUX,1980-08-12,5.0,5.0,4.32,4.32
MUX,1980-08-13,4.32,4.64,4.32,4.32
MUX,1980-08-14,4.32,5.0,4.32,4.32
MUX,1980-08-15,4.32,5.0,4.32,4.32
MUX,1980-08-18,4.32,4.64,4.0,4.0
MUX,1980-08-19,4.0,4.32,3.72,3.72
MUX,1980-08-20,4.32,4.64,4.32,4.32
MUX,1980-08-21,4.32,4.64,4.32,4.32
MUX,1980-08-22,4.64,5.0,4.64,4.64
MUX,1980-08-25,4.64,5.0,4.64,4.64
MUX,1980-08-26,4.64,4.64,4.64,4.64
MUX,1980-08-27,4.64,4.64,4.32,4.32
MUX,1980-08-28,4.32,4.64,4.32,4.32
MUX,1980-08-29,4.32,5.0,4.32,4.32
MUX,1980-09-02,5.0,5.24,5.0,5.0
MUX,1980-09-03,5.0,5.24,5.0,5.0
MUX,1980-09-04,5.0,5.24,5.0,5.0
MUX,1980-09-05,5.0,5.56,5.0,5.0
MUX,1980-09-08,5.88,6.24,5.88,5.88
MUX,1980-09-09,5.88,6.24,5.56,5.56
MUX,1980-09-10,6.24,6.88,6.24,6.24
MUX,1980-09-11,6.24,6.56,6.24,6.24
MUX,1980-09-12,6.88,7.48,6.88,6.88
MUX,1980-09-15,6.88,7.48,6.88,6.88
MUX,1980-09-16,6.88,6.88,6.24,6.24
MUX,1980-09-17,6.24,6.56,5.88,5.88
MUX,1980-09-18,6.56,6.88,6.56,6.56
MUX,1980-09-19,6.88,7.8,6.88,6.88
MUX,1980-09-22,7.8,8.4,7.8,7.8
