ticker,date,open,high,low,close
NEM,1980-03-17,0.0,10.4,9.97,10.27
NEM,1980-03-18,0.0,10.53,9.5,10.53
NEM,1980-03-19,0.0,10.83,10.33,10.77
NEM,1980-03-20,0.0,11.0,10.57,10.8
NEM,1980-03-21,0.0,10.83,10.33,10.67
NEM,1980-03-24,0.0,10.6,9.83,9.93
NEM,1980-03-25,0.0,10.1,9.7,10.07
NEM,1980-03-26,0.0,10.17,9.87,9.87
NEM,1980-03-27,0.0,9.77,8.7,9.33
NEM,1980-03-28,0.0,10.0,9.33,10.0
NEM,1980-03-31,0.0,10.53,10.13,10.23
NEM,1980-04-01,0.0,10.33,9.97,9.97
NEM,1980-04-02,0.0,9.6,9.4,9.53
NEM,1980-04-03,0.0,9.53,9.17,9.2
NEM,1980-04-07,0.0,9.17,9.0,9.07
NEM,1980-04-08,0.0,9.67,9.0,9.67
NEM,1980-04-09,0.0,10.13,9.93,10.0
NEM,1980-04-10,0.0,10.17,9.77,9.87
NEM,1980-04-11,0.0,9.87,9.4,9.47
NEM,1980-04-14,0.0,9.57,9.37,9.4
NEM,1980-04-15,0.0,9.37,9.1,9.1
NEM,1980-04-16,0.0,9.2,8.73,8.73
NEM,1980-04-17,0.0,8.7,8.53,8.57
NEM,1980-04-18,0.0,8.67,8.47,8.57
NEM,1980-04-21,0.0,8.77,8.53,8.53
NEM,1980-04-22,0.0,9.13,8.8,9.13
NEM,1980-04-23,0.0,9.47,9.03,9.37
NEM,1980-04-24,0.0,9.73,9.27,9.53
NEM,1980-04-25,0.0,9.93,9.47,9.6
NEM,1980-04-28,0.0,9.7,9.33,9.33
NEM,1980-04-29,0.0,9.47,9.37,9.37
NEM,1980-04-30,0.0,9.43,9.33,9.43
NEM,1980-05-01,0.0,9.43,8.8,8.8
NEM,1980-05-02,0.0,9.07,8.53,9.03
NEM,1980-05-05,0.0,8.97,8.73,8.83
NEM,1980-05-06,0.0,8.93,8.6,8.73
NEM,1980-05-07,0.0,8.93,8.67,8.67
NEM,1980-05-08,0.0,8.77,8.4,8.6
NEM,1980-05-09,0.0,8.53,8.2,8.33
NEM,1980-05-12,0.0,8.47,8.13,8.33
NEM,1980-05-13,0.0,8.63,8.3,8.57
NEM,1980-05-14,0.0,8.9,8.63,8.9
NEM,1980-05-15,0.0,9.27,8.87,9.17
NEM,1980-05-16,0.0,9.6,9.2,9.47
NEM,1980-05-19,0.0,10.07,9.4,9.6
NEM,1980-05-20,0.0,9.6,9.43,9.6
NEM,1980-05-21,0.0,9.87,9.53,9.73
NEM,1980-05-22,0.0,9.8,9.63,9.73
NEM,1980-05-23,0.0,10.27,9.87,10.17
NEM,1980-05-27,0.0,10.57,10.3,10.4
NEM,1980-05-28,0.0,10.33,10.13,10.2
NEM,1980-05-29,0.0,10.2,10.0,10.07
NEM,1980-05-30,0.0,10.23,9.73,10.2
NEM,1980-06-02,0.0,10.47,10.3,10.3
NEM,1980-06-03,0.0,10.27,9.97,10.0
NEM,1980-06-04,0.0,10.47,10.03,10.47
NEM,1980-06-05,0.0,10.6,10.33,10.4
NEM,1980-06-06,0.0,10.83,10.53,10.73
NEM,1980-06-09,0.0,11.17,10.97,11.13
NEM,1980-06-10,0.0,11.1,10.87,10.93
NEM,1980-06-11,0.0,11.03,10.83,10.87
NEM,1980-06-12,0.0,10.93,10.57,10.87
NEM,1980-06-13,0.0,10.87,10.7,10.83
NEM,1980-06-16,0.0,10.87,10.47,10.77
NEM,1980-06-17,0.0,10.73,10.4,10.5
NEM,1980-06-18,0.0,10.57,10.3,10.33
NEM,1980-06-19,0.0,10.33,10.07,10.27
NEM,1980-06-20,0.0,10.2,9.9,10.07
NEM,1980-06-23,0.0,10.27,9.97,10.07
NEM,1980-06-24,0.0,10.07,9.83,10.07
NEM,1980-06-25,0.0,10.73,10.27,10.53
NEM,1980-06-26,0.0,11.0,10.63,10.67
NEM,1980-06-27,0.0,11.13,10.87,10.97
NEM,1980-06-30,0.0,11.33,11.07,11.1
NEM,1980-07-01,0.0,11.9,11.13,11.9
NEM,1980-07-02,0.0,12.13,11.73,11.73
NEM,1980-07-03,0.0,11.67,11.2,11.5
NEM,1980-07-07,0.0,11.53,11.07,11.2
NEM,1980-07-08,0.0,11.63,11.33,11.47
