ticker,date,open,high,low,close
NGL,2011-05-16,7.9794,8.0933,7.9769,8.0323
NGL,2011-05-17,8.0282,8.0736,7.9199,8.0736
NGL,2011-05-18,8.0933,8.1845,8.038,8.1845
NGL,2011-05-19,8.1528,8.4,8.1383,8.3616
NGL,2011-05-20,8.4588,8.4588,8.1888,8.336
NGL,2011-05-23,8.181,8.3008,8.1238,8.2504
NGL,2011-05-24,8.3051,8.336,8.0736,8.1528
NGL,2011-05-25,8.1115,8.2119,7.8423,7.9719
NGL,2011-05-26,8.0282,8.0323,7.8893,7.9539
NGL,2011-05-27,7.8811,7.9199,7.8054,7.8811
NGL,2011-05-31,7.8828,8.0662,7.8828,8.0521
NGL,2011-06-01,7.9769,8.0933,7.9199,7.9299
NGL,2011-06-02,8.0364,8.0364,7.9299,7.9794
NGL,2011-06-03,8.019,8.019,7.7917,7.8006
NGL,2011-06-06,7.7917,7.7917,7.4368,7.4468
NGL,2011-06-07,7.4594,7.4695,7.0506,7.2078
NGL,2011-06-08,7.186,7.4938,7.0731,7.4938
NGL,2011-06-09,7.4415,7.8239,7.4415,7.7314
NGL,2011-06-10,7.6503,7.8738,7.4968,7.7467
NGL,2011-06-13,7.7653,7.8423,7.3596,7.6472
NGL,2011-06-14,7.593,7.7653,7.5742,7.7354
NGL,2011-06-15,7.7314,7.7314,7.3369,7.3813
NGL,2011-06-16,7.4594,7.4594,7.1493,7.1597
NGL,2011-06-17,7.2078,7.223,7.1493,7.1697
NGL,2011-06-20,7.2078,7.2938,7.1493,7.2659
NGL,2011-06-21,7.3813,7.6849,7.3813,7.6849
NGL,2011-06-22,7.6318,7.7852,7.464,7.6849
NGL,2011-06-23,7.6889,7.6889,7.4095,7.5273
NGL,2011-06-24,7.5742,7.6889,7.5203,7.5813
NGL,2011-06-27,7.5742,7.7829,7.5742,7.6704
NGL,2011-06-28,7.6503,7.8779,7.5008,7.6889
NGL,2011-06-29,7.7467,7.8779,7.6399,7.8779
NGL,2011-06-30,7.7852,7.8795,7.5664,7.6632
NGL,2011-07-01,7.6318,7.7467,7.593,7.6889
NGL,2011-07-05,7.6889,7.8198,7.6889,7.8198
NGL,2011-07-06,7.8738,7.8779,7.7082,7.7082
NGL,2011-07-07,7.7555,7.9579,7.7555,7.9579
NGL,2011-07-08,7.7653,7.9579,7.7653,7.9002
NGL,2011-07-11,7.9002,7.9002,7.7427,7.7852
NGL,2011-07-12,7.8399,7.8399,7.5008,7.593
NGL,2011-07-13,7.6318,7.7653,7.4041,7.4236
NGL,2011-07-14,7.4594,7.6503,7.4594,7.5742
NGL,2011-07-15,7.5351,7.6889,7.4004,7.6265
NGL,2011-07-18,7.6123,7.7852,7.5772,7.6976
NGL,2011-07-19,7.7467,7.8779,7.7467,7.8423
NGL,2011-07-20,7.8464,7.8464,7.6889,7.7282
NGL,2011-07-21,7.7653,7.8779,7.7282,7.8054
NGL,2011-07-22,7.7653,7.8198,7.6889,7.6889
NGL,2011-07-25,7.6976,7.7852,7.5742,7.621
NGL,2011-07-26,7.5772,7.7653,7.5772,7.6123
NGL,2011-07-27,7.6889,7.8654,7.593,7.593
NGL,2011-07-28,7.7082,7.858,7.6976,7.8117
NGL,2011-07-29,7.6865,7.7653,7.6141,7.6141
NGL,2011-08-01,7.6809,7.7467,7.5273,7.7282
NGL,2011-08-02,7.7852,7.7852,7.4968,7.4968
NGL,2011-08-03,7.5351,7.593,7.3369,7.3813
NGL,2011-08-04,7.45,7.5172,7.1753,7.186
NGL,2011-08-05,7.4968,7.5351,7.2659,7.4095
NGL,2011-08-08,7.9579,7.9579,6.9212,7.1196
NGL,2011-08-09,7.0172,7.1697,7.0172,7.1464
NGL,2011-08-10,7.0172,7.113,6.959,7.1058
NGL,2011-08-11,7.113,7.2274,6.959,7.0731
NGL,2011-08-12,7.113,7.2621,7.0506,7.1814
NGL,2011-08-15,7.1814,7.5906,7.1814,7.5172
NGL,2011-08-16,7.5172,7.6544,7.3468,7.5406
NGL,2011-08-17,7.5406,8.0364,7.5406,7.9579
NGL,2011-08-18,7.8423,7.9133,7.6342,7.8198
NGL,2011-08-19,7.7612,7.934,7.7555,7.8423
NGL,2011-08-22,7.8423,7.9892,7.5514,7.7282
NGL,2011-08-23,8.371,8.371,7.4968,7.7653
NGL,2011-08-24,7.6889,7.8654,7.6123,7.8423
NGL,2011-08-25,7.8811,7.8811,7.6889,7.7515
NGL,2011-08-26,7.7282,7.9282,7.6503,7.8239
NGL,2011-08-29,7.8359,7.9579,7.8359,7.9282
NGL,2011-08-30,7.9158,7.9579,7.6976,7.8423
NGL,2011-08-31,7.9456,8.2666,7.7612,8.228
NGL,2011-09-01,8.1888,8.3616,8.0802,8.3393
NGL,2011-09-02,9.3051,9.3051,8.081,8.4828
NGL,2011-09-06,8.4233,8.6425,8.2666,8.6425
NGL,2011-09-07,8.6142,8.8051,8.6142,8.727
NGL,2011-09-08,8.8336,8.8427,8.497,8.5165
NGL,2011-09-09,8.5414,8.6691,8.3796,8.5165
NGL,2011-09-12,8.5369,8.5592,8.2974,8.3889
NGL,2011-09-13,8.5165,8.6691,8.3581,8.4793
NGL,2011-09-14,8.4793,8.6363,8.4258,8.4703
NGL,2011-09-15,8.4837,8.5165,8.3796,8.4837
NGL,2011-09-16,8.4,8.5316,8.4,8.4197
NGL,2011-09-19,8.4197,8.4926,8.3847,8.4197
NGL,2011-09-20,8.4,8.5502,8.3616,8.4258
NGL,2011-09-21,8.4499,8.4793,8.4197,8.4402
NGL,2011-09-22,8.4197,8.4837,8.2007,8.27
NGL,2011-09-23,8.336,8.336,8.193,8.193
NGL,2011-09-26,8.2666,8.3461,8.193,8.2461
NGL,2011-09-27,8.3119,8.4588,8.2974,8.3435
NGL,2011-09-28,8.4026,8.4026,7.9983,8.1156
NGL,2011-09-29,8.2007,8.5218,7.9794,8.4499
NGL,2011-09-30,8.3796,8.4207,8.0736,8.2683
NGL,2011-10-03,7.9199,8.2323,7.8654,7.8696
NGL,2011-10-04,7.6865,7.7467,7.4821,7.6455
NGL,2011-10-05,7.6865,8.0323,7.5008,7.8918
NGL,2011-10-06,7.8589,8.3367,7.7886,8.1057
NGL,2011-10-07,8.1451,8.3796,8.0942,8.1451
NGL,2011-10-10,8.1383,8.3581,8.019,8.1082
NGL,2011-10-11,8.0736,8.169,7.9158,8.1115
NGL,2011-10-12,8.1622,8.4348,8.1049,8.2854
NGL,2011-10-13,8.336,8.4588,7.8239,8.4402
NGL,2011-10-14,8.4283,8.4961,8.1998,8.3085
NGL,2011-10-17,8.2735,8.2931,7.9769,8.1082
NGL,2011-10-18,8.1528,8.353,8.134,8.353
NGL,2011-10-19,8.4026,8.4026,8.1888,8.3273
NGL,2011-10-20,8.3273,8.4793,8.3273,8.4402
NGL,2011-10-21,8.4283,8.4783,8.306,8.4783
NGL,2011-10-24,8.3821,8.5165,8.2778,8.3205
NGL,2011-10-25,8.3127,8.3127,8.0587,8.1409
NGL,2011-10-26,8.1879,8.4571,8.1331,8.4571
NGL,2011-10-27,8.2828,8.5619,8.2828,8.5121
NGL,2011-10-28,8.4214,8.4801,8.2316,8.2828
NGL,2011-10-31,8.252,8.3761,8.2007,8.3727
NGL,2011-11-01,8.2427,8.2588,8.1998,8.228
NGL,2011-11-02,8.2384,8.4926,8.2384,8.4155
NGL,2011-11-03,8.4722,8.5911,8.3958,8.4535
NGL,2011-11-04,8.5369,8.5369,8.3163,8.4571
NGL,2011-11-07,8.3796,8.4535,8.3085,8.3085
NGL,2011-11-08,8.5369,8.5369,8.2588,8.3163
NGL,2011-11-09,8.2588,8.3907,8.2588,8.3163
NGL,2011-11-10,8.3796,8.5316,8.1998,8.4155
NGL,2011-11-11,8.3127,8.3761,8.2316,8.2546
NGL,2011-11-14,8.3796,8.4642,8.3205,8.4535
NGL,2011-11-15,8.4,8.4472,8.3599,8.3958
NGL,2011-11-16,8.3402,8.4214,8.27,8.401
NGL,2011-11-17,8.442,8.5502,8.4155,8.4615
NGL,2011-11-18,8.4926,8.5414,8.3625,8.4571
NGL,2011-11-21,8.3958,8.3958,8.1173,8.1836
NGL,2011-11-22,8.2135,8.3958,8.0917,8.1682
NGL,2011-11-23,8.1451,8.3522,8.1017,8.2316
NGL,2011-11-25,8.2666,8.4783,8.2666,8.4393
NGL,2011-11-28,8.4722,8.5121,8.3864,8.5121
NGL,2011-11-29,8.5316,8.5414,8.3958,8.4
NGL,2011-11-30,8.4491,8.4926,8.2965,8.442
NGL,2011-12-01,8.4535,8.4615,8.401,8.4155
NGL,2011-12-02,8.4828,8.4961,8.4155,8.4535
NGL,2011-12-05,8.4155,8.5272,8.2041,8.4961
NGL,2011-12-06,8.5058,8.5058,8.3153,8.4552
NGL,2011-12-07,8.4283,8.4283,8.2735,8.2735
NGL,2011-12-08,8.2384,8.2384,7.8093,7.848
NGL,2011-12-09,7.8093,7.9456,7.7748,7.8286
NGL,2011-12-12,7.8439,8.1502,7.8439,8.0637
NGL,2011-12-13,8.081,8.1998,8.0323,8.1638
NGL,2011-12-14,8.1947,8.4926,8.0743,8.0942
NGL,2011-12-15,8.1998,8.306,7.906,7.9265
NGL,2011-12-16,7.9183,8.0743,7.9101,8.0471
NGL,2011-12-19,8.0232,8.1124,7.9456,8.0174
NGL,2011-12-20,8.0471,8.1879,8.0042,8.1288
NGL,2011-12-21,8.1638,8.1998,8.0042,8.0587
NGL,2011-12-22,8.1099,8.1998,8.0042,8.0075
