ticker,date,open,high,low,close
NLOP,2023-11-02,12.51,13.51,9.5,10.47
NLOP,2023-11-03,11.0,13.295,10.985,12.92
NLOP,2023-11-06,11.8,13.12,11.554,12.51
NLOP,2023-11-07,11.39,12.155,11.0,11.66
NLOP,2023-11-08,11.32,13.11,11.3128,12.8
NLOP,2023-11-09,12.03,13.735,11.9,12.69
NLOP,2023-11-10,12.05,15.14,12.05,15.11
NLOP,2023-11-13,15.28,16.66,15.27,15.6
NLOP,2023-11-14,15.66,16.26,15.29,15.67
NLOP,2023-11-15,15.67,16.05,15.6301,15.81
NLOP,2023-11-16,15.82,16.5499,15.56,15.68
NLOP,2023-11-17,15.63,15.84,15.2101,15.82
NLOP,2023-11-20,15.82,17.61,15.77,16.65
NLOP,2023-11-21,16.65,16.79,15.91,15.92
NLOP,2023-11-22,15.78,16.07,15.55,15.71
NLOP,2023-11-24,15.42,16.0,15.33,15.85
NLOP,2023-11-27,15.35,15.81,15.35,15.71
NLOP,2023-11-28,15.52,15.99,15.41,15.93
NLOP,2023-11-29,15.67,17.14,15.6001,16.75
NLOP,2023-11-30,16.49,16.73,16.11,16.35
NLOP,2023-12-01,16.35,19.195,16.17,18.74
NLOP,2023-12-04,18.75,19.21,18.365,18.94
NLOP,2023-12-05,18.9,19.25,18.74,19.0
NLOP,2023-12-06,18.95,19.9399,18.61,19.67
NLOP,2023-12-07,19.53,19.58,18.5015,19.09
NLOP,2023-12-08,18.58,19.58,18.58,19.5
NLOP,2023-12-11,19.5,19.9,19.375,19.64
NLOP,2023-12-12,19.6,20.66,19.25,20.45
NLOP,2023-12-13,20.12,20.4764,18.31,19.58
NLOP,2023-12-14,19.32,20.56,19.32,19.64
NLOP,2023-12-15,19.48,19.82,17.3,17.81
NLOP,2023-12-18,17.48,17.68,16.83,16.85
NLOP,2023-12-19,16.61,17.6799,16.61,17.25
NLOP,2023-12-20,16.69,17.24,16.04,16.28
NLOP,2023-12-21,16.1,17.005,16.1,16.7
NLOP,2023-12-22,16.73,17.55,16.72,17.26
NLOP,2023-12-26,16.92,18.2445,16.92,18.11
NLOP,2023-12-27,18.72,19.3,18.54,18.63
NLOP,2023-12-28,18.26,18.86,18.2349,18.58
NLOP,2023-12-29,18.33,18.68,18.02,18.48
NLOP,2024-01-02,18.14,19.0,18.05,18.16
NLOP,2024-01-03,17.89,17.89,16.835,17.26
NLOP,2024-01-04,17.0,17.63,17.0,17.21
NLOP,2024-01-05,17.25,18.24,17.14,17.7
NLOP,2024-01-08,17.71,17.71,17.11,17.47
NLOP,2024-01-09,17.21,17.62,16.87,17.3
NLOP,2024-01-10,17.3,17.54,17.165,17.4
NLOP,2024-01-11,18.15,20.25,18.13,20.0
NLOP,2024-01-12,20.14,23.12,20.14,22.71
NLOP,2024-01-16,22.8,24.2,22.66,23.18
NLOP,2024-01-17,22.72,24.15,22.72,23.2
NLOP,2024-01-18,23.2,23.8981,22.85,23.1
NLOP,2024-01-19,23.11,24.79,22.95,24.54
NLOP,2024-01-22,24.47,24.59,23.74,24.22
NLOP,2024-01-23,25.2,25.8167,23.52,23.84
NLOP,2024-01-24,24.0,24.94,23.77,24.32
NLOP,2024-01-25,24.46,25.66,24.3827,24.94
NLOP,2024-01-26,25.26,25.622,24.87,25.31
NLOP,2024-01-29,25.14,25.6,25.0,25.4
NLOP,2024-01-30,25.25,25.55,24.98,25.27
NLOP,2024-01-31,25.15,25.5,24.75,24.78
NLOP,2024-02-01,24.57,25.11,24.46,25.05
NLOP,2024-02-02,24.51,25.41,24.51,24.65
NLOP,2024-02-05,24.35,24.65,23.855,24.01
NLOP,2024-02-06,23.98,24.19,23.59,23.91
NLOP,2024-02-07,23.95,24.4,23.3,23.75
NLOP,2024-02-08,23.69,23.94,23.445,23.81
NLOP,2024-02-09,23.66,25.3,23.6,24.91
NLOP,2024-02-12,24.88,25.13,24.705,24.82
NLOP,2024-02-13,24.45,25.26,24.39,24.71
NLOP,2024-02-14,24.7,26.27,24.7,26.14
NLOP,2024-02-15,26.1,27.14,25.71,26.72
NLOP,2024-02-16,26.69,27.77,26.23,27.06
NLOP,2024-02-20,27.0,27.39,26.78,27.26
NLOP,2024-02-21,27.17,27.305,26.52,26.65
NLOP,2024-02-22,26.65,26.82,25.87,26.16
NLOP,2024-02-23,26.05,26.5,25.94,26.38
NLOP,2024-02-26,26.47,27.08,26.22,26.23
NLOP,2024-02-27,26.25,27.04,25.92,26.03
NLOP,2024-02-28,25.77,25.9652,24.88,24.9
NLOP,2024-02-29,24.9,25.81,23.93,24.39
NLOP,2024-03-01,24.45,24.65,23.98,24.41
NLOP,2024-03-04,24.18,24.28,23.58,24.01
NLOP,2024-03-05,23.89,24.37,23.77,23.91
NLOP,2024-03-06,23.94,24.32,23.82,24.02
NLOP,2024-03-07,24.17,24.17,23.62,23.9
NLOP,2024-03-08,23.81,24.2937,23.25,23.27
NLOP,2024-03-11,23.36,25.19,23.36,24.52
NLOP,2024-03-12,24.38,24.47,23.4,23.79
NLOP,2024-03-13,23.71,24.11,23.7,23.79
NLOP,2024-03-14,23.78,23.91,23.4,23.72
NLOP,2024-03-15,23.55,24.21,22.98,23.0
NLOP,2024-03-18,23.1,23.22,22.73,22.86
NLOP,2024-03-19,22.74,23.3,22.5145,23.13
NLOP,2024-03-20,22.65,23.27,22.4,23.1
NLOP,2024-03-21,23.12,23.74,23.12,23.68
NLOP,2024-03-22,23.72,23.78,23.5,23.65
NLOP,2024-03-25,23.85,24.01,23.28,23.28
NLOP,2024-03-26,23.28,23.45,22.815,22.83
