ticker,date,open,high,low,close
NOK,1994-07-01,1.2891,1.3164,1.2891,1.3164
NOK,1994-07-05,1.3594,1.3672,1.3477,1.3672
NOK,1994-07-06,1.3672,1.4141,1.3672,1.4141
NOK,1994-07-07,1.4102,1.4336,1.4062,1.4336
NOK,1994-07-08,1.4297,1.4453,1.418,1.4414
NOK,1994-07-11,1.4336,1.4844,1.4336,1.4766
NOK,1994-07-12,1.4844,1.5469,1.4844,1.5273
NOK,1994-07-13,1.5273,1.543,1.5156,1.5391
NOK,1994-07-14,1.5078,1.5273,1.4961,1.5039
NOK,1994-07-15,1.4648,1.4805,1.4648,1.4688
NOK,1994-07-18,1.4766,1.5078,1.4727,1.5078
NOK,1994-07-19,1.4961,1.5,1.4766,1.4766
NOK,1994-07-20,1.4766,1.4766,1.457,1.4688
NOK,1994-07-21,1.4805,1.4922,1.4805,1.4844
NOK,1994-07-22,1.4844,1.4961,1.4805,1.4961
NOK,1994-07-25,1.5,1.5,1.4883,1.4961
NOK,1994-07-26,1.5156,1.5273,1.5078,1.5156
NOK,1994-07-27,1.5391,1.5391,1.5234,1.5352
NOK,1994-07-28,1.5156,1.5234,1.5117,1.5117
NOK,1994-07-29,1.5156,1.5391,1.5156,1.5352
NOK,1994-08-01,1.543,1.5625,1.543,1.5547
NOK,1994-08-02,1.5586,1.5586,1.5391,1.5391
NOK,1994-08-03,1.543,1.5508,1.543,1.5508
NOK,1994-08-04,1.5547,1.5547,1.5312,1.5312
NOK,1994-08-05,1.5352,1.5352,1.5273,1.5312
NOK,1994-08-08,1.5234,1.5234,1.5156,1.5234
NOK,1994-08-09,1.5078,1.5156,1.5078,1.5078
NOK,1994-08-10,1.4922,1.5,1.4883,1.4961
NOK,1994-08-11,1.4883,1.5117,1.4766,1.5039
NOK,1994-08-12,1.4844,1.4922,1.4805,1.4883
NOK,1994-08-15,1.4922,1.5117,1.4883,1.5039
NOK,1994-08-16,1.5,1.5,1.4844,1.4961
NOK,1994-08-17,1.4961,1.5352,1.4922,1.5352
NOK,1994-08-18,1.5586,1.6211,1.5586,1.6172
NOK,1994-08-19,1.625,1.6719,1.625,1.6445
NOK,1994-08-22,1.625,1.6367,1.6172,1.6367
NOK,1994-08-23,1.6211,1.6523,1.6211,1.6406
NOK,1994-08-24,1.6445,1.6445,1.6211,1.6367
NOK,1994-08-25,1.6523,1.6797,1.6484,1.6562
NOK,1994-08-26,1.6641,1.6641,1.6445,1.6484
NOK,1994-08-29,1.6562,1.6641,1.6523,1.6523
NOK,1994-08-30,1.6523,1.668,1.6445,1.668
NOK,1994-08-31,1.6953,1.7305,1.6953,1.7109
NOK,1994-09-01,1.7188,1.7305,1.7148,1.7188
NOK,1994-09-02,1.7266,1.7344,1.7188,1.7305
NOK,1994-09-06,1.7344,1.7344,1.7148,1.7227
NOK,1994-09-07,1.7266,1.7305,1.7188,1.7227
NOK,1994-09-08,1.7305,1.7422,1.7266,1.7422
NOK,1994-09-09,1.7734,1.7852,1.75,1.75
NOK,1994-09-12,1.7617,1.8008,1.7578,1.7969
NOK,1994-09-13,1.8047,1.8047,1.75,1.7578
NOK,1994-09-14,1.7422,1.7656,1.7344,1.7656
NOK,1994-09-15,1.7656,1.7656,1.7383,1.7617
NOK,1994-09-16,1.7656,1.7734,1.7578,1.7656
NOK,1994-09-19,1.7578,1.7695,1.75,1.7617
NOK,1994-09-20,1.7266,1.7266,1.7148,1.7148
NOK,1994-09-21,1.7227,1.7344,1.7148,1.7148
