ticker,date,open,high,low,close
NWAX,2026-01-26,10.25,10.39,10.13,10.205
NWAX,2026-01-27,10.1892,10.24,10.17,10.18
NWAX,2026-01-28,10.1702,10.18,10.16,10.18
NWAX,2026-01-29,10.2,10.2,10.15,10.165
NWAX,2026-01-30,10.129,10.15,10.1,10.1
NWAX,2026-02-02,10.1,10.15,10.05,10.06
NWAX,2026-02-03,10.0971,10.1,10.0495,10.0759
NWAX,2026-02-04,10.06,10.1,10.05,10.09
NWAX,2026-02-05,10.06,10.08,10.0,10.04
NWAX,2026-02-06,10.05,10.13,10.045,10.1
NWAX,2026-02-09,10.0974,10.11,10.0974,10.1
NWAX,2026-02-10,10.1,10.2519,10.1,10.125
NWAX,2026-02-11,10.125,10.15,10.1045,10.15
NWAX,2026-02-12,10.125,10.14,10.1,10.1
NWAX,2026-02-13,10.12,10.12,10.1,10.1
NWAX,2026-02-17,10.11,10.12,10.06,10.06
NWAX,2026-02-18,10.07,10.1,10.07,10.08
NWAX,2026-02-19,10.09,10.1,10.07,10.08
NWAX,2026-02-20,10.1,10.1,10.07,10.07
NWAX,2026-02-23,10.07,10.07,10.06,10.06
NWAX,2026-02-24,10.06,10.07,10.055,10.055
NWAX,2026-02-25,10.06,10.06,10.05,10.05
NWAX,2026-02-26,10.065,10.065,10.06,10.065
NWAX,2026-02-27,10.05,10.05,10.03,10.045
NWAX,2026-03-02,10.01,10.08,10.01,10.08
NWAX,2026-03-03,10.0265,10.09,10.0265,10.07
NWAX,2026-03-04,10.08,10.095,10.07,10.07
NWAX,2026-03-05,10.07,10.08,10.04,10.04
NWAX,2026-03-06,10.0702,10.085,10.065,10.08
NWAX,2026-03-09,10.09,10.09,10.08,10.08
NWAX,2026-03-10,10.07,10.09,10.07,10.08
NWAX,2026-03-11,10.09,10.1,10.08,10.08
NWAX,2026-03-12,10.08,10.1,10.08,10.08
