ticker,date,open,high,low,close
OPTU,2025-11-19,1.8,1.82,1.68,1.79
OPTU,2025-11-20,1.81,1.86,1.7,1.7
OPTU,2025-11-21,1.7,1.78,1.7,1.77
OPTU,2025-11-24,1.77,1.81,1.725,1.76
OPTU,2025-11-25,1.9,2.1352,1.9,2.08
OPTU,2025-11-26,2.06,2.06,1.89,1.91
OPTU,2025-11-28,1.91,1.96,1.865,1.9
OPTU,2025-12-01,1.89,1.96,1.87,1.91
OPTU,2025-12-02,1.9,1.905,1.815,1.85
OPTU,2025-12-03,1.85,1.906,1.8401,1.87
OPTU,2025-12-04,1.91,1.93,1.855,1.9
OPTU,2025-12-05,1.89,1.91,1.83,1.84
OPTU,2025-12-08,1.84,1.855,1.8,1.81
OPTU,2025-12-09,1.81,1.826,1.74,1.76
OPTU,2025-12-10,1.76,1.94,1.73,1.91
OPTU,2025-12-11,1.921,1.97,1.85,1.94
OPTU,2025-12-12,1.93,1.9787,1.88,1.89
OPTU,2025-12-15,1.9,1.92,1.81,1.82
OPTU,2025-12-16,1.79,1.85,1.785,1.8
OPTU,2025-12-17,1.78,1.83,1.695,1.74
OPTU,2025-12-18,1.7514,1.77,1.59,1.65
OPTU,2025-12-19,1.65,1.7,1.6,1.7
OPTU,2025-12-22,1.7,1.77,1.685,1.74
OPTU,2025-12-23,1.75,1.75,1.675,1.68
OPTU,2025-12-24,1.7275,1.7275,1.675,1.7
OPTU,2025-12-26,1.685,1.7,1.6425,1.66
OPTU,2025-12-29,1.65,1.715,1.625,1.69
OPTU,2025-12-30,1.68,1.685,1.62,1.64
OPTU,2025-12-31,1.63,1.71,1.62,1.65
OPTU,2026-01-02,1.66,1.825,1.645,1.72
OPTU,2026-01-05,1.73,1.77,1.66,1.7
OPTU,2026-01-06,1.7,1.755,1.63,1.71
OPTU,2026-01-07,1.71,1.75,1.66,1.66
OPTU,2026-01-08,1.65,1.81,1.635,1.72
OPTU,2026-01-09,1.74,1.98,1.7,1.9
OPTU,2026-01-12,1.86,2.02,1.815,1.94
OPTU,2026-01-13,1.96,1.96,1.885,1.9
OPTU,2026-01-14,1.9,1.95,1.87,1.89
OPTU,2026-01-15,1.915,1.975,1.87,1.91
OPTU,2026-01-16,1.929,1.929,1.86,1.89
OPTU,2026-01-20,1.825,1.855,1.7907,1.8
OPTU,2026-01-21,1.81,1.84,1.76,1.84
OPTU,2026-01-22,1.8475,1.895,1.8,1.82
OPTU,2026-01-23,1.81,1.82,1.77,1.8
OPTU,2026-01-26,1.78,1.81,1.69,1.71
OPTU,2026-01-27,1.71,1.72,1.61,1.63
OPTU,2026-01-28,1.65,1.67,1.55,1.58
OPTU,2026-01-29,1.595,1.61,1.55,1.6
OPTU,2026-01-30,1.59,1.6384,1.52,1.53
OPTU,2026-02-02,1.53,1.7,1.525,1.59
OPTU,2026-02-03,1.6,1.67,1.57,1.65
OPTU,2026-02-04,1.64,1.69,1.6,1.6
OPTU,2026-02-05,1.58,1.62,1.575,1.6
OPTU,2026-02-06,1.62,1.68,1.61,1.64
OPTU,2026-02-09,1.62,1.65,1.59,1.64
OPTU,2026-02-10,1.64,1.7,1.58,1.61
OPTU,2026-02-11,1.62,1.67,1.61,1.62
OPTU,2026-02-12,1.76,1.9,1.57,1.68
OPTU,2026-02-13,1.63,1.74,1.6,1.67
OPTU,2026-02-17,1.63,1.645,1.5807,1.62
OPTU,2026-02-18,1.62,1.648,1.565,1.59
OPTU,2026-02-19,1.58,1.605,1.52,1.56
OPTU,2026-02-20,1.53,1.58,1.51,1.53
OPTU,2026-02-23,1.53,1.53,1.46,1.47
OPTU,2026-02-24,1.462,1.5,1.43,1.49
OPTU,2026-02-25,1.494,1.494,1.43,1.45
OPTU,2026-02-26,1.42,1.42,1.4,1.42
OPTU,2026-02-27,1.41,1.45,1.39,1.44
OPTU,2026-03-02,1.4,1.47,1.385,1.46
OPTU,2026-03-03,1.42,1.505,1.375,1.5
OPTU,2026-03-04,1.44,1.58,1.44,1.53
OPTU,2026-03-05,1.51,1.545,1.455,1.5
OPTU,2026-03-06,1.465,1.4986,1.435,1.49
OPTU,2026-03-09,1.43,1.495,1.38,1.48
OPTU,2026-03-10,1.485,1.525,1.47,1.49
OPTU,2026-03-11,1.44,1.51,1.37,1.5
OPTU,2026-03-12,1.48,1.495,1.4,1.44
