ticker,date,open,high,low,close
ORA,2004-11-11,15.2,16.09,15.2,15.67
ORA,2004-11-12,15.8,16.59,15.77,16.05
ORA,2004-11-15,16.45,16.73,16.05,16.05
ORA,2004-11-16,15.95,16.52,15.55,15.65
ORA,2004-11-17,15.85,15.99,15.76,15.9
ORA,2004-11-18,15.95,15.95,15.7,15.8
ORA,2004-11-19,15.8,15.99,15.65,15.9
ORA,2004-11-22,16.1,16.33,15.99,16.13
ORA,2004-11-23,16.13,16.14,15.95,16.05
ORA,2004-11-24,16.55,17.0,16.5,17.0
ORA,2004-11-26,17.35,18.35,17.25,18.1
ORA,2004-11-29,18.35,18.7,17.5,17.9
ORA,2004-11-30,17.9,17.95,17.0,17.05
ORA,2004-12-01,17.15,17.8,17.06,17.75
ORA,2004-12-02,17.9,17.92,17.3,17.35
ORA,2004-12-03,17.5,17.6,17.06,17.3
ORA,2004-12-06,17.35,17.5,16.62,16.91
ORA,2004-12-07,16.71,16.95,16.48,16.48
ORA,2004-12-08,16.48,16.83,16.28,16.81
ORA,2004-12-09,17.0,17.31,16.63,17.1
ORA,2004-12-10,17.1,17.15,16.51,17.15
ORA,2004-12-13,17.35,17.5,17.3,17.39
ORA,2004-12-14,17.39,17.87,17.25,17.85
ORA,2004-12-15,18.0,18.49,17.85,18.3
ORA,2004-12-16,18.1,18.24,17.82,17.95
ORA,2004-12-17,17.55,17.83,17.25,17.25
ORA,2004-12-20,17.75,17.75,17.29,17.4
ORA,2004-12-21,17.2,17.2,16.75,16.94
ORA,2004-12-22,16.9,17.4,16.89,17.4
ORA,2004-12-23,17.65,17.85,17.45,17.47
ORA,2004-12-27,17.52,17.55,17.06,17.18
ORA,2004-12-28,17.32,17.4,17.21,17.21
ORA,2004-12-29,17.21,17.3,17.1,17.1
ORA,2004-12-30,17.15,17.15,16.7,16.85
ORA,2004-12-31,16.85,16.89,16.27,16.28
ORA,2005-01-03,16.3,16.3,15.4,15.59
ORA,2005-01-04,15.75,16.1,15.75,15.82
ORA,2005-01-05,15.9,16.1,15.55,15.86
ORA,2005-01-06,15.98,15.98,15.6,15.7
ORA,2005-01-07,15.8,15.8,15.55,15.74
ORA,2005-01-10,15.8,16.05,15.75,16.05
ORA,2005-01-11,16.0,16.02,15.52,15.8
ORA,2005-01-12,16.05,16.07,15.75,15.88
ORA,2005-01-13,15.93,15.93,15.4,15.51
ORA,2005-01-14,15.61,15.73,15.55,15.66
ORA,2005-01-18,15.6,15.8,15.54,15.8
ORA,2005-01-19,15.8,15.81,15.65,15.79
ORA,2005-01-20,15.75,15.79,15.54,15.68
ORA,2005-01-21,15.65,15.65,15.51,15.58
ORA,2005-01-24,15.55,15.69,15.55,15.67
ORA,2005-01-25,15.72,15.89,15.57,15.89
ORA,2005-01-26,15.89,15.93,15.71,15.92
ORA,2005-01-27,15.85,15.95,15.56,15.85
ORA,2005-01-28,15.87,15.95,15.8,15.86
ORA,2005-01-31,15.9,15.95,15.6,15.9
ORA,2005-02-01,15.8,15.9,15.7,15.89
ORA,2005-02-02,15.95,15.95,15.75,15.84
ORA,2005-02-03,15.84,15.84,15.7,15.72
ORA,2005-02-04,15.72,15.77,15.55,15.56
ORA,2005-02-07,15.56,15.82,15.49,15.75
ORA,2005-02-08,15.76,16.0,15.7,15.95
ORA,2005-02-09,15.95,16.3,15.95,16.1
ORA,2005-02-10,16.05,16.05,15.65,15.75
ORA,2005-02-11,15.72,15.95,15.57,15.6
ORA,2005-02-14,15.85,16.43,15.85,16.06
ORA,2005-02-15,16.29,16.5,16.2,16.2
ORA,2005-02-16,16.35,16.35,15.9,16.11
ORA,2005-02-17,16.05,16.1,15.8,15.8
ORA,2005-02-18,15.85,15.9,15.7,15.76
ORA,2005-02-22,15.77,15.83,15.03,15.32
ORA,2005-02-23,15.35,15.44,15.05,15.32
ORA,2005-02-24,15.25,15.41,15.03,15.41
ORA,2005-02-25,14.1755,14.3129,14.1755,14.2661
ORA,2005-02-28,14.4086,14.4564,14.2571,14.2851
ORA,2005-03-01,14.2661,14.3996,14.2293,14.2941
ORA,2005-03-02,14.2941,14.2941,14.2293,14.2761
ORA,2005-03-03,14.2661,14.3617,14.2204,14.304
ORA,2005-03-04,14.3617,14.6824,14.3528,14.5828
ORA,2005-03-07,14.5659,14.6406,14.3717,14.5928
ORA,2005-03-08,14.5928,14.6027,14.3817,14.5011
ORA,2005-03-09,14.5011,14.5011,14.2761,14.4284
ORA,2005-03-10,14.4284,14.4284,13.819,14.0301
ORA,2005-03-11,14.0669,14.1854,13.9504,14.1854
ORA,2005-03-14,14.1854,14.2204,14.1237,14.1476
ORA,2005-03-15,14.1854,14.1854,13.9026,14.0938
ORA,2005-03-16,14.0938,14.0938,13.3489,13.7901
ORA,2005-03-17,13.7901,14.1755,13.7731,14.1755
ORA,2005-03-18,14.1755,14.5928,13.809,14.5928
ORA,2005-03-21,14.5928,14.6406,13.9694,14.4184
ORA,2005-03-22,14.3129,14.3617,14.0839,14.2851
ORA,2005-03-23,14.7272,14.7272,14.1755,14.2204
ORA,2005-03-24,14.2204,14.2851,14.0491,14.1755
ORA,2005-03-28,14.2204,14.2204,13.9504,14.1755
ORA,2005-03-29,14.1755,14.3129,13.9873,14.058
ORA,2005-03-30,14.1038,14.3528,13.9504,14.3229
ORA,2005-03-31,14.3617,14.5011,14.2204,14.4184
ORA,2005-04-01,14.3617,14.5011,14.1755,14.4474
ORA,2005-04-04,14.4564,14.6406,14.4086,14.6027
ORA,2005-04-05,14.4832,14.6496,14.4384,14.4384
ORA,2005-04-06,14.3617,14.549,14.1566,14.4564
ORA,2005-04-07,14.3617,14.4284,14.2204,14.3996
ORA,2005-04-08,14.2204,14.3129,13.9126,14.0839
ORA,2005-04-11,14.1317,14.2661,14.0301,14.0301
ORA,2005-04-12,13.9404,14.1755,13.8289,14.0669
ORA,2005-04-13,14.0839,14.1038,13.8578,14.0131
ORA,2005-04-14,13.9504,13.9873,13.2215,13.2215
ORA,2005-04-15,13.2303,13.2303,12.8062,12.8062
ORA,2005-04-18,12.8062,13.1278,12.7783,13.0283
ORA,2005-04-19,13.1179,13.4206,13.1179,13.4206
ORA,2005-04-20,13.6686,13.6686,13.0551,13.33
ORA,2005-04-21,13.3489,13.6128,13.3489,13.6128
ORA,2005-04-22,13.6128,13.9963,13.6128,13.8668
ORA,2005-04-25,13.9026,14.2472,13.8578,14.1476
ORA,2005-04-26,14.2661,14.2851,14.0839,14.1854
ORA,2005-04-27,14.1755,14.2941,13.9504,14.2761
ORA,2005-04-28,14.2382,14.3129,14.0839,14.2293
ORA,2005-04-29,14.2293,14.4284,14.1656,14.4086
ORA,2005-05-02,14.6117,14.6117,14.3617,14.3617
ORA,2005-05-03,14.3617,14.4564,14.2761,14.3329
ORA,2005-05-04,14.3817,14.6994,14.3817,14.6824
ORA,2005-05-05,14.6744,14.7084,14.5828,14.7084
ORA,2005-05-06,14.7272,14.8189,14.7272,14.7651
ORA,2005-05-09,14.9224,15.282,14.9224,15.1464
ORA,2005-05-10,15.1464,15.3746,15.1464,15.2182
ORA,2005-05-11,15.3287,15.4573,15.282,15.3287
ORA,2005-05-12,15.3746,15.3746,15.1464,15.282
ORA,2005-05-13,15.263,15.263,14.8677,14.9154
ORA,2005-05-16,14.9154,14.9154,14.7551,14.8477
ORA,2005-05-17,14.8965,15.0081,14.7272,14.9613
ORA,2005-05-18,15.0081,15.0529,14.9154,14.9702
ORA,2005-05-19,14.9414,15.0081,14.792,14.9613
ORA,2005-05-20,15.0081,15.0529,14.8288,15.0529
ORA,2005-05-23,15.0529,15.0529,14.9324,15.035
ORA,2005-05-24,15.035,15.1804,14.9224,15.1804
ORA,2005-05-25,15.0529,15.0529,14.9324,14.9324
ORA,2005-05-26,14.9891,15.273,14.8866,15.273
ORA,2005-05-27,15.273,15.8715,15.2371,15.6424
ORA,2005-05-31,15.6494,15.8327,15.6047,15.753
ORA,2005-06-01,15.6953,15.768,15.3287,15.3287
ORA,2005-06-02,15.4661,15.6236,15.3287,15.4473
ORA,2005-06-03,15.4184,15.5587,15.3287,15.4283
ORA,2005-06-06,15.4184,15.6236,15.3746,15.5867
ORA,2005-06-07,15.5867,15.8327,15.5867,15.743
ORA,2005-06-08,15.8137,15.9093,15.5867,15.6594
ORA,2005-06-09,15.6494,15.6494,15.5867,15.6424
ORA,2005-06-10,15.6146,15.6494,15.5587,15.5687
ORA,2005-06-13,15.5687,15.5777,15.514,15.5777
ORA,2005-06-14,15.5777,15.5777,15.4184,15.4661
ORA,2005-06-15,15.3746,15.5777,15.3746,15.5777
ORA,2005-06-16,15.5777,15.6047,15.4661,15.4751
ORA,2005-06-17,15.6494,15.7231,15.5507,15.5507
ORA,2005-06-20,15.5507,15.5507,15.3647,15.4573
ORA,2005-06-21,15.4751,15.6494,15.3287,15.5777
ORA,2005-06-22,15.5777,15.6873,15.5687,15.6494
ORA,2005-06-23,15.6047,15.743,15.4661,15.4661
ORA,2005-06-24,15.514,15.8137,15.514,15.7879
ORA,2005-06-27,15.743,15.7879,15.532,15.6494
ORA,2005-06-28,15.6494,15.8327,15.6494,15.8037
ORA,2005-06-29,15.8327,16.5646,15.8327,16.3755
ORA,2005-06-30,16.482,17.6781,16.482,17.5844
ORA,2005-07-01,17.5844,17.5844,17.3434,17.4908
ORA,2005-07-05,17.2139,17.3056,16.9959,17.3056
ORA,2005-07-06,17.2139,17.3056,16.9869,17.0048
ORA,2005-07-07,16.9869,17.1273,16.7976,17.1074
ORA,2005-07-08,17.1433,17.4451,17.1433,17.4451
ORA,2005-07-11,17.4451,17.4908,17.2139,17.3056
ORA,2005-07-12,17.3056,17.3056,17.1273,17.2229
ORA,2005-07-13,17.2966,17.2966,17.1532,17.2139
ORA,2005-07-14,17.2867,17.2867,17.1971,17.2061
ORA,2005-07-15,17.1891,17.2518,17.1433,17.2518
ORA,2005-07-18,17.3056,17.4451,17.1701,17.3334
ORA,2005-07-19,17.3992,17.945,17.3724,17.8134
ORA,2005-07-20,17.8604,17.8981,17.6781,17.7657
ORA,2005-07-21,17.7657,17.7657,17.5287,17.5377
ORA,2005-07-22,17.5844,17.7657,17.454,17.4819
ORA,2005-07-25,17.4998,17.6681,17.4998,17.5466
ORA,2005-07-26,17.5844,17.6581,17.4451,17.6312
ORA,2005-07-27,17.6312,17.6481,17.3056,17.4719
ORA,2005-07-28,17.4451,17.688,17.3534,17.6781
ORA,2005-07-29,17.6781,17.7139,17.3992,17.4081
ORA,2005-08-01,17.4451,17.4908,17.3056,17.3992
ORA,2005-08-02,17.4451,17.7557,17.3624,17.6781
ORA,2005-08-03,17.6781,17.9907,17.4819,17.9808
ORA,2005-08-04,18.0435,18.643,17.9977,18.5176
ORA,2005-08-05,18.4597,18.6003,18.3174,18.403
ORA,2005-08-08,18.5077,18.8243,18.4597,18.5823
ORA,2005-08-09,18.7775,18.7775,18.412,18.44
ORA,2005-08-10,18.44,18.4977,18.2277,18.4977
ORA,2005-08-11,18.5823,19.4219,18.5077,18.8602
ORA,2005-08-12,18.9637,19.15,18.412,18.6341
ORA,2005-08-15,18.5077,19.0116,18.4597,18.9547
ORA,2005-08-16,19.0116,19.0116,18.7775,18.7864
ORA,2005-08-17,18.7596,18.9637,18.7337,18.9547
ORA,2005-08-18,18.925,18.925,18.6003,18.643
ORA,2005-08-19,18.652,18.8243,18.5077,18.7775
ORA,2005-08-22,18.7337,18.8523,18.7257,18.8144
ORA,2005-08-23,18.8423,18.8423,18.643,18.7257
ORA,2005-08-24,18.7337,19.0494,18.6968,18.916
ORA,2005-08-25,18.8691,19.2785,18.8523,19.2785
ORA,2005-08-26,19.3253,19.3611,19.15,19.3442
ORA,2005-08-29,19.405,19.5135,19.371,19.4956
ORA,2005-08-30,19.5433,19.7963,19.5135,19.5633
ORA,2005-08-31,19.5803,20.3451,19.5803,20.2514
ORA,2005-09-01,20.3938,20.851,20.3451,20.7136
ORA,2005-09-02,20.7136,20.7136,20.5751,20.5851
ORA,2005-09-06,20.7136,20.8051,20.6309,20.8051
ORA,2005-09-07,20.7136,21.1667,20.6587,21.0362
ORA,2005-09-08,21.1487,21.1487,20.9894,21.0163
ORA,2005-09-09,21.0084,21.5241,21.0084,21.4594
ORA,2005-09-12,21.6447,21.9096,21.588,21.829
ORA,2005-09-13,22.0023,22.1854,21.7174,21.7274
ORA,2005-09-14,21.7274,21.7741,21.4147,21.4504
ORA,2005-09-15,21.6347,21.7274,21.3579,21.4147
ORA,2005-09-16,21.6347,22.0958,21.5421,21.9923
ORA,2005-09-19,22.0023,22.0023,21.6347,21.6347
ORA,2005-09-20,21.6347,21.6347,21.4874,21.4953
ORA,2005-09-21,21.5421,21.5421,20.2514,20.4307
ORA,2005-09-22,20.4854,20.5751,20.2514,20.3451
ORA,2005-09-23,20.5751,20.7056,20.5303,20.7056
ORA,2005-09-26,20.8051,21.4047,20.7971,21.0262
ORA,2005-09-27,21.1737,21.2074,21.0262,21.1487
ORA,2005-09-28,21.3579,21.6247,20.9057,20.9057
ORA,2005-09-29,21.1288,21.1288,20.4407,20.4854
ORA,2005-09-30,20.5751,20.6219,20.2514,20.3739
ORA,2005-10-03,20.5303,20.7782,20.4854,20.7136
ORA,2005-10-04,20.6867,20.8141,20.6219,20.7136
ORA,2005-10-05,20.7214,20.7404,19.9208,19.9208
ORA,2005-10-06,20.0134,20.0682,18.7775,18.8333
ORA,2005-10-07,18.8333,18.887,17.9609,18.6003
ORA,2005-10-10,18.688,18.7775,18.6003,18.679
ORA,2005-10-11,18.66,18.688,18.42,18.5077
ORA,2005-10-12,18.412,18.412,17.3056,17.7657
ORA,2005-10-13,17.9081,18.2089,17.8604,17.9539
ORA,2005-10-14,18.0167,18.5077,17.8055,18.4697
ORA,2005-10-17,18.4597,19.0593,18.4597,19.0494
ORA,2005-10-18,19.1977,19.5135,19.15,19.2606
ORA,2005-10-19,19.3531,19.5135,19.2874,19.5135
ORA,2005-10-20,19.5135,19.6091,18.9927,19.131
ORA,2005-10-21,19.2874,19.5533,19.1977,19.2247
ORA,2005-10-24,19.0394,19.5036,18.9448,19.1878
ORA,2005-10-25,19.2785,19.4219,19.0783,19.16
ORA,2005-10-26,19.16,19.2874,19.0873,19.0873
ORA,2005-10-27,19.123,19.123,18.2816,18.3074
ORA,2005-10-28,18.412,18.5644,18.3473,18.5077
ORA,2005-10-31,18.5554,18.9637,18.5554,18.7596
