ticker,date,open,high,low,close
OVV,2002-04-08,77.5,77.5,74.95,74.97
OVV,2002-04-09,75.25,75.25,73.32,74.07
OVV,2002-04-10,73.88,75.0,73.88,74.75
OVV,2002-04-11,75.25,75.32,74.47,74.7
OVV,2002-04-12,73.95,73.95,70.78,71.95
OVV,2002-04-15,73.3,73.75,72.25,72.62
OVV,2002-04-16,72.88,74.25,72.88,73.88
OVV,2002-04-17,74.88,76.55,74.88,75.97
OVV,2002-04-18,76.88,76.97,75.38,75.75
OVV,2002-04-19,75.4,76.0,75.28,75.8
OVV,2002-04-22,75.68,75.75,75.12,75.65
OVV,2002-04-23,75.15,76.9,75.15,76.88
OVV,2002-04-24,77.25,77.6,76.07,76.5
OVV,2002-04-25,76.5,78.72,76.5,78.28
OVV,2002-04-26,78.75,79.0,77.75,78.47
OVV,2002-04-29,77.9,77.9,76.65,77.62
OVV,2002-04-30,77.38,78.75,77.38,78.62
OVV,2002-05-01,78.62,80.15,78.57,79.25
OVV,2002-05-02,79.12,79.68,78.78,79.45
OVV,2002-05-03,79.45,80.9,79.32,80.5
OVV,2002-05-06,80.12,80.12,78.12,78.38
OVV,2002-05-07,78.32,78.5,76.75,77.12
OVV,2002-05-08,78.38,79.62,78.15,79.25
OVV,2002-05-09,79.38,79.62,78.88,78.9
OVV,2002-05-10,79.25,79.43,78.07,78.62
OVV,2002-05-13,78.5,78.53,76.78,77.4
OVV,2002-05-14,77.5,78.5,76.75,78.43
OVV,2002-05-15,76.62,77.57,75.35,76.25
OVV,2002-05-16,76.5,77.32,76.1,76.2
OVV,2002-05-17,76.43,77.43,76.2,76.4
OVV,2002-05-20,75.25,76.25,75.05,75.62
OVV,2002-05-21,76.12,76.62,75.43,75.62
OVV,2002-05-22,75.25,75.7,74.12,75.45
OVV,2002-05-23,75.38,77.5,75.38,77.07
OVV,2002-05-24,77.12,77.12,76.12,76.38
OVV,2002-05-28,77.0,77.0,75.72,76.3
OVV,2002-05-29,76.0,76.68,75.85,76.3
OVV,2002-05-30,76.1,76.35,75.12,75.62
OVV,2002-05-31,76.03,76.78,75.7,76.75
OVV,2002-06-03,76.5,76.85,75.57,75.6
OVV,2002-06-04,75.93,76.2,74.85,74.97
OVV,2002-06-05,74.68,74.68,73.95,74.25
OVV,2002-06-06,74.45,75.0,73.97,74.18
OVV,2002-06-07,74.18,75.0,74.18,74.62
OVV,2002-06-10,74.57,75.07,72.75,72.82
OVV,2002-06-11,72.65,73.53,71.1,71.25
OVV,2002-06-12,70.95,73.53,70.8,73.0
OVV,2002-06-13,72.75,74.2,72.62,73.57
OVV,2002-06-14,72.68,74.75,72.0,74.25
OVV,2002-06-17,74.5,76.47,74.35,76.05
OVV,2002-06-18,76.1,76.62,74.5,75.05
OVV,2002-06-19,75.15,76.88,75.07,75.38
OVV,2002-06-20,76.62,77.75,75.97,76.45
OVV,2002-06-21,76.57,77.5,76.57,77.5
OVV,2002-06-24,77.32,77.43,75.65,76.12
OVV,2002-06-25,77.35,77.5,76.32,76.6
OVV,2002-06-26,76.12,76.43,75.25,75.43
OVV,2002-06-27,75.4,76.03,74.65,74.75
OVV,2002-06-28,75.12,76.97,75.0,76.5
OVV,2002-07-01,76.38,79.75,76.25,78.38
OVV,2002-07-02,76.5,78.28,76.15,76.75
OVV,2002-07-03,76.75,76.75,74.82,75.88
OVV,2002-07-05,76.88,78.07,76.18,77.9
OVV,2002-07-08,77.75,78.88,77.07,77.3
OVV,2002-07-09,77.32,77.93,76.93,77.47
OVV,2002-07-10,77.5,77.5,75.53,75.75
OVV,2002-07-11,74.88,74.88,71.72,72.53
OVV,2002-07-12,72.5,72.75,70.88,71.25
OVV,2002-07-15,70.0,70.4,68.75,69.6
OVV,2002-07-16,69.6,71.38,68.5,69.85
OVV,2002-07-17,70.0,71.93,70.0,71.0
OVV,2002-07-18,70.93,71.05,69.35,69.53
OVV,2002-07-19,69.38,69.38,67.25,67.97
OVV,2002-07-22,65.62,67.2,63.25,63.8
OVV,2002-07-23,63.55,64.25,60.05,60.2
OVV,2002-07-24,58.75,67.62,58.75,67.07
OVV,2002-07-25,66.6,67.2,64.57,66.12
OVV,2002-07-26,66.38,66.53,64.35,66.0
OVV,2002-07-29,67.0,68.47,66.88,67.88
OVV,2002-07-30,67.88,70.0,67.88,69.38
OVV,2002-07-31,69.28,70.95,68.05,70.8
OVV,2002-08-01,69.5,71.43,69.12,70.12
OVV,2002-08-02,70.62,71.38,70.3,70.97
OVV,2002-08-05,70.75,70.8,68.62,68.68
OVV,2002-08-06,69.2,71.5,69.2,71.18
OVV,2002-08-07,70.88,71.03,69.88,70.62
OVV,2002-08-08,70.55,71.88,70.55,71.62
OVV,2002-08-09,71.5,71.7,71.03,71.5
OVV,2002-08-12,71.25,72.8,71.0,72.5
OVV,2002-08-13,72.15,73.75,72.0,73.25
OVV,2002-08-14,73.62,74.93,73.62,74.88
OVV,2002-08-15,74.93,76.62,74.75,76.47
OVV,2002-08-16,76.65,77.1,76.15,76.32
OVV,2002-08-19,76.2,77.3,74.93,75.47
OVV,2002-08-20,74.8,76.95,74.7,76.88
OVV,2002-08-21,76.88,77.4,76.25,76.28
OVV,2002-08-22,76.25,77.15,76.12,76.95
OVV,2002-08-23,76.55,76.68,74.25,74.78
OVV,2002-08-26,74.88,75.85,74.15,75.85
OVV,2002-08-27,76.85,77.12,76.07,76.28
OVV,2002-08-28,75.5,75.62,74.68,75.15
OVV,2002-08-29,74.38,74.55,72.85,73.5
OVV,2002-08-30,73.25,74.15,72.82,73.5
OVV,2002-09-03,72.95,73.0,71.25,71.75
OVV,2002-09-04,71.78,72.57,70.88,71.57
OVV,2002-09-05,72.2,72.88,71.22,72.28
OVV,2002-09-06,73.5,73.8,72.55,73.47
OVV,2002-09-09,73.4,74.35,73.38,74.18
OVV,2002-09-10,74.2,75.6,74.2,74.75
OVV,2002-09-11,75.25,75.57,75.0,75.15
OVV,2002-09-12,75.12,75.12,73.75,74.03
OVV,2002-09-13,73.85,75.53,73.38,75.0
OVV,2002-09-16,75.03,75.95,74.12,75.65
OVV,2002-09-17,74.25,74.72,72.88,73.0
OVV,2002-09-18,73.38,73.95,73.07,73.62
OVV,2002-09-19,73.38,73.62,72.22,72.22
OVV,2002-09-20,72.22,72.65,71.68,72.43
OVV,2002-09-23,72.4,74.47,72.4,74.18
OVV,2002-09-24,74.1,74.4,72.5,73.38
OVV,2002-09-25,73.55,74.95,72.82,74.95
OVV,2002-09-26,74.95,75.75,74.55,75.22
OVV,2002-09-27,75.0,75.6,74.53,74.62
OVV,2002-09-30,74.62,75.85,74.15,75.25
OVV,2002-10-01,75.28,75.47,74.28,74.9
OVV,2002-10-02,73.82,74.9,73.6,74.3
OVV,2002-10-03,73.62,74.03,72.9,73.5
OVV,2002-10-04,73.93,74.18,72.97,73.15
OVV,2002-10-07,73.38,73.5,71.97,72.18
OVV,2002-10-08,71.72,72.47,70.28,70.62
OVV,2002-10-09,69.9,69.9,67.25,67.45
OVV,2002-10-10,67.5,68.03,63.92,67.78
OVV,2002-10-11,68.2,69.35,67.07,68.62
OVV,2002-10-14,68.12,70.85,68.12,70.5
OVV,2002-10-15,71.53,74.3,71.12,73.68
OVV,2002-10-16,73.12,74.03,73.12,73.62
OVV,2002-10-17,74.88,75.38,73.93,74.88
OVV,2002-10-18,74.62,75.43,74.4,74.88
OVV,2002-10-21,74.88,75.12,73.53,73.55
OVV,2002-10-22,72.05,72.75,69.55,70.1
OVV,2002-10-23,70.45,70.9,69.05,70.9
OVV,2002-10-24,71.5,71.75,70.07,70.18
OVV,2002-10-25,69.95,70.47,69.78,70.25
OVV,2002-10-28,70.62,71.25,70.6,70.97
OVV,2002-10-29,70.75,70.88,69.68,70.05
OVV,2002-10-30,70.82,72.22,70.4,71.55
OVV,2002-10-31,71.85,72.85,71.5,72.75
OVV,2002-11-01,72.75,72.9,71.93,72.05
OVV,2002-11-04,71.75,72.8,71.1,72.5
OVV,2002-11-05,71.78,72.65,70.8,71.45
OVV,2002-11-06,71.57,71.75,69.6,69.75
OVV,2002-11-07,70.12,70.5,68.88,69.03
OVV,2002-11-08,69.28,70.15,68.85,69.68
OVV,2002-11-11,69.75,70.0,68.82,69.0
OVV,2002-11-12,69.43,69.65,68.5,68.97
OVV,2002-11-13,68.25,68.35,65.5,66.12
OVV,2002-11-14,66.28,66.8,66.12,66.22
OVV,2002-11-15,66.0,67.47,65.47,67.25
OVV,2002-11-18,67.88,69.43,67.5,69.22
OVV,2002-11-19,68.95,70.07,67.93,68.47
OVV,2002-11-20,69.0,70.8,69.0,70.8
OVV,2002-11-21,71.38,72.2,71.12,71.12
OVV,2002-11-22,70.82,71.2,70.03,70.47
OVV,2002-11-25,70.53,71.18,69.38,69.7
OVV,2002-11-26,69.43,69.43,66.88,66.88
OVV,2002-11-27,67.5,68.7,67.32,68.12
OVV,2002-11-29,68.62,68.7,68.03,68.03
OVV,2002-12-02,68.25,68.75,67.65,68.5
OVV,2002-12-03,68.68,70.65,68.68,69.93
OVV,2002-12-04,69.47,70.12,69.03,69.88
OVV,2002-12-05,70.12,72.05,69.5,72.05
OVV,2002-12-06,70.5,72.88,70.47,72.85
OVV,2002-12-09,72.88,74.4,72.88,73.95
OVV,2002-12-10,73.88,74.6,73.28,73.75
OVV,2002-12-11,73.45,74.25,72.2,72.65
OVV,2002-12-12,72.88,75.53,72.53,75.53
OVV,2002-12-13,75.25,77.38,75.25,77.18
OVV,2002-12-16,77.45,79.75,77.45,79.75
OVV,2002-12-17,79.55,80.72,79.15,80.25
OVV,2002-12-18,79.62,79.88,77.38,77.93
OVV,2002-12-19,78.38,78.93,76.78,77.15
OVV,2002-12-20,77.38,77.38,76.05,76.78
OVV,2002-12-23,77.62,79.3,77.53,78.88
OVV,2002-12-24,78.62,79.35,78.62,78.9
OVV,2002-12-26,78.75,78.75,77.3,77.9
OVV,2002-12-27,77.38,78.0,76.5,76.7
OVV,2002-12-30,76.82,77.62,75.97,77.32
OVV,2002-12-31,76.88,78.12,76.38,77.75
OVV,2003-01-02,77.82,78.9,77.55,78.75
OVV,2003-01-03,78.75,79.15,78.62,78.82
OVV,2003-01-06,79.38,79.8,78.97,79.07
OVV,2003-01-07,78.88,78.9,76.57,76.7
OVV,2003-01-08,76.32,76.97,75.97,75.97
OVV,2003-01-09,76.6,77.35,76.12,77.25
OVV,2003-01-10,77.25,78.25,77.05,77.55
OVV,2003-01-13,77.57,77.57,75.43,75.7
OVV,2003-01-14,76.12,76.68,74.78,74.8
OVV,2003-01-15,74.82,76.72,74.8,75.6
OVV,2003-01-16,76.62,77.72,76.5,77.38
OVV,2003-01-17,77.47,78.38,76.95,77.8
OVV,2003-01-21,78.53,79.0,77.3,77.57
OVV,2003-01-22,77.5,77.68,76.65,77.68
OVV,2003-01-23,78.05,79.15,78.05,78.8
OVV,2003-01-24,79.1,79.6,77.65,78.12
OVV,2003-01-27,77.75,77.75,76.3,76.78
OVV,2003-01-28,76.78,76.88,75.25,76.45
OVV,2003-01-29,76.53,77.9,75.0,77.47
OVV,2003-01-30,77.5,77.97,76.88,77.5
OVV,2003-01-31,77.0,78.57,76.65,78.53
OVV,2003-02-03,77.9,79.1,77.8,79.03
OVV,2003-02-04,78.88,79.03,76.8,79.03
OVV,2003-02-05,78.5,78.9,77.55,78.0
OVV,2003-02-06,77.8,78.3,77.18,77.75
OVV,2003-02-07,77.65,78.25,77.03,77.8
OVV,2003-02-10,77.88,77.97,77.25,77.5
OVV,2003-02-11,77.82,77.95,77.28,77.7
OVV,2003-02-12,77.72,78.05,77.05,77.15
OVV,2003-02-13,77.43,77.97,76.85,77.4
OVV,2003-02-14,77.1,77.9,75.38,77.3
OVV,2003-02-18,76.75,78.0,76.75,77.8
OVV,2003-02-19,77.62,77.75,77.03,77.57
OVV,2003-02-20,78.85,79.6,78.55,79.2
OVV,2003-02-21,79.22,80.12,79.22,79.9
OVV,2003-02-24,79.93,83.12,79.93,82.82
OVV,2003-02-25,83.35,83.75,81.8,82.05
OVV,2003-02-26,82.18,83.28,81.78,82.93
OVV,2003-02-27,83.12,83.32,81.5,82.18
OVV,2003-02-28,81.88,82.32,81.25,82.07
OVV,2003-03-03,81.57,81.93,80.45,80.78
OVV,2003-03-04,80.78,81.88,80.0,81.35
OVV,2003-03-05,81.85,82.95,81.85,82.8
OVV,2003-03-06,82.8,82.93,82.07,82.62
OVV,2003-03-07,82.35,82.6,81.5,82.5
OVV,2003-03-10,82.5,83.3,82.47,82.97
OVV,2003-03-11,83.03,83.75,83.0,83.47
OVV,2003-03-12,83.32,83.32,81.88,82.38
OVV,2003-03-13,82.12,82.12,79.55,80.75
OVV,2003-03-14,79.32,79.38,78.7,79.05
OVV,2003-03-17,79.07,80.45,79.07,79.85
OVV,2003-03-18,78.75,79.5,78.28,79.3
OVV,2003-03-19,79.45,79.78,78.53,79.05
OVV,2003-03-20,79.07,80.38,78.95,80.18
OVV,2003-03-21,80.35,80.95,79.28,79.93
OVV,2003-03-24,80.93,81.18,80.03,80.47
OVV,2003-03-25,80.5,80.95,79.55,80.1
OVV,2003-03-26,80.12,80.4,79.0,79.65
OVV,2003-03-27,80.0,82.07,79.95,81.8
OVV,2003-03-28,81.32,82.05,81.32,81.62
OVV,2003-03-31,81.38,81.43,80.53,80.9
OVV,2003-04-01,80.15,81.15,79.8,80.8
OVV,2003-04-02,79.97,80.15,78.88,79.03
OVV,2003-04-03,78.55,79.0,77.62,77.75
