ticker,date,open,high,low,close
OXY,1981-12-31,2.04272,2.07007,2.01529,2.07007
OXY,1982-01-04,2.07007,2.08368,2.04929,2.07007
OXY,1982-01-05,2.04929,2.0632,2.04272,2.04272
OXY,1982-01-06,2.04272,2.04929,2.02911,2.04929
OXY,1982-01-07,2.04272,2.04929,2.02911,2.04929
OXY,1982-01-08,2.08368,2.13796,2.02911,2.02911
OXY,1982-01-11,2.01529,2.04272,1.98814,1.98814
OXY,1982-01-12,1.98814,2.00168,1.97473,2.00168
OXY,1982-01-13,1.97473,2.00168,1.95415,1.97473
OXY,1982-01-14,1.95415,1.97473,1.93378,1.93378
OXY,1982-01-15,1.96131,1.98814,1.93378,1.96131
OXY,1982-01-18,1.96131,1.97473,1.95415,1.97473
OXY,1982-01-19,1.98814,2.00843,1.96131,2.00168
OXY,1982-01-20,2.00168,2.00168,1.98814,2.00168
OXY,1982-01-21,1.97473,1.98814,1.95415,1.97473
OXY,1982-01-22,1.95415,1.97473,1.92025,1.93378
OXY,1982-01-25,1.89968,1.92025,1.87254,1.89968
OXY,1982-01-26,1.89968,1.92025,1.8791,1.88636
OXY,1982-01-27,1.8791,1.88636,1.87254,1.88636
OXY,1982-01-28,1.93378,2.00168,1.87254,2.00168
OXY,1982-01-29,1.96131,2.00168,1.93378,1.94083
OXY,1982-02-01,1.92025,1.94083,1.88636,1.88636
OXY,1982-02-02,1.89968,1.9133,1.8791,1.88636
OXY,1982-02-03,1.88636,1.89968,1.8791,1.89968
OXY,1982-02-04,1.9133,1.92025,1.88636,1.89968
OXY,1982-02-05,1.9133,1.92025,1.88636,1.89968
OXY,1982-02-08,1.89968,1.9133,1.8791,1.8791
OXY,1982-02-09,1.85902,1.87254,1.8456,1.85902
OXY,1982-02-10,1.8791,1.9133,1.8456,1.88636
OXY,1982-02-11,1.88636,1.89968,1.87254,1.89968
OXY,1982-02-12,1.8791,1.89968,1.85902,1.87254
OXY,1982-02-16,1.85902,1.87254,1.83149,1.87254
OXY,1982-02-17,1.87254,1.8791,1.8456,1.85902
OXY,1982-02-18,1.87254,1.87254,1.85902,1.87254
OXY,1982-02-19,1.87254,1.8791,1.85902,1.87254
OXY,1982-02-22,1.87254,1.88636,1.83149,1.83149
OXY,1982-02-23,1.83149,1.8456,1.82482,1.8456
OXY,1982-02-24,1.87254,1.89968,1.83149,1.89968
OXY,1982-02-25,1.89968,1.9133,1.88636,1.88636
OXY,1982-02-26,1.8791,1.88636,1.87254,1.8791
