ticker,date,open,high,low,close
PACK,2018-03-05,9.65,9.65,9.55,9.55
PACK,2018-03-06,9.55,9.55,9.55,9.55
PACK,2018-03-07,9.59,9.59,9.55,9.55
PACK,2018-03-08,9.59,9.6,9.55,9.55
PACK,2018-03-13,9.5699,9.57,9.5699,9.57
PACK,2018-03-14,9.57,9.57,9.57,9.57
PACK,2018-03-15,9.56,9.6,9.56,9.6
PACK,2018-03-16,9.6,9.6,9.6,9.6
PACK,2018-03-19,9.5699,9.59,9.5699,9.59
PACK,2018-03-20,9.59,9.5901,9.59,9.5901
PACK,2018-03-21,9.5799,9.58,9.57,9.57
PACK,2018-03-22,9.57,9.57,9.56,9.57
PACK,2018-03-23,9.58,9.58,9.58,9.58
PACK,2018-03-26,9.58,9.6,9.58,9.6
PACK,2018-03-27,9.58,9.6,9.58,9.6
PACK,2018-03-28,9.6,9.6,9.6,9.6
PACK,2018-03-29,9.61,9.65,9.55,9.55
PACK,2018-04-02,9.55,9.55,9.55,9.55
PACK,2018-04-03,9.65,9.65,9.63,9.63
PACK,2018-04-04,9.65,9.65,9.65,9.65
PACK,2018-04-05,9.65,9.65,9.65,9.65
PACK,2018-04-06,9.6,9.6,9.6,9.6
PACK,2018-04-09,9.65,9.65,9.65,9.65
PACK,2018-04-10,9.62,9.64,9.6,9.6
PACK,2018-04-11,9.65,9.65,9.6,9.64
PACK,2018-04-12,9.59,9.6,9.59,9.6
PACK,2018-04-13,9.6,9.6,9.6,9.6
PACK,2018-04-16,9.6,9.6,9.49,9.6
PACK,2018-04-17,9.6,9.6,9.6,9.6
PACK,2018-04-18,9.6,9.6,9.6,9.6
PACK,2018-04-19,9.6,9.6,9.6,9.6
PACK,2018-04-20,9.6,9.6,9.6,9.6
PACK,2018-04-23,9.6,9.6,9.6,9.6
PACK,2018-04-24,9.55,9.6,9.55,9.6
PACK,2018-04-25,9.6,9.6,9.6,9.6
PACK,2018-04-26,9.6,9.6,9.6,9.6
PACK,2018-04-27,9.6,9.6,9.6,9.6
PACK,2018-04-30,9.6,9.62,9.6,9.62
PACK,2018-05-01,9.62,9.62,9.62,9.62
PACK,2018-05-02,9.6,9.6,9.6,9.6
PACK,2018-05-03,9.6,9.6,9.6,9.6
PACK,2018-05-04,9.6,9.6,9.6,9.6
PACK,2018-05-07,9.6,9.6,9.6,9.6
PACK,2018-05-08,9.6,9.62,9.6,9.62
PACK,2018-05-09,9.59,9.61,9.58,9.61
PACK,2018-05-10,9.61,9.61,9.61,9.61
PACK,2018-05-11,9.59,9.59,9.59,9.59
PACK,2018-05-14,9.59,9.59,9.59,9.59
PACK,2018-05-15,9.59,9.59,9.59,9.59
PACK,2018-05-16,9.59,9.59,9.59,9.59
PACK,2018-05-17,9.59,9.59,9.59,9.59
PACK,2018-05-18,9.59,9.59,9.59,9.59
PACK,2018-05-21,9.59,9.59,9.59,9.59
PACK,2018-05-22,9.62,9.62,9.62,9.62
PACK,2018-05-23,9.62,9.65,9.62,9.65
PACK,2018-05-24,9.65,9.65,9.63,9.64
PACK,2018-05-25,9.64,9.64,9.63,9.63
PACK,2018-05-29,9.66,9.66,9.66,9.66
PACK,2018-05-30,9.66,9.66,9.66,9.66
PACK,2018-05-31,9.6398,9.6398,9.6398,9.6398
PACK,2018-06-01,9.64,9.64,9.64,9.64
PACK,2018-06-04,9.64,9.64,9.64,9.64
PACK,2018-06-05,9.65,9.65,9.65,9.65
PACK,2018-06-06,9.6552,9.6552,9.6552,9.6552
PACK,2018-06-07,9.65,9.66,9.64,9.65
PACK,2018-06-08,9.65,9.65,9.65,9.65
PACK,2018-06-11,9.65,9.65,9.65,9.65
PACK,2018-06-12,9.65,9.65,9.65,9.65
PACK,2018-06-13,9.65,9.65,9.65,9.65
PACK,2018-06-14,9.6611,9.6611,9.65,9.651
PACK,2018-06-15,9.6554,9.6725,9.6554,9.6725
PACK,2018-06-18,9.69,9.69,9.69,9.69
PACK,2018-06-19,9.69,9.69,9.69,9.69
PACK,2018-06-20,9.67,9.67,9.67,9.67
PACK,2018-06-21,9.67,9.67,9.67,9.67
PACK,2018-06-22,9.69,9.69,9.69,9.69
PACK,2018-06-25,9.69,9.69,9.68,9.68
PACK,2018-06-26,9.69,9.71,9.69,9.71
PACK,2018-06-27,9.7,9.7,9.7,9.7
PACK,2018-06-28,9.7,9.7,9.7,9.7
PACK,2018-06-29,9.7,9.7,9.7,9.7
PACK,2018-07-02,9.71,9.71,9.7,9.7
PACK,2018-07-03,9.71,9.71,9.7,9.7
PACK,2018-07-05,9.72,9.72,9.7,9.7
PACK,2018-07-06,9.7,9.7,9.7,9.7
PACK,2018-07-09,9.7,9.7,9.7,9.7
PACK,2018-07-10,9.7,9.7,9.7,9.7
PACK,2018-07-11,9.7,9.7,9.7,9.7
PACK,2018-07-12,9.71,9.73,9.71,9.71
PACK,2018-07-13,9.71,9.71,9.71,9.71
PACK,2018-07-16,9.71,9.71,9.71,9.71
PACK,2018-07-17,9.73,9.74,9.73,9.74
PACK,2018-07-18,9.74,9.75,9.74,9.75
PACK,2018-07-19,9.75,9.75,9.75,9.75
PACK,2018-07-20,9.77,9.77,9.77,9.77
PACK,2018-07-23,9.77,9.77,9.77,9.77
PACK,2018-07-24,9.77,9.77,9.77,9.77
PACK,2018-07-25,9.72,9.72,9.72,9.72
PACK,2018-07-26,9.72,9.7395,9.72,9.7395
PACK,2018-07-27,9.74,9.74,9.74,9.74
PACK,2018-07-30,9.74,9.74,9.74,9.74
PACK,2018-07-31,9.74,9.74,9.74,9.74
PACK,2018-08-01,9.73,9.73,9.73,9.73
PACK,2018-08-02,9.73,9.73,9.73,9.73
PACK,2018-08-03,9.73,9.73,9.73,9.73
PACK,2018-08-06,9.73,9.73,9.73,9.73
PACK,2018-08-07,9.73,9.73,9.73,9.73
PACK,2018-08-08,9.74,9.74,9.74,9.74
PACK,2018-08-09,9.74,9.74,9.74,9.74
PACK,2018-08-10,9.73,9.73,9.73,9.73
PACK,2018-08-13,9.73,9.73,9.73,9.73
PACK,2018-08-14,9.73,9.73,9.73,9.73
PACK,2018-08-15,9.73,9.73,9.73,9.73
PACK,2018-08-16,9.73,9.73,9.73,9.73
PACK,2018-08-17,9.73,9.73,9.73,9.73
PACK,2018-08-20,9.73,9.75,9.7,9.71
PACK,2018-08-21,9.72,9.72,9.71,9.72
PACK,2018-08-22,9.72,9.72,9.72,9.72
PACK,2018-08-23,9.72,9.72,9.72,9.72
PACK,2018-08-24,9.72,9.72,9.72,9.72
PACK,2018-08-27,9.72,9.72,9.72,9.72
PACK,2018-08-28,9.72,9.74,9.72,9.73
PACK,2018-08-29,9.73,9.73,9.73,9.73
PACK,2018-08-30,9.73,9.73,9.73,9.73
PACK,2018-08-31,9.73,9.73,9.73,9.73
PACK,2018-09-04,9.72,9.73,9.7,9.72
PACK,2018-09-05,9.72,9.72,9.72,9.72
PACK,2018-09-06,9.72,9.72,9.72,9.72
PACK,2018-09-07,9.72,9.72,9.72,9.72
PACK,2018-09-10,9.72,9.72,9.72,9.72
PACK,2018-09-11,9.73,9.73,9.73,9.73
PACK,2018-09-12,9.72,9.72,9.72,9.72
PACK,2018-09-13,9.72,9.72,9.72,9.72
PACK,2018-09-14,9.7329,9.7329,9.7,9.7
PACK,2018-09-17,9.7,9.7,9.7,9.7
PACK,2018-09-18,9.7,9.7,9.7,9.7
PACK,2018-09-19,9.73,9.74,9.73,9.73
PACK,2018-09-20,9.73,9.73,9.73,9.73
PACK,2018-09-21,9.73,9.73,9.73,9.73
PACK,2018-09-24,9.73,9.73,9.73,9.73
PACK,2018-09-25,9.72,9.72,9.72,9.72
PACK,2018-09-26,9.72,9.72,9.72,9.72
PACK,2018-09-27,9.72,9.72,9.72,9.72
PACK,2018-09-28,9.72,9.72,9.72,9.72
PACK,2018-10-01,9.72,9.72,9.72,9.72
PACK,2018-10-02,9.72,9.72,9.72,9.72
PACK,2018-10-03,9.72,9.72,9.72,9.72
PACK,2018-10-04,9.72,9.72,9.72,9.72
PACK,2018-10-05,9.72,9.72,9.72,9.72
PACK,2018-10-08,9.72,9.72,9.72,9.72
PACK,2018-10-09,9.72,9.72,9.72,9.72
PACK,2018-10-10,9.72,9.72,9.72,9.72
PACK,2018-10-11,9.72,9.72,9.72,9.72
PACK,2018-10-12,9.74,9.74,9.72,9.72
PACK,2018-10-15,9.72,9.72,9.72,9.72
PACK,2018-10-16,9.7353,9.7353,9.7353,9.7353
PACK,2018-10-17,9.73,9.73,9.73,9.73
PACK,2018-10-18,9.73,9.73,9.73,9.73
PACK,2018-10-19,9.73,9.73,9.73,9.73
PACK,2018-10-22,9.73,9.73,9.73,9.73
PACK,2018-10-23,9.73,9.73,9.73,9.73
PACK,2018-10-24,9.73,9.73,9.73,9.73
PACK,2018-10-25,9.73,9.73,9.73,9.73
PACK,2018-10-26,9.73,9.73,9.73,9.73
PACK,2018-10-29,9.73,9.73,9.73,9.73
PACK,2018-10-30,9.72,9.73,9.72,9.73
PACK,2018-10-31,9.72,9.73,9.72,9.72
PACK,2018-11-01,9.72,9.72,9.72,9.72
PACK,2018-11-02,9.72,9.72,9.72,9.72
PACK,2018-11-05,9.73,9.73,9.73,9.73
PACK,2018-11-06,9.74,9.75,9.74,9.75
PACK,2018-11-07,9.75,9.75,9.75,9.75
PACK,2018-11-08,9.75,9.75,9.75,9.75
PACK,2018-11-09,9.75,9.75,9.75,9.75
PACK,2018-11-12,9.75,9.75,9.75,9.75
PACK,2018-11-13,9.75,9.75,9.75,9.75
PACK,2018-11-14,9.75,9.75,9.75,9.75
PACK,2018-11-15,9.75,9.75,9.75,9.75
PACK,2018-11-16,9.75,9.75,9.73,9.73
PACK,2018-11-19,9.73,9.73,9.73,9.73
PACK,2018-11-20,9.73,9.73,9.73,9.73
PACK,2018-11-21,9.75,9.75,9.75,9.75
PACK,2018-11-23,9.75,9.75,9.75,9.75
PACK,2018-11-26,9.75,9.75,9.75,9.75
PACK,2018-11-27,9.75,9.75,9.75,9.75
PACK,2018-11-28,9.75,9.75,9.75,9.75
PACK,2018-11-29,9.75,9.75,9.75,9.75
PACK,2018-11-30,9.74,9.77,9.74,9.77
PACK,2018-12-03,9.77,9.77,9.77,9.77
PACK,2018-12-04,9.78,9.78,9.78,9.78
PACK,2018-12-06,9.78,9.78,9.759,9.759
PACK,2018-12-07,9.78,9.78,9.78,9.78
PACK,2018-12-10,9.79,9.81,9.79,9.81
PACK,2018-12-11,9.81,9.81,9.81,9.81
PACK,2018-12-12,9.81,9.81,9.81,9.81
PACK,2018-12-13,10.06,10.1,10.04,10.06
PACK,2018-12-14,10.0687,10.07,10.03,10.07
PACK,2018-12-17,10.08,10.08,10.06,10.06
PACK,2018-12-18,10.05,10.07,10.04,10.07
PACK,2018-12-19,10.07,10.07,10.06,10.06
PACK,2018-12-20,10.0,10.06,10.0,10.06
PACK,2018-12-21,10.06,10.06,10.06,10.06
PACK,2018-12-24,10.06,10.06,10.06,10.06
PACK,2018-12-26,10.0,10.05,10.0,10.05
PACK,2018-12-27,9.95,10.05,9.8022,10.05
PACK,2018-12-28,10.05,10.05,10.05,10.05
PACK,2018-12-31,10.03,10.03,10.03,10.03
PACK,2019-01-02,10.03,10.03,10.03,10.03
PACK,2019-01-03,10.03,10.03,10.03,10.03
PACK,2019-01-04,10.03,10.03,10.03,10.03
PACK,2019-01-07,10.03,10.04,10.03,10.03
PACK,2019-01-08,10.0,10.06,10.0,10.06
PACK,2019-01-09,10.04,10.04,10.04,10.04
PACK,2019-01-10,10.08,10.08,10.08,10.08
PACK,2019-01-11,10.08,10.08,10.08,10.08
PACK,2019-01-14,10.08,10.08,10.08,10.08
PACK,2019-01-15,10.0525,10.09,10.03,10.04
PACK,2019-01-16,10.06,10.06,10.06,10.06
PACK,2019-01-17,10.06,10.06,10.06,10.06
PACK,2019-01-18,10.06,10.06,10.05,10.06
PACK,2019-01-22,10.06,10.06,10.06,10.06
PACK,2019-01-23,10.06,10.06,10.06,10.06
PACK,2019-01-24,10.06,10.06,10.06,10.06
PACK,2019-01-25,10.06,10.06,10.06,10.06
PACK,2019-01-28,10.06,10.06,10.06,10.06
PACK,2019-01-29,10.06,10.09,10.06,10.07
PACK,2019-01-30,10.08,10.08,10.08,10.08
PACK,2019-01-31,10.07,10.09,10.07,10.09
PACK,2019-02-01,10.09,10.09,10.09,10.09
PACK,2019-02-04,10.0973,10.0973,10.0973,10.0973
PACK,2019-02-05,10.07,10.07,10.07,10.07
PACK,2019-02-06,10.07,10.07,10.07,10.07
PACK,2019-02-07,10.08,10.08,10.08,10.08
PACK,2019-02-08,10.08,10.08,10.08,10.08
PACK,2019-02-11,10.08,10.08,10.08,10.08
PACK,2019-02-12,10.09,10.13,10.09,10.1
PACK,2019-02-13,10.11,10.11,10.11,10.11
PACK,2019-02-14,10.11,10.11,10.11,10.11
PACK,2019-02-15,10.15,10.15,10.15,10.15
PACK,2019-02-19,10.15,10.15,10.15,10.15
PACK,2019-02-20,10.15,10.15,10.12,10.12
PACK,2019-02-21,10.13,10.13,10.13,10.13
PACK,2019-02-22,10.15,10.15,10.14,10.15
PACK,2019-02-25,10.18,10.18,10.18,10.18
PACK,2019-02-26,10.1327,10.18,10.13,10.16
PACK,2019-02-27,10.16,10.16,10.16,10.16
PACK,2019-02-28,10.16,10.16,10.16,10.16
PACK,2019-03-01,10.08,10.18,10.08,10.18
PACK,2019-03-04,10.15,10.15,10.15,10.15
PACK,2019-03-05,10.15,10.16,10.15,10.16
PACK,2019-03-06,10.14,10.14,10.1,10.14
PACK,2019-03-07,10.19,10.19,10.13,10.13
PACK,2019-03-08,10.15,10.19,10.15,10.19
PACK,2019-03-11,10.14,10.2,10.14,10.15
PACK,2019-03-12,10.17,10.19,10.16,10.16
PACK,2019-03-13,10.19,10.19,10.16,10.16
PACK,2019-03-14,10.16,10.19,10.16,10.17
PACK,2019-03-15,10.19,10.19,10.16,10.16
PACK,2019-03-18,10.17,10.17,10.17,10.17
PACK,2019-03-19,10.13,10.18,10.12,10.16
PACK,2019-03-20,10.16,10.16,10.16,10.16
PACK,2019-03-21,10.18,10.2,10.16,10.2
PACK,2019-03-22,10.13,10.2,10.13,10.18
PACK,2019-03-25,10.18,10.19,10.16,10.19
PACK,2019-03-26,10.18,10.18,10.13,10.13
PACK,2019-03-27,10.18,10.2,10.16,10.19
PACK,2019-03-28,10.19,10.26,10.18,10.21
PACK,2019-03-29,10.25,10.25,10.2,10.25
PACK,2019-04-01,10.24,10.27,10.2,10.2
PACK,2019-04-02,10.24,10.25,10.24,10.24
PACK,2019-04-03,10.23,10.24,10.2088,10.23
PACK,2019-04-04,10.25,10.27,10.23,10.25
PACK,2019-04-05,10.27,10.35,10.23,10.23
PACK,2019-04-08,10.28,10.28,10.23,10.24
PACK,2019-04-09,10.23,10.25,10.23,10.24
PACK,2019-04-10,10.26,10.26,10.22,10.22
PACK,2019-04-11,10.24,10.25,10.2346,10.25
PACK,2019-04-12,10.24,10.25,10.24,10.25
PACK,2019-04-15,10.27,10.27,10.24,10.25
PACK,2019-04-16,10.27,10.27,10.24,10.24
PACK,2019-04-17,10.25,10.28,10.24,10.25
PACK,2019-04-18,10.25,10.28,10.24,10.26
PACK,2019-04-22,10.21,10.31,10.21,10.26
PACK,2019-04-23,10.34,10.34,10.26,10.29
PACK,2019-04-24,10.28,10.35,10.24,10.3
