ticker,date,open,high,low,close
PACS,2024-04-11,23.0,23.5899,22.61,23.0
PACS,2024-04-12,23.06,24.6999,22.88,24.0
PACS,2024-04-15,24.25,24.425,23.3,24.14
PACS,2024-04-16,24.1,25.0,23.57,24.2
PACS,2024-04-17,24.2,24.955,23.34,23.4
PACS,2024-04-18,23.4,23.865,22.66,23.0
PACS,2024-04-19,23.01,23.74,23.0,23.65
PACS,2024-04-22,23.78,23.78,23.0,23.04
PACS,2024-04-23,23.01,24.45,23.01,24.37
PACS,2024-04-24,24.37,24.55,23.95,23.95
PACS,2024-04-25,23.7,24.35,23.46,24.26
PACS,2024-04-26,24.11,24.83,23.895,24.73
PACS,2024-04-29,24.95,25.32,24.19,24.71
PACS,2024-04-30,24.61,24.99,23.88,24.97
PACS,2024-05-01,24.72,25.7199,24.22,24.88
PACS,2024-05-02,24.88,25.1,24.68,24.99
PACS,2024-05-03,24.73,25.005,24.315,24.81
PACS,2024-05-06,24.97,25.2483,24.34,24.93
PACS,2024-05-07,24.75,25.13,24.42,24.99
PACS,2024-05-08,24.87,24.89,24.06,24.67
PACS,2024-05-09,24.71,25.135,24.69,24.85
PACS,2024-05-10,25.01,25.01,24.33,24.87
PACS,2024-05-13,25.25,25.27,24.345,25.08
PACS,2024-05-14,25.79,27.22,25.15,26.91
PACS,2024-05-15,27.28,28.57,26.92,28.35
PACS,2024-05-16,28.4,28.955,28.04,28.3
PACS,2024-05-17,28.55,28.585,27.42,28.21
PACS,2024-05-20,28.93,29.2273,28.1902,28.55
PACS,2024-05-21,28.62,28.895,27.42,27.71
PACS,2024-05-22,27.59,28.265,26.89,27.66
PACS,2024-05-23,27.83,29.64,27.83,29.22
PACS,2024-05-24,29.16,30.2,28.34,30.03
PACS,2024-05-28,30.86,30.86,29.4,29.78
PACS,2024-05-29,29.01,30.34,29.01,29.45
PACS,2024-05-30,29.52,30.51,29.31,29.96
PACS,2024-05-31,29.96,30.81,29.4401,30.4
PACS,2024-06-03,30.59,31.76,30.06,30.47
PACS,2024-06-04,30.53,30.705,29.1893,30.04
PACS,2024-06-05,30.05,30.625,29.4427,30.32
PACS,2024-06-06,31.0,31.0,29.44,29.83
PACS,2024-06-07,29.69,30.355,29.45,29.5
PACS,2024-06-10,29.49,30.84,29.32,30.06
PACS,2024-06-11,29.81,30.17,29.33,29.66
PACS,2024-06-12,30.21,30.98,29.3,29.54
PACS,2024-06-13,29.72,30.05,29.12,29.75
PACS,2024-06-14,29.45,29.84,29.01,29.25
PACS,2024-06-17,29.12,30.72,29.12,29.44
PACS,2024-06-18,29.38,30.42,29.38,29.71
PACS,2024-06-20,29.81,30.04,29.17,29.33
PACS,2024-06-21,29.11,29.66,29.1,29.55
PACS,2024-06-24,29.49,29.99,29.43,29.55
PACS,2024-06-25,29.54,29.54,28.27,28.64
PACS,2024-06-26,28.42,29.31,27.7937,29.29
PACS,2024-06-27,29.14,30.35,29.045,30.19
PACS,2024-06-28,30.46,30.49,29.01,29.5
PACS,2024-07-01,29.44,29.75,28.7,29.25
PACS,2024-07-02,29.34,29.96,29.11,29.74
PACS,2024-07-03,29.64,30.13,29.31,29.99
