ticker,date,open,high,low,close
PHIN,2023-07-05,29.89,36.99,29.04,36.75
PHIN,2023-07-06,35.83,36.39,31.5,33.81
PHIN,2023-07-07,33.1,35.17,32.53,33.25
PHIN,2023-07-10,32.2,32.32,27.21,27.69
PHIN,2023-07-11,26.75,28.3399,25.51,26.61
PHIN,2023-07-12,26.38,26.89,24.49,25.54
PHIN,2023-07-13,25.5,27.9,25.46,27.79
PHIN,2023-07-14,27.35,28.65,27.03,28.31
PHIN,2023-07-17,28.28,28.99,27.16,28.18
PHIN,2023-07-18,26.83,28.25,26.78,27.42
PHIN,2023-07-19,27.05,27.78,25.92,26.13
PHIN,2023-07-20,25.98,27.02,25.89,26.55
PHIN,2023-07-21,26.71,27.715,26.62,27.3
PHIN,2023-07-24,27.06,29.35,26.91,28.83
PHIN,2023-07-25,28.98,29.79,28.45,28.96
PHIN,2023-07-26,28.57,29.05,28.35,28.61
PHIN,2023-07-27,28.64,29.0,26.6,26.91
PHIN,2023-07-28,27.3,28.25,26.85,27.34
PHIN,2023-07-31,27.34,28.5,26.82,28.37
PHIN,2023-08-01,28.26,29.38,28.0,29.06
PHIN,2023-08-02,29.0,30.48,28.495,29.88
PHIN,2023-08-03,29.8,30.31,28.82,28.84
PHIN,2023-08-04,28.9,29.08,27.74,27.99
PHIN,2023-08-07,27.97,29.335,27.97,28.51
PHIN,2023-08-08,28.1,28.46,27.75,27.92
PHIN,2023-08-09,27.11,28.48,26.8,28.21
PHIN,2023-08-10,28.23,29.04,28.055,28.69
PHIN,2023-08-11,28.48,29.51,28.15,29.11
PHIN,2023-08-14,28.83,29.35,28.05,28.43
PHIN,2023-08-15,28.88,29.0229,27.59,28.0
PHIN,2023-08-16,27.57,27.74,26.79,26.84
PHIN,2023-08-17,26.86,27.19,26.54,26.62
PHIN,2023-08-18,26.5,26.93,26.5,26.52
PHIN,2023-08-21,26.58,26.7475,25.71,25.9
PHIN,2023-08-22,25.69,26.58,25.69,26.34
PHIN,2023-08-23,26.0,26.68,25.81,26.54
PHIN,2023-08-24,26.52,26.71,26.26,26.46
PHIN,2023-08-25,26.32,27.285,26.32,27.04
PHIN,2023-08-28,27.08,27.71,26.94,27.13
PHIN,2023-08-29,27.19,27.22,26.3,26.6
PHIN,2023-08-30,26.46,27.11,26.385,26.8
PHIN,2023-08-31,27.65,28.59,27.65,27.8
PHIN,2023-09-01,27.84,28.7,27.775,28.38
PHIN,2023-09-05,28.56,28.8536,28.13,28.2
PHIN,2023-09-06,28.12,28.21,27.43,27.98
PHIN,2023-09-07,27.61,27.99,27.24,27.51
PHIN,2023-09-08,27.83,28.27,27.63,27.86
PHIN,2023-09-11,27.6,28.1,26.41,26.54
PHIN,2023-09-12,26.4,26.56,26.07,26.15
PHIN,2023-09-13,26.15,27.07,25.93,26.49
PHIN,2023-09-14,26.88,27.47,26.52,27.28
PHIN,2023-09-15,27.59,29.11,27.425,28.55
PHIN,2023-09-18,28.38,28.4699,27.085,27.17
PHIN,2023-09-19,26.89,27.44,26.35,26.36
PHIN,2023-09-20,26.37,26.77,26.1,26.39
PHIN,2023-09-21,26.4,26.73,25.895,26.09
PHIN,2023-09-22,25.9,26.19,25.72,25.86
PHIN,2023-09-25,25.76,26.19,25.49,25.71
PHIN,2023-09-26,25.3,25.68,24.51,24.6
PHIN,2023-09-27,24.77,25.84,24.6501,25.43
PHIN,2023-09-28,25.3,26.21,25.16,25.92
PHIN,2023-09-29,25.92,26.82,25.92,26.79
PHIN,2023-10-02,26.87,27.32,25.97,26.13
PHIN,2023-10-03,26.16,26.705,25.9,25.96
PHIN,2023-10-04,25.85,26.27,25.65,25.95
PHIN,2023-10-05,25.9,26.35,25.885,26.31
PHIN,2023-10-06,26.21,27.2392,25.89,26.69
PHIN,2023-10-09,26.43,27.07,26.28,26.52
PHIN,2023-10-10,26.59,27.59,26.59,27.43
PHIN,2023-10-11,27.49,27.8,27.25,27.75
PHIN,2023-10-12,27.82,27.94,26.925,27.39
PHIN,2023-10-13,27.55,27.805,27.02,27.3
PHIN,2023-10-16,27.305,28.0,27.305,27.43
PHIN,2023-10-17,27.19,28.5,27.19,28.0
PHIN,2023-10-18,27.73,27.895,27.36,27.5
PHIN,2023-10-19,27.33,27.6,26.24,26.29
PHIN,2023-10-20,26.27,26.525,25.74,26.41
PHIN,2023-10-23,26.29,26.7,25.92,26.08
PHIN,2023-10-24,26.13,26.93,26.01,26.74
PHIN,2023-10-25,26.44,26.485,25.58,25.94
PHIN,2023-10-26,25.86,26.68,25.37,25.46
PHIN,2023-10-27,25.36,25.75,25.31,25.51
PHIN,2023-10-30,25.84,26.21,25.3,25.62
PHIN,2023-10-31,25.47,26.14,25.43,25.88
PHIN,2023-11-01,25.72,26.04,25.1501,25.87
PHIN,2023-11-02,26.2,26.345,25.16,25.89
PHIN,2023-11-03,26.31,27.09,26.2,26.75
PHIN,2023-11-06,25.9,27.3047,25.52,26.26
PHIN,2023-11-07,25.12,26.14,25.07,25.96
PHIN,2023-11-08,25.89,25.89,24.1,24.56
PHIN,2023-11-09,24.27,24.89,23.81,23.94
PHIN,2023-11-10,24.17,24.56,23.78,24.32
PHIN,2023-11-13,23.89,24.45,23.46,24.04
PHIN,2023-11-14,24.55,25.81,24.55,25.53
PHIN,2023-11-15,25.45,26.32,25.45,25.71
PHIN,2023-11-16,25.58,25.93,25.1,25.66
PHIN,2023-11-17,26.0,26.18,25.58,25.88
PHIN,2023-11-20,25.81,26.055,25.51,25.56
PHIN,2023-11-21,25.45,26.06,25.41,25.75
PHIN,2023-11-22,25.89,26.11,25.41,25.57
PHIN,2023-11-24,25.59,26.29,25.49,25.81
PHIN,2023-11-27,25.74,25.905,25.5,25.52
PHIN,2023-11-28,25.39,26.49,25.19,25.93
PHIN,2023-11-29,26.13,26.76,25.77,26.02
PHIN,2023-11-30,26.1,26.47,25.43,25.5
PHIN,2023-12-01,25.49,26.88,25.39,26.74
PHIN,2023-12-04,26.42,27.69,26.42,27.25
PHIN,2023-12-05,27.13,27.22,26.58,26.64
PHIN,2023-12-06,26.9,27.005,26.08,26.35
PHIN,2023-12-07,26.52,26.67,26.085,26.62
PHIN,2023-12-08,26.74,27.08,26.27,26.6
PHIN,2023-12-11,26.53,27.07,26.35,27.06
PHIN,2023-12-12,26.75,27.22,26.38,27.06
PHIN,2023-12-13,27.0,27.49,26.3,27.44
PHIN,2023-12-14,27.71,28.98,27.71,28.91
PHIN,2023-12-15,29.28,29.29,28.08,28.54
PHIN,2023-12-18,28.3,28.35,27.825,28.25
PHIN,2023-12-19,28.25,29.89,28.12,29.77
PHIN,2023-12-20,29.72,30.62,29.34,29.82
PHIN,2023-12-21,29.84,30.25,29.135,29.92
PHIN,2023-12-22,29.92,30.6719,29.64,30.18
PHIN,2023-12-26,30.29,30.8,30.165,30.56
PHIN,2023-12-27,30.68,31.08,30.5113,30.69
PHIN,2023-12-28,30.66,30.87,30.33,30.61
PHIN,2023-12-29,30.47,30.67,30.29,30.29
PHIN,2024-01-02,29.97,30.77,29.68,30.52
PHIN,2024-01-03,30.02,30.02,28.53,28.56
PHIN,2024-01-04,28.44,28.53,27.914,28.23
PHIN,2024-01-05,28.32,29.0,28.25,28.48
PHIN,2024-01-08,28.69,29.08,28.48,28.98
PHIN,2024-01-09,28.68,29.07,28.52,28.67
PHIN,2024-01-10,28.6,29.15,28.33,29.1
PHIN,2024-01-11,29.1,29.73,28.7287,29.52
PHIN,2024-01-12,29.99,30.12,28.86,29.06
PHIN,2024-01-16,28.96,29.21,28.71,28.79
PHIN,2024-01-17,28.21,28.76,28.01,28.42
PHIN,2024-01-18,28.72,28.72,27.86,28.44
PHIN,2024-01-19,28.5,28.89,28.2319,28.8
PHIN,2024-01-22,28.88,29.63,28.88,29.52
PHIN,2024-01-23,29.95,30.32,29.4917,29.77
PHIN,2024-01-24,30.19,30.19,29.265,29.41
PHIN,2024-01-25,29.78,29.95,29.2,29.72
PHIN,2024-01-26,29.67,30.47,29.53,29.64
PHIN,2024-01-29,29.55,29.84,29.11,29.74
PHIN,2024-01-30,29.66,30.7,29.49,30.58
PHIN,2024-01-31,30.51,31.1801,30.17,30.24
PHIN,2024-02-01,30.47,30.91,30.05,30.81
PHIN,2024-02-02,30.51,31.33,30.39,31.02
PHIN,2024-02-05,30.75,31.14,30.2,30.91
PHIN,2024-02-06,30.89,31.16,30.64,31.02
PHIN,2024-02-07,31.17,31.17,29.51,30.1
PHIN,2024-02-08,30.03,30.3,29.42,30.04
PHIN,2024-02-09,30.08,30.31,29.7,30.09
PHIN,2024-02-12,30.25,31.46,30.25,31.31
PHIN,2024-02-13,30.66,31.23,30.095,30.78
PHIN,2024-02-14,31.15,31.1725,30.365,30.95
PHIN,2024-02-15,31.08,31.96,31.075,31.89
PHIN,2024-02-16,31.79,32.08,31.52,31.73
PHIN,2024-02-20,31.61,31.705,31.26,31.46
PHIN,2024-02-21,31.53,35.38,31.495,34.05
PHIN,2024-02-22,34.03,35.28,33.94,34.8
PHIN,2024-02-23,34.63,35.15,33.92,34.99
PHIN,2024-02-26,34.89,35.275,34.5,34.77
PHIN,2024-02-27,35.15,35.41,33.84,34.15
PHIN,2024-02-28,33.95,34.2,33.5,33.52
PHIN,2024-02-29,34.03,34.79,33.725,34.22
PHIN,2024-03-01,34.37,35.87,34.37,35.35
PHIN,2024-03-04,35.45,35.57,34.48,34.87
PHIN,2024-03-05,34.62,35.325,34.27,34.28
PHIN,2024-03-06,34.45,35.12,34.25,34.98
PHIN,2024-03-07,34.98,35.9,33.83,34.18
PHIN,2024-03-08,34.44,35.22,33.91,34.1
PHIN,2024-03-11,36.05,36.9726,34.67,35.9
PHIN,2024-03-12,36.0,36.92,35.89,36.29
PHIN,2024-03-13,36.4,38.0,36.4,37.72
PHIN,2024-03-14,37.4,37.9,36.451,36.83
PHIN,2024-03-15,36.96,37.57,35.84,36.29
PHIN,2024-03-18,37.34,37.61,36.23,36.81
PHIN,2024-03-19,36.76,37.055,36.28,36.5
PHIN,2024-03-20,36.42,37.33,36.28,37.15
PHIN,2024-03-21,37.15,38.23,36.98,38.21
PHIN,2024-03-22,37.88,38.1,37.57,37.81
PHIN,2024-03-25,37.56,38.055,37.42,37.6
PHIN,2024-03-26,37.7,38.0,37.465,37.65
PHIN,2024-03-27,37.82,38.21,37.81,37.87
PHIN,2024-03-28,38.0,38.775,38.0,38.43
PHIN,2024-04-01,38.62,39.68,38.14,39.57
PHIN,2024-04-02,39.29,39.55,38.655,39.44
PHIN,2024-04-03,39.25,39.6681,39.01,39.27
PHIN,2024-04-04,39.58,39.975,38.03,38.11
PHIN,2024-04-05,37.98,38.36,37.58,37.7
PHIN,2024-04-08,37.97,38.55,37.97,38.55
PHIN,2024-04-09,38.91,40.12,38.89,40.08
PHIN,2024-04-10,39.33,40.005,38.66,38.76
PHIN,2024-04-11,38.84,39.02,37.47,37.6
PHIN,2024-04-12,37.68,37.87,37.01,37.46
PHIN,2024-04-15,37.56,37.71,36.3,36.43
PHIN,2024-04-16,36.23,36.97,36.1,36.5
PHIN,2024-04-17,36.65,37.0,36.23,36.44
PHIN,2024-04-18,36.59,37.92,36.41,37.27
PHIN,2024-04-19,37.19,38.12,37.15,37.45
PHIN,2024-04-22,37.39,38.885,37.03,38.69
PHIN,2024-04-23,38.39,39.41,38.385,38.87
PHIN,2024-04-24,38.38,39.4,38.38,38.73
PHIN,2024-04-25,39.32,39.32,37.555,38.32
PHIN,2024-04-26,38.61,39.14,38.22,38.85
PHIN,2024-04-29,38.8,41.03,38.625,40.58
PHIN,2024-04-30,40.19,40.85,38.86,39.0
PHIN,2024-05-01,39.0,41.01,39.0,40.74
PHIN,2024-05-02,41.0,42.13,40.96,41.3
PHIN,2024-05-03,41.9,42.0,40.63,41.08
PHIN,2024-05-06,41.32,42.81,41.1591,42.31
PHIN,2024-05-07,42.41,42.87,42.2875,42.54
PHIN,2024-05-08,42.29,43.0,42.1691,42.69
PHIN,2024-05-09,42.64,43.33,42.64,42.94
PHIN,2024-05-10,43.2,43.69,42.97,43.68
PHIN,2024-05-13,44.13,44.43,43.12,43.26
PHIN,2024-05-14,43.59,44.02,43.07,43.64
PHIN,2024-05-15,43.77,44.45,43.51,44.17
PHIN,2024-05-16,44.09,44.66,43.995,44.41
PHIN,2024-05-17,44.34,45.37,44.235,44.98
PHIN,2024-05-20,45.01,46.0763,44.97,45.12
PHIN,2024-05-21,44.92,45.28,44.23,44.58
PHIN,2024-05-22,44.35,44.76,44.31,44.46
PHIN,2024-05-23,44.35,44.3966,43.64,43.93
PHIN,2024-05-24,43.99,45.385,43.82,45.35
PHIN,2024-05-28,45.36,45.94,45.005,45.55
PHIN,2024-05-29,45.04,45.5,43.755,44.01
PHIN,2024-05-30,44.27,45.0,44.2,44.75
PHIN,2024-05-31,44.87,45.0,44.19,44.76
PHIN,2024-06-03,46.05,46.05,44.805,45.28
PHIN,2024-06-04,44.7,44.93,43.13,43.41
PHIN,2024-06-05,43.77,44.015,43.17,43.65
PHIN,2024-06-06,43.49,43.65,42.53,42.82
PHIN,2024-06-07,42.45,43.97,42.0314,43.66
PHIN,2024-06-10,43.8,43.8,42.56,42.96
PHIN,2024-06-11,42.77,42.94,41.62,42.58
PHIN,2024-06-12,43.21,43.52,41.71,41.92
PHIN,2024-06-13,41.59,41.86,40.68,41.52
PHIN,2024-06-14,40.86,41.33,40.53,40.86
PHIN,2024-06-17,40.49,41.34,40.32,40.62
PHIN,2024-06-18,40.52,40.98,40.3,40.94
PHIN,2024-06-20,40.84,40.91,40.12,40.32
PHIN,2024-06-21,40.36,40.42,39.45,39.8
PHIN,2024-06-24,39.8,41.12,39.56,40.92
PHIN,2024-06-25,40.91,40.99,39.82,40.26
PHIN,2024-06-26,39.99,40.21,39.24,39.28
PHIN,2024-06-27,39.22,39.31,38.57,38.78
PHIN,2024-06-28,38.87,39.81,38.54,39.36
PHIN,2024-07-01,39.85,40.24,39.43,39.66
PHIN,2024-07-02,39.68,40.13,38.525,39.08
PHIN,2024-07-03,39.33,40.54,39.14,40.1
PHIN,2024-07-05,39.91,40.3,39.535,39.7
PHIN,2024-07-08,40.05,40.43,39.725,39.875
PHIN,2024-07-09,39.77,40.995,39.2,40.5
PHIN,2024-07-10,41.33,41.47,40.54,40.84
PHIN,2024-07-11,41.57,42.25,41.25,42.09
PHIN,2024-07-12,42.34,42.98,42.12,42.25
PHIN,2024-07-15,42.65,43.4181,42.43,43.19
PHIN,2024-07-16,43.42,46.26,43.42,46.26
PHIN,2024-07-17,45.85,46.595,45.455,46.47
PHIN,2024-07-18,46.23,47.51,45.52,46.23
