ticker,date,open,high,low,close
PII,1987-09-16,1.67,1.68,1.67,1.68
PII,1987-09-17,1.68,1.68,1.67,1.68
PII,1987-09-18,1.68,1.68,1.67,1.67
PII,1987-09-21,1.67,1.7,1.67,1.67
PII,1987-09-22,1.68,1.69,1.68,1.68
PII,1987-09-23,1.69,1.7,1.69,1.69
PII,1987-09-24,1.69,1.7,1.69,1.69
PII,1987-09-25,1.69,1.7,1.68,1.69
PII,1987-09-28,1.69,1.69,1.69,1.69
PII,1987-09-29,1.7,1.72,1.7,1.71
PII,1987-09-30,1.71,1.71,1.7,1.71
PII,1987-10-01,1.71,1.72,1.7,1.71
PII,1987-10-02,1.71,1.72,1.7,1.71
PII,1987-10-05,1.71,1.74,1.71,1.74
PII,1987-10-06,1.74,1.81,1.72,1.72
PII,1987-10-07,1.72,1.73,1.71,1.73
PII,1987-10-08,1.73,1.74,1.71,1.73
PII,1987-10-09,1.73,1.74,1.71,1.71
PII,1987-10-12,1.71,1.72,1.7,1.71
PII,1987-10-13,1.71,1.71,1.7,1.71
PII,1987-10-14,1.71,1.72,1.69,1.71
PII,1987-10-15,1.71,1.71,1.67,1.67
PII,1987-10-16,1.67,1.68,1.65,1.65
PII,1987-10-19,1.65,1.66,1.35,1.36
PII,1987-10-20,1.36,1.45,1.19,1.22
PII,1987-10-21,1.26,1.6,1.26,1.52
PII,1987-10-22,1.52,1.52,1.44,1.5
PII,1987-10-23,1.5,1.5,1.43,1.48
PII,1987-10-26,1.46,1.46,1.4,1.4
PII,1987-10-27,1.4,1.45,1.38,1.4
PII,1987-10-28,1.39,1.39,1.35,1.36
PII,1987-10-29,1.36,1.41,1.36,1.39
PII,1987-10-30,1.39,1.41,1.36,1.41
PII,1987-11-02,1.41,1.41,1.39,1.4
PII,1987-11-03,1.4,1.4,1.35,1.35
PII,1987-11-04,1.35,1.35,1.32,1.33
PII,1987-11-05,1.33,1.33,1.3,1.32
PII,1987-11-06,1.32,1.35,1.32,1.35
PII,1987-11-09,1.35,1.35,1.32,1.34
PII,1987-11-10,1.33,1.33,1.3,1.3
PII,1987-11-11,1.31,1.33,1.31,1.32
PII,1987-11-12,1.35,1.36,1.35,1.35
PII,1987-11-13,1.35,1.38,1.31,1.31
PII,1987-11-16,1.31,1.35,1.31,1.33
PII,1987-11-17,1.33,1.33,1.3,1.33
PII,1987-11-18,1.33,1.36,1.32,1.33
PII,1987-11-19,1.33,1.35,1.33,1.34
PII,1987-11-20,1.34,1.43,1.34,1.41
PII,1987-11-23,1.41,1.41,1.38,1.41
PII,1987-11-24,1.41,1.43,1.41,1.42
PII,1987-11-25,1.43,1.44,1.43,1.44
PII,1987-11-27,1.44,1.44,1.41,1.41
PII,1987-11-30,1.41,1.41,1.36,1.38
PII,1987-12-01,1.39,1.44,1.39,1.41
PII,1987-12-02,1.41,1.43,1.4,1.42
PII,1987-12-03,1.42,1.44,1.38,1.39
PII,1987-12-04,1.35,1.35,1.31,1.34
PII,1987-12-07,1.34,1.36,1.33,1.35
PII,1987-12-08,1.35,1.4,1.34,1.39
PII,1987-12-09,1.36,1.36,1.33,1.36
PII,1987-12-10,1.36,1.36,1.33,1.33
PII,1987-12-11,1.33,1.36,1.3,1.3
PII,1987-12-14,1.3,1.36,1.29,1.36
PII,1987-12-15,1.35,1.35,1.31,1.31
PII,1987-12-16,1.31,1.33,1.28,1.3
PII,1987-12-17,1.3,1.31,1.27,1.3
PII,1987-12-18,1.3,1.31,1.28,1.28
PII,1987-12-21,1.28,1.28,1.22,1.23
PII,1987-12-22,1.23,1.32,1.18,1.31
PII,1987-12-23,1.31,1.36,1.3,1.31
PII,1987-12-24,1.31,1.33,1.28,1.33
PII,1987-12-28,1.31,1.31,1.25,1.25
PII,1987-12-29,1.25,1.3,1.25,1.3
PII,1987-12-30,1.31,1.4,1.31,1.4
PII,1987-12-31,1.39,1.39,1.33,1.33
PII,1988-01-04,1.35,1.42,1.35,1.42
PII,1988-01-05,1.42,1.45,1.42,1.44
PII,1988-01-06,1.44,1.56,1.43,1.52
PII,1988-01-07,1.52,1.53,1.51,1.51
PII,1988-01-08,1.51,1.53,1.48,1.48
PII,1988-01-11,1.48,1.48,1.41,1.44
PII,1988-01-12,1.43,1.43,1.38,1.39
PII,1988-01-13,1.39,1.39,1.34,1.35
PII,1988-01-14,1.35,1.38,1.34,1.35
PII,1988-01-15,1.38,1.4,1.38,1.4
PII,1988-01-18,1.4,1.42,1.39,1.4
PII,1988-01-19,1.4,1.41,1.38,1.41
PII,1988-01-20,1.41,1.41,1.38,1.38
PII,1988-01-21,1.38,1.4,1.34,1.34
PII,1988-01-22,1.35,1.39,1.35,1.36
PII,1988-01-25,1.36,1.39,1.35,1.39
PII,1988-01-26,1.39,1.39,1.38,1.38
PII,1988-01-27,1.38,1.4,1.38,1.39
PII,1988-01-28,1.39,1.4,1.39,1.4
PII,1988-01-29,1.39,1.39,1.34,1.35
PII,1988-02-01,1.36,1.39,1.36,1.39
PII,1988-02-02,1.39,1.4,1.38,1.4
PII,1988-02-03,1.4,1.4,1.39,1.4
PII,1988-02-04,1.4,1.4,1.38,1.4
PII,1988-02-05,1.4,1.42,1.39,1.42
PII,1988-02-08,1.42,1.44,1.4,1.44
PII,1988-02-09,1.44,1.5,1.44,1.47
PII,1988-02-10,1.47,1.49,1.46,1.49
PII,1988-02-11,1.48,1.48,1.46,1.46
PII,1988-02-12,1.46,1.46,1.42,1.42
PII,1988-02-16,1.42,1.44,1.41,1.44
PII,1988-02-17,1.44,1.45,1.42,1.45
PII,1988-02-18,1.45,1.45,1.43,1.44
PII,1988-02-19,1.44,1.44,1.43,1.44
PII,1988-02-22,1.44,1.45,1.43,1.43
PII,1988-02-23,1.43,1.45,1.43,1.43
PII,1988-02-24,1.43,1.45,1.43,1.44
PII,1988-02-25,1.44,1.47,1.43,1.43
PII,1988-02-26,1.43,1.43,1.42,1.42
PII,1988-02-29,1.41,1.41,1.38,1.39
PII,1988-03-01,1.39,1.43,1.39,1.43
PII,1988-03-02,1.43,1.45,1.43,1.44
PII,1988-03-03,1.45,1.46,1.45,1.46
PII,1988-03-04,1.44,1.44,1.43,1.43
PII,1988-03-07,1.44,1.45,1.44,1.44
PII,1988-03-08,1.44,1.5,1.44,1.47
PII,1988-03-09,1.47,1.47,1.44,1.44
PII,1988-03-10,1.44,1.45,1.39,1.4
PII,1988-03-11,1.4,1.42,1.38,1.39
PII,1988-03-14,1.39,1.42,1.36,1.36
PII,1988-03-15,1.36,1.38,1.34,1.38
PII,1988-03-16,1.38,1.38,1.34,1.34
PII,1988-03-17,1.34,1.38,1.34,1.34
PII,1988-03-18,1.33,1.33,1.32,1.33
PII,1988-03-21,1.33,1.36,1.3,1.35
PII,1988-03-22,1.35,1.35,1.33,1.34
PII,1988-03-23,1.34,1.38,1.31,1.32
PII,1988-03-24,1.32,1.34,1.31,1.32
PII,1988-03-25,1.33,1.34,1.33,1.33
PII,1988-03-28,1.33,1.34,1.3,1.3
PII,1988-03-29,1.3,1.32,1.27,1.31
PII,1988-03-30,1.29,1.29,1.27,1.28
PII,1988-03-31,1.28,1.28,1.21,1.27
PII,1988-04-04,1.27,1.3,1.26,1.29
PII,1988-04-05,1.3,1.32,1.3,1.3
PII,1988-04-06,1.3,1.31,1.3,1.31
PII,1988-04-07,1.31,1.31,1.29,1.3
PII,1988-04-08,1.31,1.32,1.31,1.32
PII,1988-04-11,1.32,1.32,1.3,1.31
PII,1988-04-12,1.31,1.32,1.3,1.32
PII,1988-04-13,1.32,1.34,1.31,1.34
PII,1988-04-14,1.34,1.34,1.33,1.33
PII,1988-04-15,1.33,1.33,1.31,1.32
PII,1988-04-18,1.32,1.33,1.28,1.28
PII,1988-04-19,1.29,1.31,1.29,1.31
PII,1988-04-20,1.31,1.32,1.29,1.32
PII,1988-04-21,1.32,1.33,1.31,1.32
PII,1988-04-22,1.32,1.33,1.28,1.28
PII,1988-04-25,1.28,1.31,1.28,1.28
PII,1988-04-26,1.28,1.31,1.27,1.29
PII,1988-04-27,1.28,1.28,1.26,1.27
PII,1988-04-28,1.27,1.29,1.26,1.29
PII,1988-04-29,1.29,1.31,1.27,1.31
PII,1988-05-02,1.31,1.32,1.3,1.3
PII,1988-05-03,1.3,1.32,1.3,1.3
PII,1988-05-04,1.3,1.32,1.3,1.31
PII,1988-05-05,1.31,1.32,1.3,1.3
PII,1988-05-06,1.3,1.32,1.3,1.32
PII,1988-05-09,1.32,1.33,1.32,1.32
PII,1988-05-10,1.32,1.35,1.32,1.33
PII,1988-05-11,1.33,1.34,1.33,1.33
PII,1988-05-12,1.33,1.35,1.33,1.33
PII,1988-05-13,1.33,1.34,1.29,1.31
PII,1988-05-16,1.31,1.32,1.31,1.31
PII,1988-05-17,1.31,1.33,1.31,1.32
PII,1988-05-18,1.32,1.34,1.32,1.32
PII,1988-05-19,1.32,1.32,1.3,1.31
PII,1988-05-20,1.31,1.32,1.31,1.31
PII,1988-05-23,1.31,1.31,1.3,1.3
PII,1988-05-24,1.3,1.32,1.3,1.3
PII,1988-05-25,1.3,1.32,1.3,1.31
PII,1988-05-26,1.31,1.33,1.3,1.33
PII,1988-05-27,1.33,1.33,1.31,1.31
PII,1988-05-31,1.32,1.35,1.32,1.33
PII,1988-06-01,1.33,1.34,1.31,1.32
PII,1988-06-02,1.33,1.35,1.33,1.33
PII,1988-06-03,1.33,1.35,1.33,1.34
PII,1988-06-06,1.34,1.35,1.34,1.35
PII,1988-06-07,1.35,1.4,1.34,1.4
PII,1988-06-08,1.4,1.43,1.4,1.41
PII,1988-06-09,1.35,1.35,1.33,1.33
PII,1988-06-10,1.33,1.35,1.28,1.31
PII,1988-06-13,1.31,1.31,1.29,1.31
PII,1988-06-14,1.31,1.31,1.27,1.29
PII,1988-06-15,1.28,1.28,1.27,1.28
PII,1988-06-16,1.28,1.28,1.25,1.28
PII,1988-06-17,1.28,1.29,1.26,1.28
PII,1988-06-20,1.28,1.29,1.26,1.27
PII,1988-06-21,1.27,1.29,1.26,1.27
PII,1988-06-22,1.27,1.28,1.26,1.26
PII,1988-06-23,1.26,1.27,1.26,1.27
PII,1988-06-24,1.27,1.27,1.25,1.26
PII,1988-06-27,1.26,1.28,1.25,1.26
PII,1988-06-28,1.27,1.28,1.27,1.28
PII,1988-06-29,1.28,1.3,1.28,1.28
PII,1988-06-30,1.28,1.3,1.28,1.29
PII,1988-07-01,1.29,1.29,1.28,1.28
PII,1988-07-05,1.28,1.31,1.28,1.31
PII,1988-07-06,1.31,1.31,1.28,1.29
PII,1988-07-07,1.29,1.31,1.29,1.31
PII,1988-07-08,1.31,1.31,1.3,1.31
PII,1988-07-11,1.31,1.31,1.3,1.3
PII,1988-07-12,1.3,1.3,1.29,1.3
PII,1988-07-13,1.3,1.31,1.29,1.3
PII,1988-07-14,1.3,1.31,1.29,1.3
PII,1988-07-15,1.3,1.31,1.3,1.3
PII,1988-07-18,1.3,1.32,1.28,1.28
PII,1988-07-19,1.28,1.3,1.28,1.3
PII,1988-07-20,1.3,1.3,1.29,1.3
PII,1988-07-21,1.3,1.3,1.28,1.29
PII,1988-07-22,1.29,1.31,1.28,1.3
PII,1988-07-25,1.28,1.28,1.28,1.28
PII,1988-07-26,1.28,1.3,1.28,1.28
PII,1988-07-27,1.28,1.3,1.28,1.29
PII,1988-07-28,1.29,1.3,1.28,1.28
PII,1988-07-29,1.28,1.3,1.28,1.28
PII,1988-08-01,1.28,1.29,1.27,1.27
PII,1988-08-02,1.27,1.28,1.27,1.27
PII,1988-08-03,1.27,1.3,1.27,1.3
PII,1988-08-04,1.3,1.31,1.29,1.3
PII,1988-08-05,1.3,1.31,1.29,1.31
PII,1988-08-08,1.31,1.31,1.29,1.29
PII,1988-08-09,1.29,1.3,1.28,1.3
PII,1988-08-10,1.3,1.3,1.28,1.28
PII,1988-08-11,1.28,1.3,1.25,1.25
PII,1988-08-12,1.25,1.26,1.25,1.25
PII,1988-08-15,1.25,1.27,1.24,1.27
PII,1988-08-16,1.27,1.29,1.27,1.29
PII,1988-08-17,1.29,1.29,1.27,1.29
PII,1988-08-18,1.29,1.3,1.28,1.3
PII,1988-08-19,1.3,1.3,1.28,1.3
PII,1988-08-22,1.3,1.31,1.28,1.31
PII,1988-08-23,1.31,1.33,1.3,1.31
PII,1988-08-24,1.32,1.35,1.32,1.35
PII,1988-08-25,1.35,1.36,1.34,1.35
PII,1988-08-26,1.35,1.35,1.34,1.35
PII,1988-08-29,1.35,1.36,1.34,1.35
PII,1988-08-30,1.35,1.36,1.35,1.35
PII,1988-08-31,1.35,1.36,1.35,1.35
PII,1988-09-01,1.35,1.36,1.35,1.35
PII,1988-09-02,1.35,1.38,1.35,1.35
PII,1988-09-06,1.35,1.39,1.35,1.38
