ticker,date,open,high,low,close
PMT,2009-07-29,5.39132,5.39132,5.39132,5.39132
PMT,2009-07-30,5.12172,5.22229,5.11131,5.14809
PMT,2009-07-31,5.17233,5.17233,5.06775,5.06775
PMT,2009-08-03,5.07036,5.16768,5.04119,5.12172
PMT,2009-08-04,5.12172,5.1596,5.09496,5.14809
PMT,2009-08-05,5.09496,5.16119,5.09496,5.14549
PMT,2009-08-06,5.16119,5.16119,5.09728,5.1271
PMT,2009-08-07,5.1596,5.16119,5.08076,5.14066
PMT,2009-08-10,5.09496,5.16768,5.0841,5.1596
PMT,2009-08-11,5.105,5.17567,5.105,5.1596
PMT,2009-08-12,5.14066,5.1596,5.12172,5.14549
PMT,2009-08-13,5.14066,5.27049,5.12172,5.26696
PMT,2009-08-14,5.25628,5.28322,5.16397,5.21523
PMT,2009-08-17,5.12172,5.17567,5.12172,5.13527
PMT,2009-08-18,5.17567,5.17567,5.1271,5.15412
PMT,2009-08-19,5.16768,5.17233,5.1271,5.13527
PMT,2009-08-20,5.16119,5.25628,5.13852,5.24142
PMT,2009-08-21,5.25628,5.3565,5.24272,5.29706
PMT,2009-08-24,5.32083,5.32315,5.26483,5.2938
PMT,2009-08-25,5.32083,5.32083,5.24756,5.26696
PMT,2009-08-26,5.29158,5.29158,5.13527,5.2313
PMT,2009-08-27,5.27764,5.29706,5.2313,5.2938
PMT,2009-08-28,5.29706,5.3159,5.24486,5.31302
PMT,2009-08-31,5.25628,5.32315,5.2313,5.32315
PMT,2009-09-01,5.32315,5.33754,5.23446,5.24272
PMT,2009-09-02,5.2287,5.25396,5.18978,5.20001
PMT,2009-09-03,5.22554,5.2287,5.20539,5.2287
PMT,2009-09-04,5.21309,5.22554,5.18394,5.21309
PMT,2009-09-08,5.2744,5.28647,5.21774,5.28647
PMT,2009-09-09,5.30708,5.30708,5.24142,5.28647
PMT,2009-09-10,5.26696,5.30216,5.18069,5.26483
PMT,2009-09-11,5.24142,5.28322,5.23446,5.26696
PMT,2009-09-14,5.26483,5.2938,5.23781,5.2938
PMT,2009-09-15,5.27049,5.32083,5.20539,5.30439
