ticker,date,open,high,low,close
PRKS,2013-04-19,26.775,30.374,26.512,29.365
PRKS,2013-04-22,29.462,29.725,28.69,28.84
PRKS,2013-04-23,28.903,29.315,28.518,28.779
PRKS,2013-04-24,28.595,29.087,27.834,28.446
PRKS,2013-04-25,28.455,29.891,28.06,29.087
PRKS,2013-04-26,28.848,29.077,28.044,28.314
PRKS,2013-04-29,28.068,29.122,28.068,29.051
PRKS,2013-04-30,28.87,29.655,28.861,29.433
PRKS,2013-05-01,29.087,29.355,28.586,28.953
PRKS,2013-05-02,29.016,29.592,29.016,29.514
PRKS,2013-05-03,29.787,29.787,28.779,29.024
PRKS,2013-05-06,28.911,29.016,28.586,28.911
PRKS,2013-05-07,28.815,29.647,28.728,29.542
PRKS,2013-05-08,29.148,31.484,29.138,29.806
PRKS,2013-05-09,29.569,30.505,29.436,30.093
PRKS,2013-05-10,30.216,30.829,30.216,30.803
PRKS,2013-05-13,30.829,32.416,30.759,32.292
PRKS,2013-05-14,32.379,32.468,31.854,32.344
PRKS,2013-05-15,32.33,32.922,32.33,32.722
PRKS,2013-05-16,32.764,32.853,32.694,32.722
PRKS,2013-05-17,32.948,34.193,32.773,34.06
PRKS,2013-05-20,33.773,34.736,33.449,34.038
PRKS,2013-05-21,33.973,34.369,33.143,33.388
PRKS,2013-05-22,33.388,33.886,32.565,33.055
PRKS,2013-05-23,32.416,32.844,30.33,32.819
PRKS,2013-05-24,32.764,33.764,32.574,33.282
PRKS,2013-05-28,33.925,33.977,32.86,33.036
PRKS,2013-05-29,31.768,32.524,31.188,31.672
PRKS,2013-05-30,31.565,31.739,30.968,31.189
PRKS,2013-05-31,31.246,31.884,30.519,31.008
PRKS,2013-06-03,30.68,31.223,29.936,31.223
PRKS,2013-06-04,31.546,32.649,31.346,32.069
PRKS,2013-06-05,32.06,32.542,31.863,31.882
PRKS,2013-06-06,31.953,32.842,31.847,32.807
PRKS,2013-06-07,32.711,33.097,32.542,32.905
PRKS,2013-06-10,32.88,33.159,32.416,33.055
PRKS,2013-06-11,32.603,32.682,32.199,32.427
PRKS,2013-06-12,32.574,32.634,31.88,32.09
PRKS,2013-06-13,31.972,32.524,31.222,32.524
PRKS,2013-06-14,32.286,33.362,32.031,33.247
PRKS,2013-06-17,33.591,34.216,32.833,33.204
PRKS,2013-06-18,33.204,33.89,33.151,33.458
PRKS,2013-06-19,33.442,33.897,33.222,33.715
PRKS,2013-06-20,33.292,33.794,33.222,33.468
PRKS,2013-06-21,33.396,33.739,33.186,33.232
PRKS,2013-06-24,32.966,33.186,31.972,32.966
PRKS,2013-06-25,33.159,33.204,31.775,31.972
PRKS,2013-06-26,32.138,32.199,30.719,31.31
PRKS,2013-06-27,31.355,31.618,30.657,30.915
PRKS,2013-06-28,30.94,31.682,30.862,30.915
PRKS,2013-07-01,30.915,32.349,30.703,32.069
PRKS,2013-07-02,32.06,32.164,31.151,31.444
PRKS,2013-07-03,31.31,31.326,30.719,30.973
PRKS,2013-07-05,31.072,31.882,31.003,31.222
PRKS,2013-07-08,31.248,32.246,31.248,32.138
PRKS,2013-07-09,32.357,33.907,32.138,33.882
PRKS,2013-07-10,33.907,34.295,33.335,33.935
PRKS,2013-07-11,34.303,34.349,33.644,34.278
PRKS,2013-07-12,34.303,34.339,33.458,33.749
PRKS,2013-07-15,33.786,34.516,33.749,34.243
PRKS,2013-07-16,34.243,34.278,33.381,34.094
PRKS,2013-07-17,33.955,34.103,33.6,33.731
PRKS,2013-07-18,33.731,33.89,33.232,33.627
PRKS,2013-07-19,33.521,34.056,33.458,33.731
PRKS,2013-07-22,33.67,33.67,33.371,33.512
PRKS,2013-07-23,33.521,34.295,33.468,33.758
PRKS,2013-07-24,33.723,33.977,33.027,33.301
PRKS,2013-07-25,33.204,33.381,32.711,33.001
PRKS,2013-07-26,32.825,33.177,32.403,33.142
PRKS,2013-07-29,33.054,33.389,32.851,33.063
PRKS,2013-07-30,32.947,33.424,32.218,32.42
PRKS,2013-07-31,32.375,32.817,31.84,32.296
PRKS,2013-08-01,32.375,32.701,32.296,32.595
PRKS,2013-08-02,32.623,33.009,32.111,32.246
PRKS,2013-08-05,32.236,32.738,31.943,32.588
PRKS,2013-08-06,32.588,32.588,32.199,32.483
PRKS,2013-08-07,32.325,32.542,32.085,32.156
PRKS,2013-08-08,32.315,32.334,31.476,31.476
PRKS,2013-08-09,31.484,31.724,30.973,31.662
PRKS,2013-08-12,31.452,32.164,31.1,32.111
PRKS,2013-08-13,32.119,32.305,31.601,31.982
PRKS,2013-08-14,29.064,31.179,28.915,30.774
PRKS,2013-08-15,30.615,30.615,29.426,29.496
PRKS,2013-08-16,29.609,30.147,29.399,29.839
PRKS,2013-08-19,29.733,29.865,29.391,29.512
PRKS,2013-08-20,29.567,29.778,29.442,29.479
PRKS,2013-08-21,29.487,29.795,29.072,29.399
PRKS,2013-08-22,29.391,29.6,29.064,29.54
PRKS,2013-08-23,29.628,29.655,29.064,29.32
PRKS,2013-08-26,29.381,29.69,29.064,29.125
PRKS,2013-08-27,28.975,29.117,27.883,27.971
PRKS,2013-08-28,27.911,28.095,26.07,26.158
PRKS,2013-08-29,26.422,27.92,25.973,26.061
PRKS,2013-08-30,26.27,26.632,26.07,26.36
PRKS,2013-09-03,26.698,27.196,26.008,26.248
PRKS,2013-09-04,26.149,26.23,25.509,25.839
PRKS,2013-09-05,25.918,26.486,25.414,26.468
PRKS,2013-09-06,26.432,26.681,25.847,26.424
PRKS,2013-09-09,26.438,26.527,25.401,25.769
PRKS,2013-09-10,25.785,26.574,25.757,26.23
PRKS,2013-09-11,26.139,26.27,24.994,25.233
PRKS,2013-09-12,26.863,27.602,26.033,27.161
PRKS,2013-09-13,27.221,27.684,26.521,27.684
PRKS,2013-09-16,27.788,27.998,27.057,27.268
PRKS,2013-09-17,27.204,27.549,27.167,27.487
PRKS,2013-09-18,27.434,28.046,27.345,27.744
PRKS,2013-09-19,27.754,28.127,27.567,27.975
PRKS,2013-09-20,28.037,28.286,27.931,28.127
PRKS,2013-09-23,28.054,28.366,27.798,28.127
PRKS,2013-09-24,28.161,28.259,27.806,28.054
PRKS,2013-09-25,28.046,28.223,27.079,27.285
PRKS,2013-09-26,27.266,27.453,26.772,27.062
PRKS,2013-09-27,26.965,27.212,26.672,26.78
PRKS,2013-09-30,26.593,26.804,26.051,26.265
PRKS,2013-10-01,26.335,27.196,26.28,26.859
PRKS,2013-10-02,26.78,26.876,26.505,26.663
PRKS,2013-10-03,26.593,26.753,26.112,26.28
PRKS,2013-10-04,26.309,26.309,25.467,25.972
PRKS,2013-10-07,25.767,26.008,25.767,25.821
PRKS,2013-10-08,25.757,25.839,24.739,24.988
PRKS,2013-10-09,24.988,25.122,24.359,24.518
PRKS,2013-10-10,24.739,24.995,24.66,24.864
PRKS,2013-10-11,24.776,25.608,24.731,25.369
PRKS,2013-10-14,25.369,25.494,24.748,25.476
PRKS,2013-10-15,25.369,25.857,25.164,25.316
PRKS,2013-10-16,25.528,26.07,25.528,25.891
PRKS,2013-10-17,25.875,26.38,25.785,26.211
PRKS,2013-10-18,26.344,26.78,26.24,26.574
PRKS,2013-10-21,26.556,26.556,26.088,26.38
PRKS,2013-10-22,26.389,26.707,25.9,26.088
PRKS,2013-10-23,25.857,26.051,25.43,25.449
PRKS,2013-10-24,25.449,26.414,25.423,26.38
PRKS,2013-10-25,26.38,26.724,26.132,26.583
PRKS,2013-10-28,26.539,27.087,26.24,26.885
PRKS,2013-10-29,26.937,27.142,26.514,26.62
PRKS,2013-10-30,26.698,27.028,26.132,26.459
PRKS,2013-10-31,26.398,26.762,26.344,26.62
PRKS,2013-11-01,26.556,26.556,26.06,26.353
PRKS,2013-11-04,26.371,26.556,25.698,26.299
PRKS,2013-11-05,26.167,26.335,25.821,25.999
PRKS,2013-11-06,26.033,27.285,25.884,27.018
PRKS,2013-11-07,27.028,27.487,26.902,27.363
PRKS,2013-11-08,27.345,27.54,26.929,27.187
PRKS,2013-11-11,27.124,28.118,27.045,27.656
PRKS,2013-11-12,28.968,29.269,28.17,28.295
PRKS,2013-11-13,28.276,29.136,28.188,29.09
PRKS,2013-11-14,29.012,30.138,26.919,27.196
PRKS,2013-11-15,27.293,28.586,27.293,27.922
PRKS,2013-11-18,27.876,28.596,27.876,28.408
PRKS,2013-11-19,28.276,28.72,28.054,28.197
PRKS,2013-11-20,27.691,28.621,26.353,27.647
PRKS,2013-11-21,27.586,28.002,27.062,27.116
PRKS,2013-11-22,27.159,27.417,26.919,27.055
PRKS,2013-11-25,27.167,27.231,26.248,26.468
PRKS,2013-11-26,26.468,26.822,26.105,26.24
PRKS,2013-11-27,26.008,26.841,25.981,26.28
PRKS,2013-11-29,26.28,26.432,26.088,26.432
PRKS,2013-12-02,26.353,26.902,26.112,26.602
PRKS,2013-12-03,26.583,26.812,26.051,26.28
PRKS,2013-12-04,26.29,26.772,26.051,26.191
PRKS,2013-12-05,26.248,26.812,26.122,26.309
PRKS,2013-12-06,26.441,26.772,26.211,26.29
PRKS,2013-12-09,26.132,26.593,25.927,26.459
PRKS,2013-12-10,26.015,26.707,25.936,26.265
PRKS,2013-12-11,26.24,26.804,26.105,26.663
PRKS,2013-12-12,26.405,26.716,25.803,26.07
PRKS,2013-12-13,26.06,26.248,25.494,25.981
PRKS,2013-12-16,26.025,26.539,25.9,26.139
PRKS,2013-12-17,26.149,26.398,25.927,25.999
PRKS,2013-12-18,25.953,26.658,25.856,26.525
PRKS,2013-12-19,26.365,26.658,26.071,26.123
PRKS,2013-12-20,26.105,26.417,25.963,26.185
PRKS,2013-12-23,26.178,26.321,25.588,25.695
PRKS,2013-12-24,25.675,25.963,25.375,25.945
PRKS,2013-12-26,25.909,26.008,25.381,25.472
PRKS,2013-12-27,25.597,25.597,25.214,25.552
PRKS,2013-12-30,25.605,25.605,25.007,25.096
PRKS,2013-12-31,25.078,25.866,24.99,25.676
PRKS,2014-01-02,25.713,26.185,25.524,25.899
PRKS,2014-01-03,25.883,26.105,25.731,25.794
PRKS,2014-01-06,25.755,25.829,24.99,25.177
PRKS,2014-01-07,25.186,25.274,24.99,25.087
PRKS,2014-01-08,25.141,25.141,24.534,24.804
PRKS,2014-01-09,24.883,25.035,24.676,24.963
PRKS,2014-01-10,24.99,26.407,24.99,26.282
PRKS,2014-01-13,26.267,27.64,26.267,26.865
PRKS,2014-01-14,27.026,27.729,27.026,27.47
PRKS,2014-01-15,27.417,27.935,27.15,27.658
PRKS,2014-01-16,27.792,30.015,27.767,29.979
PRKS,2014-01-17,29.523,29.845,29.006,29.675
PRKS,2014-01-21,29.658,29.872,29.006,29.443
PRKS,2014-01-22,29.461,29.694,29.32,29.399
PRKS,2014-01-23,29.273,29.916,28.942,29.845
PRKS,2014-01-24,29.505,29.845,29.193,29.612
PRKS,2014-01-27,29.675,29.773,29.033,29.586
PRKS,2014-01-28,29.621,30.122,29.371,29.658
PRKS,2014-01-29,29.542,29.586,28.971,29.113
PRKS,2014-01-30,29.265,29.48,28.533,28.604
PRKS,2014-01-31,28.425,29.042,27.881,28.934
PRKS,2014-02-03,28.801,29.006,27.311,27.758
PRKS,2014-02-04,27.872,28.212,27.703,28.123
PRKS,2014-02-05,28.007,28.22,27.783,27.864
PRKS,2014-02-06,27.89,28.721,27.722,28.471
PRKS,2014-02-07,28.578,29.122,28.256,29.094
PRKS,2014-02-10,28.979,29.238,28.892,29.024
PRKS,2014-02-11,29.033,29.311,28.782,29.043
PRKS,2014-02-12,29.006,29.21,28.917,29.024
PRKS,2014-02-13,28.934,29.361,28.782,29.282
PRKS,2014-02-14,29.229,30.095,29.13,29.675
PRKS,2014-02-18,29.675,30.131,29.675,29.809
PRKS,2014-02-19,29.836,30.194,29.532,30.113
PRKS,2014-02-20,30.139,30.3,29.916,30.131
PRKS,2014-02-21,30.131,30.131,29.738,29.899
PRKS,2014-02-24,29.881,30.444,29.862,30.344
PRKS,2014-02-25,30.398,31.016,30.344,30.845
PRKS,2014-02-26,30.917,31.505,30.462,30.604
PRKS,2014-02-27,30.674,30.836,30.335,30.567
PRKS,2014-02-28,30.453,30.774,29.953,30.47
PRKS,2014-03-03,30.077,30.292,29.552,30.139
PRKS,2014-03-04,30.3,31.237,30.22,30.703
PRKS,2014-03-05,30.674,31.274,30.541,31.167
PRKS,2014-03-06,31.237,31.406,31.024,31.335
PRKS,2014-03-07,31.345,31.436,29.024,29.562
PRKS,2014-03-10,29.523,30.344,29.265,30.228
PRKS,2014-03-11,30.176,30.888,29.836,29.988
PRKS,2014-03-12,29.809,30.015,28.731,28.892
PRKS,2014-03-13,28.862,28.934,27.918,28.123
PRKS,2014-03-14,27.758,29.523,27.22,29.06
PRKS,2014-03-17,29.077,29.113,27.489,28.275
PRKS,2014-03-18,27.888,28.767,27.888,28.714
PRKS,2014-03-19,28.695,29.02,28.67,29.01
PRKS,2014-03-20,28.795,29.631,28.759,29.459
PRKS,2014-03-21,29.459,29.936,29.359,29.792
PRKS,2014-03-24,29.056,29.165,28.265,28.724
PRKS,2014-03-25,28.526,28.661,28.041,28.624
PRKS,2014-03-26,28.518,28.786,27.798,27.896
PRKS,2014-03-27,27.844,28.203,27.223,27.269
PRKS,2014-03-28,27.474,27.878,27.008,27.069
PRKS,2014-03-31,27.241,27.529,26.767,27.152
PRKS,2014-04-01,27.188,27.464,26.767,26.953
PRKS,2014-04-02,27.069,27.627,26.685,27.339
PRKS,2014-04-03,26.63,27.197,26.424,26.953
PRKS,2014-04-04,27.727,27.754,26.719,26.919
PRKS,2014-04-07,26.767,27.107,26.317,26.343
PRKS,2014-04-08,26.405,27.996,26.046,27.754
PRKS,2014-04-09,27.754,28.58,27.6,28.518
PRKS,2014-04-10,28.624,28.67,27.359,27.359
PRKS,2014-04-11,27.107,27.304,26.523,26.935
PRKS,2014-04-14,27.223,27.223,26.269,26.657
PRKS,2014-04-15,26.613,26.809,26.118,26.776
PRKS,2014-04-16,26.963,27.168,26.576,26.702
PRKS,2014-04-17,26.71,26.998,26.648,26.953
PRKS,2014-04-21,26.882,26.935,26.496,26.657
PRKS,2014-04-22,26.695,27.464,26.613,27.097
PRKS,2014-04-23,27.125,27.377,26.791,27.16
PRKS,2014-04-24,27.367,27.546,27.188,27.278
PRKS,2014-04-25,27.259,27.259,26.648,26.675
PRKS,2014-04-28,26.856,27.152,26.549,26.856
PRKS,2014-04-29,26.935,27.331,26.695,27.027
PRKS,2014-04-30,27.035,27.152,26.865,26.998
PRKS,2014-05-01,26.945,27.673,26.837,27.583
PRKS,2014-05-02,27.771,28.049,27.708,27.87
PRKS,2014-05-05,27.673,27.754,26.953,27.269
PRKS,2014-05-06,27.206,27.771,27.069,27.394
PRKS,2014-05-07,27.503,27.664,27.069,27.458
PRKS,2014-05-08,27.43,27.888,27.223,27.394
PRKS,2014-05-09,27.339,27.583,26.837,26.892
PRKS,2014-05-12,26.945,27.6,26.945,27.458
PRKS,2014-05-13,27.474,27.484,26.784,26.865
PRKS,2014-05-14,27.054,27.125,26.055,26.352
PRKS,2014-05-15,26.263,27.143,25.822,26.657
PRKS,2014-05-16,26.719,27.241,26.227,26.99
PRKS,2014-05-19,26.919,27.951,26.9,27.806
PRKS,2014-05-20,27.844,27.844,27.278,27.52
PRKS,2014-05-21,27.484,27.977,27.412,27.744
PRKS,2014-05-22,27.862,28.167,27.609,27.878
PRKS,2014-05-23,27.853,28.076,27.744,28.005
PRKS,2014-05-27,28.014,28.104,27.789,27.977
PRKS,2014-05-28,27.853,28.256,27.744,28.067
PRKS,2014-05-29,28.058,28.194,27.593,27.627
PRKS,2014-05-30,27.539,27.844,27.295,27.412
PRKS,2014-06-02,27.546,27.673,26.909,27.349
PRKS,2014-06-03,27.223,27.484,27.223,27.304
