ticker,date,open,high,low,close
PSN,2019-05-08,30.65,31.44,29.2,30.07
PSN,2019-05-09,29.64,30.2997,29.03,30.1
PSN,2019-05-10,29.89,31.35,29.5,31.01
PSN,2019-05-13,30.29,31.67,29.75,31.06
PSN,2019-05-14,31.1,32.6,31.02,31.75
PSN,2019-05-15,31.79,32.5,31.6,32.45
PSN,2019-05-16,32.24,33.27,31.0,31.0
PSN,2019-05-17,30.75,31.68,30.63,30.92
PSN,2019-05-20,30.98,31.98,30.76,31.85
PSN,2019-05-21,31.98,33.67,31.9298,32.7
PSN,2019-05-22,32.64,33.0,32.155,32.57
PSN,2019-05-23,32.43,32.5699,31.5,31.9
PSN,2019-05-24,32.01,32.29,31.51,32.08
PSN,2019-05-28,32.25,32.4393,31.56,31.9
PSN,2019-05-29,31.74,31.88,31.12,31.45
PSN,2019-05-30,31.34,31.71,31.26,31.28
PSN,2019-05-31,31.13,31.85,30.88,31.75
PSN,2019-06-03,32.0,32.4,31.271,32.27
PSN,2019-06-04,32.52,32.64,31.56,32.0
PSN,2019-06-05,31.94,31.9632,31.23,31.59
PSN,2019-06-06,31.59,32.39,31.5,31.99
PSN,2019-06-07,32.0,32.73,31.9901,32.39
PSN,2019-06-10,32.6,32.88,30.86,31.84
PSN,2019-06-11,32.0,32.0,31.22,31.91
PSN,2019-06-12,31.64,32.0,31.45,31.73
PSN,2019-06-13,31.65,32.15,31.09,31.78
PSN,2019-06-14,31.79,31.97,31.5001,31.65
PSN,2019-06-17,31.49,31.76,31.14,31.32
PSN,2019-06-18,32.43,33.88,31.59,32.96
PSN,2019-06-19,33.53,35.77,33.23,34.9
PSN,2019-06-20,35.25,36.45,35.19,35.73
PSN,2019-06-21,35.7,37.95,34.7592,37.95
PSN,2019-06-24,37.95,38.33,36.355,36.79
PSN,2019-06-25,36.99,37.5,36.52,36.75
PSN,2019-06-26,36.31,37.07,35.98,37.06
PSN,2019-06-27,36.82,37.93,36.75,37.01
PSN,2019-06-28,37.06,37.5,36.32,36.86
PSN,2019-07-01,37.07,38.09,35.61,36.61
PSN,2019-07-02,36.49,36.56,35.36,36.15
PSN,2019-07-03,36.2,36.47,35.81,36.44
PSN,2019-07-05,36.35,37.0,36.001,36.94
PSN,2019-07-08,36.81,36.99,36.2,36.62
PSN,2019-07-09,36.4,36.8,36.12,36.55
PSN,2019-07-10,36.43,37.37,36.42,36.7
PSN,2019-07-11,36.77,37.48,36.225,37.42
PSN,2019-07-12,37.58,37.99,37.12,37.67
PSN,2019-07-15,37.86,38.385,37.51,38.02
PSN,2019-07-16,38.0,38.0,37.13,37.33
PSN,2019-07-17,37.31,37.64,36.64,37.16
PSN,2019-07-18,36.88,37.07,35.7,36.24
PSN,2019-07-19,36.24,37.32,35.68,36.84
PSN,2019-07-22,36.66,37.87,36.4568,37.77
PSN,2019-07-23,38.0,38.0,37.0,37.16
PSN,2019-07-24,36.95,37.4303,36.73,37.36
PSN,2019-07-25,37.13,37.4,36.57,36.87
PSN,2019-07-26,37.01,37.56,36.9582,37.19
PSN,2019-07-29,37.25,37.83,37.02,37.52
PSN,2019-07-30,37.33,37.4,36.92,37.14
PSN,2019-07-31,37.13,38.82,35.04,36.71
PSN,2019-08-01,36.65,37.8,36.28,37.57
PSN,2019-08-02,37.27,37.63,36.42,37.19
PSN,2019-08-05,36.45,36.6,35.35,36.25
PSN,2019-08-06,36.62,37.2446,35.57,36.01
PSN,2019-08-07,35.58,36.25,35.5,35.89
PSN,2019-08-08,36.14,37.52,36.032,37.28
PSN,2019-08-09,37.52,37.65,37.08,37.14
PSN,2019-08-12,37.24,37.58,35.82,36.24
PSN,2019-08-13,35.05,36.9,32.5,35.93
PSN,2019-08-14,35.68,35.69,33.68,34.09
PSN,2019-08-15,34.3,34.99,33.97,34.4
PSN,2019-08-16,34.55,34.86,34.12,34.16
PSN,2019-08-19,34.5,34.778,33.98,34.11
PSN,2019-08-20,34.25,34.35,33.64,33.74
PSN,2019-08-21,34.02,34.5,33.856,34.28
PSN,2019-08-22,34.32,34.97,34.22,34.69
PSN,2019-08-23,34.43,34.485,33.43,33.5
PSN,2019-08-26,33.85,34.25,33.51,34.09
PSN,2019-08-27,34.4,34.7113,33.4,33.61
PSN,2019-08-28,33.82,34.01,33.36,33.76
PSN,2019-08-29,33.89,34.2735,33.89,34.25
PSN,2019-08-30,34.35,34.54,33.76,34.02
PSN,2019-09-03,33.67,34.0,33.35,33.47
PSN,2019-09-04,33.7,33.85,33.067,33.39
PSN,2019-09-05,33.54,36.0,33.54,35.26
PSN,2019-09-06,35.24,35.6899,34.53,34.67
PSN,2019-09-09,34.77,35.1,33.9,34.29
PSN,2019-09-10,34.25,34.25,32.72,32.94
PSN,2019-09-11,32.79,35.64,32.79,34.99
PSN,2019-09-12,35.19,35.79,34.745,35.25
PSN,2019-09-13,35.44,37.57,35.44,36.8
PSN,2019-09-16,36.91,38.5,36.81,37.29
PSN,2019-09-17,37.18,38.11,36.93,37.31
PSN,2019-09-18,37.24,38.0,37.055,37.56
PSN,2019-09-19,37.7,38.48,37.33,37.35
PSN,2019-09-20,37.37,37.4,34.93,34.93
PSN,2019-09-23,35.15,36.08,33.61,33.98
PSN,2019-09-24,33.76,34.25,32.9,33.39
PSN,2019-09-25,33.39,33.92,32.37,33.66
PSN,2019-09-26,33.41,33.79,32.9101,33.38
PSN,2019-09-27,33.44,33.9544,33.03,33.52
PSN,2019-09-30,33.5,33.62,32.86,32.98
PSN,2019-10-01,33.06,33.155,32.57,32.91
PSN,2019-10-02,32.64,32.88,31.69,31.87
PSN,2019-10-03,31.75,33.03,31.75,32.91
PSN,2019-10-04,32.97,33.33,32.22,33.0
PSN,2019-10-07,33.07,33.07,32.33,32.95
PSN,2019-10-08,32.6,32.92,32.23,32.36
PSN,2019-10-09,32.68,32.792,31.87,32.02
PSN,2019-10-10,32.13,33.3,31.95,32.95
PSN,2019-10-11,33.45,33.65,32.41,32.81
PSN,2019-10-14,32.72,32.96,32.29,32.44
PSN,2019-10-15,32.36,32.84,32.22,32.51
PSN,2019-10-16,32.43,32.83,32.34,32.64
PSN,2019-10-17,32.8,33.13,32.6006,32.66
PSN,2019-10-18,32.78,32.8,32.05,32.33
PSN,2019-10-21,32.46,33.09,32.3,32.58
PSN,2019-10-22,32.58,33.1,32.27,32.94
PSN,2019-10-23,32.84,34.11,32.84,33.99
PSN,2019-10-24,34.05,34.28,33.4,33.75
PSN,2019-10-25,33.8,34.07,33.5633,33.98
PSN,2019-10-28,34.0,34.68,33.7816,33.97
PSN,2019-10-29,33.96,34.64,33.96,34.61
PSN,2019-10-30,34.55,34.97,34.25,34.93
PSN,2019-10-31,34.98,35.72,34.595,35.6
PSN,2019-11-01,35.76,35.78,34.53,35.31
PSN,2019-11-04,35.81,37.41,35.1401,36.7
PSN,2019-11-05,36.96,37.26,36.56,37.25
PSN,2019-11-06,37.23,38.53,37.02,37.85
PSN,2019-11-07,38.18,38.3644,37.34,37.93
PSN,2019-11-08,37.94,38.7,37.81,38.13
PSN,2019-11-11,38.14,38.2955,37.69,37.73
PSN,2019-11-12,38.54,39.05,37.12,37.8
PSN,2019-11-13,37.84,38.38,37.75,38.21
PSN,2019-11-14,38.3,38.73,37.93,38.02
PSN,2019-11-15,38.4,39.28,38.0,38.93
PSN,2019-11-18,39.0,39.5,38.66,38.99
PSN,2019-11-19,39.16,39.5,38.8,39.11
PSN,2019-11-20,39.36,39.59,38.47,38.99
PSN,2019-11-21,39.21,39.21,38.18,38.31
PSN,2019-11-22,38.3,38.68,38.21,38.49
