ticker,date,open,high,low,close
QUAD,2010-07-06,22.908,23.303,22.441,22.441
QUAD,2010-07-07,22.487,22.908,22.344,22.672
QUAD,2010-07-08,23.023,23.023,21.877,22.3
QUAD,2010-07-09,22.206,22.206,21.855,22.089
QUAD,2010-07-12,21.949,22.089,21.924,21.972
QUAD,2010-07-13,21.855,21.972,21.855,21.972
QUAD,2010-07-14,21.832,21.902,20.522,20.846
QUAD,2010-07-15,20.751,20.751,18.84,19.913
QUAD,2010-07-16,19.979,21.031,19.214,21.031
QUAD,2010-07-19,20.901,21.405,20.069,20.565
QUAD,2010-07-20,20.522,20.522,20.0,20.116
QUAD,2010-07-21,20.008,20.219,19.657,19.657
QUAD,2010-07-22,19.75,20.093,19.75,19.988
QUAD,2010-07-23,19.984,20.041,19.979,19.988
QUAD,2010-07-26,19.984,20.393,19.984,20.079
QUAD,2010-07-27,20.124,20.411,19.913,19.968
QUAD,2010-07-28,19.984,20.28,19.984,20.102
QUAD,2010-07-29,20.168,20.214,20.046,20.096
QUAD,2010-07-30,20.008,20.03,19.765,19.887
QUAD,2010-08-02,19.984,19.984,19.597,19.693
QUAD,2010-08-03,19.635,19.742,19.517,19.728
QUAD,2010-08-04,19.681,20.219,18.035,18.826
QUAD,2010-08-05,18.769,19.868,18.699,19.812
QUAD,2010-08-06,19.728,19.728,19.425,19.586
QUAD,2010-08-09,19.498,19.508,18.928,19.438
QUAD,2010-08-10,19.4,19.734,19.377,19.734
QUAD,2010-08-11,19.745,20.102,19.704,20.008
QUAD,2010-08-12,20.059,20.264,19.963,20.219
QUAD,2010-08-13,20.102,20.732,20.102,20.644
QUAD,2010-08-16,20.617,20.798,20.452,20.61
QUAD,2010-08-17,20.452,20.635,20.295,20.452
QUAD,2010-08-18,20.522,20.694,20.517,20.517
QUAD,2010-08-19,20.556,20.556,20.335,20.439
QUAD,2010-08-20,20.335,20.449,20.311,20.335
QUAD,2010-08-23,20.504,20.504,20.03,20.073
QUAD,2010-08-24,20.03,20.03,19.938,19.963
QUAD,2010-08-25,19.868,19.975,19.845,19.913
QUAD,2010-08-26,19.868,19.963,19.868,19.938
QUAD,2010-08-27,20.0,20.0,19.963,19.988
QUAD,2010-08-30,19.968,20.008,19.591,20.008
QUAD,2010-08-31,20.008,20.008,19.645,19.89
QUAD,2010-09-01,19.823,20.244,19.768,20.172
QUAD,2010-09-02,20.079,20.199,20.079,20.192
QUAD,2010-09-03,20.195,20.335,20.102,20.247
QUAD,2010-09-07,20.247,20.522,20.247,20.377
QUAD,2010-09-08,20.326,20.326,19.922,20.096
QUAD,2010-09-09,20.195,20.244,20.192,20.239
QUAD,2010-09-10,20.288,20.383,20.28,20.335
QUAD,2010-09-13,20.332,20.377,20.219,20.368
QUAD,2010-09-14,20.383,20.383,20.102,20.383
QUAD,2010-09-15,20.499,20.92,20.499,20.694
QUAD,2010-09-16,20.694,21.036,20.694,20.989
QUAD,2010-09-17,21.015,23.064,20.982,22.672
QUAD,2010-09-20,22.515,22.621,22.327,22.532
QUAD,2010-09-21,22.453,22.792,22.414,22.625
QUAD,2010-09-22,22.593,22.593,22.314,22.344
QUAD,2010-09-23,22.3,22.3,22.094,22.206
QUAD,2010-09-24,22.337,22.958,22.337,22.813
QUAD,2010-09-27,22.441,22.551,22.314,22.487
QUAD,2010-09-28,22.46,22.487,22.252,22.252
QUAD,2010-09-29,22.252,22.252,21.865,21.877
QUAD,2010-09-30,21.877,21.972,21.738,21.84
QUAD,2010-10-01,21.691,21.691,21.448,21.658
QUAD,2010-10-04,21.55,21.691,21.528,21.55
QUAD,2010-10-05,21.623,21.668,21.462,21.48
QUAD,2010-10-06,21.505,21.55,21.433,21.439
QUAD,2010-10-07,21.518,21.528,21.387,21.456
QUAD,2010-10-08,21.416,21.433,21.113,21.113
QUAD,2010-10-11,21.031,21.031,20.522,20.617
QUAD,2010-10-12,20.901,20.901,20.61,20.664
QUAD,2010-10-13,20.621,21.247,20.621,21.041
QUAD,2010-10-14,21.182,21.29,20.968,21.284
QUAD,2010-10-15,21.293,21.293,21.121,21.201
QUAD,2010-10-18,21.247,21.272,21.129,21.135
QUAD,2010-10-19,21.036,21.272,21.036,21.182
QUAD,2010-10-20,21.201,21.201,21.159,21.201
QUAD,2010-10-21,21.265,21.617,21.125,21.505
QUAD,2010-10-22,21.387,21.411,21.275,21.373
QUAD,2010-10-25,21.623,21.623,21.244,21.48
QUAD,2010-10-26,21.505,21.505,20.565,20.802
QUAD,2010-10-27,21.036,21.056,20.711,20.989
QUAD,2010-10-28,20.999,21.036,20.762,21.036
QUAD,2010-10-29,20.9,21.037,20.677,20.895
QUAD,2010-11-01,20.826,21.026,20.762,21.009
QUAD,2010-11-02,21.009,21.015,20.699,20.78
QUAD,2010-11-03,20.78,20.987,20.711,20.926
QUAD,2010-11-04,20.926,21.036,20.85,20.982
QUAD,2010-11-05,21.015,21.015,20.66,20.789
QUAD,2010-11-08,20.789,21.265,20.789,21.129
QUAD,2010-11-09,21.247,21.784,21.247,21.629
QUAD,2010-11-10,21.738,21.738,21.456,21.462
QUAD,2010-11-11,20.798,20.798,19.826,19.984
QUAD,2010-11-12,20.03,20.079,19.917,19.943
QUAD,2010-11-15,19.913,19.913,19.167,19.635
QUAD,2010-11-16,19.635,19.657,19.4,19.616
QUAD,2010-11-17,19.635,19.774,19.635,19.728
QUAD,2010-11-18,19.793,20.008,19.693,19.836
QUAD,2010-11-19,19.696,19.696,19.405,19.631
QUAD,2010-11-22,19.625,19.625,19.4,19.491
QUAD,2010-11-23,19.4,19.541,19.397,19.475
QUAD,2010-11-24,19.495,19.495,19.391,19.491
QUAD,2010-11-26,19.28,19.521,19.28,19.451
QUAD,2010-11-29,19.391,20.699,19.391,20.57
QUAD,2010-11-30,20.501,20.62,20.337,20.337
QUAD,2010-12-01,20.538,20.538,20.214,20.335
QUAD,2010-12-02,20.335,20.452,20.335,20.364
QUAD,2010-12-03,20.401,20.401,19.975,19.975
QUAD,2010-12-06,20.111,20.303,19.995,20.079
QUAD,2010-12-07,20.219,20.653,20.129,20.639
QUAD,2010-12-08,20.773,20.909,20.433,20.681
QUAD,2010-12-09,20.85,20.92,20.542,20.57
QUAD,2010-12-10,20.57,20.887,20.57,20.59
QUAD,2010-12-13,20.649,20.732,20.219,20.466
QUAD,2010-12-14,20.559,20.57,20.219,20.223
QUAD,2010-12-15,20.219,20.239,20.148,20.228
QUAD,2010-12-16,20.309,20.57,20.03,20.107
QUAD,2010-12-17,20.158,20.228,19.612,19.897
QUAD,2010-12-20,20.111,20.214,20.008,20.155
QUAD,2010-12-21,20.111,20.111,19.762,20.069
QUAD,2010-12-22,20.0,20.096,18.945,19.467
QUAD,2010-12-23,19.368,19.495,19.101,19.4
QUAD,2010-12-27,19.372,19.475,19.237,19.336
QUAD,2010-12-28,19.289,19.597,19.214,19.555
QUAD,2010-12-29,19.589,19.589,19.275,19.33
QUAD,2010-12-30,19.26,19.355,19.164,19.283
QUAD,2010-12-31,19.231,19.643,19.214,19.29
QUAD,2011-01-03,19.446,20.055,19.4,20.041
QUAD,2011-01-04,19.963,19.963,19.517,19.517
QUAD,2011-01-05,19.606,20.065,18.869,20.003
QUAD,2011-01-06,19.913,20.232,19.704,20.232
QUAD,2011-01-07,20.195,20.195,19.878,19.963
QUAD,2011-01-10,19.823,20.148,19.434,20.148
QUAD,2011-01-11,20.219,20.219,19.938,19.938
QUAD,2011-01-12,20.008,20.397,19.868,20.073
QUAD,2011-01-13,19.959,20.424,19.873,20.102
QUAD,2011-01-14,20.102,20.311,20.102,20.208
QUAD,2011-01-18,20.219,20.401,20.199,20.401
QUAD,2011-01-19,20.335,20.335,20.069,20.116
QUAD,2011-01-20,20.037,20.219,19.85,19.963
QUAD,2011-01-21,19.922,20.124,19.841,20.107
QUAD,2011-01-24,20.055,20.244,19.959,20.079
QUAD,2011-01-25,20.055,20.219,19.975,20.135
QUAD,2011-01-26,20.12,20.12,19.785,19.868
QUAD,2011-01-27,19.868,20.219,19.868,20.204
QUAD,2011-01-28,20.244,20.335,20.102,20.288
QUAD,2011-01-31,20.309,21.024,20.118,20.784
QUAD,2011-02-01,20.841,20.841,20.457,20.556
QUAD,2011-02-02,20.546,20.621,20.419,20.621
QUAD,2011-02-03,20.565,20.742,20.371,20.649
QUAD,2011-02-04,20.439,20.617,20.143,20.617
QUAD,2011-02-07,20.594,20.909,20.573,20.909
QUAD,2011-02-08,20.874,21.201,20.78,21.046
QUAD,2011-02-09,21.022,21.022,20.808,20.87
QUAD,2011-02-10,20.808,20.999,20.715,20.976
QUAD,2011-02-11,20.901,21.015,20.789,20.968
QUAD,2011-02-14,20.905,21.092,20.88,21.092
QUAD,2011-02-15,21.082,21.086,20.802,20.85
QUAD,2011-02-16,20.863,20.874,20.715,20.715
QUAD,2011-02-17,44.25,44.35,44.0,44.01
QUAD,2011-02-18,20.546,20.57,20.419,20.57
QUAD,2011-02-22,20.522,20.61,20.416,20.61
QUAD,2011-02-23,20.57,20.664,20.219,20.274
QUAD,2011-02-24,20.341,20.341,19.907,19.943
QUAD,2011-02-25,19.953,20.089,19.891,20.089
QUAD,2011-02-28,20.129,20.368,20.129,20.3
QUAD,2011-03-01,20.462,20.724,20.445,20.724
QUAD,2011-03-02,20.686,20.789,20.67,20.756
QUAD,2011-03-03,20.822,20.822,20.314,20.332
QUAD,2011-03-04,20.361,20.732,20.361,20.625
QUAD,2011-03-07,20.653,20.751,20.499,20.621
QUAD,2011-03-08,20.756,20.756,20.452,20.489
QUAD,2011-03-09,20.538,20.57,20.199,20.314
QUAD,2011-03-10,20.314,20.66,20.254,20.452
QUAD,2011-03-11,20.452,20.546,20.355,20.433
QUAD,2011-03-14,20.355,20.377,20.102,20.244
QUAD,2011-03-15,20.452,20.452,19.7,19.868
QUAD,2011-03-16,19.862,19.862,19.591,19.768
QUAD,2011-03-17,19.89,19.89,19.569,19.703
QUAD,2011-03-18,19.845,20.195,19.826,20.089
QUAD,2011-03-21,20.102,20.102,19.948,20.008
QUAD,2011-03-22,20.008,20.12,19.988,20.096
QUAD,2011-03-23,20.014,20.079,19.868,20.055
QUAD,2011-03-24,20.065,20.195,19.995,20.102
QUAD,2011-03-25,19.968,20.288,19.963,20.059
QUAD,2011-03-28,19.963,20.155,19.963,20.089
QUAD,2011-03-29,20.168,20.168,19.823,19.852
QUAD,2011-03-30,19.979,20.014,19.868,19.948
QUAD,2011-03-31,19.935,19.935,19.836,19.888
QUAD,2011-04-01,19.868,19.988,19.635,19.841
QUAD,2011-04-04,19.948,20.046,19.852,20.0
QUAD,2011-04-05,19.917,20.096,19.651,19.774
QUAD,2011-04-06,19.852,19.959,19.709,19.929
