ticker,date,open,high,low,close
RBC,2005-08-09,14.036,14.036,14.036,14.036
RBC,2005-08-10,14.326,15.043,14.133,14.781
RBC,2005-08-11,14.762,15.382,14.762,15.004
RBC,2005-08-12,14.81,15.827,14.81,15.536
RBC,2005-08-15,15.488,15.807,14.278,15.536
RBC,2005-08-16,15.246,15.585,15.246,15.585
RBC,2005-08-17,14.772,15.44,14.578,15.44
RBC,2005-08-18,15.198,15.488,15.198,15.246
RBC,2005-08-19,15.198,15.391,15.004,15.198
RBC,2005-08-22,15.004,15.101,14.956,15.004
RBC,2005-08-23,14.956,15.72,14.907,15.72
RBC,2005-08-24,15.246,15.711,15.246,15.498
RBC,2005-08-25,15.488,15.488,15.052,15.294
RBC,2005-08-26,15.004,15.488,15.004,15.488
RBC,2005-08-29,15.014,15.314,15.004,15.246
RBC,2005-08-30,15.285,15.391,15.052,15.391
RBC,2005-08-31,14.994,15.672,14.656,15.585
RBC,2005-09-01,15.343,15.972,15.343,15.73
RBC,2005-09-02,15.972,15.972,15.488,15.682
RBC,2005-09-06,15.585,15.73,15.488,15.73
RBC,2005-09-07,15.885,15.885,15.488,15.546
RBC,2005-09-08,15.536,15.972,15.333,15.594
RBC,2005-09-09,15.933,15.933,15.488,15.73
RBC,2005-09-12,15.653,15.972,15.488,15.517
RBC,2005-09-13,15.294,16.001,15.294,16.001
RBC,2005-09-14,15.827,16.137,15.73,15.972
RBC,2005-09-15,15.972,16.456,15.294,16.214
RBC,2005-09-16,16.098,16.456,15.972,16.272
RBC,2005-09-19,16.456,16.843,16.166,16.63
RBC,2005-09-20,16.688,17.114,16.64,16.795
RBC,2005-09-21,16.795,16.795,15.972,16.659
RBC,2005-09-22,16.456,16.524,16.195,16.369
RBC,2005-09-23,16.262,16.504,16.262,16.456
RBC,2005-09-26,16.746,16.746,15.788,16.262
RBC,2005-09-27,16.408,16.504,15.972,16.456
RBC,2005-09-28,16.262,16.446,16.069,16.427
RBC,2005-09-29,16.253,16.562,16.253,16.562
RBC,2005-09-30,16.456,16.553,15.246,15.44
RBC,2005-10-03,15.469,16.195,15.149,16.011
RBC,2005-10-04,16.272,16.592,15.701,16.34
RBC,2005-10-05,16.843,16.843,15.933,15.933
RBC,2005-10-06,15.856,16.117,15.382,15.914
RBC,2005-10-07,15.953,16.669,15.488,16.098
RBC,2005-10-10,17.424,17.685,16.456,16.63
RBC,2005-10-11,16.785,16.785,16.069,16.195
RBC,2005-10-12,16.398,16.427,15.875,15.962
RBC,2005-10-13,16.04,16.311,15.682,15.73
RBC,2005-10-14,15.962,16.117,15.682,15.943
RBC,2005-10-17,16.03,16.369,15.691,15.914
RBC,2005-10-18,15.73,16.078,15.594,15.691
RBC,2005-10-19,15.691,15.769,15.246,15.691
RBC,2005-10-20,15.585,15.856,14.597,15.149
RBC,2005-10-21,15.043,15.488,15.043,15.488
RBC,2005-10-24,15.488,15.488,15.391,15.478
RBC,2005-10-25,15.227,15.488,15.227,15.44
RBC,2005-10-26,15.343,15.343,14.772,15.004
RBC,2005-10-27,15.004,15.227,14.898,15.101
RBC,2005-10-28,15.198,15.391,15.023,15.159
RBC,2005-10-31,15.217,15.488,15.091,15.12
RBC,2005-11-01,15.004,15.294,14.259,14.762
RBC,2005-11-02,14.578,14.791,14.278,14.791
RBC,2005-11-03,14.801,15.333,14.762,15.052
RBC,2005-11-04,15.052,15.052,14.762,15.004
RBC,2005-11-07,15.004,15.149,14.868,15.043
RBC,2005-11-08,14.927,15.004,14.404,14.839
RBC,2005-11-09,14.762,15.256,14.762,15.256
RBC,2005-11-10,15.052,15.498,14.927,15.352
RBC,2005-11-11,15.12,15.517,15.12,15.488
RBC,2005-11-14,15.294,15.527,15.246,15.527
RBC,2005-11-15,14.752,15.236,13.746,15.023
RBC,2005-11-16,14.714,14.975,14.704,14.888
RBC,2005-11-17,14.81,15.246,14.81,15.178
RBC,2005-11-18,15.333,15.527,15.062,15.498
RBC,2005-11-21,15.643,15.682,15.401,15.498
RBC,2005-11-22,15.488,15.575,15.449,15.488
RBC,2005-11-23,15.362,15.488,15.072,15.169
RBC,2005-11-25,15.033,15.469,15.033,15.401
RBC,2005-11-28,15.14,15.14,14.81,14.907
RBC,2005-11-29,15.091,15.091,14.685,15.043
RBC,2005-11-30,14.839,15.391,14.839,15.11
RBC,2005-12-01,14.917,15.585,14.917,15.498
RBC,2005-12-02,15.488,15.585,15.227,15.507
RBC,2005-12-05,15.323,15.488,15.169,15.459
RBC,2005-12-06,15.469,15.875,15.391,15.778
RBC,2005-12-07,15.662,15.914,15.594,15.653
RBC,2005-12-08,15.527,15.701,15.11,15.198
RBC,2005-12-09,15.14,15.488,15.14,15.42
RBC,2005-12-12,15.12,15.44,15.062,15.11
RBC,2005-12-13,15.014,15.207,14.52,14.791
RBC,2005-12-14,14.714,15.004,14.665,14.752
RBC,2005-12-15,14.675,14.723,14.568,14.685
RBC,2005-12-16,14.752,14.868,14.443,14.607
RBC,2005-12-19,14.462,14.723,14.288,14.404
RBC,2005-12-20,14.336,14.501,14.278,14.462
RBC,2005-12-21,14.355,14.665,14.355,14.568
RBC,2005-12-22,14.52,15.294,14.52,15.227
RBC,2005-12-23,15.14,15.856,14.985,15.769
RBC,2005-12-27,15.778,15.846,15.672,15.769
RBC,2005-12-28,15.817,16.069,15.682,15.953
RBC,2005-12-29,15.924,15.924,15.73,15.875
RBC,2005-12-30,15.778,15.972,15.711,15.73
RBC,2006-01-03,15.972,15.972,15.73,15.807
RBC,2006-01-04,15.74,15.875,15.73,15.846
RBC,2006-01-05,15.846,16.253,15.759,16.233
RBC,2006-01-06,16.214,16.311,15.943,16.156
RBC,2006-01-09,16.359,16.65,16.069,16.65
RBC,2006-01-10,16.408,16.698,16.408,16.698
