ticker,date,open,high,low,close
RPC,2026-02-12,10.005,10.07,8.385,8.5
RPC,2026-02-13,8.51,8.96,8.145,8.7
RPC,2026-02-17,8.72,8.96,8.43,8.54
RPC,2026-02-18,8.667,9.04,8.59,9.02
RPC,2026-02-19,9.102,9.102,8.38,8.64
RPC,2026-02-20,8.525,8.69,8.39,8.51
RPC,2026-02-23,8.27,8.452,8.02,8.04
RPC,2026-02-24,8.42,8.51,8.16,8.32
RPC,2026-02-25,8.295,8.35,8.0,8.29
RPC,2026-02-26,8.275,8.435,8.09,8.29
RPC,2026-02-27,8.01,8.13,7.92,8.07
RPC,2026-03-02,7.95,8.2499,7.95,8.07
RPC,2026-03-03,7.78,8.1695,7.65,8.07
RPC,2026-03-04,8.17,8.24,7.955,7.96
RPC,2026-03-05,7.97,8.12,7.83,7.97
RPC,2026-03-06,7.81,7.81,7.51,7.71
RPC,2026-03-09,7.56,7.78,7.56,7.68
RPC,2026-03-10,7.7,7.78,7.55,7.66
RPC,2026-03-11,7.726,7.726,7.39,7.52
RPC,2026-03-12,7.349,7.49,7.125,7.14
