ticker,date,open,high,low,close
RSI,2020-04-23,9.62,9.62,9.62,9.62
RSI,2020-04-27,9.8,10.0,9.79,9.79
RSI,2020-04-28,9.79,9.79,9.79,9.79
RSI,2020-04-29,9.79,9.79,9.79,9.79
RSI,2020-04-30,9.79,9.79,9.79,9.79
RSI,2020-05-01,9.79,9.79,9.79,9.79
RSI,2020-05-04,9.79,9.79,9.79,9.79
RSI,2020-05-05,9.79,9.79,9.79,9.79
RSI,2020-05-06,9.79,9.79,9.79,9.79
RSI,2020-05-07,9.6,9.6,9.6,9.6
RSI,2020-05-08,9.6,9.6,9.6,9.6
RSI,2020-05-11,9.6,9.6,9.6,9.6
RSI,2020-05-12,9.6,9.6,9.6,9.6
RSI,2020-05-13,9.85,9.85,9.8,9.8
RSI,2020-05-14,9.8,9.8,9.8,9.8
RSI,2020-05-15,9.75,9.75,9.75,9.75
RSI,2020-05-18,9.75,9.75,9.75,9.75
RSI,2020-05-19,9.75,9.75,9.75,9.75
RSI,2020-05-20,9.75,9.75,9.75,9.75
RSI,2020-05-21,9.75,9.75,9.75,9.75
RSI,2020-05-22,9.75,9.75,9.75,9.75
RSI,2020-05-26,9.75,9.75,9.75,9.75
RSI,2020-05-27,9.75,9.75,9.75,9.75
RSI,2020-05-28,9.75,9.75,9.75,9.75
RSI,2020-05-29,9.75,9.75,9.7496,9.7496
RSI,2020-06-01,9.6,9.75,9.6,9.75
RSI,2020-06-02,9.78,9.78,9.6,9.6
RSI,2020-06-03,9.6,9.6,9.6,9.6
RSI,2020-06-04,9.75,9.75,9.6735,9.6735
RSI,2020-06-05,9.78,9.78,9.78,9.78
RSI,2020-06-08,9.51,9.51,9.51,9.51
RSI,2020-06-09,9.8,9.8,9.62,9.63
RSI,2020-06-10,9.63,9.7999,9.63,9.69
RSI,2020-06-11,9.89,9.89,9.89,9.89
RSI,2020-06-12,10.18,10.18,9.89,9.89
RSI,2020-06-15,9.77,9.77,9.61,9.6124
RSI,2020-06-16,9.612,9.612,9.612,9.612
RSI,2020-06-17,9.74,9.74,9.74,9.74
RSI,2020-06-18,9.79,9.79,9.79,9.79
RSI,2020-06-19,9.85,9.85,9.78,9.78
