ticker,date,open,high,low,close
SCL,1973-02-21,1.59,1.59,1.59,1.59
SCL,1973-02-22,1.53,1.53,1.53,1.53
SCL,1973-02-23,1.52,1.52,1.52,1.52
SCL,1973-02-26,1.52,1.52,1.52,1.52
SCL,1973-02-27,1.47,1.47,1.47,1.47
SCL,1973-02-28,1.42,1.42,1.42,1.42
SCL,1973-03-01,1.42,1.42,1.42,1.42
SCL,1973-03-02,1.44,1.44,1.44,1.44
SCL,1973-03-05,1.42,1.42,1.42,1.42
SCL,1973-03-06,1.41,1.41,1.41,1.41
SCL,1973-03-07,1.38,1.38,1.38,1.38
SCL,1973-03-08,1.36,1.36,1.36,1.36
SCL,1973-03-09,1.39,1.39,1.39,1.39
SCL,1973-03-12,1.38,1.38,1.38,1.38
SCL,1973-03-13,1.39,1.39,1.39,1.39
SCL,1973-03-14,1.39,1.39,1.39,1.39
SCL,1973-03-15,1.41,1.41,1.41,1.41
SCL,1973-03-16,1.43,1.43,1.43,1.43
SCL,1973-03-19,1.38,1.38,1.38,1.38
SCL,1973-03-20,1.38,1.38,1.38,1.38
SCL,1973-03-21,1.36,1.36,1.36,1.36
SCL,1973-03-22,1.26,1.26,1.26,1.26
SCL,1973-03-23,1.24,1.24,1.24,1.24
SCL,1973-03-26,1.25,1.25,1.25,1.25
SCL,1973-03-27,1.25,1.25,1.25,1.25
SCL,1973-03-28,1.26,1.26,1.26,1.26
SCL,1973-03-29,1.26,1.26,1.26,1.26
SCL,1973-03-30,1.25,1.25,1.25,1.25
SCL,1973-04-02,1.22,1.22,1.22,1.22
SCL,1973-04-03,1.19,1.19,1.19,1.19
SCL,1973-04-04,1.21,1.21,1.21,1.21
SCL,1973-04-05,1.2,1.2,1.2,1.2
SCL,1973-04-06,1.2,1.2,1.2,1.2
SCL,1973-04-09,1.2,1.2,1.2,1.2
SCL,1973-04-10,1.24,1.24,1.24,1.24
SCL,1973-04-11,1.28,1.28,1.28,1.28
SCL,1973-04-12,1.34,1.34,1.34,1.34
SCL,1973-04-13,1.3,1.3,1.3,1.3
SCL,1973-04-16,1.31,1.31,1.31,1.31
SCL,1973-04-17,1.3,1.3,1.3,1.3
SCL,1973-04-18,1.28,1.28,1.28,1.28
SCL,1973-04-19,1.28,1.28,1.28,1.28
SCL,1973-04-23,1.27,1.27,1.27,1.27
SCL,1973-04-24,1.24,1.24,1.24,1.24
SCL,1973-04-25,1.19,1.19,1.19,1.19
SCL,1973-04-26,1.19,1.19,1.19,1.19
SCL,1973-04-27,1.19,1.19,1.19,1.19
SCL,1973-04-30,1.19,1.19,1.19,1.19
SCL,1973-05-01,1.19,1.19,1.19,1.19
SCL,1973-05-02,1.21,1.21,1.21,1.21
SCL,1973-05-03,0.0,1.22,1.19,1.2
SCL,1973-05-04,0.0,1.24,1.23,1.24
SCL,1973-05-07,1.24,1.24,1.24,1.24
SCL,1973-05-08,0.0,1.25,1.25,1.25
SCL,1973-05-09,0.0,1.27,1.26,1.27
SCL,1973-05-10,0.0,1.28,1.28,1.28
SCL,1973-05-11,1.28,1.28,1.28,1.28
SCL,1973-05-14,0.0,1.27,1.27,1.27
SCL,1973-05-15,0.0,1.27,1.24,1.27
SCL,1973-05-16,0.0,1.3,1.27,1.27
SCL,1973-05-17,1.27,1.27,1.27,1.27
SCL,1973-05-18,0.0,1.28,1.28,1.28
SCL,1973-05-21,0.0,1.25,1.19,1.19
SCL,1973-05-22,0.0,1.17,1.16,1.16
SCL,1973-05-23,0.0,1.16,1.16,1.16
SCL,1973-05-24,0.0,1.15,1.14,1.14
SCL,1973-05-25,0.0,1.14,1.12,1.13
SCL,1973-05-29,1.13,1.13,1.13,1.13
SCL,1973-05-30,0.0,1.15,1.15,1.15
SCL,1973-05-31,1.15,1.15,1.15,1.15
SCL,1973-06-01,0.0,1.13,1.12,1.12
SCL,1973-06-04,0.0,1.11,1.11,1.11
SCL,1973-06-05,0.0,1.1,1.09,1.1
SCL,1973-06-06,0.0,1.1,1.09,1.09
SCL,1973-06-07,0.0,1.11,1.1,1.11
SCL,1973-06-08,0.0,1.12,1.09,1.11
SCL,1973-06-11,0.0,1.11,1.1,1.1
SCL,1973-06-12,0.0,1.11,1.09,1.11
SCL,1973-06-13,1.11,1.11,1.11,1.11
SCL,1973-06-14,0.0,1.12,1.12,1.12
SCL,1973-06-15,1.12,1.12,1.12,1.12
SCL,1973-06-18,1.12,1.12,1.12,1.12
SCL,1973-06-19,1.12,1.12,1.12,1.12
SCL,1973-06-20,0.0,1.1,1.1,1.1
SCL,1973-06-21,1.1,1.1,1.1,1.1
SCL,1973-06-22,1.1,1.1,1.1,1.1
SCL,1973-06-25,0.0,1.09,1.09,1.09
SCL,1973-06-26,0.0,1.07,1.06,1.06
SCL,1973-06-27,0.0,1.07,1.06,1.06
SCL,1973-06-28,0.0,1.05,1.05,1.05
SCL,1973-06-29,0.0,1.04,1.03,1.03
SCL,1973-07-02,0.0,1.05,1.04,1.05
SCL,1973-07-03,0.0,1.05,1.05,1.05
SCL,1973-07-05,1.05,1.05,1.05,1.05
SCL,1973-07-06,0.0,1.06,1.06,1.06
SCL,1973-07-09,0.0,1.05,1.03,1.03
