ticker,date,open,high,low,close
SKT,1993-05-28,5.91,6.28,5.88,6.25
SKT,1993-06-01,6.25,6.38,6.16,6.19
SKT,1993-06-02,6.19,6.47,6.19,6.38
SKT,1993-06-03,6.38,6.56,6.38,6.38
SKT,1993-06-04,6.34,6.41,6.19,6.34
SKT,1993-06-07,6.31,6.34,6.19,6.19
SKT,1993-06-08,6.19,6.19,6.06,6.09
SKT,1993-06-09,6.06,6.12,5.97,5.97
SKT,1993-06-10,6.0,6.09,6.0,6.03
SKT,1993-06-11,6.09,6.16,6.03,6.12
SKT,1993-06-14,6.12,6.22,6.12,6.19
SKT,1993-06-15,6.16,6.19,6.09,6.12
SKT,1993-06-16,6.19,6.22,6.16,6.19
SKT,1993-06-17,6.16,6.25,6.16,6.19
SKT,1993-06-18,6.19,6.28,6.19,6.19
SKT,1993-06-21,6.19,6.28,6.16,6.25
SKT,1993-06-22,6.25,6.41,6.25,6.31
SKT,1993-06-23,6.31,6.31,6.28,6.28
SKT,1993-06-24,6.31,6.34,6.22,6.22
SKT,1993-06-25,6.28,6.28,6.22,6.22
SKT,1993-06-28,6.28,6.28,6.25,6.28
SKT,1993-06-29,6.25,6.28,6.19,6.22
SKT,1993-06-30,6.25,6.38,6.22,6.38
SKT,1993-07-01,6.44,6.59,6.44,6.59
SKT,1993-07-02,6.56,6.59,6.53,6.56
SKT,1993-07-06,6.53,6.66,6.53,6.66
SKT,1993-07-07,6.66,6.75,6.62,6.75
SKT,1993-07-08,6.69,7.0,6.69,6.97
SKT,1993-07-09,7.03,7.19,7.0,7.0
SKT,1993-07-12,6.97,7.0,6.91,6.97
SKT,1993-07-13,7.0,7.12,7.0,7.06
SKT,1993-07-14,7.09,7.19,7.03,7.09
SKT,1993-07-15,7.06,7.09,7.03,7.03
SKT,1993-07-16,7.06,7.06,6.59,6.66
SKT,1993-07-19,6.66,6.66,6.66,6.66
SKT,1993-07-20,6.59,6.62,6.59,6.59
SKT,1993-07-21,6.62,6.69,6.62,6.66
SKT,1993-07-22,6.72,6.72,6.66,6.66
SKT,1993-07-23,6.72,6.78,6.72,6.75
SKT,1993-07-26,6.78,6.78,6.69,6.69
SKT,1993-07-27,6.69,6.72,6.59,6.59
SKT,1993-07-28,6.62,6.75,6.59,6.75
SKT,1993-07-29,6.75,6.91,6.75,6.91
SKT,1993-07-30,7.0,7.0,6.94,6.97
SKT,1993-08-02,6.97,6.97,6.88,6.91
SKT,1993-08-03,6.91,6.97,6.91,6.97
SKT,1993-08-04,6.94,6.94,6.91,6.91
SKT,1993-08-05,6.88,6.91,6.88,6.88
SKT,1993-08-06,6.88,6.94,6.88,6.91
SKT,1993-08-09,6.88,6.91,6.88,6.88
SKT,1993-08-10,6.88,6.88,6.88,6.88
SKT,1993-08-11,6.88,6.94,6.78,6.78
SKT,1993-08-12,6.75,6.75,6.69,6.75
SKT,1993-08-13,6.69,6.81,6.69,6.78
SKT,1993-08-16,6.78,6.78,6.72,6.72
SKT,1993-08-17,6.69,6.78,6.69,6.75
SKT,1993-08-18,6.75,6.75,6.72,6.75
SKT,1993-08-19,6.75,6.75,6.69,6.69
SKT,1993-08-20,6.72,6.72,6.66,6.66
SKT,1993-08-23,6.66,6.69,6.66,6.66
SKT,1993-08-24,6.66,6.66,6.62,6.62
SKT,1993-08-25,6.56,6.56,6.5,6.5
SKT,1993-08-26,6.5,6.59,6.5,6.56
SKT,1993-08-27,6.59,6.66,6.59,6.62
SKT,1993-08-30,6.69,6.72,6.66,6.66
SKT,1993-08-31,6.69,6.81,6.69,6.81
SKT,1993-09-01,6.94,7.0,6.91,6.97
