ticker,date,open,high,low,close
SMC,2024-08-05,34.98,36.66,34.0,36.0
SMC,2024-08-06,36.11,37.0,35.0,36.01
SMC,2024-08-07,36.185,37.35,35.67,36.07
SMC,2024-08-08,35.79,37.02,35.79,37.0
SMC,2024-08-09,36.9,37.0,35.37,36.42
SMC,2024-08-12,36.38,36.38,34.84,34.84
SMC,2024-08-13,34.8,35.598,33.48,34.4
SMC,2024-08-14,33.82,35.46,33.4501,34.76
SMC,2024-08-15,34.7,35.46,34.36,34.78
SMC,2024-08-16,34.92,34.9946,34.54,34.81
SMC,2024-08-19,34.7117,35.93,34.71,35.69
SMC,2024-08-20,35.99,36.49,35.56,36.15
SMC,2024-08-21,36.5,36.5,35.56,35.73
SMC,2024-08-22,35.28,36.735,35.28,36.37
SMC,2024-08-23,36.66,37.62,36.04,36.93
SMC,2024-08-26,37.0,37.045,36.75,36.89
SMC,2024-08-27,36.95,36.99,35.61,36.54
SMC,2024-08-28,36.36,36.44,36.1388,36.44
SMC,2024-08-29,36.2,36.91,36.01,36.67
SMC,2024-08-30,36.24,36.87,36.18,36.85
SMC,2024-09-03,36.53,37.71,36.53,36.93
SMC,2024-09-04,37.2,37.67,36.75,37.02
SMC,2024-09-05,36.87,37.28,36.3,36.98
SMC,2024-09-06,36.68,36.68,36.18,36.65
SMC,2024-09-09,37.05,39.18,36.99,38.08
SMC,2024-09-10,38.04,38.21,37.09,37.56
SMC,2024-09-11,37.84,38.04,36.375,37.22
SMC,2024-09-12,37.4,37.4,36.64,36.98
SMC,2024-09-13,36.83,37.1,33.77,34.59
SMC,2024-09-16,34.6,36.21,34.6,35.97
SMC,2024-09-17,36.39,37.79,35.62,36.78
SMC,2024-09-18,36.31,37.51,36.24,37.0
SMC,2024-09-19,37.425,37.93,35.8,36.39
SMC,2024-09-20,35.88,37.27,35.6,35.91
SMC,2024-09-23,36.46,36.95,34.94,35.78
SMC,2024-09-24,36.0,36.4,35.71,35.82
SMC,2024-09-25,35.45,36.56,34.1,34.38
SMC,2024-09-26,34.61,34.68,33.13,33.61
SMC,2024-09-27,34.04,35.33,33.69,34.59
SMC,2024-09-30,34.55,35.85,34.0,35.03
SMC,2024-10-01,34.5,35.2,34.26,34.45
SMC,2024-10-02,35.507,38.05,35.49,37.75
SMC,2024-10-03,37.1,38.69,37.1,37.99
SMC,2024-10-04,37.12,37.12,37.0,37.12
SMC,2024-10-07,36.65,36.99,34.93,35.03
SMC,2024-10-08,34.67,35.415,34.14,35.16
SMC,2024-10-09,35.16,36.23,35.14,35.88
SMC,2024-10-10,35.74,37.02,35.56,35.91
SMC,2024-10-11,36.25,36.87,35.7,36.15
SMC,2024-10-14,36.19,36.42,35.78,35.85
SMC,2024-10-15,36.24,36.3694,35.0,35.09
SMC,2024-10-16,35.27,36.14,35.16,35.48
SMC,2024-10-17,35.77,36.2675,34.7,35.73
SMC,2024-10-18,35.89,36.01,35.27,35.74
SMC,2024-10-21,35.6102,36.29,35.505,35.97
SMC,2024-10-22,35.95,36.335,35.19,35.47
SMC,2024-10-23,35.46,35.78,34.5,35.16
SMC,2024-10-24,35.46,35.47,34.51,34.76
SMC,2024-10-25,35.1,35.88,34.79,34.92
SMC,2024-10-28,35.07,35.23,34.0,35.0
SMC,2024-10-29,34.44,35.9937,34.25,34.41
SMC,2024-10-30,34.0,35.41,34.0,35.21
SMC,2024-10-31,35.48,35.7828,34.63,34.92
SMC,2024-11-01,35.0,35.0,33.29,33.48
SMC,2024-11-04,33.0,33.618,31.81,32.88
SMC,2024-11-05,33.17,34.94,33.17,34.67
SMC,2024-11-06,35.71,35.98,35.01,35.64
SMC,2024-11-07,35.33,36.2,35.33,35.8
SMC,2024-11-08,35.59,36.14,35.46,35.86
SMC,2024-11-11,36.1516,36.3,35.6,36.0
SMC,2024-11-12,36.45,38.01,35.35,35.73
SMC,2024-11-13,35.71,35.7141,34.7,35.02
SMC,2024-11-14,35.18,35.96,35.18,35.34
SMC,2024-11-15,35.16,35.685,35.16,35.54
SMC,2024-11-18,35.465,36.14,35.39,36.14
SMC,2024-11-19,36.11,36.11,35.4,36.0
SMC,2024-11-20,35.97,36.14,35.69,36.0
SMC,2024-11-21,35.95,36.53,35.95,36.0
SMC,2024-11-22,36.0819,38.7418,36.05,37.35
SMC,2024-11-25,37.4,38.1099,36.86,37.36
SMC,2024-11-26,38.115,38.115,36.88,37.13
SMC,2024-11-27,37.58,37.59,37.2306,37.46
SMC,2024-11-29,37.46,38.155,37.425,37.79
SMC,2024-12-02,38.0,38.2703,37.55,37.88
SMC,2024-12-03,37.98,38.1,37.43,38.01
SMC,2024-12-04,37.82,38.33,37.01,37.3
SMC,2024-12-05,36.9039,38.11,36.9039,37.95
SMC,2024-12-06,38.07,38.13,37.09,37.81
SMC,2024-12-09,37.74,38.09,36.43,37.39
SMC,2025-01-27,43.09,43.113,39.551,39.73
SMC,2025-01-28,39.5,40.945,38.97,40.71
SMC,2025-01-29,41.06,41.7799,40.5,41.17
SMC,2025-01-30,41.32,41.85,40.785,41.56
SMC,2025-01-31,41.0,42.72,41.0,41.54
SMC,2025-02-03,41.28,41.5,40.68,41.27
SMC,2025-02-04,40.74,43.05,40.74,42.71
SMC,2025-02-05,42.7,43.45,41.9,43.01
SMC,2025-02-06,42.54,43.99,42.54,43.79
SMC,2025-02-07,43.5,43.5,42.29,42.66
SMC,2025-02-10,42.495,44.185,42.42,43.41
SMC,2025-02-11,43.35,44.49,42.96,43.89
SMC,2025-02-12,43.55,44.67,43.16,43.88
SMC,2025-02-13,44.0734,45.4087,43.43,45.21
SMC,2025-02-14,45.015,45.36,43.91,44.2
SMC,2025-02-18,44.305,45.89,43.905,45.13
SMC,2025-02-19,45.355,45.355,44.83,45.0
SMC,2025-02-20,44.72,45.38,43.1,45.12
SMC,2025-02-21,44.9,45.21,43.34,43.36
SMC,2025-02-24,43.73,43.73,42.22,42.22
SMC,2025-02-25,42.01,42.355,40.94,41.84
SMC,2025-02-26,41.64,42.33,41.21,42.17
SMC,2025-02-27,42.1035,42.865,42.1035,42.18
SMC,2025-02-28,42.38,45.34,41.45,45.02
SMC,2025-03-03,44.695,44.7149,42.4301,42.61
SMC,2025-03-04,41.19,41.94,40.5613,41.54
SMC,2025-03-05,41.0,41.0,40.1,40.47
SMC,2025-03-06,40.0,41.0,39.0,39.3
SMC,2025-03-07,39.69,40.035,38.45,39.66
SMC,2025-03-10,39.54,40.24,37.86,38.71
SMC,2025-03-11,38.1,39.33,37.1175,37.68
SMC,2025-03-12,38.4791,38.96,37.5,37.62
SMC,2025-03-13,38.125,38.125,36.8,36.82
SMC,2025-03-14,37.4,37.8,37.16,37.44
SMC,2025-03-17,37.79,39.64,37.46,38.71
SMC,2025-03-18,38.29,38.635,37.46,37.47
SMC,2025-03-19,37.48,38.21,37.0,37.93
SMC,2025-03-20,37.84,38.3,37.38,37.49
SMC,2025-03-21,36.86,36.88,35.83,36.22
SMC,2025-03-24,36.5,36.5,35.72,36.2
SMC,2025-03-25,36.17,36.23,35.47,35.7
SMC,2025-03-26,35.69,36.1,34.84,35.45
SMC,2025-03-27,35.34,35.71,35.05,35.44
SMC,2025-03-28,34.21,34.21,34.11,34.21
SMC,2025-03-31,33.76,34.7881,33.1,33.89
SMC,2025-04-01,33.94,33.94,32.9,33.25
SMC,2025-04-02,33.1,37.445,33.09,36.81
SMC,2025-04-03,31.82,31.82,31.73,31.82
SMC,2025-04-04,31.0,31.0,27.835,29.35
SMC,2025-04-07,28.77,29.8018,25.84,26.72
SMC,2025-04-08,28.71,29.48,26.78,27.39
SMC,2025-04-09,27.0,29.979,25.8,29.1
SMC,2025-04-10,27.83,28.603,26.935,27.09
SMC,2025-04-11,26.72,27.14,26.26,26.41
SMC,2025-04-14,27.07,27.4,26.42,27.22
SMC,2025-04-15,27.21,28.76,27.21,27.84
SMC,2025-04-16,27.855,29.05,27.85,27.85
SMC,2025-04-17,27.975,29.29,27.57,29.11
SMC,2025-04-21,28.6205,28.6205,27.0799,27.7
SMC,2025-04-22,27.705,29.02,27.705,28.71
