ticker,date,open,high,low,close
SMWB,2021-05-12,20.76,22.0,19.75,21.87
SMWB,2021-05-13,22.94,22.99,21.24,21.25
SMWB,2021-05-14,21.15,21.6869,21.0,21.34
SMWB,2021-05-17,21.27,21.56,20.9201,21.39
SMWB,2021-05-18,21.25,21.25,20.5,20.97
SMWB,2021-05-19,21.49,21.75,21.0,21.29
SMWB,2021-05-20,21.5,21.8533,20.97,21.29
SMWB,2021-05-21,21.2,21.33,20.67,20.8
SMWB,2021-05-24,20.45,21.32,20.27,21.0
SMWB,2021-05-25,20.88,21.32,20.29,21.2
SMWB,2021-05-26,21.39,21.5,20.21,20.84
SMWB,2021-05-27,21.0,21.99,21.0,21.55
SMWB,2021-05-28,21.54,21.65,21.2501,21.34
SMWB,2021-06-01,21.59,21.95,21.45,21.53
SMWB,2021-06-02,21.56,21.7156,21.3,21.5
SMWB,2021-06-03,21.25,22.33,21.21,21.61
SMWB,2021-06-04,21.59,21.81,21.49,21.79
SMWB,2021-06-07,21.88,22.34,21.0,21.8
SMWB,2021-06-08,21.98,22.2,21.6,21.93
SMWB,2021-06-09,22.12,22.16,21.82,21.9
SMWB,2021-06-10,21.9,22.17,21.71,22.02
SMWB,2021-06-11,21.99,22.115,21.52,21.73
SMWB,2021-06-14,21.98,22.05,21.12,21.3
SMWB,2021-06-15,21.1,21.3,20.24,20.31
SMWB,2021-06-16,20.17,20.42,19.05,20.31
SMWB,2021-06-17,20.15,20.49,19.13,19.77
SMWB,2021-06-18,19.57,19.61,18.71,19.07
SMWB,2021-06-21,19.25,19.36,18.4,18.82
SMWB,2021-06-22,18.86,19.49,18.74,19.11
SMWB,2021-06-23,19.31,20.12,18.82,19.03
SMWB,2021-06-24,19.08,19.72,19.08,19.32
SMWB,2021-06-25,19.35,19.49,18.55,18.78
SMWB,2021-06-28,19.02,19.27,17.81,18.35
SMWB,2021-06-29,19.0,19.39,18.76,19.27
SMWB,2021-06-30,19.54,19.86,19.25,19.7
SMWB,2021-07-01,19.7,19.7916,19.26,19.56
SMWB,2021-07-02,19.5,19.79,19.4,19.64
SMWB,2021-07-06,19.8,20.54,19.8,20.14
SMWB,2021-07-07,20.33,20.5,19.95,20.43
SMWB,2021-07-08,20.11,21.04,19.7153,20.87
SMWB,2021-07-09,21.16,22.61,21.0658,22.55
SMWB,2021-07-12,22.55,24.7,21.15,22.0
SMWB,2021-07-13,21.64,22.41,21.1183,21.65
SMWB,2021-07-14,21.8,22.94,21.5,22.1
SMWB,2021-07-15,22.25,23.1965,22.01,22.73
SMWB,2021-07-16,22.93,23.1581,22.41,22.86
SMWB,2021-07-19,22.3,23.48,22.01,23.31
SMWB,2021-07-20,23.55,24.48,22.72,22.91
SMWB,2021-07-21,22.75,23.35,22.48,22.89
SMWB,2021-07-22,23.0,24.15,22.62,23.95
SMWB,2021-07-23,24.09,24.75,23.602,24.7
SMWB,2021-07-26,25.02,25.5,24.1,24.2
SMWB,2021-07-27,24.43,25.28,23.77,24.32
SMWB,2021-07-28,24.25,24.85,23.46,23.49
SMWB,2021-07-29,23.05,23.98,23.0,23.9
SMWB,2021-07-30,23.84,24.17,23.6729,23.98
SMWB,2021-08-02,24.19,24.7,23.81,24.48
SMWB,2021-08-03,24.65,24.65,23.63,24.19
SMWB,2021-08-04,24.36,24.61,24.12,24.57
SMWB,2021-08-05,24.87,24.87,24.175,24.33
SMWB,2021-08-06,24.22,24.475,24.1001,24.26
SMWB,2021-08-09,24.5,24.5,23.79,24.08
SMWB,2021-08-10,24.5,24.81,23.95,24.76
SMWB,2021-08-11,24.8,25.49,20.53,20.6
SMWB,2021-08-12,20.32,21.52,19.7,21.43
SMWB,2021-08-13,21.11,23.48,21.1,23.0
SMWB,2021-08-16,22.2,22.6263,21.66,22.31
SMWB,2021-08-17,22.3,22.4,20.72,20.96
SMWB,2021-08-18,20.81,21.15,20.51,20.74
SMWB,2021-08-19,20.36,20.92,20.2464,20.34
SMWB,2021-08-20,20.42,20.47,19.66,19.95
SMWB,2021-08-23,20.12,20.199,19.2,19.23
SMWB,2021-08-24,19.04,19.35,18.22,18.89
SMWB,2021-08-25,18.88,19.17,18.59,18.87
SMWB,2021-08-26,18.81,18.899,18.31,18.41
SMWB,2021-08-27,18.35,18.85,18.09,18.71
SMWB,2021-08-30,18.68,19.37,18.68,19.19
SMWB,2021-08-31,19.25,19.3599,18.99,19.1
SMWB,2021-09-01,19.23,20.41,18.95,20.06
SMWB,2021-09-02,20.17,21.41,20.17,21.13
SMWB,2021-09-03,20.88,21.34,20.7,21.19
SMWB,2021-09-07,20.99,21.23,20.705,21.04
SMWB,2021-09-08,20.98,21.18,20.01,20.34
SMWB,2021-09-09,20.3,21.57,19.805,21.16
SMWB,2021-09-10,21.18,21.52,20.815,20.93
SMWB,2021-09-13,21.37,21.85,20.88,21.35
SMWB,2021-09-14,20.9966,21.99,20.9966,21.91
SMWB,2021-09-15,22.0,23.0,21.65,21.86
SMWB,2021-09-16,21.6,22.91,21.6,22.34
SMWB,2021-09-17,22.89,23.0,22.41,22.72
SMWB,2021-09-20,21.85,22.48,20.57,20.93
SMWB,2021-09-21,21.01,21.83,20.41,21.43
SMWB,2021-09-22,21.68,21.79,19.8,20.22
SMWB,2021-09-23,20.42,21.2,19.83,20.88
SMWB,2021-09-24,20.83,21.5,20.115,21.16
SMWB,2021-09-27,21.15,22.0,20.47,21.53
SMWB,2021-09-28,21.14,21.99,21.07,21.34
SMWB,2021-09-29,21.41,22.59,20.79,21.25
SMWB,2021-09-30,21.37,21.6,20.71,20.93
SMWB,2021-10-01,20.65,21.08,20.25,20.35
SMWB,2021-10-04,20.01,20.01,18.01,18.83
SMWB,2021-10-05,18.99,19.96,18.62,19.37
SMWB,2021-10-06,19.07,19.81,18.54,19.34
SMWB,2021-10-07,19.91,20.31,19.2,19.99
SMWB,2021-10-08,19.85,20.44,19.53,19.74
SMWB,2021-10-11,19.77,20.46,18.88,19.0
SMWB,2021-10-12,19.34,19.39,18.8,19.03
SMWB,2021-10-13,19.34,20.13,19.12,19.86
SMWB,2021-10-14,20.2,20.7499,20.02,20.24
SMWB,2021-10-15,20.52,20.61,20.0,20.03
SMWB,2021-10-18,19.76,21.27,19.26,20.44
SMWB,2021-10-19,20.58,21.41,20.22,20.45
SMWB,2021-10-20,20.71,20.935,19.75,20.11
SMWB,2021-10-21,19.96,20.68,19.64,20.61
SMWB,2021-10-22,20.52,20.52,19.39,19.39
SMWB,2021-10-25,19.27,19.97,19.24,19.44
SMWB,2021-10-26,19.49,20.0,18.6903,18.83
SMWB,2021-10-27,18.95,19.1794,18.45,18.9
SMWB,2021-10-28,19.0,19.79,19.0,19.4
SMWB,2021-10-29,19.2598,19.495,19.0,19.24
SMWB,2021-11-01,19.0,19.4,18.35,19.39
SMWB,2021-11-02,19.31,19.97,18.86,19.26
SMWB,2021-11-03,19.41,20.18,19.36,20.08
SMWB,2021-11-04,20.0,20.48,19.225,19.63
SMWB,2021-11-05,19.3,19.925,18.89,19.85
SMWB,2021-11-08,19.7,19.9,18.81,19.32
SMWB,2021-11-09,19.32,19.32,18.33,18.75
SMWB,2021-11-10,18.5,19.26,16.06,16.25
SMWB,2021-11-11,16.5,18.0,16.5,17.81
SMWB,2021-11-12,17.42,18.65,17.42,18.47
SMWB,2021-11-15,18.43,20.12,18.4,19.74
SMWB,2021-11-16,19.34,19.9,18.89,19.85
SMWB,2021-11-17,20.0,20.97,18.975,19.13
SMWB,2021-11-18,19.41,19.8,18.96,19.4
SMWB,2021-11-19,19.34,19.8,19.31,19.72
SMWB,2021-11-22,19.8,19.8,18.76,19.59
SMWB,2021-11-23,19.71,19.8,17.77,18.58
SMWB,2021-11-24,18.0,18.8376,17.75,18.0
SMWB,2021-11-26,17.67,18.29,17.19,17.45
SMWB,2021-11-29,17.82,18.02,16.27,16.54
SMWB,2021-11-30,16.5,17.46,16.385,17.36
SMWB,2021-12-01,17.64,18.19,16.5,16.5
SMWB,2021-12-02,16.5,17.39,16.1,17.15
SMWB,2021-12-03,17.13,17.13,15.41,15.68
SMWB,2021-12-06,16.72,16.72,14.655,15.63
SMWB,2021-12-07,16.01,17.16,15.77,16.48
SMWB,2021-12-08,17.1,17.66,15.97,17.45
SMWB,2021-12-09,17.59,17.95,16.02,16.3
SMWB,2021-12-10,16.31,16.72,15.295,15.93
SMWB,2021-12-13,15.77,16.01,14.7,14.73
SMWB,2021-12-14,14.58,15.58,14.44,15.39
SMWB,2021-12-15,15.31,15.97,15.15,15.61
SMWB,2021-12-16,15.73,15.9,15.1,15.63
SMWB,2021-12-17,15.46,16.86,15.195,16.45
SMWB,2021-12-20,16.985,17.55,16.265,17.09
SMWB,2021-12-21,17.26,17.86,17.0,17.58
SMWB,2021-12-22,17.77,18.0,17.38,17.74
SMWB,2021-12-23,17.84,18.38,17.29,18.29
SMWB,2021-12-27,18.15,18.635,18.09,18.36
SMWB,2021-12-28,18.35,18.51,17.65,17.89
SMWB,2021-12-29,17.92,17.92,17.15,17.47
SMWB,2021-12-30,17.42,18.04,17.3907,17.65
SMWB,2021-12-31,17.5,18.055,17.44,17.91
SMWB,2022-01-03,18.04,18.04,17.2,17.52
SMWB,2022-01-04,17.28,17.93,17.03,17.84
SMWB,2022-01-05,17.53,18.21,17.04,17.18
SMWB,2022-01-06,17.82,18.28,16.54,17.72
SMWB,2022-01-07,17.86,18.16,17.045,17.47
SMWB,2022-01-10,17.21,17.51,16.55,17.21
SMWB,2022-01-11,16.96,18.11,16.96,18.02
SMWB,2022-01-12,18.0,18.31,17.35,17.5
SMWB,2022-01-13,17.6,17.8062,16.71,16.77
SMWB,2022-01-14,16.44,17.34,16.36,17.02
SMWB,2022-01-18,16.5,16.94,16.25,16.5
SMWB,2022-01-19,16.66,17.12,15.55,16.61
SMWB,2022-01-20,16.79,17.085,16.16,16.17
SMWB,2022-01-21,15.99,16.06,14.89,14.94
SMWB,2022-01-24,14.81,14.87,13.58,14.03
SMWB,2022-01-25,13.695,14.19,13.27,13.56
SMWB,2022-01-26,13.87,14.44,13.17,13.38
SMWB,2022-01-27,13.52,13.76,12.59,12.61
SMWB,2022-01-28,12.53,13.43,11.88,13.42
SMWB,2022-01-31,13.34,14.55,13.34,14.39
SMWB,2022-02-01,14.49,14.97,13.97,14.23
SMWB,2022-02-02,14.29,14.31,13.21,13.62
SMWB,2022-02-03,13.23,13.515,12.94,12.95
SMWB,2022-02-04,12.92,14.0275,12.92,13.71
SMWB,2022-02-07,13.67,14.18,13.31,13.55
SMWB,2022-02-08,13.47,14.315,13.47,14.23
SMWB,2022-02-09,14.57,14.7275,13.78,14.7
SMWB,2022-02-10,14.42,15.22,14.21,14.22
SMWB,2022-02-11,14.04,14.29,13.25,13.7
SMWB,2022-02-14,13.77,14.5,13.75,14.08
SMWB,2022-02-15,14.34,14.8,14.34,14.46
SMWB,2022-02-16,14.65,15.025,13.575,14.11
SMWB,2022-02-17,13.82,13.82,12.83,12.85
SMWB,2022-02-18,13.07,13.07,12.45,12.71
SMWB,2022-02-22,12.37,12.91,12.28,12.54
SMWB,2022-02-23,13.34,13.65,12.51,12.51
SMWB,2022-02-24,12.09,13.75,12.0,13.74
SMWB,2022-02-25,13.79,13.79,13.09,13.58
SMWB,2022-02-28,13.38,14.175,13.35,13.88
SMWB,2022-03-01,13.88,14.83,13.65,14.33
SMWB,2022-03-02,14.38,14.52,13.91,14.43
SMWB,2022-03-03,14.56,14.56,13.83,14.02
SMWB,2022-03-04,14.0,14.42,13.3046,13.5
SMWB,2022-03-07,13.56,14.39,13.2116,13.59
SMWB,2022-03-08,13.54,13.79,13.1101,13.21
SMWB,2022-03-09,13.74,13.9,12.94,13.36
SMWB,2022-03-10,13.17,13.22,12.35,12.63
SMWB,2022-03-11,12.86,12.86,12.11,12.15
SMWB,2022-03-14,11.97,12.26,11.53,11.71
SMWB,2022-03-15,11.6,11.98,11.5,11.93
SMWB,2022-03-16,12.12,12.86,11.92,12.29
SMWB,2022-03-17,12.31,12.93,12.31,12.8
SMWB,2022-03-18,12.76,13.54,12.76,13.5
SMWB,2022-03-21,13.39,13.57,13.0,13.12
SMWB,2022-03-22,13.19,13.79,13.14,13.54
SMWB,2022-03-23,13.41,13.55,13.05,13.14
SMWB,2022-03-24,13.15,13.63,12.57,13.57
SMWB,2022-03-25,13.63,13.74,12.61,12.8
SMWB,2022-03-28,12.9,13.26,12.58,13.1
SMWB,2022-03-29,13.22,14.1282,13.22,13.96
SMWB,2022-03-30,13.82,14.09,13.1,13.2
SMWB,2022-03-31,13.38,13.5006,12.56,12.95
SMWB,2022-04-01,12.98,13.45,12.82,13.43
SMWB,2022-04-04,13.7,14.225,13.39,14.09
SMWB,2022-04-05,13.9,13.9,13.1,13.29
SMWB,2022-04-06,13.1,13.34,12.62,12.94
SMWB,2022-04-07,12.81,13.12,12.3,13.01
SMWB,2022-04-08,12.85,13.09,12.39,12.9
SMWB,2022-04-11,12.68,13.34,12.56,13.12
SMWB,2022-04-12,13.36,13.695,13.03,13.18
SMWB,2022-04-13,13.1,14.3,12.6734,14.09
SMWB,2022-04-14,14.0,14.0,13.55,13.69
SMWB,2022-04-18,13.55,13.62,13.07,13.1
SMWB,2022-04-19,13.1,13.96,13.03,13.8
SMWB,2022-04-20,13.83,14.49,13.55,13.61
SMWB,2022-04-21,13.86,13.86,13.1,13.18
