ticker,date,open,high,low,close
SSD,1994-05-26,3.03,3.06,2.91,3.03
SSD,1994-05-27,3.06,3.19,3.0,3.16
SSD,1994-05-31,3.19,3.19,3.09,3.12
SSD,1994-06-01,3.19,3.19,3.0,3.0
SSD,1994-06-02,3.12,3.12,3.03,3.03
SSD,1994-06-03,3.06,3.06,3.0,3.03
SSD,1994-06-06,3.0,3.09,3.0,3.09
SSD,1994-06-07,3.06,3.06,3.0,3.0
SSD,1994-06-08,3.06,3.06,3.0,3.06
SSD,1994-06-09,3.06,3.06,3.0,3.06
SSD,1994-06-10,3.06,3.12,3.03,3.12
SSD,1994-06-13,3.12,3.12,3.03,3.06
SSD,1994-06-14,3.12,3.12,3.03,3.03
SSD,1994-06-15,3.09,3.09,3.0,3.0
SSD,1994-06-16,3.09,3.12,3.06,3.06
SSD,1994-06-17,3.12,3.12,3.06,3.06
SSD,1994-06-20,3.09,3.09,3.06,3.06
SSD,1994-06-21,3.06,3.06,3.0,3.0
SSD,1994-06-22,3.0,3.06,3.0,3.06
SSD,1994-06-23,3.03,3.03,2.97,2.97
SSD,1994-06-24,3.03,3.03,2.97,2.97
SSD,1994-06-27,3.03,3.03,2.88,2.88
SSD,1994-06-28,2.97,2.97,2.97,2.97
SSD,1994-06-29,2.88,2.88,2.88,2.88
SSD,1994-06-30,2.97,2.97,2.97,2.97
SSD,1994-07-01,2.97,2.97,2.97,2.97
SSD,1994-07-05,2.97,2.97,2.88,2.97
SSD,1994-07-06,2.88,2.97,2.88,2.88
SSD,1994-07-07,2.88,2.88,2.88,2.88
SSD,1994-07-08,2.97,2.97,2.97,2.97
SSD,1994-07-11,2.97,2.97,2.91,2.97
SSD,1994-07-12,2.97,2.97,2.97,2.97
SSD,1994-07-13,2.97,2.97,2.97,2.97
SSD,1994-07-14,2.97,2.97,2.91,2.91
SSD,1994-07-15,2.88,2.97,2.88,2.97
SSD,1994-07-18,2.88,3.0,2.88,3.0
SSD,1994-07-19,3.0,3.02,2.88,3.0
SSD,1994-07-20,3.06,3.06,3.0,3.06
SSD,1994-07-21,3.03,3.03,3.03,3.03
SSD,1994-07-22,3.06,3.06,3.06,3.06
SSD,1994-07-25,3.0,3.0,2.97,2.97
SSD,1994-07-26,3.0,3.06,3.0,3.06
SSD,1994-07-27,2.97,3.03,2.94,2.94
SSD,1994-07-28,3.03,3.03,3.03,3.03
SSD,1994-07-29,3.0,3.03,3.0,3.03
SSD,1994-08-01,3.03,3.03,3.03,3.03
SSD,1994-08-02,3.0,3.02,2.97,3.02
SSD,1994-08-03,3.0,3.0,2.97,2.97
SSD,1994-08-04,2.97,2.97,2.97,2.97
SSD,1994-08-05,2.94,2.94,2.72,2.75
SSD,1994-08-08,2.84,2.91,2.84,2.91
SSD,1994-08-09,2.91,2.91,2.81,2.81
SSD,1994-08-10,2.88,2.88,2.78,2.78
SSD,1994-08-11,2.78,2.78,2.78,2.78
SSD,1994-08-12,2.78,2.84,2.78,2.84
SSD,1994-08-15,2.84,2.84,2.75,2.75
SSD,1994-08-16,2.75,2.75,2.75,2.75
SSD,1994-08-17,2.75,2.84,2.75,2.84
SSD,1994-08-18,2.84,2.84,2.84,2.84
SSD,1994-08-19,2.84,2.84,2.84,2.84
SSD,1994-08-22,2.75,2.88,2.75,2.88
SSD,1994-08-23,2.88,2.88,2.81,2.81
SSD,1994-08-24,2.88,2.88,2.75,2.75
SSD,1994-08-25,2.75,2.75,2.75,2.75
SSD,1994-08-26,2.75,2.88,2.75,2.88
SSD,1994-08-29,2.81,2.88,2.75,2.84
SSD,1994-08-30,2.88,2.88,2.81,2.81
SSD,1994-08-31,2.88,2.88,2.88,2.88
SSD,1994-09-01,2.81,2.88,2.81,2.84
SSD,1994-09-02,2.88,2.88,2.88,2.88
SSD,1994-09-06,2.81,2.81,2.81,2.81
SSD,1994-09-07,2.84,2.84,2.81,2.81
SSD,1994-09-08,2.8,2.88,2.8,2.88
SSD,1994-09-09,2.88,2.88,2.81,2.81
SSD,1994-09-12,2.88,2.88,2.81,2.81
SSD,1994-09-13,2.84,2.84,2.84,2.84
SSD,1994-09-14,2.81,2.81,2.81,2.81
SSD,1994-09-15,2.81,2.88,2.81,2.88
SSD,1994-09-16,2.88,2.88,2.88,2.88
SSD,1994-09-19,2.88,2.88,2.78,2.78
SSD,1994-09-20,2.78,2.81,2.69,2.72
SSD,1994-09-21,2.69,2.69,2.62,2.66
SSD,1994-09-22,2.75,2.75,2.75,2.75
SSD,1994-09-23,2.75,2.75,2.56,2.56
SSD,1994-09-26,2.59,2.62,2.56,2.62
SSD,1994-09-27,2.5,2.5,2.44,2.47
SSD,1994-09-28,2.56,2.62,2.56,2.62
SSD,1994-09-29,2.62,2.62,2.62,2.62
SSD,1994-09-30,2.69,2.69,2.59,2.59
SSD,1994-10-03,2.66,2.69,2.62,2.69
SSD,1994-10-04,2.69,2.69,2.69,2.69
SSD,1994-10-05,2.59,2.69,2.59,2.69
SSD,1994-10-06,2.59,2.69,2.56,2.62
SSD,1994-10-07,2.62,2.62,2.62,2.62
SSD,1994-10-10,2.69,2.69,2.69,2.69
SSD,1994-10-11,2.59,2.88,2.59,2.88
SSD,1994-10-12,2.84,2.88,2.84,2.88
SSD,1994-10-13,2.94,3.0,2.88,2.88
SSD,1994-10-14,2.88,2.88,2.81,2.84
SSD,1994-10-17,2.78,2.84,2.78,2.84
SSD,1994-10-18,2.81,2.81,2.81,2.81
SSD,1994-10-19,2.81,2.81,2.81,2.81
SSD,1994-10-20,2.81,2.81,2.81,2.81
SSD,1994-10-21,2.88,2.88,2.88,2.88
SSD,1994-10-24,2.88,2.88,2.84,2.88
SSD,1994-10-25,2.84,2.84,2.84,2.84
SSD,1994-10-26,2.78,2.81,2.78,2.81
SSD,1994-10-27,2.78,2.78,2.78,2.78
SSD,1994-10-28,2.88,2.88,2.88,2.88
SSD,1994-10-31,2.88,2.88,2.78,2.78
SSD,1994-11-01,2.78,2.78,2.78,2.78
SSD,1994-11-02,2.78,2.84,2.78,2.81
SSD,1994-11-03,2.84,2.84,2.78,2.78
SSD,1994-11-04,2.78,2.78,2.75,2.75
SSD,1994-11-07,2.72,2.75,2.72,2.75
SSD,1994-11-08,2.81,2.81,2.72,2.75
SSD,1994-11-09,2.73,2.75,2.72,2.75
SSD,1994-11-10,2.73,2.73,2.73,2.73
SSD,1994-11-11,2.75,2.77,2.75,2.77
SSD,1994-11-14,2.78,2.78,2.75,2.75
SSD,1994-11-15,2.75,2.97,2.75,2.94
SSD,1994-11-16,2.94,2.94,2.91,2.94
SSD,1994-11-17,2.97,2.97,2.91,2.97
SSD,1994-11-18,2.88,2.88,2.88,2.88
SSD,1994-11-21,2.88,2.88,2.88,2.88
SSD,1994-11-22,2.88,2.88,2.88,2.88
SSD,1994-11-23,2.94,2.94,2.81,2.81
SSD,1994-11-25,2.81,2.81,2.81,2.81
SSD,1994-11-28,2.81,2.81,2.81,2.81
SSD,1994-11-29,2.81,2.88,2.62,2.62
SSD,1994-11-30,2.59,2.72,2.59,2.62
SSD,1994-12-01,2.62,2.62,2.62,2.62
SSD,1994-12-02,2.62,2.62,2.62,2.62
SSD,1994-12-05,2.72,2.72,2.69,2.69
SSD,1994-12-06,2.62,2.62,2.62,2.62
SSD,1994-12-07,2.62,2.62,2.62,2.62
SSD,1994-12-08,2.62,2.62,2.62,2.62
SSD,1994-12-09,2.62,2.62,2.62,2.62
SSD,1994-12-12,2.72,2.72,2.62,2.62
SSD,1994-12-13,2.72,2.75,2.66,2.66
SSD,1994-12-14,2.75,2.75,2.75,2.75
SSD,1994-12-15,2.66,2.75,2.66,2.66
SSD,1994-12-16,2.75,2.75,2.75,2.75
SSD,1994-12-19,2.75,2.75,2.75,2.75
SSD,1994-12-20,2.66,2.75,2.66,2.66
SSD,1994-12-21,2.66,2.75,2.66,2.75
SSD,1994-12-22,2.75,2.78,2.66,2.66
SSD,1994-12-23,2.66,2.66,2.66,2.66
SSD,1994-12-27,2.66,2.66,2.66,2.66
SSD,1994-12-28,2.66,2.66,2.66,2.66
SSD,1994-12-29,2.66,2.69,2.66,2.66
SSD,1994-12-30,2.66,2.69,2.66,2.69
SSD,1995-01-03,2.66,2.66,2.66,2.66
SSD,1995-01-04,2.78,2.78,2.78,2.78
SSD,1995-01-05,2.78,2.78,2.78,2.78
SSD,1995-01-06,2.66,2.66,2.66,2.66
SSD,1995-01-09,2.66,2.66,2.66,2.66
SSD,1995-01-10,2.66,2.66,2.56,2.62
SSD,1995-01-11,2.62,2.62,2.53,2.53
SSD,1995-01-12,2.62,2.62,2.62,2.62
SSD,1995-01-13,2.53,2.53,2.53,2.53
SSD,1995-01-16,2.53,2.53,2.53,2.53
