ticker,date,open,high,low,close
STN,2005-02-25,4.57038,4.57038,4.57038,4.57038
STN,2005-03-02,4.75668,4.75668,4.75668,4.75668
STN,2005-03-03,4.70581,4.70581,4.70154,4.70581
STN,2005-03-07,4.79414,4.79414,4.79414,4.79414
STN,2005-03-11,4.8155,4.8155,4.8155,4.8155
STN,2005-03-14,4.8155,4.8155,4.8155,4.8155
STN,2005-03-22,5.0355,5.0355,5.02714,5.0355
STN,2005-03-28,4.96345,4.96345,4.96345,4.96345
STN,2005-04-08,4.96793,4.96793,4.96793,4.96793
STN,2005-04-18,4.85336,4.85336,4.85336,4.85336
STN,2005-04-19,4.84909,4.84909,4.84909,4.84909
STN,2005-04-26,4.8155,4.8155,4.8155,4.8155
STN,2005-05-26,4.99724,5.00161,4.98889,4.99724
STN,2005-05-31,5.12392,5.12392,5.12392,5.12392
STN,2005-06-15,5.46721,5.46721,5.46721,5.46721
STN,2005-06-17,5.6405,5.6405,5.6405,5.6405
STN,2005-06-20,5.66166,5.66166,5.66166,5.66166
STN,2005-06-30,5.18781,5.18781,5.18781,5.18781
STN,2005-07-11,5.21792,5.24256,5.21792,5.21792
STN,2005-07-12,5.30644,5.30644,5.30644,5.30644
STN,2005-07-28,5.61516,5.61516,5.61516,5.61516
STN,2005-07-29,5.66553,5.66553,5.66553,5.66553
STN,2005-08-02,5.97027,5.97813,5.97027,5.97027
STN,2005-08-03,6.09736,6.11415,6.09736,6.09736
STN,2005-08-04,6.11415,6.11415,6.11415,6.11415
STN,2005-08-05,6.15111,6.40597,6.15111,6.38421
STN,2005-08-08,6.43499,6.47701,6.38421,6.47701
STN,2005-08-09,6.47701,6.50305,6.39295,6.39295
STN,2005-08-10,6.42653,6.49003,6.42653,6.49003
STN,2005-08-11,6.49003,6.55372,6.49003,6.55372
STN,2005-08-12,6.55372,6.65894,6.55372,6.62973
STN,2005-08-15,6.68021,6.84992,6.68021,6.78562
STN,2005-08-16,6.80689,6.87058,6.80689,6.81126
STN,2005-08-17,6.75612,6.82855,6.68021,6.81126
STN,2005-08-18,6.78562,6.84137,6.77758,6.84137
STN,2005-08-19,6.89214,6.89214,6.66351,6.76029
STN,2005-08-22,6.74797,6.89214,6.71409,6.89214
STN,2005-08-23,6.94679,6.94679,6.89214,6.89214
STN,2005-08-24,6.87058,6.87058,6.76466,6.76466
STN,2005-08-25,6.75234,6.75234,6.511,6.511
STN,2005-08-26,6.49003,6.49003,6.40597,6.42653
STN,2005-08-29,6.39703,6.49003,6.38421,6.49003
STN,2005-08-30,6.52391,6.67623,6.52391,6.65894
STN,2005-08-31,6.65894,6.71409,6.65894,6.68427
STN,2005-09-01,6.65894,6.65894,6.6036,6.61681
STN,2005-09-02,6.58293,6.58293,6.49003,6.49003
STN,2005-09-06,6.53216,6.62506,6.53216,6.60797
STN,2005-09-07,6.60797,6.60797,6.54488,6.54488
STN,2005-09-08,6.54488,6.54488,6.42217,6.42217
STN,2005-09-09,6.39295,6.43499,6.2915,6.40597
STN,2005-09-12,6.38421,6.47701,6.36324,6.46459
STN,2005-09-13,6.48576,6.57438,6.48576,6.57438
STN,2005-09-14,6.57438,6.57438,6.53216,6.57002
STN,2005-09-15,6.6036,6.63361,6.6036,6.61681
STN,2005-09-16,6.59555,6.7437,6.59555,6.7437
STN,2005-09-19,6.76466,6.83232,6.7437,6.7902
STN,2005-09-20,6.80312,6.80312,6.69352,6.71409
STN,2005-09-21,6.7437,6.7733,6.69352,6.69352
STN,2005-09-22,6.70535,6.70535,6.62059,6.62059
STN,2005-09-23,6.57438,6.57438,6.34198,6.34198
STN,2005-09-26,6.35033,6.39295,6.2151,6.31208
STN,2005-09-27,6.34198,6.3548,6.26587,6.27442
STN,2005-09-28,6.28704,6.325,6.28704,6.325
STN,2005-09-29,6.32082,6.40597,6.32082,6.38421
STN,2005-09-30,6.43071,6.54944,6.43071,6.54944
STN,2005-10-03,6.55372,6.62973,6.5412,6.6036
STN,2005-10-04,6.61681,6.70535,6.6036,6.61681
STN,2005-10-05,6.61264,6.65894,6.56594,6.63778
STN,2005-10-06,6.61681,6.65079,6.59555,6.65079
STN,2005-10-07,6.71409,6.87058,6.71409,6.86194
STN,2005-10-10,6.84137,6.86194,6.76466,6.80689
STN,2005-10-11,6.83232,6.90049,6.83232,6.88767
STN,2005-10-12,6.89214,6.93377,6.883,6.91679
STN,2005-10-13,6.88767,6.88767,6.73982,6.74797
STN,2005-10-14,6.7437,6.7437,6.66351,6.68895
STN,2005-10-17,6.71409,6.72263,6.59555,6.6036
STN,2005-10-18,6.56594,6.63778,6.5412,6.59555
STN,2005-10-19,6.57438,6.57438,6.56186,6.56594
STN,2005-10-20,6.57002,6.59555,6.55372,6.5573
STN,2005-10-21,6.55372,6.55372,6.37129,6.37129
STN,2005-10-24,6.34198,6.35878,6.32082,6.35033
STN,2005-10-25,6.36324,6.63361,6.36324,6.59555
STN,2005-10-26,6.56594,6.56594,6.52828,6.56594
STN,2005-10-27,6.56594,6.57002,6.53673,6.5573
STN,2005-10-28,6.55372,6.55372,6.511,6.52828
STN,2005-10-31,6.511,6.55372,6.511,6.511
STN,2005-11-01,6.53216,6.55372,6.49003,6.5412
STN,2005-11-02,6.57438,6.89214,6.53216,6.59555
STN,2005-11-03,6.61681,6.85329,6.61681,6.84992
STN,2005-11-04,6.89214,6.90804,6.81574,6.87853
STN,2005-11-07,6.83232,6.87853,6.77758,6.85329
STN,2005-11-08,6.84992,6.84992,6.79437,6.84137
STN,2005-11-09,6.89214,6.89214,6.82855,6.86194
STN,2005-11-10,6.82438,6.83232,6.72263,6.76466
STN,2005-11-11,6.71409,6.75234,6.63778,6.75234
STN,2005-11-14,6.73505,6.74797,6.71826,6.74797
STN,2005-11-15,6.76466,6.81126,6.68895,6.70167
STN,2005-11-16,6.76029,6.78562,6.7437,6.78562
STN,2005-11-17,6.80312,6.95483,6.80312,6.95483
STN,2005-11-18,6.9765,7.05231,6.95483,7.05231
STN,2005-11-21,7.09006,7.21685,7.09006,7.15793
STN,2005-11-22,7.16608,7.18783,7.14969,7.18347
STN,2005-11-23,7.18783,7.26345,7.18783,7.22977
STN,2005-11-25,7.21685,7.2724,7.21685,7.2724
STN,2005-11-28,7.29346,7.29346,7.15793,7.15793
STN,2005-11-29,7.17909,7.22142,7.15793,7.19629
STN,2005-11-30,7.17075,7.22977,7.14969,7.22142
STN,2005-12-01,7.2724,7.2724,7.20901,7.2554
STN,2005-12-02,7.2554,7.2554,7.21685,7.25083
STN,2005-12-05,7.25083,7.25083,7.21685,7.21685
STN,2005-12-06,7.22142,7.22142,7.14561,7.18783
STN,2005-12-07,7.19629,7.19629,7.14104,7.14104
STN,2005-12-08,7.12455,7.12455,7.07348,7.07348
STN,2005-12-09,7.01853,7.01853,6.89214,6.91271
STN,2005-12-12,6.89214,6.92941,6.87058,6.87058
STN,2005-12-13,6.87853,6.95117,6.87853,6.95117
STN,2005-12-14,6.95117,6.96358,6.90427,6.94679
