ticker,date,open,high,low,close
THG,1995-10-11,23.5,24.62,23.38,24.25
THG,1995-10-12,24.5,24.62,24.12,24.62
THG,1995-10-13,25.5,26.0,25.38,25.38
THG,1995-10-16,25.25,25.5,24.88,25.38
THG,1995-10-17,25.38,25.38,25.12,25.25
THG,1995-10-18,25.12,25.88,25.0,25.88
THG,1995-10-19,26.0,26.5,25.88,26.12
THG,1995-10-20,26.0,26.12,26.0,26.12
THG,1995-10-23,26.0,26.0,25.5,25.5
THG,1995-10-24,25.62,25.88,25.62,25.62
THG,1995-10-25,25.62,25.88,25.62,25.88
THG,1995-10-26,25.62,25.75,25.5,25.62
THG,1995-10-27,24.88,25.25,24.75,25.0
THG,1995-10-30,25.0,25.0,24.88,24.88
THG,1995-10-31,24.88,25.12,24.62,25.12
THG,1995-11-01,25.0,26.25,25.0,25.75
THG,1995-11-02,25.75,25.88,25.62,25.88
THG,1995-11-03,25.88,25.88,25.38,25.38
THG,1995-11-06,25.25,25.25,23.88,24.62
THG,1995-11-07,24.25,24.88,24.25,24.75
THG,1995-11-08,24.75,25.0,24.75,24.88
THG,1995-11-09,24.88,25.25,24.88,24.88
THG,1995-11-10,24.75,24.88,24.62,24.75
THG,1995-11-13,24.62,25.0,24.62,24.75
THG,1995-11-14,24.75,24.75,24.38,24.5
THG,1995-11-15,24.5,24.88,24.38,24.88
THG,1995-11-16,24.88,25.38,24.88,25.25
THG,1995-11-17,25.12,25.25,25.0,25.25
THG,1995-11-20,25.25,25.5,25.25,25.25
THG,1995-11-21,25.25,25.38,24.75,24.88
THG,1995-11-22,24.75,25.5,24.75,25.0
THG,1995-11-24,25.12,25.12,24.75,24.75
THG,1995-11-27,24.75,25.38,24.75,25.38
THG,1995-11-28,25.5,25.88,25.25,25.5
THG,1995-11-29,25.38,25.75,25.38,25.75
THG,1995-11-30,25.62,26.38,25.62,26.0
THG,1995-12-01,26.0,26.25,25.75,26.12
THG,1995-12-04,26.0,26.62,26.0,26.62
THG,1995-12-05,26.62,26.75,26.38,26.75
THG,1995-12-06,28.5,28.62,28.25,28.38
THG,1995-12-07,28.38,28.5,27.75,27.88
THG,1995-12-08,28.0,28.12,27.75,27.88
THG,1995-12-11,28.12,28.38,27.75,27.88
THG,1995-12-12,28.0,28.25,27.88,28.25
THG,1995-12-13,28.25,28.25,27.5,27.62
