ticker,date,open,high,low,close
TROX,2010-12-01,16.05,16.1,16.05,16.1
TROX,2010-12-02,16.1,16.1,16.1,16.1
TROX,2010-12-03,17.4,18.05,17.4,18.05
TROX,2010-12-06,18.05,18.05,18.05,18.05
TROX,2010-12-07,18.05,18.1,18.0,18.05
TROX,2010-12-08,17.95,18.3,17.95,18.3
TROX,2010-12-09,18.13,18.2,18.13,18.2
TROX,2010-12-10,18.2,18.2,18.15,18.15
TROX,2010-12-13,18.3,18.3,18.3,18.3
TROX,2010-12-14,18.3,18.45,18.3,18.45
TROX,2010-12-15,18.5,18.75,18.5,18.75
TROX,2010-12-16,18.75,18.75,18.75,18.75
TROX,2010-12-17,18.75,18.75,18.75,18.75
TROX,2010-12-20,18.75,18.8,18.75,18.8
TROX,2010-12-21,18.75,19.0,18.75,19.0
TROX,2010-12-22,19.0,19.0,19.0,19.0
TROX,2010-12-23,19.0,19.0,19.0,19.0
TROX,2010-12-27,19.0,19.0,19.0,19.0
TROX,2010-12-28,19.0,19.0,19.0,19.0
TROX,2010-12-29,19.0,19.0,19.0,19.0
TROX,2010-12-30,19.0,19.0,19.0,19.0
TROX,2010-12-31,19.0,19.0,19.0,19.0
TROX,2011-01-03,19.0,19.0,19.0,19.0
TROX,2011-01-04,18.0,18.4,18.0,18.4
TROX,2011-01-05,18.4,18.4,18.4,18.4
TROX,2011-01-06,18.4,18.4,18.4,18.4
TROX,2011-01-07,18.2,18.9,18.2,18.9
TROX,2011-01-10,18.8,18.85,18.8,18.85
TROX,2011-01-11,18.8,18.85,18.8,18.85
TROX,2011-01-12,18.85,18.85,18.85,18.85
TROX,2011-01-13,19.0,19.45,19.0,19.45
TROX,2011-01-14,19.16,19.2,19.15,19.2
TROX,2011-01-18,19.4,19.45,19.4,19.45
TROX,2011-01-19,19.45,19.45,19.45,19.45
TROX,2011-01-20,19.45,19.45,19.45,19.45
TROX,2011-01-21,19.65,19.7,19.65,19.7
TROX,2011-01-24,19.7,19.7,19.7,19.7
TROX,2011-01-25,19.85,19.85,19.85,19.85
TROX,2011-01-26,19.8,19.85,19.8,19.85
TROX,2011-01-27,19.95,20.0,19.95,20.0
TROX,2011-01-28,19.6,19.6,19.6,19.6
TROX,2011-01-31,19.6,19.6,19.6,19.6
TROX,2011-02-01,19.6,21.0,19.6,21.0
TROX,2011-02-02,21.0,21.0,21.0,21.0
TROX,2011-02-03,20.85,20.85,20.8,20.85
TROX,2011-02-04,21.2,21.2,21.2,21.2
TROX,2011-02-07,21.95,22.05,21.85,21.97
TROX,2011-02-08,22.6,22.6,22.6,22.6
TROX,2011-02-09,23.0,23.1,23.0,23.05
TROX,2011-02-10,23.2,24.63,23.2,24.6
TROX,2011-02-11,24.55,24.6,24.55,24.6
TROX,2011-02-14,24.6,24.6,24.4,24.6
TROX,2011-02-15,24.55,24.6,24.55,24.6
TROX,2011-02-16,24.6,24.6,24.6,24.6
TROX,2011-02-17,24.2,25.2,24.2,25.1
