ticker,date,open,high,low,close
TS,2002-12-16,3.28,3.6,3.28,3.54
TS,2002-12-17,3.56,3.68,3.48,3.5
TS,2002-12-18,3.53,3.53,3.49,3.51
TS,2002-12-19,3.5,3.61,3.5,3.61
TS,2002-12-20,3.62,3.84,3.62,3.71
TS,2002-12-23,3.76,3.84,3.76,3.81
TS,2002-12-24,3.77,3.86,3.77,3.86
TS,2002-12-26,3.88,3.88,3.82,3.87
TS,2002-12-27,3.87,3.87,3.82,3.85
TS,2002-12-30,3.84,3.84,3.8,3.8
TS,2002-12-31,3.81,3.84,3.81,3.84
TS,2003-01-02,3.84,3.91,3.84,3.9
TS,2003-01-03,3.89,3.98,3.87,3.98
TS,2003-01-06,4.01,4.12,4.0,4.12
TS,2003-01-07,4.11,4.27,4.1,4.25
TS,2003-01-08,4.22,4.58,4.21,4.5
TS,2003-01-09,4.46,4.64,4.33,4.59
TS,2003-01-10,4.57,4.57,4.48,4.48
TS,2003-01-13,4.46,4.46,4.36,4.39
TS,2003-01-14,4.32,4.38,4.3,4.35
TS,2003-01-15,4.34,4.34,4.3,4.34
TS,2003-01-16,4.34,4.45,4.34,4.45
TS,2003-01-17,4.4,4.4,4.25,4.26
TS,2003-01-21,4.26,4.28,4.16,4.22
TS,2003-01-22,4.15,4.15,4.06,4.1
TS,2003-01-23,4.11,4.13,4.01,4.04
TS,2003-01-24,4.04,4.04,3.92,3.94
TS,2003-01-27,3.94,3.96,3.84,3.86
TS,2003-01-28,3.86,4.0,3.85,3.9
TS,2003-01-29,3.9,4.02,3.9,3.96
TS,2003-01-30,3.91,3.99,3.9,3.95
TS,2003-01-31,3.95,3.97,3.91,3.92
TS,2003-02-03,3.91,4.16,3.91,4.16
TS,2003-02-04,4.15,4.21,4.02,4.11
TS,2003-02-05,4.12,4.13,3.99,4.04
TS,2003-02-06,4.08,4.08,4.03,4.07
TS,2003-02-07,4.03,4.08,3.99,4.08
TS,2003-02-10,4.07,4.07,3.99,4.05
TS,2003-02-11,4.04,4.21,4.04,4.21
TS,2003-02-12,4.18,4.3,4.18,4.28
TS,2003-02-13,4.29,4.33,4.29,4.3
