ticker,date,open,high,low,close
USNA,1994-04-04,0.06,0.06,0.06,0.06
USNA,1994-04-05,0.06,0.06,0.06,0.06
USNA,1994-04-06,0.06,0.06,0.06,0.06
USNA,1994-04-07,0.06,0.06,0.06,0.06
USNA,1994-04-08,0.1,0.1,0.09,0.09
USNA,1994-04-11,0.1,0.12,0.09,0.12
USNA,1994-04-12,0.1,0.12,0.09,0.12
USNA,1994-04-13,0.12,0.12,0.12,0.12
USNA,1994-04-14,0.12,0.12,0.12,0.12
USNA,1994-04-15,0.12,0.12,0.12,0.12
USNA,1994-04-18,0.09,0.09,0.09,0.09
USNA,1994-04-19,0.09,0.09,0.09,0.09
USNA,1994-04-20,0.09,0.09,0.09,0.09
USNA,1994-04-21,0.09,0.09,0.09,0.09
USNA,1994-04-22,0.09,0.09,0.09,0.09
USNA,1994-04-25,0.09,0.09,0.09,0.09
USNA,1994-04-26,0.09,0.09,0.09,0.09
USNA,1994-04-28,0.09,0.09,0.09,0.09
USNA,1994-04-29,0.08,0.08,0.08,0.08
USNA,1994-05-02,0.08,0.08,0.08,0.08
USNA,1994-05-03,0.08,0.08,0.08,0.08
USNA,1994-05-04,0.08,0.08,0.08,0.08
USNA,1994-05-05,0.12,0.12,0.09,0.09
USNA,1994-05-06,0.09,0.09,0.09,0.09
USNA,1994-05-09,0.09,0.09,0.09,0.09
USNA,1994-05-10,0.11,0.11,0.09,0.1
USNA,1994-05-11,0.09,0.09,0.09,0.09
USNA,1994-05-12,0.09,0.09,0.09,0.09
USNA,1994-05-13,0.09,0.1,0.09,0.1
USNA,1994-05-16,0.1,0.1,0.1,0.1
USNA,1994-05-17,0.09,0.09,0.09,0.09
USNA,1994-05-18,0.09,0.09,0.09,0.09
USNA,1994-05-19,0.11,0.11,0.11,0.11
USNA,1994-05-20,0.11,0.11,0.11,0.11
USNA,1994-05-23,0.11,0.11,0.11,0.11
USNA,1994-05-24,0.11,0.11,0.11,0.11
USNA,1994-05-25,0.12,0.12,0.12,0.12
USNA,1994-05-26,0.12,0.12,0.12,0.12
USNA,1994-05-27,0.12,0.12,0.12,0.12
USNA,1994-05-31,0.12,0.12,0.12,0.12
USNA,1994-06-01,0.12,0.12,0.12,0.12
USNA,1994-06-02,0.12,0.12,0.12,0.12
USNA,1994-06-03,0.12,0.12,0.12,0.12
USNA,1994-06-06,0.12,0.12,0.12,0.12
USNA,1994-06-07,0.12,0.12,0.12,0.12
USNA,1994-06-08,0.1,0.1,0.1,0.1
USNA,1994-06-09,0.12,0.13,0.1,0.1
USNA,1994-06-10,0.1,0.1,0.1,0.1
USNA,1994-06-13,0.1,0.1,0.1,0.1
USNA,1994-06-14,0.12,0.12,0.12,0.12
USNA,1994-06-15,0.12,0.12,0.12,0.12
USNA,1994-06-16,0.12,0.12,0.12,0.12
USNA,1994-06-17,0.1,0.1,0.1,0.1
USNA,1994-06-20,0.09,0.09,0.09,0.09
USNA,1994-06-21,0.08,0.09,0.07,0.08
USNA,1994-06-22,0.07,0.07,0.07,0.07
USNA,1994-06-23,0.07,0.07,0.07,0.07
USNA,1994-06-24,0.07,0.07,0.07,0.07
USNA,1994-06-27,0.07,0.07,0.07,0.07
USNA,1994-06-28,0.07,0.09,0.07,0.09
USNA,1994-06-29,0.07,0.07,0.07,0.07
USNA,1994-06-30,0.07,0.07,0.07,0.07
USNA,1994-07-01,0.06,0.06,0.06,0.06
USNA,1994-07-05,0.06,0.06,0.06,0.06
USNA,1994-07-06,0.06,0.06,0.06,0.06
USNA,1994-07-07,0.06,0.06,0.06,0.06
USNA,1994-07-08,0.06,0.06,0.06,0.06
USNA,1994-07-11,0.06,0.06,0.06,0.06
USNA,1994-07-12,0.06,0.08,0.06,0.08
USNA,1994-07-13,0.08,0.08,0.08,0.08
USNA,1994-07-14,0.08,0.08,0.08,0.08
USNA,1994-07-15,0.08,0.08,0.08,0.08
USNA,1994-07-18,0.06,0.07,0.06,0.07
USNA,1994-07-19,0.06,0.06,0.06,0.06
USNA,1994-07-20,0.06,0.06,0.06,0.06
USNA,1994-07-21,0.06,0.06,0.06,0.06
USNA,1994-07-22,0.06,0.06,0.06,0.06
USNA,1994-07-25,0.07,0.07,0.05,0.05
USNA,1994-07-26,0.05,0.05,0.05,0.05
USNA,1994-07-27,0.05,0.05,0.05,0.05
USNA,1994-07-28,0.05,0.05,0.05,0.05
USNA,1994-07-29,0.05,0.05,0.05,0.05
USNA,1994-08-01,0.05,0.05,0.05,0.05
USNA,1994-08-02,0.05,0.05,0.05,0.05
USNA,1994-08-03,0.05,0.05,0.05,0.05
USNA,1994-08-04,0.05,0.05,0.05,0.05
USNA,1994-08-05,0.08,0.08,0.08,0.08
USNA,1994-08-08,0.08,0.08,0.08,0.08
USNA,1994-08-09,0.08,0.08,0.08,0.08
USNA,1994-08-10,0.08,0.08,0.08,0.08
USNA,1994-08-11,0.08,0.08,0.08,0.08
USNA,1994-08-12,0.08,0.08,0.08,0.08
USNA,1994-08-15,0.08,0.08,0.08,0.08
USNA,1994-08-16,0.08,0.08,0.08,0.08
USNA,1994-08-17,0.06,0.06,0.06,0.06
USNA,1994-08-18,0.06,0.06,0.06,0.06
USNA,1994-08-19,0.06,0.06,0.06,0.06
USNA,1994-08-22,0.06,0.06,0.06,0.06
USNA,1994-08-23,0.06,0.06,0.06,0.06
USNA,1994-08-24,0.09,0.09,0.09,0.09
USNA,1994-08-25,0.06,0.06,0.06,0.06
USNA,1994-08-26,0.06,0.06,0.06,0.06
USNA,1994-08-29,0.06,0.06,0.06,0.06
USNA,1994-08-30,0.09,0.09,0.08,0.08
USNA,1994-08-31,0.08,0.08,0.08,0.08
USNA,1994-09-01,0.07,0.07,0.07,0.07
USNA,1994-09-02,0.07,0.07,0.07,0.07
USNA,1994-09-06,0.07,0.07,0.07,0.07
USNA,1994-09-07,0.07,0.07,0.07,0.07
USNA,1994-09-08,0.07,0.07,0.07,0.07
USNA,1994-09-09,0.07,0.07,0.07,0.07
USNA,1994-09-12,0.07,0.07,0.07,0.07
USNA,1994-09-13,0.07,0.07,0.07,0.07
USNA,1994-09-14,0.07,0.07,0.07,0.07
USNA,1994-09-15,0.05,0.09,0.05,0.09
USNA,1994-09-16,0.09,0.09,0.09,0.09
USNA,1994-09-19,0.08,0.09,0.06,0.06
USNA,1994-09-20,0.06,0.06,0.06,0.06
USNA,1994-09-21,0.07,0.08,0.07,0.07
USNA,1994-09-22,0.06,0.06,0.06,0.06
USNA,1994-09-23,0.06,0.06,0.06,0.06
USNA,1994-09-26,0.08,0.09,0.08,0.08
USNA,1994-09-27,0.09,0.09,0.08,0.09
USNA,1994-09-28,0.1,0.1,0.07,0.07
USNA,1994-09-29,0.07,0.07,0.07,0.07
USNA,1994-09-30,0.09,0.09,0.09,0.09
USNA,1994-10-03,0.09,0.09,0.09,0.09
USNA,1994-10-04,0.09,0.09,0.09,0.09
USNA,1994-10-05,0.09,0.09,0.09,0.09
USNA,1994-10-06,0.09,0.09,0.09,0.09
USNA,1994-10-07,0.09,0.09,0.08,0.08
USNA,1994-10-10,0.08,0.08,0.08,0.08
USNA,1994-10-11,0.08,0.08,0.08,0.08
USNA,1994-10-12,0.07,0.07,0.07,0.07
USNA,1994-10-13,0.07,0.07,0.07,0.07
USNA,1994-10-14,0.07,0.07,0.07,0.07
USNA,1994-10-17,0.07,0.07,0.07,0.07
USNA,1994-10-18,0.07,0.07,0.07,0.07
USNA,1994-10-19,0.07,0.07,0.07,0.07
USNA,1994-10-20,0.07,0.07,0.07,0.07
USNA,1994-10-21,0.07,0.07,0.07,0.07
USNA,1994-10-24,0.09,0.09,0.09,0.09
USNA,1994-10-25,0.09,0.09,0.09,0.09
USNA,1994-10-26,0.11,0.11,0.08,0.08
USNA,1994-10-27,0.08,0.08,0.08,0.08
USNA,1994-10-28,0.11,0.11,0.11,0.11
USNA,1994-10-31,0.11,0.11,0.1,0.11
USNA,1994-11-01,0.09,0.09,0.09,0.09
USNA,1994-11-02,0.09,0.09,0.09,0.09
USNA,1994-11-03,0.09,0.09,0.09,0.09
USNA,1994-11-04,0.09,0.09,0.09,0.09
USNA,1994-11-07,0.09,0.09,0.09,0.09
USNA,1994-11-08,0.09,0.12,0.09,0.1
USNA,1994-11-09,0.1,0.1,0.1,0.1
USNA,1994-11-10,0.12,0.12,0.11,0.12
USNA,1994-11-11,0.12,0.12,0.12,0.12
USNA,1994-11-14,0.11,0.11,0.11,0.11
USNA,1994-11-15,0.12,0.12,0.12,0.12
USNA,1994-11-16,0.13,0.13,0.13,0.13
USNA,1994-11-17,0.13,0.13,0.13,0.13
USNA,1994-11-18,0.12,0.13,0.12,0.13
USNA,1994-11-21,0.12,0.12,0.12,0.12
USNA,1994-11-22,0.16,0.16,0.12,0.12
USNA,1994-11-23,0.12,0.14,0.12,0.14
USNA,1994-11-25,0.14,0.14,0.14,0.14
USNA,1994-11-28,0.12,0.12,0.12,0.12
USNA,1994-11-29,0.12,0.12,0.12,0.12
USNA,1994-11-30,0.14,0.14,0.11,0.12
USNA,1994-12-01,0.12,0.12,0.12,0.12
USNA,1994-12-02,0.14,0.14,0.13,0.13
USNA,1994-12-05,0.13,0.13,0.13,0.13
USNA,1994-12-06,0.17,0.17,0.16,0.17
USNA,1994-12-07,0.2,0.2,0.2,0.2
USNA,1994-12-08,0.2,0.2,0.16,0.16
USNA,1994-12-09,0.2,0.2,0.19,0.19
USNA,1994-12-12,0.2,0.2,0.2,0.2
USNA,1994-12-13,0.19,0.19,0.19,0.19
USNA,1994-12-14,0.2,0.2,0.2,0.2
USNA,1994-12-15,0.2,0.2,0.19,0.19
USNA,1994-12-16,0.19,0.19,0.19,0.19
USNA,1994-12-19,0.19,0.19,0.19,0.19
USNA,1994-12-20,0.14,0.16,0.14,0.16
USNA,1994-12-21,0.12,0.12,0.12,0.12
USNA,1994-12-22,0.12,0.12,0.12,0.12
USNA,1994-12-23,0.12,0.12,0.12,0.12
USNA,1994-12-27,0.12,0.12,0.12,0.12
USNA,1994-12-28,0.12,0.12,0.12,0.12
USNA,1994-12-29,0.12,0.12,0.12,0.12
USNA,1994-12-30,0.12,0.12,0.12,0.12
USNA,1995-01-03,0.12,0.16,0.12,0.16
USNA,1995-01-04,0.16,0.16,0.16,0.16
USNA,1995-01-05,0.12,0.14,0.12,0.14
USNA,1995-01-06,0.16,0.16,0.12,0.14
USNA,1995-01-09,0.14,0.16,0.12,0.13
USNA,1995-01-10,0.16,0.16,0.12,0.12
USNA,1995-01-11,0.12,0.12,0.12,0.12
USNA,1995-01-12,0.12,0.16,0.11,0.12
USNA,1995-01-13,0.16,0.16,0.11,0.13
USNA,1995-01-16,0.11,0.11,0.11,0.11
USNA,1995-01-17,0.11,0.11,0.11,0.11
USNA,1995-01-18,0.14,0.14,0.12,0.12
USNA,1995-01-19,0.14,0.16,0.14,0.16
USNA,1995-01-20,0.16,0.16,0.16,0.16
USNA,1995-01-23,0.14,0.14,0.14,0.14
USNA,1995-01-24,0.14,0.14,0.14,0.14
USNA,1995-01-25,0.16,0.16,0.16,0.16
USNA,1995-01-26,0.14,0.16,0.14,0.16
USNA,1995-01-27,0.13,0.13,0.13,0.13
USNA,1995-01-30,0.15,0.15,0.13,0.15
USNA,1995-01-31,0.13,0.13,0.13,0.13
USNA,1995-02-01,0.16,0.16,0.16,0.16
USNA,1995-02-02,0.14,0.16,0.14,0.15
USNA,1995-02-03,0.15,0.15,0.15,0.15
USNA,1995-02-06,0.15,0.15,0.15,0.15
USNA,1995-02-07,0.16,0.16,0.16,0.16
USNA,1995-02-08,0.16,0.16,0.14,0.14
USNA,1995-02-09,0.14,0.14,0.14,0.14
USNA,1995-02-10,0.16,0.18,0.16,0.18
USNA,1995-02-13,0.18,0.18,0.18,0.18
USNA,1995-02-14,0.16,0.16,0.16,0.16
USNA,1995-02-15,0.16,0.16,0.16,0.16
USNA,1995-02-16,0.19,0.22,0.19,0.21
USNA,1995-02-17,0.21,0.21,0.21,0.21
USNA,1995-02-21,0.23,0.25,0.22,0.23
USNA,1995-02-22,0.22,0.22,0.2,0.2
USNA,1995-02-23,0.23,0.23,0.2,0.23
USNA,1995-02-24,0.23,0.23,0.2,0.23
USNA,1995-02-27,0.22,0.23,0.2,0.23
USNA,1995-02-28,0.23,0.23,0.23,0.23
USNA,1995-03-01,0.23,0.23,0.19,0.22
USNA,1995-03-02,0.2,0.22,0.17,0.21
USNA,1995-03-03,0.22,0.22,0.22,0.22
USNA,1995-03-06,0.22,0.22,0.17,0.19
USNA,1995-03-07,0.22,0.22,0.22,0.22
USNA,1995-03-08,0.22,0.22,0.19,0.19
USNA,1995-03-09,0.22,0.22,0.19,0.22
USNA,1995-03-10,0.22,0.22,0.17,0.17
USNA,1995-03-13,0.21,0.23,0.21,0.23
USNA,1995-03-14,0.23,0.27,0.22,0.24
USNA,1995-03-15,0.25,0.27,0.25,0.27
USNA,1995-03-16,0.28,0.3,0.23,0.27
USNA,1995-03-17,0.3,0.3,0.27,0.3
USNA,1995-03-20,0.3,0.32,0.27,0.3
USNA,1995-03-21,0.31,0.32,0.29,0.32
USNA,1995-03-22,0.29,0.33,0.29,0.33
USNA,1995-03-23,0.32,0.34,0.28,0.31
USNA,1995-03-24,0.29,0.33,0.29,0.32
USNA,1995-03-27,0.34,0.34,0.31,0.33
USNA,1995-03-28,0.35,0.42,0.31,0.38
USNA,1995-03-29,0.42,0.62,0.39,0.5
USNA,1995-03-30,0.55,0.58,0.47,0.56
