ticker,date,open,high,low,close
VALE,2002-03-21,2.25,2.25,2.25,2.25
VALE,2002-03-22,2.23,2.23,2.16,2.18
VALE,2002-03-25,2.17,2.19,2.17,2.18
VALE,2002-03-26,2.18,2.24,2.18,2.24
VALE,2002-03-27,2.25,2.31,2.23,2.27
VALE,2002-03-28,2.25,2.28,2.23,2.28
VALE,2002-04-01,2.28,2.29,2.23,2.27
VALE,2002-04-02,2.27,2.29,2.25,2.25
VALE,2002-04-03,2.25,2.25,2.17,2.22
VALE,2002-04-04,2.21,2.27,2.21,2.27
VALE,2002-04-05,2.26,2.33,2.25,2.31
VALE,2002-04-08,2.27,2.3,2.27,2.3
VALE,2002-04-09,2.33,2.33,2.3,2.33
VALE,2002-04-10,2.33,2.36,2.31,2.36
VALE,2002-04-11,2.37,2.37,2.33,2.35
VALE,2002-04-12,2.33,2.37,2.32,2.36
VALE,2002-04-15,2.37,2.37,2.33,2.34
VALE,2002-04-16,2.33,2.38,2.33,2.37
VALE,2002-04-17,2.37,2.37,2.36,2.36
VALE,2002-04-18,2.37,2.37,2.31,2.32
VALE,2002-04-19,2.33,2.33,2.29,2.3
VALE,2002-04-22,2.31,2.37,2.3,2.36
VALE,2002-04-23,2.36,2.36,2.34,2.35
VALE,2002-04-24,2.34,2.36,2.33,2.33
VALE,2002-04-25,2.33,2.33,2.27,2.28
VALE,2002-04-26,2.28,2.28,2.25,2.27
VALE,2002-04-29,2.26,2.28,2.26,2.27
VALE,2002-04-30,2.27,2.28,2.26,2.27
VALE,2002-05-01,2.27,2.31,2.26,2.31
VALE,2002-05-02,2.31,2.31,2.25,2.25
VALE,2002-05-03,2.25,2.28,2.25,2.25
VALE,2002-05-06,2.25,2.31,2.25,2.29
VALE,2002-05-07,2.3,2.3,2.26,2.26
VALE,2002-05-08,2.27,2.31,2.27,2.3
VALE,2002-05-09,2.31,2.32,2.28,2.28
VALE,2002-05-10,2.28,2.3,2.28,2.3
VALE,2002-05-13,2.3,2.32,2.29,2.32
VALE,2002-05-14,2.3,2.34,2.29,2.32
VALE,2002-05-15,2.3,2.32,2.29,2.32
VALE,2002-05-16,2.32,2.33,2.29,2.31
VALE,2002-05-17,2.31,2.31,2.29,2.3
VALE,2002-05-20,2.28,2.3,2.27,2.3
VALE,2002-05-21,2.31,2.35,2.3,2.34
VALE,2002-05-22,2.34,2.34,2.33,2.34
VALE,2002-05-23,2.33,2.36,2.33,2.36
VALE,2002-05-24,2.36,2.36,2.34,2.35
VALE,2002-05-28,2.36,2.4,2.36,2.4
VALE,2002-05-29,2.39,2.53,2.39,2.5
VALE,2002-05-30,2.47,2.47,2.43,2.46
