ticker,date,open,high,low,close
WBS,1986-12-12,5.23,5.34,5.23,5.23
WBS,1986-12-15,5.23,5.23,5.11,5.11
WBS,1986-12-16,5.11,5.23,5.11,5.23
WBS,1986-12-17,5.23,5.23,5.17,5.17
WBS,1986-12-18,5.17,5.23,5.11,5.11
WBS,1986-12-19,5.11,5.17,5.11,5.11
WBS,1986-12-22,5.11,5.23,5.11,5.23
WBS,1986-12-23,5.23,5.23,5.17,5.17
WBS,1986-12-24,5.17,5.23,5.17,5.17
WBS,1986-12-26,5.17,5.23,5.17,5.17
WBS,1986-12-29,5.17,5.23,5.17,5.17
WBS,1986-12-30,5.17,5.23,5.17,5.23
WBS,1986-12-31,5.23,5.23,5.17,5.23
WBS,1987-01-02,5.23,5.23,5.11,5.23
WBS,1987-01-05,5.23,5.23,5.17,5.17
WBS,1987-01-06,5.17,5.23,5.17,5.17
WBS,1987-01-07,5.17,5.23,5.11,5.23
WBS,1987-01-08,5.23,5.4,5.17,5.34
WBS,1987-01-09,5.34,5.68,5.34,5.57
WBS,1987-01-12,5.57,5.74,5.51,5.62
WBS,1987-01-13,5.62,5.74,5.57,5.57
WBS,1987-01-14,5.57,6.14,5.57,5.97
WBS,1987-01-15,5.97,6.14,5.91,5.91
WBS,1987-01-16,5.91,6.02,5.8,5.8
WBS,1987-01-19,5.8,5.91,5.68,5.68
WBS,1987-01-20,5.68,5.85,5.68,5.85
WBS,1987-01-21,5.85,5.85,5.68,5.68
WBS,1987-01-22,5.68,5.85,5.68,5.74
WBS,1987-01-23,5.74,5.85,5.62,5.62
WBS,1987-01-26,5.62,5.74,5.51,5.51
WBS,1987-01-27,5.51,5.62,5.51,5.57
WBS,1987-01-28,5.57,5.62,5.51,5.57
WBS,1987-01-29,5.57,5.68,5.4,5.68
WBS,1987-01-30,5.68,5.91,5.57,5.8
WBS,1987-02-02,5.8,6.36,5.8,6.31
WBS,1987-02-03,6.31,6.31,6.08,6.14
WBS,1987-02-04,6.14,6.31,6.14,6.31
WBS,1987-02-05,6.31,6.59,6.14,6.36
WBS,1987-02-06,6.36,6.48,6.19,6.42
WBS,1987-02-09,6.42,6.42,6.19,6.25
WBS,1987-02-10,6.25,6.36,6.14,6.25
WBS,1987-02-11,6.25,6.25,6.14,6.25
WBS,1987-02-12,6.25,6.36,6.19,6.31
WBS,1987-02-13,6.31,6.48,6.25,6.48
WBS,1987-02-17,6.48,6.59,6.31,6.59
WBS,1987-02-18,6.59,6.65,6.48,6.65
WBS,1987-02-19,6.65,6.65,6.59,6.59
WBS,1987-02-20,6.59,6.93,6.59,6.82
WBS,1987-02-23,6.82,6.93,6.65,6.82
WBS,1987-02-24,6.82,6.82,6.65,6.82
WBS,1987-02-25,6.82,7.22,6.76,7.05
WBS,1987-02-26,7.05,7.1,6.99,7.1
WBS,1987-02-27,7.1,7.39,7.05,7.27
WBS,1987-03-02,7.39,7.5,7.39,7.39
WBS,1987-03-03,7.39,7.44,7.22,7.22
WBS,1987-03-04,7.22,7.27,7.1,7.16
WBS,1987-03-05,7.16,7.27,7.16,7.16
WBS,1987-03-06,7.16,7.27,7.16,7.27
WBS,1987-03-09,7.27,7.27,7.16,7.16
WBS,1987-03-10,7.16,7.33,7.16,7.16
WBS,1987-03-11,7.16,7.27,7.16,7.27
WBS,1987-03-12,7.27,7.27,7.16,7.16
WBS,1987-03-13,7.16,7.16,6.93,6.99
WBS,1987-03-16,6.99,7.05,6.82,6.99
WBS,1987-03-17,6.82,6.82,6.65,6.65
WBS,1987-03-18,6.65,6.65,6.48,6.65
WBS,1987-03-19,6.59,6.59,6.42,6.42
WBS,1987-03-20,6.42,6.59,6.42,6.59
WBS,1987-03-23,6.59,6.59,6.42,6.48
WBS,1987-03-24,6.48,6.48,6.08,6.42
WBS,1987-03-25,6.42,6.42,6.31,6.36
WBS,1987-03-26,6.36,6.42,6.31,6.31
WBS,1987-03-27,6.31,6.42,6.31,6.31
WBS,1987-03-30,6.31,6.31,6.02,6.08
WBS,1987-03-31,6.14,6.25,6.14,6.19
WBS,1987-04-01,6.19,6.25,6.08,6.19
WBS,1987-04-02,6.19,6.25,6.08,6.19
WBS,1987-04-03,6.19,6.31,6.08,6.31
WBS,1987-04-06,6.31,6.36,6.19,6.36
WBS,1987-04-07,6.36,6.59,6.36,6.59
WBS,1987-04-08,6.59,6.65,6.48,6.59
WBS,1987-04-09,6.59,6.65,6.48,6.48
WBS,1987-04-10,6.48,6.65,6.42,6.48
WBS,1987-04-13,6.48,6.65,6.48,6.48
WBS,1987-04-14,6.48,6.48,6.25,6.25
WBS,1987-04-15,6.25,6.42,6.25,6.31
WBS,1987-04-16,6.31,6.42,6.31,6.42
WBS,1987-04-20,6.42,6.42,6.36,6.42
WBS,1987-04-21,6.42,6.48,6.36,6.42
WBS,1987-04-22,6.36,6.36,6.25,6.25
WBS,1987-04-23,6.25,6.31,6.19,6.19
WBS,1987-04-24,6.19,6.31,6.08,6.14
WBS,1987-04-27,6.02,6.02,5.8,5.85
WBS,1987-04-28,5.85,5.97,5.85,5.85
WBS,1987-04-29,5.85,6.02,5.8,5.8
WBS,1987-04-30,5.8,5.91,5.74,5.91
WBS,1987-05-01,5.91,5.97,5.8,5.8
WBS,1987-05-04,5.8,5.91,5.62,5.62
WBS,1987-05-05,5.62,5.8,5.62,5.8
WBS,1987-05-06,5.8,5.8,5.62,5.8
WBS,1987-05-07,5.74,5.74,5.62,5.62
WBS,1987-05-08,5.62,5.8,5.62,5.8
WBS,1987-05-11,5.8,5.8,5.62,5.62
WBS,1987-05-12,5.62,5.62,5.62,5.62
WBS,1987-05-13,5.62,5.68,5.62,5.62
WBS,1987-05-14,5.62,5.74,5.62,5.74
WBS,1987-05-15,5.68,5.68,5.4,5.51
WBS,1987-05-18,5.4,5.4,5.17,5.23
WBS,1987-05-19,5.23,5.23,5.06,5.06
WBS,1987-05-20,5.06,5.11,4.89,5.06
WBS,1987-05-21,5.06,5.11,4.94,5.0
WBS,1987-05-22,5.0,5.11,5.0,5.0
WBS,1987-05-26,5.0,5.17,5.0,5.17
WBS,1987-05-27,5.17,5.23,5.06,5.23
WBS,1987-05-28,5.23,5.23,5.23,5.23
WBS,1987-05-29,5.23,5.23,5.11,5.11
WBS,1987-06-01,5.11,5.4,5.11,5.4
WBS,1987-06-02,5.4,5.51,5.23,5.34
WBS,1987-06-03,5.34,5.62,5.34,5.57
WBS,1987-06-04,5.57,5.62,5.57,5.57
WBS,1987-06-05,5.57,5.68,5.57,5.57
WBS,1987-06-08,5.57,5.68,5.57,5.57
WBS,1987-06-09,5.57,5.68,5.57,5.68
WBS,1987-06-10,5.62,5.62,5.57,5.57
WBS,1987-06-11,5.57,5.68,5.57,5.68
WBS,1987-06-12,5.68,5.68,5.62,5.62
WBS,1987-06-15,5.62,5.68,5.57,5.57
WBS,1987-06-16,5.57,5.68,5.57,5.57
WBS,1987-06-17,5.57,5.57,5.57,5.57
WBS,1987-06-18,5.57,5.68,5.57,5.68
WBS,1987-06-19,5.62,5.62,5.57,5.62
WBS,1987-06-22,5.57,5.57,5.57,5.57
WBS,1987-06-23,5.57,5.68,5.4,5.51
WBS,1987-06-24,5.4,5.4,5.34,5.34
WBS,1987-06-25,5.23,5.23,5.17,5.23
WBS,1987-06-26,5.23,5.34,5.23,5.23
WBS,1987-06-29,5.23,5.23,5.23,5.23
WBS,1987-06-30,5.23,5.34,5.23,5.23
WBS,1987-07-01,5.23,5.34,5.23,5.34
WBS,1987-07-02,5.34,5.34,5.23,5.34
WBS,1987-07-06,5.23,5.23,5.23,5.23
WBS,1987-07-07,5.23,5.34,5.23,5.23
WBS,1987-07-08,5.23,5.34,5.23,5.23
WBS,1987-07-09,5.23,5.23,5.23,5.23
WBS,1987-07-10,5.23,5.23,5.23,5.23
WBS,1987-07-13,5.23,5.23,5.23,5.23
WBS,1987-07-14,5.23,5.23,5.06,5.06
WBS,1987-07-15,5.06,5.06,5.0,5.0
WBS,1987-07-16,5.0,5.06,5.0,5.06
WBS,1987-07-17,5.06,5.06,5.0,5.06
WBS,1987-07-20,5.06,5.11,4.94,5.0
WBS,1987-07-21,4.94,4.94,4.94,4.94
WBS,1987-07-22,4.94,5.06,4.94,4.94
WBS,1987-07-23,4.94,4.94,4.94,4.94
WBS,1987-07-24,5.06,5.06,5.06,5.06
WBS,1987-07-27,5.0,5.0,4.94,5.0
WBS,1987-07-28,5.0,5.06,4.89,4.94
WBS,1987-07-29,4.94,5.0,4.89,4.89
WBS,1987-07-30,4.89,5.06,4.89,4.94
WBS,1987-07-31,4.94,4.94,4.89,4.89
WBS,1987-08-03,4.89,4.94,4.77,4.77
WBS,1987-08-04,4.77,4.94,4.77,4.77
WBS,1987-08-05,4.77,4.89,4.77,4.77
WBS,1987-08-06,4.77,4.89,4.77,4.77
WBS,1987-08-07,4.77,5.06,4.77,5.0
WBS,1987-08-10,5.0,5.11,4.94,5.11
WBS,1987-08-11,5.11,5.11,4.94,5.0
WBS,1987-08-12,5.0,5.06,4.94,5.06
WBS,1987-08-13,5.06,5.17,4.94,5.0
WBS,1987-08-14,5.0,5.17,5.0,5.06
WBS,1987-08-17,5.06,5.17,5.06,5.17
WBS,1987-08-18,5.17,5.23,5.11,5.23
WBS,1987-08-19,5.23,5.4,5.23,5.23
WBS,1987-08-20,5.23,5.4,5.23,5.23
WBS,1987-08-21,5.23,5.4,5.23,5.4
WBS,1987-08-24,5.23,5.23,5.23,5.23
WBS,1987-08-25,5.23,5.4,5.23,5.4
WBS,1987-08-26,5.4,5.4,5.34,5.4
WBS,1987-08-27,5.4,5.51,5.34,5.4
WBS,1987-08-28,5.4,5.74,5.4,5.57
WBS,1987-08-31,5.62,5.62,5.62,5.62
WBS,1987-09-01,5.62,5.68,5.62,5.62
WBS,1987-09-02,5.62,5.8,5.62,5.68
WBS,1987-09-03,5.68,5.74,5.62,5.62
WBS,1987-09-04,5.62,5.8,5.62,5.68
WBS,1987-09-08,5.68,5.8,5.4,5.4
WBS,1987-09-09,5.4,5.57,5.4,5.51
WBS,1987-09-10,5.51,5.51,5.51,5.51
WBS,1987-09-11,5.51,5.57,5.51,5.57
WBS,1987-09-14,5.51,5.51,5.4,5.51
WBS,1987-09-15,5.4,5.4,5.4,5.4
WBS,1987-09-16,5.4,5.51,5.4,5.4
WBS,1987-09-17,5.4,5.4,5.4,5.4
WBS,1987-09-18,5.4,5.51,5.4,5.51
WBS,1987-09-21,5.51,5.51,5.4,5.4
WBS,1987-09-22,5.4,5.4,5.4,5.4
WBS,1987-09-23,5.4,5.51,5.34,5.34
WBS,1987-09-24,5.34,5.4,5.23,5.23
WBS,1987-09-25,5.23,5.23,5.23,5.23
WBS,1987-09-28,5.23,5.34,5.17,5.23
WBS,1987-09-29,5.23,5.23,5.17,5.23
WBS,1987-09-30,5.23,5.23,5.11,5.11
WBS,1987-10-01,5.11,5.11,5.11,5.11
WBS,1987-10-02,5.11,5.17,5.11,5.17
WBS,1987-10-05,5.17,5.17,5.06,5.06
WBS,1987-10-06,5.06,5.06,4.94,4.94
WBS,1987-10-07,4.94,4.94,4.89,4.89
WBS,1987-10-08,4.89,5.0,4.89,4.94
WBS,1987-10-09,4.94,5.0,4.89,5.0
WBS,1987-10-12,4.89,4.89,4.89,4.89
WBS,1987-10-13,4.89,4.94,4.89,4.89
WBS,1987-10-14,4.89,4.94,4.77,4.77
WBS,1987-10-15,4.77,4.94,4.77,4.89
WBS,1987-10-16,4.89,4.94,4.66,4.66
WBS,1987-10-19,4.55,4.55,4.43,4.43
WBS,1987-10-20,4.32,4.32,3.98,4.09
WBS,1987-10-21,4.09,4.32,4.09,4.09
WBS,1987-10-22,4.09,4.15,3.98,3.98
WBS,1987-10-23,3.98,4.09,3.98,3.98
WBS,1987-10-26,3.98,3.98,3.75,3.86
WBS,1987-10-27,3.86,3.86,3.64,3.75
WBS,1987-10-28,3.75,3.81,3.64,3.64
WBS,1987-10-29,3.64,3.81,3.64,3.64
WBS,1987-10-30,3.75,3.86,3.75,3.86
WBS,1987-11-02,3.86,3.98,3.75,3.75
WBS,1987-11-03,3.75,3.81,3.75,3.81
WBS,1987-11-04,3.81,3.86,3.75,3.75
WBS,1987-11-05,3.75,3.86,3.75,3.86
WBS,1987-11-06,3.86,3.86,3.64,3.81
WBS,1987-11-09,3.81,3.81,3.64,3.75
WBS,1987-11-10,3.75,3.75,3.64,3.64
WBS,1987-11-11,3.64,3.75,3.58,3.58
WBS,1987-11-12,3.58,3.64,3.58,3.64
WBS,1987-11-13,3.64,3.75,3.58,3.64
WBS,1987-11-16,3.64,3.75,3.58,3.69
WBS,1987-11-17,3.69,3.69,3.47,3.64
WBS,1987-11-18,3.64,3.64,3.47,3.47
WBS,1987-11-19,3.47,3.64,3.47,3.52
WBS,1987-11-20,3.52,3.64,3.47,3.52
WBS,1987-11-23,3.52,3.64,3.47,3.52
WBS,1987-11-24,3.52,3.64,3.47,3.64
WBS,1987-11-25,3.64,3.69,3.47,3.64
WBS,1987-11-27,3.64,3.64,3.52,3.64
WBS,1987-11-30,3.64,3.64,3.52,3.64
WBS,1987-12-01,3.64,3.69,3.52,3.52
WBS,1987-12-02,3.52,3.69,3.52,3.58
WBS,1987-12-03,3.58,3.64,3.52,3.64
WBS,1987-12-04,3.58,3.58,3.52,3.52
WBS,1987-12-07,3.52,3.69,3.52,3.52
WBS,1987-12-08,3.52,3.64,3.52,3.52
WBS,1987-12-09,3.52,3.52,3.52,3.52
WBS,1987-12-10,3.52,3.64,3.52,3.52
WBS,1987-12-11,3.52,3.64,3.52,3.52
WBS,1987-12-14,3.52,3.64,3.52,3.52
WBS,1987-12-15,3.52,3.64,3.52,3.52
WBS,1987-12-16,3.52,3.64,3.52,3.52
WBS,1987-12-17,3.52,3.64,3.52,3.58
WBS,1987-12-18,3.58,3.81,3.58,3.69
WBS,1987-12-21,3.69,3.86,3.69,3.75
WBS,1987-12-22,3.75,3.86,3.69,3.69
WBS,1987-12-23,3.69,3.86,3.69,3.69
WBS,1987-12-24,3.69,3.81,3.58,3.81
WBS,1987-12-28,3.81,3.81,3.69,3.81
WBS,1987-12-29,3.81,3.81,3.69,3.81
WBS,1987-12-30,3.81,3.86,3.69,3.69
WBS,1987-12-31,3.69,3.81,3.64,3.69
WBS,1988-01-04,3.75,3.81,3.75,3.75
WBS,1988-01-05,3.75,3.98,3.75,3.98
WBS,1988-01-06,3.98,3.98,3.92,3.92
WBS,1988-01-07,3.92,4.09,3.92,4.09
WBS,1988-01-08,4.09,4.15,4.09,4.09
WBS,1988-01-11,4.09,4.15,3.98,3.98
WBS,1988-01-12,4.15,4.15,4.15,4.15
WBS,1988-01-13,4.09,4.09,4.09,4.09
WBS,1988-01-14,4.09,4.15,4.09,4.15
WBS,1988-01-15,4.15,4.26,4.09,4.09
WBS,1988-01-18,4.09,4.26,4.09,4.26
WBS,1988-01-19,4.26,4.26,4.15,4.15
WBS,1988-01-20,4.15,4.15,4.15,4.15
WBS,1988-01-21,4.15,4.26,4.15,4.26
WBS,1988-01-22,4.26,4.32,4.26,4.32
WBS,1988-01-25,4.32,4.43,4.15,4.32
WBS,1988-01-26,4.49,4.72,4.49,4.72
WBS,1988-01-27,4.72,4.83,4.66,4.83
WBS,1988-01-28,4.83,4.83,4.72,4.83
WBS,1988-01-29,4.83,5.23,4.83,5.17
WBS,1988-02-01,5.17,5.23,5.17,5.17
WBS,1988-02-02,5.17,5.17,5.11,5.11
WBS,1988-02-03,5.06,5.06,4.94,5.06
WBS,1988-02-04,4.94,4.94,4.94,4.94
WBS,1988-02-05,4.94,5.06,4.94,4.94
WBS,1988-02-08,5.0,5.11,5.0,5.11
