ticker,date,open,high,low,close
WCN,1998-05-22,2.72,2.84,2.72,2.82
WCN,1998-05-26,2.79,3.01,2.79,2.96
WCN,1998-05-27,2.86,2.96,2.84,2.86
WCN,1998-05-28,2.89,3.16,2.86,2.96
WCN,1998-05-29,3.01,3.07,2.99,3.0
WCN,1998-06-01,3.0,3.07,3.0,3.0
WCN,1998-06-02,3.06,3.06,3.0,3.04
WCN,1998-06-03,3.01,3.48,3.01,3.23
WCN,1998-06-04,3.23,3.43,3.21,3.36
WCN,1998-06-05,3.48,3.56,3.38,3.48
WCN,1998-06-08,3.56,3.56,3.48,3.48
WCN,1998-06-09,3.53,3.53,3.21,3.21
WCN,1998-06-10,3.21,3.31,3.01,3.19
WCN,1998-06-11,3.19,3.28,3.19,3.23
WCN,1998-06-12,3.26,3.26,3.16,3.26
WCN,1998-06-15,3.31,3.31,3.23,3.28
WCN,1998-06-16,3.33,3.7,3.26,3.7
WCN,1998-06-17,3.7,4.04,3.6,3.95
WCN,1998-06-18,4.05,4.1,3.75,3.88
WCN,1998-06-19,3.88,3.88,3.63,3.65
WCN,1998-06-22,3.75,3.75,3.58,3.65
WCN,1998-06-23,3.56,3.6,3.54,3.56
WCN,1998-06-24,3.56,3.75,3.56,3.7
WCN,1998-06-25,3.65,4.02,3.65,3.93
WCN,1998-06-26,3.9,3.98,3.8,3.8
WCN,1998-06-29,3.93,4.1,3.93,3.95
WCN,1998-06-30,4.0,4.0,3.93,3.93
WCN,1998-07-01,3.95,4.02,3.93,4.02
WCN,1998-07-02,3.99,4.0,3.9,3.93
WCN,1998-07-06,3.93,3.93,3.83,3.85
WCN,1998-07-07,3.88,3.88,3.7,3.7
WCN,1998-07-08,3.68,3.7,3.51,3.58
WCN,1998-07-09,3.68,3.73,3.65,3.65
WCN,1998-07-10,3.65,3.8,3.65,3.8
WCN,1998-07-13,3.85,3.85,3.78,3.83
WCN,1998-07-14,3.83,3.85,3.75,3.8
WCN,1998-07-15,3.88,4.0,3.85,4.0
WCN,1998-07-16,3.85,3.85,3.8,3.8
WCN,1998-07-17,3.95,3.98,3.8,3.98
WCN,1998-07-20,3.85,3.98,3.8,3.88
WCN,1998-07-21,3.88,3.95,3.88,3.95
WCN,1998-07-22,3.95,4.04,3.9,4.04
WCN,1998-07-23,4.04,4.62,4.02,4.37
WCN,1998-07-24,4.32,4.54,4.15,4.15
WCN,1998-07-27,4.27,4.27,4.1,4.1
WCN,1998-07-28,4.1,4.54,4.1,4.35
WCN,1998-07-29,4.4,4.4,4.25,4.25
WCN,1998-07-30,4.27,4.4,4.27,4.4
WCN,1998-07-31,4.3,4.4,4.27,4.37
WCN,1998-08-03,4.4,4.4,4.17,4.17
WCN,1998-08-04,4.32,4.4,4.2,4.32
WCN,1998-08-05,4.35,4.4,4.25,4.4
WCN,1998-08-06,4.4,4.4,4.35,4.35
WCN,1998-08-07,4.4,4.44,4.35,4.44
WCN,1998-08-10,4.44,4.52,4.42,4.42
WCN,1998-08-11,4.37,4.47,4.35,4.35
WCN,1998-08-12,4.42,4.47,4.35,4.47
WCN,1998-08-13,4.35,4.44,4.35,4.44
WCN,1998-08-14,4.44,4.44,4.42,4.42
WCN,1998-08-17,4.54,4.54,4.35,4.35
