ticker,date,open,high,low,close
WEAV,2021-11-11,21.8,22.4,18.5,18.79
WEAV,2021-11-12,18.68,19.29,18.44,18.5
WEAV,2021-11-15,18.58,21.48,18.58,21.13
WEAV,2021-11-16,21.25,21.4,19.5,20.25
WEAV,2021-11-17,20.62,20.62,19.5,20.0
WEAV,2021-11-18,20.0,20.27,19.5,19.98
WEAV,2021-11-19,20.0,20.25,19.59,19.6
WEAV,2021-11-22,19.99,20.32,19.62,20.0
WEAV,2021-11-23,19.95,20.025,18.75,19.49
WEAV,2021-11-24,19.24,20.91,19.24,20.67
WEAV,2021-11-26,20.65,20.885,20.0,20.49
WEAV,2021-11-29,20.07,20.5,19.0,19.04
WEAV,2021-11-30,19.01,19.13,17.6,17.77
WEAV,2021-12-01,18.0,18.28,17.05,17.58
WEAV,2021-12-02,17.53,17.75,16.5,16.68
WEAV,2021-12-03,16.68,17.2,16.0,16.24
WEAV,2021-12-06,16.26,16.6591,15.17,15.78
WEAV,2021-12-07,15.81,16.6399,15.81,16.54
WEAV,2021-12-08,16.04,16.08,13.21,15.11
WEAV,2021-12-09,14.98,15.0,13.52,13.54
WEAV,2021-12-10,15.35,15.35,14.37,14.55
WEAV,2021-12-13,15.02,15.79,14.23,14.98
WEAV,2021-12-14,14.97,15.02,14.04,14.87
WEAV,2021-12-15,15.23,15.23,14.35,15.21
WEAV,2021-12-16,15.3,15.3,13.79,13.83
WEAV,2021-12-17,13.63,14.07,13.21,13.28
WEAV,2021-12-20,13.39,14.0583,13.23,13.88
WEAV,2021-12-21,14.03,14.71,14.0,14.67
WEAV,2021-12-22,14.51,15.5865,14.51,15.48
WEAV,2021-12-23,15.37,15.68,15.1436,15.37
WEAV,2021-12-27,15.32,15.7098,15.21,15.58
WEAV,2021-12-28,15.58,15.7,15.03,15.19
WEAV,2021-12-29,15.06,15.19,14.26,14.33
WEAV,2021-12-30,14.21,15.02,14.21,14.91
WEAV,2021-12-31,14.82,15.48,14.725,15.18
WEAV,2022-01-03,15.32,15.65,14.5,14.59
WEAV,2022-01-04,14.3,14.45,12.6399,13.11
WEAV,2022-01-05,13.07,13.6557,11.77,12.03
WEAV,2022-01-06,11.87,12.09,11.26,11.67
WEAV,2022-01-07,11.73,12.24,11.33,11.49
WEAV,2022-01-10,11.25,11.54,10.6605,11.54
WEAV,2022-01-11,11.49,12.9,11.16,12.37
WEAV,2022-01-12,12.57,12.8,11.53,11.75
WEAV,2022-01-13,11.88,11.9,11.06,11.08
WEAV,2022-01-14,11.09,11.09,10.4,10.81
WEAV,2022-01-18,10.5,11.04,10.4,10.78
WEAV,2022-01-19,10.78,11.3055,10.47,10.52
WEAV,2022-01-20,10.54,11.04,10.4,10.41
WEAV,2022-01-21,10.29,10.4197,9.65,9.72
WEAV,2022-01-24,9.58,9.92,8.83,9.54
WEAV,2022-01-25,8.94,9.28,8.87,9.07
WEAV,2022-01-26,9.11,9.58,8.76,8.97
WEAV,2022-01-27,8.89,9.51,8.89,9.08
WEAV,2022-01-28,9.01,9.04,7.91,8.82
WEAV,2022-01-31,8.88,10.1,8.87,10.0
WEAV,2022-02-01,10.06,10.33,9.63,10.04
WEAV,2022-02-02,10.13,10.13,9.2,9.28
WEAV,2022-02-03,8.88,9.1,8.61,8.68
WEAV,2022-02-04,8.7,9.64,8.7,9.55
WEAV,2022-02-07,9.65,10.48,9.65,10.35
WEAV,2022-02-08,10.25,10.8,10.215,10.52
WEAV,2022-02-09,10.71,11.15,10.56,11.1
WEAV,2022-02-10,10.95,11.46,10.61,10.8
WEAV,2022-02-11,10.69,10.925,9.56,9.87
WEAV,2022-02-14,9.8,10.54,9.8,10.34
WEAV,2022-02-15,10.58,10.91,10.3,10.86
WEAV,2022-02-16,10.83,10.83,10.36,10.66
WEAV,2022-02-17,10.56,10.56,9.6745,10.04
WEAV,2022-02-18,9.81,10.005,9.34,9.43
WEAV,2022-02-22,9.18,9.37,8.82,9.09
WEAV,2022-02-23,9.16,9.31,8.43,8.67
WEAV,2022-02-24,8.25,10.14,8.25,10.0
WEAV,2022-02-25,10.06,10.06,9.49,9.87
WEAV,2022-02-28,9.77,10.5,9.77,10.05
WEAV,2022-03-01,9.95,10.2,9.5,9.57
WEAV,2022-03-02,9.56,9.68,9.21,9.33
WEAV,2022-03-03,6.26,8.15,6.08,7.76
WEAV,2022-03-04,7.6,7.92,6.21,6.59
WEAV,2022-03-07,6.71,6.95,6.08,6.28
WEAV,2022-03-08,6.13,6.26,5.77,6.01
WEAV,2022-03-09,6.15,6.21,5.81,6.11
WEAV,2022-03-10,6.11,6.21,5.68,5.76
WEAV,2022-03-11,5.86,5.86,5.35,5.58
WEAV,2022-03-14,5.52,5.5587,5.25,5.45
WEAV,2022-03-15,5.48,5.48,5.15,5.22
WEAV,2022-03-16,5.29,5.58,5.09,5.54
WEAV,2022-03-17,5.66,5.83,5.5,5.65
WEAV,2022-03-18,5.59,6.1,5.5,5.89
WEAV,2022-03-21,5.89,6.67,5.74,6.21
WEAV,2022-03-22,6.22,6.401,6.13,6.19
WEAV,2022-03-23,6.19,6.19,5.88,5.97
WEAV,2022-03-24,5.97,6.14,5.83,6.02
WEAV,2022-03-25,6.0281,6.0281,5.66,5.69
WEAV,2022-03-28,5.68,5.89,5.56,5.85
WEAV,2022-03-29,5.96,6.25,5.91,6.19
WEAV,2022-03-30,6.17,6.2599,5.75,5.84
WEAV,2022-03-31,5.8,5.98,5.68,5.96
WEAV,2022-04-01,5.92,6.17,5.8,5.87
WEAV,2022-04-04,5.95,6.255,5.91,6.1
WEAV,2022-04-05,6.03,6.03,5.71,5.75
WEAV,2022-04-06,5.71,5.71,5.35,5.48
WEAV,2022-04-07,5.46,5.55,5.28,5.47
WEAV,2022-04-08,5.43,5.44,5.1758,5.19
WEAV,2022-04-11,5.3,5.3,5.04,5.15
WEAV,2022-04-12,5.26,5.48,5.19,5.28
WEAV,2022-04-13,5.32,5.59,5.18,5.52
WEAV,2022-04-14,5.43,5.649,5.05,5.08
WEAV,2022-04-18,5.06,5.24,4.78,4.99
WEAV,2022-04-19,5.02,5.31,4.88,5.06
WEAV,2022-04-20,5.09,5.21,4.89,4.97
WEAV,2022-04-21,5.06,5.1256,4.85,4.9
WEAV,2022-04-22,4.76,5.04,4.76,4.91
WEAV,2022-04-25,4.96,5.15,4.875,5.11
WEAV,2022-04-26,5.03,5.14,4.85,4.94
WEAV,2022-04-27,5.0,5.04,4.76,4.79
WEAV,2022-04-28,4.8,4.91,4.53,4.86
WEAV,2022-04-29,4.84,4.95,4.705,4.74
WEAV,2022-05-02,4.75,5.03,4.69,4.99
WEAV,2022-05-03,5.01,5.16,4.88,4.99
WEAV,2022-05-04,5.03,5.6,4.75,5.46
WEAV,2022-05-05,5.45,5.99,5.14,5.74
WEAV,2022-05-06,5.7,5.73,5.1301,5.43
WEAV,2022-05-09,5.23,5.4,4.61,4.63
WEAV,2022-05-10,4.78,4.78,4.21,4.41
WEAV,2022-05-11,4.66,4.69,4.08,4.36
WEAV,2022-05-12,4.33,5.04,4.33,4.74
WEAV,2022-05-13,4.7,5.42,4.6,4.92
WEAV,2022-05-16,4.665,5.05,4.61,4.75
WEAV,2022-05-17,4.89,5.04,4.67,4.94
WEAV,2022-05-18,4.86,5.0,4.64,4.9
WEAV,2022-05-19,4.85,5.04,4.79,4.99
WEAV,2022-05-20,5.09,5.1,4.8,5.0
WEAV,2022-05-23,4.99,5.06,4.88,5.0
WEAV,2022-05-24,4.96,5.05,4.63,5.03
WEAV,2022-05-25,4.95,5.03,4.6601,4.95
WEAV,2022-05-26,4.97,5.7,4.88,4.99
WEAV,2022-05-27,5.09,5.345,4.92,5.32
WEAV,2022-05-31,5.3,5.31,4.91,4.99
WEAV,2022-06-01,5.06,5.28,4.93,5.11
WEAV,2022-06-02,5.13,5.58,5.09,5.54
WEAV,2022-06-03,5.44,5.6,5.24,5.49
WEAV,2022-06-06,5.49,5.98,5.47,5.73
WEAV,2022-06-07,5.67,5.96,5.15,5.2
WEAV,2022-06-08,5.19,5.46,5.165,5.29
WEAV,2022-06-09,5.25,5.42,5.02,5.06
WEAV,2022-06-10,4.83,4.89,4.39,4.39
WEAV,2022-06-13,4.29,4.36,3.795,3.86
WEAV,2022-06-14,3.87,4.03,3.82,4.0
WEAV,2022-06-15,4.0,4.14,3.72,4.05
WEAV,2022-06-16,3.88,3.94,3.62,3.93
WEAV,2022-06-17,3.94,4.17,3.91,3.96
WEAV,2022-06-21,4.1113,4.1113,3.68,3.76
WEAV,2022-06-22,3.67,3.81,3.48,3.55
WEAV,2022-06-23,3.65,3.91,3.5306,3.9
WEAV,2022-06-24,3.92,4.0,3.71,3.92
WEAV,2022-06-27,3.93,3.93,3.36,3.39
WEAV,2022-06-28,3.42,3.455,3.11,3.15
WEAV,2022-06-29,3.14,3.19,2.9627,3.16
WEAV,2022-06-30,3.14,3.14,2.97,3.04
WEAV,2022-07-01,3.03,3.19,2.91,3.18
WEAV,2022-07-05,3.13,3.35,3.06,3.33
WEAV,2022-07-06,3.36,3.53,3.1278,3.51
WEAV,2022-07-07,3.5,3.7,3.42,3.65
WEAV,2022-07-08,3.6,3.73,3.57,3.72
WEAV,2022-07-11,3.68,3.68,3.55,3.57
WEAV,2022-07-12,3.59,3.63,3.5,3.58
WEAV,2022-07-13,3.48,3.7,3.48,3.6
WEAV,2022-07-14,3.56,3.71,3.5,3.66
WEAV,2022-07-15,3.7,3.83,3.51,3.79
WEAV,2022-07-18,3.81,3.81,3.3505,3.37
WEAV,2022-07-19,3.41,3.59,3.365,3.57
WEAV,2022-07-20,3.53,4.05,3.53,3.99
WEAV,2022-07-21,4.03,4.595,3.95,4.53
WEAV,2022-07-22,4.59,4.59,4.06,4.22
WEAV,2022-07-25,4.17,4.52,4.0212,4.36
WEAV,2022-07-26,4.32,4.42,4.095,4.25
WEAV,2022-07-27,4.25,4.79,4.23,4.73
WEAV,2022-07-28,4.64,4.88,4.491,4.85
WEAV,2022-07-29,4.82,5.04,4.75,5.01
WEAV,2022-08-01,4.96,5.16,4.94,5.07
WEAV,2022-08-02,5.0,5.19,4.95,5.14
WEAV,2022-08-03,5.17,5.37,5.17,5.22
WEAV,2022-08-04,5.16,5.67,4.8795,5.51
WEAV,2022-08-05,5.42,5.66,5.4,5.48
WEAV,2022-08-08,5.47,5.64,5.03,5.14
WEAV,2022-08-09,5.12,5.48,5.05,5.42
WEAV,2022-08-10,5.58,5.99,5.49,5.92
WEAV,2022-08-11,5.99,6.1,5.9,5.99
WEAV,2022-08-12,5.98,5.98,5.8,5.84
WEAV,2022-08-15,5.81,6.16,5.71,6.12
WEAV,2022-08-16,6.1,6.25,5.88,6.24
WEAV,2022-08-17,6.12,6.24,5.88,5.94
WEAV,2022-08-18,5.82,6.19,5.765,6.11
WEAV,2022-08-19,5.92,6.11,5.62,5.99
WEAV,2022-08-22,5.81,5.86,5.52,5.74
WEAV,2022-08-23,5.67,5.76,5.5,5.7
WEAV,2022-08-24,5.75,5.94,5.6859,5.84
WEAV,2022-08-25,5.96,5.99,5.65,5.72
WEAV,2022-08-26,5.79,6.09,5.64,5.69
WEAV,2022-08-29,5.61,5.725,5.46,5.57
WEAV,2022-08-30,5.59,5.72,5.47,5.58
WEAV,2022-08-31,5.66,5.97,5.6,5.77
WEAV,2022-09-01,5.67,6.055,5.4,5.97
WEAV,2022-09-02,5.96,6.15,5.76,6.01
WEAV,2022-09-06,6.14,6.5,5.85,5.85
WEAV,2022-09-07,5.92,6.24,5.77,6.21
WEAV,2022-09-08,6.14,6.585,6.14,6.55
WEAV,2022-09-09,6.62,6.84,6.31,6.46
WEAV,2022-09-12,6.53,6.93,6.41,6.75
WEAV,2022-09-13,6.5,6.85,6.4,6.58
WEAV,2022-09-14,6.6,6.6,6.0,6.01
WEAV,2022-09-15,6.0,6.11,5.68,5.76
WEAV,2022-09-16,5.65,6.16,5.5859,5.76
WEAV,2022-09-19,5.63,5.88,5.43,5.61
WEAV,2022-09-20,5.54,5.55,4.83,4.85
WEAV,2022-09-21,4.83,5.075,4.785,4.91
WEAV,2022-09-22,4.81,5.1,4.81,5.04
WEAV,2022-09-23,5.01,5.21,4.98,5.01
WEAV,2022-09-26,4.91,5.1373,4.6302,4.75
WEAV,2022-09-27,4.8,5.0025,4.77,4.8
WEAV,2022-09-28,4.8,5.29,4.8,5.19
WEAV,2022-09-29,5.09,5.09,4.8,5.0
WEAV,2022-09-30,4.98,5.185,4.86,5.05
WEAV,2022-10-03,5.12,5.47,4.95,5.37
WEAV,2022-10-04,5.51,6.21,5.51,6.21
