ticker,date,open,high,low,close
WF,2003-10-01,19.37,19.37,19.37,19.37
WF,2003-10-02,19.37,19.37,19.37,19.37
WF,2003-10-03,18.3,19.07,18.3,19.07
WF,2003-10-06,18.36,18.41,18.3,18.36
WF,2003-10-07,18.24,18.24,18.24,18.24
WF,2003-10-08,18.36,18.36,18.3,18.3
WF,2003-10-09,19.9,20.14,19.9,20.14
WF,2003-10-10,21.16,21.35,21.16,21.33
WF,2003-10-13,21.33,21.33,21.33,21.33
WF,2003-10-14,21.33,21.33,21.33,21.33
WF,2003-10-15,21.33,21.33,21.33,21.33
WF,2003-10-16,21.28,21.28,21.28,21.28
WF,2003-10-17,21.28,21.28,21.28,21.28
WF,2003-10-20,21.28,21.28,21.28,21.28
WF,2003-10-21,21.28,21.28,21.28,21.28
WF,2003-10-22,19.73,19.73,19.73,19.73
WF,2003-10-23,19.73,19.73,19.73,19.73
WF,2003-10-24,19.67,19.79,19.67,19.79
WF,2003-10-27,19.67,19.67,19.67,19.67
WF,2003-10-28,20.17,20.17,20.17,20.17
WF,2003-10-29,20.32,20.32,20.32,20.32
WF,2003-10-30,20.32,20.32,20.32,20.32
WF,2003-10-31,19.85,19.9,19.85,19.85
WF,2003-11-03,19.85,19.85,19.85,19.85
WF,2003-11-04,20.08,20.26,20.08,20.26
WF,2003-11-05,21.04,21.1,21.04,21.1
WF,2003-11-06,20.74,20.74,20.68,20.68
WF,2003-11-07,20.98,20.98,20.98,20.98
WF,2003-11-10,21.51,21.51,21.45,21.45
WF,2003-11-11,22.05,22.05,22.05,22.05
WF,2003-11-12,22.07,22.07,22.07,22.07
WF,2003-11-13,22.07,22.07,22.07,22.07
WF,2003-11-14,22.65,22.65,22.65,22.65
WF,2003-11-17,22.29,22.29,22.29,22.29
WF,2003-11-18,22.77,23.0,22.77,23.0
WF,2003-11-19,21.57,21.57,21.57,21.57
WF,2003-11-20,20.38,20.41,20.38,20.41
WF,2003-11-21,20.41,20.41,20.41,20.41
WF,2003-11-24,19.85,19.85,19.67,19.67
WF,2003-11-25,20.26,20.32,20.26,20.32
WF,2003-11-26,20.39,20.42,20.39,20.42
WF,2003-11-28,20.42,20.42,20.42,20.42
WF,2003-12-01,20.42,20.42,20.42,20.42
WF,2003-12-02,20.42,20.42,20.42,20.42
WF,2003-12-03,21.33,22.05,21.33,22.05
WF,2003-12-04,22.05,22.05,22.05,22.05
WF,2003-12-05,21.18,21.18,21.18,21.18
WF,2003-12-08,21.18,21.18,21.18,21.18
WF,2003-12-09,21.28,21.28,21.28,21.28
WF,2003-12-10,21.28,21.28,21.1,21.1
WF,2003-12-11,20.74,20.74,20.74,20.74
WF,2003-12-12,20.74,20.74,20.74,20.74
WF,2003-12-15,21.45,21.45,21.45,21.45
WF,2003-12-16,21.16,21.16,21.16,21.16
WF,2003-12-17,20.68,20.68,20.68,20.68
WF,2003-12-18,20.68,20.68,20.68,20.68
WF,2003-12-19,20.72,20.86,20.72,20.86
WF,2003-12-22,20.14,20.2,20.14,20.2
WF,2003-12-23,20.2,20.2,20.2,20.2
WF,2003-12-24,20.2,20.2,20.2,20.2
WF,2003-12-26,19.73,19.73,19.73,19.73
WF,2003-12-29,18.97,18.97,18.97,18.97
WF,2003-12-30,20.29,21.57,20.29,21.57
WF,2003-12-31,21.57,22.17,21.57,22.17
WF,2004-01-02,21.45,22.47,21.45,22.47
WF,2004-01-05,21.16,21.81,21.16,21.81
WF,2004-01-06,20.98,21.45,20.98,21.45
WF,2004-01-07,21.57,21.57,21.39,21.39
WF,2004-01-08,21.16,21.45,21.16,21.45
WF,2004-01-09,21.63,21.87,21.63,21.87
WF,2004-01-12,22.05,22.29,22.05,22.29
WF,2004-01-13,22.11,22.17,22.11,22.17
WF,2004-01-14,22.53,22.65,22.53,22.65
WF,2004-01-15,22.53,22.88,22.23,22.29
WF,2004-01-16,22.29,22.35,22.23,22.23
WF,2004-01-20,23.18,23.18,22.77,22.82
WF,2004-01-21,23.24,23.24,23.24,23.24
WF,2004-01-22,23.27,23.27,23.12,23.18
WF,2004-01-23,23.36,23.48,23.36,23.48
WF,2004-01-26,23.24,23.3,23.24,23.3
WF,2004-01-27,22.53,22.65,22.47,22.65
WF,2004-01-28,22.41,22.53,22.41,22.53
WF,2004-01-29,22.53,22.53,22.53,22.53
WF,2004-01-30,22.17,22.23,22.17,22.23
WF,2004-02-02,22.23,22.23,22.23,22.23
WF,2004-02-03,21.63,21.63,21.63,21.63
WF,2004-02-04,21.78,21.78,21.78,21.78
WF,2004-02-05,21.9,21.9,21.9,21.9
WF,2004-02-06,21.81,21.81,21.81,21.81
WF,2004-02-09,21.87,21.87,21.81,21.81
WF,2004-02-10,21.81,21.81,21.81,21.81
WF,2004-02-11,22.65,22.65,22.65,22.65
WF,2004-02-12,22.65,22.65,22.65,22.65
WF,2004-02-13,22.65,22.65,22.65,22.65
WF,2004-02-17,23.24,23.24,23.12,23.12
WF,2004-02-18,23.12,23.12,23.12,23.12
WF,2004-02-19,23.12,23.12,23.12,23.12
WF,2004-02-20,23.96,23.96,23.78,23.78
WF,2004-02-23,24.2,24.2,24.14,24.14
WF,2004-02-24,24.14,24.14,24.14,24.14
WF,2004-02-25,24.14,24.14,24.14,24.14
WF,2004-02-26,25.95,25.98,25.95,25.98
WF,2004-02-27,26.22,26.52,26.22,26.52
WF,2004-03-01,26.6,26.64,26.6,26.64
WF,2004-03-02,26.82,26.82,26.64,26.7
WF,2004-03-03,26.7,26.7,26.52,26.7
WF,2004-03-04,26.82,27.06,26.82,27.06
WF,2004-03-05,27.18,27.33,27.18,27.33
WF,2004-03-08,27.41,27.77,27.41,27.77
WF,2004-03-09,27.12,27.35,27.04,27.35
WF,2004-03-10,26.19,26.22,26.17,26.17
WF,2004-03-11,26.19,26.19,26.19,26.19
WF,2004-03-12,24.67,24.67,24.47,24.49
WF,2004-03-15,24.91,24.97,24.91,24.97
WF,2004-03-16,24.97,25.15,24.96,25.15
WF,2004-03-17,26.4,26.82,26.4,26.82
WF,2004-03-18,26.94,27.06,26.85,26.85
WF,2004-03-19,28.02,28.02,28.02,28.02
WF,2004-03-22,27.18,27.18,26.82,26.94
WF,2004-03-23,28.07,38.15,28.07,30.04
WF,2004-03-24,29.08,31.28,29.08,30.04
WF,2004-03-25,28.9,29.14,28.78,28.78
WF,2004-03-26,28.55,28.55,28.07,28.19
WF,2004-03-29,27.89,28.13,27.58,27.77
WF,2004-03-30,27.53,27.53,27.18,27.29
WF,2004-03-31,28.01,29.02,28.01,28.49
WF,2004-04-01,28.01,28.01,27.9,28.01
WF,2004-04-02,27.53,27.53,27.35,27.53
WF,2004-04-05,27.53,28.01,27.29,28.01
WF,2004-04-06,28.01,28.01,28.01,28.01
WF,2004-04-07,27.53,27.59,27.53,27.59
WF,2004-04-08,27.62,27.62,27.32,27.32
WF,2004-04-12,27.41,27.41,27.4,27.4
WF,2004-04-13,27.75,27.76,27.75,27.76
WF,2004-04-14,27.53,27.53,27.41,27.45
WF,2004-04-15,27.41,27.45,27.41,27.45
WF,2004-04-16,26.34,26.34,26.34,26.34
WF,2004-04-19,25.74,25.74,25.74,25.74
WF,2004-04-20,26.82,27.0,26.82,26.98
WF,2004-04-21,27.0,27.0,26.84,26.84
WF,2004-04-22,26.84,26.84,26.84,26.84
WF,2004-04-23,28.01,28.09,27.97,27.97
WF,2004-04-26,27.97,27.97,27.97,27.97
WF,2004-04-27,27.97,27.97,27.97,27.97
WF,2004-04-28,27.35,27.47,27.35,27.47
WF,2004-04-29,27.0,27.06,27.0,27.06
WF,2004-04-30,26.82,26.82,25.98,25.98
WF,2004-05-03,25.98,25.98,25.98,25.98
WF,2004-05-04,25.98,25.98,25.98,25.98
WF,2004-05-05,26.1,26.16,26.04,26.04
WF,2004-05-06,24.73,24.73,24.55,24.55
WF,2004-05-07,24.2,24.26,24.14,24.26
WF,2004-05-10,21.57,21.63,21.45,21.45
WF,2004-05-11,21.87,22.05,21.87,22.05
WF,2004-05-12,22.05,22.05,22.05,22.05
WF,2004-05-13,21.75,21.87,21.75,21.87
WF,2004-05-14,20.68,20.8,20.66,20.66
WF,2004-05-17,20.66,20.66,20.66,20.66
WF,2004-05-18,20.26,20.32,20.26,20.32
WF,2004-05-19,20.92,21.75,20.92,21.75
WF,2004-05-20,20.56,20.56,20.26,20.26
WF,2004-05-21,20.8,20.98,20.8,20.86
WF,2004-05-24,20.98,21.35,20.98,21.35
WF,2004-05-25,20.62,20.8,20.56,20.57
WF,2004-05-26,20.44,20.44,20.38,20.38
WF,2004-05-27,20.44,20.8,20.44,20.68
WF,2004-05-28,21.19,21.63,21.19,21.45
WF,2004-06-01,21.51,21.76,21.51,21.76
WF,2004-06-02,21.47,21.56,21.45,21.45
WF,2004-06-03,21.22,21.39,21.22,21.39
WF,2004-06-04,21.45,21.63,21.45,21.51
WF,2004-06-07,22.29,22.41,22.29,22.35
WF,2004-06-08,21.93,21.99,21.93,21.99
WF,2004-06-09,22.05,22.17,22.05,22.17
WF,2004-06-10,21.16,21.45,21.16,21.45
