ticker,date,open,high,low,close
WM,1988-06-22,0.0,4.75,4.62,4.62
WM,1988-06-23,0.0,4.5,4.25,4.25
WM,1988-06-24,0.0,4.38,4.38,4.38
WM,1988-06-27,0.0,4.38,4.25,4.25
WM,1988-06-28,0.0,4.25,4.0,4.0
WM,1988-06-29,0.0,4.25,4.12,4.12
WM,1988-06-30,0.0,4.5,4.38,4.38
WM,1988-07-01,0.0,4.88,4.75,4.75
WM,1988-07-05,0.0,4.88,4.62,4.62
WM,1988-07-06,0.0,4.62,4.5,4.5
WM,1988-07-07,0.0,4.62,4.5,4.5
WM,1988-07-08,0.0,4.5,4.38,4.38
WM,1988-07-11,0.0,4.5,4.38,4.38
WM,1988-07-12,0.0,4.62,4.38,4.38
WM,1988-07-13,0.0,4.62,4.5,4.5
WM,1988-07-14,0.0,4.62,4.38,4.38
WM,1988-07-15,0.0,4.62,4.38,4.38
WM,1988-07-18,0.0,4.5,4.25,4.25
WM,1988-07-19,0.0,4.38,4.12,4.12
WM,1988-07-20,0.0,4.12,3.88,3.88
WM,1988-07-21,0.0,4.12,4.0,4.0
WM,1988-07-22,0.0,4.12,3.88,3.88
WM,1988-07-25,0.0,4.12,3.88,3.88
WM,1988-07-26,0.0,4.0,3.88,3.88
WM,1988-07-27,0.0,4.0,3.88,3.88
WM,1988-07-28,0.0,4.0,3.88,3.88
WM,1988-07-29,0.0,4.0,3.88,3.88
WM,1988-08-01,0.0,4.12,4.0,4.0
WM,1988-08-02,0.0,4.12,3.88,3.88
WM,1988-08-03,0.0,4.0,3.75,3.75
WM,1988-08-04,0.0,3.88,3.62,3.62
WM,1988-08-05,0.0,3.88,3.75,3.75
WM,1988-08-08,0.0,3.88,3.75,3.75
WM,1988-08-09,0.0,3.62,3.5,3.5
WM,1988-08-10,0.0,3.38,3.25,3.25
WM,1988-08-11,0.0,3.5,3.38,3.38
WM,1988-08-12,0.0,3.5,3.38,3.38
WM,1988-08-15,0.0,3.38,3.25,3.25
WM,1988-08-16,0.0,3.38,3.12,3.12
WM,1988-08-17,0.0,2.88,2.75,2.75
WM,1988-08-18,0.0,2.88,2.75,2.75
WM,1988-08-19,0.0,2.88,2.75,2.75
WM,1988-08-22,0.0,2.75,2.62,2.62
WM,1988-08-23,0.0,2.88,2.75,2.75
WM,1988-08-24,0.0,2.75,2.62,2.62
WM,1988-08-25,0.0,2.75,2.62,2.62
WM,1988-08-26,0.0,2.88,2.88,2.88
WM,1988-08-29,0.0,2.88,2.75,2.75
WM,1988-08-30,0.0,2.88,2.75,2.75
WM,1988-08-31,0.0,2.88,2.75,2.75
WM,1988-09-01,2.75,2.75,2.75,2.75
WM,1988-09-02,0.0,2.88,2.75,2.75
WM,1988-09-06,0.0,2.88,2.75,2.75
WM,1988-09-07,0.0,2.5,2.38,2.38
WM,1988-09-08,0.0,3.0,2.88,2.88
WM,1988-09-09,0.0,3.25,3.25,3.25
WM,1988-09-12,0.0,3.25,3.12,3.12
WM,1988-09-13,0.0,3.0,2.88,2.88
WM,1988-09-14,0.0,3.12,3.0,3.0
WM,1988-09-15,0.0,3.0,3.0,3.0
WM,1988-09-16,0.0,3.12,3.12,3.12
WM,1988-09-19,0.0,3.12,3.0,3.0
WM,1988-09-20,0.0,3.12,3.0,3.0
WM,1988-09-21,0.0,3.12,3.0,3.0
WM,1988-09-22,0.0,3.0,2.88,2.88
WM,1988-09-23,0.0,3.0,2.88,2.88
WM,1988-09-26,0.0,3.0,2.88,2.88
WM,1988-09-27,0.0,3.0,2.75,2.75
WM,1988-09-28,0.0,3.0,2.75,2.75
WM,1988-09-29,0.0,2.88,2.75,2.75
WM,1988-09-30,0.0,2.75,2.62,2.62
WM,1988-10-03,0.0,2.75,2.5,2.5
WM,1988-10-04,0.0,2.75,2.62,2.62
WM,1988-10-05,0.0,2.75,2.5,2.5
WM,1988-10-06,0.0,2.62,2.62,2.62
WM,1988-10-07,0.0,2.62,2.5,2.5
WM,1988-10-10,0.0,2.5,2.38,2.38
WM,1988-10-11,0.0,2.5,2.38,2.38
WM,1988-10-12,0.0,2.5,2.38,2.38
WM,1988-10-13,0.0,2.38,2.25,2.25
WM,1988-10-14,0.0,2.5,2.38,2.38
WM,1988-10-17,0.0,2.38,2.25,2.25
WM,1988-10-18,0.0,2.38,2.25,2.25
WM,1988-10-19,0.0,2.25,2.25,2.25
WM,1988-10-20,0.0,2.5,2.38,2.38
WM,1988-10-21,0.0,2.38,2.38,2.38
WM,1988-10-24,0.0,2.38,2.25,2.25
WM,1988-10-25,0.0,2.38,2.25,2.25
WM,1988-10-26,0.0,2.38,2.25,2.25
WM,1988-10-27,0.0,2.38,2.25,2.25
WM,1988-10-28,0.0,2.38,2.38,2.38
WM,1988-10-31,0.0,2.75,2.62,2.62
WM,1988-11-01,0.0,3.12,3.0,3.0
WM,1988-11-02,0.0,3.12,3.0,3.0
WM,1988-11-03,0.0,3.38,3.25,3.25
WM,1988-11-04,0.0,3.38,3.25,3.25
WM,1988-11-07,0.0,3.12,3.12,3.12
WM,1988-11-08,0.0,3.0,3.0,3.0
WM,1988-11-09,0.0,3.0,2.88,2.88
WM,1988-11-10,0.0,2.88,2.75,2.75
WM,1988-11-11,0.0,2.75,2.62,2.62
WM,1988-11-14,0.0,2.75,2.62,2.62
WM,1988-11-15,0.0,2.75,2.62,2.62
WM,1988-11-16,0.0,2.88,2.75,2.75
WM,1988-11-17,0.0,2.75,2.75,2.75
WM,1988-11-18,0.0,2.75,2.62,2.62
WM,1988-11-21,0.0,2.62,2.62,2.62
WM,1988-11-22,2.62,2.62,2.62,2.62
WM,1988-11-23,0.0,2.62,2.62,2.62
WM,1988-11-25,0.0,2.62,2.62,2.62
WM,1988-11-28,2.62,2.62,2.62,2.62
WM,1988-11-29,0.0,2.62,2.5,2.5
WM,1988-11-30,0.0,2.62,2.62,2.62
WM,1988-12-01,0.0,2.62,2.62,2.62
WM,1988-12-02,0.0,2.62,2.5,2.5
WM,1988-12-05,2.5,2.5,2.5,2.5
WM,1988-12-06,2.5,2.5,2.5,2.5
WM,1988-12-07,0.0,2.62,2.5,2.5
WM,1988-12-08,0.0,2.62,2.5,2.5
WM,1988-12-09,0.0,2.62,2.38,2.38
WM,1988-12-12,0.0,2.5,2.38,2.38
WM,1988-12-13,0.0,2.5,2.38,2.38
WM,1988-12-14,0.0,2.38,2.25,2.25
WM,1988-12-15,0.0,2.38,2.25,2.25
