ticker,date,open,high,low,close
XPER,2022-09-20,23.0,23.0,23.0,23.0
XPER,2022-09-21,23.0,23.0,23.0,23.0
XPER,2022-09-22,23.0,23.0,23.0,23.0
XPER,2022-09-23,23.0,23.0,23.0,23.0
XPER,2022-09-26,23.0,23.0,23.0,23.0
XPER,2022-09-27,23.0,23.0,23.0,23.0
XPER,2022-09-28,23.0,23.0,23.0,23.0
XPER,2022-09-29,23.0,23.0,23.0,23.0
XPER,2022-09-30,21.05,26.0,18.0,26.0
XPER,2022-10-03,17.53,19.07,13.3,14.97
XPER,2022-10-04,15.0,16.97,15.0,15.42
XPER,2022-10-05,15.2,15.89,15.05,15.58
XPER,2022-10-06,15.65,16.82,14.75,15.51
XPER,2022-10-07,15.43,15.63,14.94,14.94
XPER,2022-10-10,14.96,15.36,13.65,13.74
XPER,2022-10-11,14.16,15.43,13.88,14.0
XPER,2022-10-12,14.0,14.05,13.17,13.18
XPER,2022-10-13,13.05,14.05,12.85,13.53
XPER,2022-10-14,13.51,13.8,12.45,12.9
XPER,2022-10-17,13.31,13.69,12.57,13.04
XPER,2022-10-18,13.05,13.73,12.88,12.93
XPER,2022-10-19,12.7,13.04,11.76,12.72
XPER,2022-10-20,12.62,13.45,12.5,12.87
XPER,2022-10-21,12.79,14.03,12.67,13.91
XPER,2022-10-24,14.1,14.27,13.7,13.82
XPER,2022-10-25,13.725,13.94,13.17,13.18
XPER,2022-10-26,13.19,13.3,12.85,12.93
XPER,2022-10-27,12.98,13.595,12.8906,13.12
XPER,2022-10-28,13.27,13.44,12.66,13.19
XPER,2022-10-31,13.01,14.05,12.95,13.97
XPER,2022-11-01,14.0,14.0,12.86,13.3
XPER,2022-11-02,13.07,13.49,12.669,12.88
XPER,2022-11-03,13.05,13.05,11.75,11.75
XPER,2022-11-04,12.04,12.11,10.88,11.25
XPER,2022-11-07,11.31,11.94,11.03,11.64
XPER,2022-11-08,11.54,11.74,11.2275,11.23
XPER,2022-11-09,11.35,11.35,10.33,10.58
XPER,2022-11-10,11.0,11.475,10.84,11.04
XPER,2022-11-11,11.2,11.62,11.08,11.21
XPER,2022-11-14,11.11,11.39,10.45,10.87
XPER,2022-11-15,10.99,11.39,10.93,11.34
XPER,2022-11-16,11.25,11.4,10.81,10.86
XPER,2022-11-17,10.93,11.08,10.25,10.78
XPER,2022-11-18,10.85,11.1,10.44,10.59
XPER,2022-11-21,10.31,10.55,10.05,10.27
XPER,2022-11-22,10.23,10.43,10.04,10.38
XPER,2022-11-23,10.31,10.45,10.09,10.32
XPER,2022-11-25,10.35,10.4822,10.28,10.35
XPER,2022-11-28,10.25,10.3396,10.08,10.24
XPER,2022-11-29,10.28,10.4184,10.12,10.16
XPER,2022-11-30,10.08,10.71,9.72,10.71
XPER,2022-12-01,10.7,11.1042,10.605,10.68
XPER,2022-12-02,10.45,10.585,10.21,10.43
XPER,2022-12-05,10.43,10.79,10.28,10.46
XPER,2022-12-06,10.43,10.43,9.95,10.31
XPER,2022-12-07,10.25,10.35,10.04,10.13
XPER,2022-12-08,10.13,11.035,10.0,10.79
XPER,2022-12-09,10.61,10.67,10.2,10.47
XPER,2022-12-12,10.35,10.53,9.85,10.47
XPER,2022-12-13,10.5,10.94,10.04,10.12
XPER,2022-12-14,10.12,10.3,9.75,9.95
XPER,2022-12-15,9.76,9.85,9.08,9.11
XPER,2022-12-16,9.02,9.27,9.01,9.12
XPER,2022-12-19,9.17,9.17,8.85,8.9
XPER,2022-12-20,8.89,9.02,8.61,8.75
XPER,2022-12-21,8.74,9.03,8.73,8.91
XPER,2022-12-22,8.8,8.87,8.33,8.57
XPER,2022-12-23,8.5,8.6,8.15,8.35
XPER,2022-12-27,8.36,8.585,8.23,8.48
XPER,2022-12-28,8.49,8.59,8.22,8.31
XPER,2022-12-29,8.36,8.78,8.34,8.72
XPER,2022-12-30,8.63,8.74,8.5143,8.61
XPER,2023-01-03,8.75,8.95,8.6137,8.89
XPER,2023-01-04,9.03,9.22,8.86,8.92
XPER,2023-01-05,8.8,8.93,8.48,8.8
XPER,2023-01-06,8.82,8.98,8.71,8.88
XPER,2023-01-09,9.07,9.39,9.01,9.13
XPER,2023-01-10,9.03,9.19,8.76,9.11
XPER,2023-01-11,9.12,9.59,9.09,9.51
XPER,2023-01-12,9.59,10.215,9.59,9.91
XPER,2023-01-13,9.71,10.14,9.71,9.92
XPER,2023-01-17,9.89,10.06,9.63,9.94
XPER,2023-01-18,9.99,10.1,9.4,9.62
XPER,2023-01-19,9.56,9.58,9.3,9.44
XPER,2023-01-20,9.57,9.82,9.34,9.65
XPER,2023-01-23,9.66,9.88,9.525,9.69
XPER,2023-01-24,9.76,9.76,9.5,9.53
XPER,2023-01-25,9.35,9.57,9.2,9.52
XPER,2023-01-26,9.66,9.93,9.55,9.92
XPER,2023-01-27,9.88,10.18,9.82,9.92
XPER,2023-01-30,9.87,10.21,9.77,9.97
XPER,2023-01-31,9.98,10.39,9.95,10.35
XPER,2023-02-01,10.37,10.58,10.14,10.41
XPER,2023-02-02,10.64,11.0599,10.45,10.95
XPER,2023-02-03,10.81,11.01,10.23,10.33
XPER,2023-02-06,10.18,10.42,10.0,10.3
XPER,2023-02-07,10.41,10.8,10.1,10.76
XPER,2023-02-08,10.58,11.395,10.54,10.62
XPER,2023-02-09,10.91,10.91,10.0,10.11
XPER,2023-02-10,10.07,10.45,9.95,10.13
XPER,2023-02-13,10.15,10.2516,9.8,10.15
XPER,2023-02-14,10.1,10.56,10.0,10.43
XPER,2023-02-15,10.35,10.58,10.35,10.47
XPER,2023-02-16,10.3,10.4559,10.11,10.34
XPER,2023-02-17,10.43,10.475,10.26,10.26
XPER,2023-02-21,10.12,10.26,10.07,10.17
XPER,2023-02-22,10.51,11.76,10.2,11.64
XPER,2023-02-23,11.89,12.42,11.52,11.79
XPER,2023-02-24,11.51,11.85,11.5,11.79
XPER,2023-02-27,11.9,11.9899,11.42,11.52
XPER,2023-02-28,11.5,11.8,11.385,11.69
XPER,2023-03-01,11.63,11.89,11.42,11.81
XPER,2023-03-02,11.7,12.08,11.68,11.89
XPER,2023-03-03,11.94,12.02,11.75,11.87
XPER,2023-03-06,11.91,11.9896,11.1801,11.54
XPER,2023-03-07,11.53,11.77,11.42,11.6
XPER,2023-03-08,11.58,11.75,11.1,11.13
XPER,2023-03-09,11.15,11.6,11.15,11.28
XPER,2023-03-10,11.02,11.275,10.83,10.9
XPER,2023-03-13,10.56,10.84,10.31,10.52
XPER,2023-03-14,10.78,11.0099,10.59,10.95
XPER,2023-03-15,10.7,10.77,10.15,10.6
XPER,2023-03-16,10.47,10.97,10.35,10.94
