ticker,date,open,high,low,close
XPOF,2021-07-23,11.2,12.91,10.99,12.25
XPOF,2021-07-26,12.49,13.1,12.25,12.3
XPOF,2021-07-27,12.41,12.47,11.84,12.11
XPOF,2021-07-28,12.1,12.1,11.5,11.95
XPOF,2021-07-29,11.94,12.1,11.5001,11.7
XPOF,2021-07-30,11.71,11.85,11.53,11.72
XPOF,2021-08-02,11.69,11.99,11.5267,11.6
XPOF,2021-08-03,11.6,11.8,11.5,11.5
XPOF,2021-08-04,11.5,11.725,11.0,11.5
XPOF,2021-08-05,11.4,12.11,11.261,12.09
XPOF,2021-08-06,12.0,12.11,11.75,11.98
XPOF,2021-08-09,12.13,12.1496,11.51,11.98
XPOF,2021-08-10,11.84,12.08,11.56,11.99
XPOF,2021-08-11,11.78,12.03,11.6,11.85
XPOF,2021-08-12,11.92,11.96,11.7,11.94
XPOF,2021-08-13,11.9,11.94,11.41,11.77
XPOF,2021-08-16,11.8,11.88,11.4,11.8
XPOF,2021-08-17,11.91,11.92,10.44,11.24
XPOF,2021-08-18,11.24,12.05,11.11,11.91
XPOF,2021-08-19,11.8,12.0,11.66,12.0
XPOF,2021-08-20,12.04,12.44,11.58,12.0
XPOF,2021-08-23,12.0,12.25,11.4,11.53
XPOF,2021-08-24,11.58,11.8971,11.41,11.87
XPOF,2021-08-25,11.67,11.67,10.75,11.39
XPOF,2021-08-26,11.3,11.3,10.9,11.14
XPOF,2021-08-27,11.16,12.15,11.15,11.95
XPOF,2021-08-30,12.01,12.01,10.67,11.44
XPOF,2021-08-31,11.34,11.37,10.75,10.8
XPOF,2021-09-01,10.85,11.88,10.84,11.7
XPOF,2021-09-02,11.6,11.99,11.08,11.8
XPOF,2021-09-03,11.64,12.0,11.26,11.85
XPOF,2021-09-07,11.85,11.95,10.85,10.86
XPOF,2021-09-08,11.03,11.035,10.77,10.81
XPOF,2021-09-09,10.67,10.93,10.67,10.7
XPOF,2021-09-10,10.88,11.1157,10.705,10.78
XPOF,2021-09-13,10.9,11.02,10.25,10.45
XPOF,2021-09-14,10.74,10.98,10.45,10.83
XPOF,2021-09-15,10.64,11.62,10.6371,11.62
XPOF,2021-09-16,11.88,12.26,11.84,12.19
XPOF,2021-09-17,12.16,12.25,10.93,11.21
XPOF,2021-09-20,11.32,11.45,9.99,10.15
XPOF,2021-09-21,10.17,10.45,9.87,10.34
XPOF,2021-09-22,11.42,11.98,11.1,11.16
XPOF,2021-09-23,11.18,11.69,11.13,11.54
XPOF,2021-09-24,11.55,11.91,11.33,11.84
XPOF,2021-09-27,11.98,12.2,11.6,12.14
XPOF,2021-09-28,12.2,12.57,11.81,12.4
XPOF,2021-09-29,12.5,12.87,12.3039,12.72
XPOF,2021-09-30,12.53,12.79,12.2,12.69
XPOF,2021-10-01,12.75,13.3406,12.51,13.28
XPOF,2021-10-04,13.59,13.7185,13.36,13.37
XPOF,2021-10-05,13.5,13.7143,12.81,12.89
XPOF,2021-10-06,12.79,12.79,12.3,12.33
XPOF,2021-10-07,12.35,12.9075,12.2154,12.81
XPOF,2021-10-08,13.1,14.0,12.5615,13.93
XPOF,2021-10-11,14.0,14.29,13.79,13.98
XPOF,2021-10-12,14.01,14.11,13.45,13.59
XPOF,2021-10-13,13.84,13.84,13.33,13.69
XPOF,2021-10-14,13.85,17.3,13.85,16.54
XPOF,2021-10-15,16.8,17.4,15.5,15.87
XPOF,2021-10-18,15.82,18.77,14.87,15.47
XPOF,2021-10-19,15.42,16.54,15.42,15.95
XPOF,2021-10-20,16.19,16.42,15.63,16.12
XPOF,2021-10-21,15.38,16.27,15.0601,16.18
XPOF,2021-10-22,16.05,16.44,15.8,16.11
XPOF,2021-10-25,16.12,16.4088,15.0,15.11
XPOF,2021-10-26,15.21,16.49,14.7521,15.98
XPOF,2021-10-27,15.9,16.0,15.3274,15.51
XPOF,2021-10-28,15.8,16.19,15.3918,15.94
XPOF,2021-10-29,15.96,17.083,15.93,16.9
XPOF,2021-11-01,17.02,17.26,16.56,17.1
XPOF,2021-11-02,17.22,17.22,16.18,16.6
XPOF,2021-11-03,16.31,18.47,16.2001,17.89
XPOF,2021-11-04,19.3,19.3,17.19,17.2
XPOF,2021-11-05,17.82,19.1605,17.67,18.56
XPOF,2021-11-08,18.74,19.865,18.31,19.66
XPOF,2021-11-09,19.77,20.24,18.4,18.8
XPOF,2021-11-10,18.85,19.14,18.3,18.95
XPOF,2021-11-11,18.57,20.29,18.3,19.53
XPOF,2021-11-12,22.9,24.73,21.74,23.6
XPOF,2021-11-15,24.11,24.31,22.61,23.1
XPOF,2021-11-16,23.64,23.7575,22.23,23.16
XPOF,2021-11-17,22.91,23.23,21.96,22.6
XPOF,2021-11-18,22.61,23.21,21.86,22.56
XPOF,2021-11-19,22.27,22.94,21.95,22.57
XPOF,2021-11-22,22.79,23.48,21.15,21.79
XPOF,2021-11-23,21.79,22.13,20.651,21.84
XPOF,2021-11-24,21.45,22.49,21.45,21.82
XPOF,2021-11-26,20.75,21.0,19.565,19.69
XPOF,2021-11-29,19.72,21.67,19.06,20.1
XPOF,2021-11-30,19.81,19.94,18.59,19.45
XPOF,2021-12-01,20.23,20.71,18.64,18.76
XPOF,2021-12-02,18.68,20.36,18.51,20.27
XPOF,2021-12-03,20.15,21.52,19.94,20.31
XPOF,2021-12-06,20.56,22.95,19.5,21.65
XPOF,2021-12-07,22.37,23.485,22.37,23.09
XPOF,2021-12-08,23.16,24.44,23.1,24.18
