ticker,date,open,high,low,close
XPRO,2013-08-09,145.1,152.3,134.26,140.37
XPRO,2013-08-12,140.0,142.45,139.52,141.12
XPRO,2013-08-13,141.12,141.12,138.94,138.94
XPRO,2013-08-14,138.13,141.12,138.13,138.99
XPRO,2013-08-15,138.46,141.12,137.39,140.48
XPRO,2013-08-16,140.95,143.61,140.2,142.45
XPRO,2013-08-19,141.65,142.24,140.2,141.12
XPRO,2013-08-20,141.76,149.21,141.12,148.41
XPRO,2013-08-21,148.04,149.53,146.07,147.86
XPRO,2013-08-22,147.57,149.1,147.08,148.94
XPRO,2013-08-23,149.57,150.01,146.75,148.15
XPRO,2013-08-26,147.46,149.53,147.34,147.98
XPRO,2013-08-27,146.98,147.57,145.15,146.07
XPRO,2013-08-28,145.06,149.26,143.24,147.23
XPRO,2013-08-29,147.52,149.57,146.12,146.92
XPRO,2013-08-30,146.86,148.94,145.91,147.57
XPRO,2013-09-03,148.62,148.67,142.97,147.08
XPRO,2013-09-04,148.04,148.04,143.99,146.44
XPRO,2013-09-05,146.71,151.35,146.71,149.8
XPRO,2013-09-06,152.35,153.11,149.38,149.63
XPRO,2013-09-09,151.18,152.72,149.91,152.45
XPRO,2013-09-10,152.94,153.89,150.44,151.66
XPRO,2013-09-11,152.3,152.3,150.1,151.12
XPRO,2013-09-12,150.64,150.86,147.08,150.39
XPRO,2013-09-13,150.54,150.59,147.98,150.01
XPRO,2013-09-16,150.97,152.72,148.45,150.33
XPRO,2013-09-17,150.64,150.91,148.3,149.63
XPRO,2013-09-18,151.75,157.03,151.75,153.3
XPRO,2013-09-19,159.22,159.77,154.42,158.21
XPRO,2013-09-20,159.77,160.77,156.55,157.36
XPRO,2013-09-23,157.42,158.69,156.25,157.66
XPRO,2013-09-24,158.21,158.21,154.42,155.76
XPRO,2013-09-25,156.13,158.3,156.13,157.57
XPRO,2013-09-26,157.42,160.77,157.42,160.55
XPRO,2013-09-27,160.01,160.23,159.26,159.6
XPRO,2013-09-30,158.41,162.14,157.72,159.37
XPRO,2013-10-01,160.06,163.26,159.55,162.25
XPRO,2013-10-02,162.14,168.97,159.81,167.8
XPRO,2013-10-03,167.32,168.01,163.37,166.67
XPRO,2013-10-04,171.04,172.69,165.17,166.09
XPRO,2013-10-07,166.04,166.78,163.37,165.46
XPRO,2013-10-08,165.12,165.82,161.24,163.54
