ticker,date,open,high,low,close
YELP,2012-03-02,22.05,26.0,22.0,24.58
YELP,2012-03-05,24.86,24.86,20.9,20.99
YELP,2012-03-06,19.83,20.5,19.36,20.5
YELP,2012-03-07,20.49,20.63,19.95,20.25
YELP,2012-03-08,20.3,20.39,19.96,20.0
YELP,2012-03-09,20.0,20.1,19.5,19.8
YELP,2012-03-12,19.8,22.49,19.52,22.49
YELP,2012-03-13,22.55,24.4,22.2,23.3
YELP,2012-03-14,23.27,23.35,22.2,22.32
YELP,2012-03-15,22.45,23.29,21.36,21.75
YELP,2012-03-16,21.86,22.17,21.06,21.74
YELP,2012-03-19,22.2,23.93,21.7,22.99
YELP,2012-03-20,23.0,23.47,22.1,22.9
YELP,2012-03-21,23.0,24.1,22.68,23.12
YELP,2012-03-22,23.32,23.32,22.44,23.22
YELP,2012-03-23,23.22,23.25,22.3,23.18
YELP,2012-03-26,23.26,24.88,23.01,24.6
YELP,2012-03-27,24.8,27.75,24.25,27.65
YELP,2012-03-28,27.52,31.96,27.1,28.09
YELP,2012-03-29,27.99,29.78,27.58,28.01
YELP,2012-03-30,28.6,29.27,25.82,26.89
YELP,2012-04-02,26.9,27.8,25.27,27.12
YELP,2012-04-03,27.2,28.4,25.92,26.7
YELP,2012-04-04,25.94,27.0,25.94,26.16
YELP,2012-04-05,25.95,26.4,24.02,24.02
YELP,2012-04-09,23.83,25.58,22.74,25.22
YELP,2012-04-10,25.45,26.51,24.5,25.81
YELP,2012-04-11,25.47,26.25,24.57,25.43
YELP,2012-04-12,25.21,26.44,25.17,26.2
YELP,2012-04-13,26.0,26.97,25.44,26.33
YELP,2012-04-16,27.0,27.44,25.02,25.87
YELP,2012-04-17,25.87,26.24,25.1,25.57
YELP,2012-04-18,25.55,25.74,24.55,24.99
YELP,2012-04-19,24.72,24.92,23.3,24.27
YELP,2012-04-20,24.29,24.5,22.75,23.1
YELP,2012-04-23,22.64,22.83,22.0,22.27
YELP,2012-04-24,22.15,22.15,20.27,21.18
YELP,2012-04-25,21.54,21.78,20.56,21.13
YELP,2012-04-26,20.73,21.95,20.5,21.2
YELP,2012-04-27,21.49,22.52,21.49,21.9
YELP,2012-04-30,21.94,23.52,21.6,22.86
YELP,2012-05-01,23.29,23.52,22.13,22.57
YELP,2012-05-02,22.99,23.5,22.39,23.16
YELP,2012-05-03,23.24,23.69,20.3,20.64
YELP,2012-05-04,20.69,21.53,20.11,21.3
YELP,2012-05-07,21.4,21.86,20.62,21.41
YELP,2012-05-08,21.6,21.83,20.26,20.81
YELP,2012-05-09,20.58,20.99,19.87,20.98
YELP,2012-05-10,21.1,21.3,19.86,20.05
YELP,2012-05-11,19.86,20.43,19.62,20.27
YELP,2012-05-14,19.81,20.13,19.6,20.04
YELP,2012-05-15,20.06,21.71,20.06,20.8
YELP,2012-05-16,21.29,21.75,20.87,21.6
YELP,2012-05-17,21.83,21.83,20.37,21.27
YELP,2012-05-18,21.26,21.89,17.7,18.64
YELP,2012-05-21,17.95,20.83,16.21,19.3
YELP,2012-05-22,19.16,20.0,17.35,18.0
YELP,2012-05-23,17.8,18.53,17.5,18.32
YELP,2012-05-24,18.14,18.89,17.52,18.89
YELP,2012-05-25,18.66,18.66,18.01,18.19
YELP,2012-05-29,18.4,18.4,16.8,17.07
YELP,2012-05-30,16.9,17.0,16.03,16.61
YELP,2012-05-31,16.47,16.88,15.66,16.71
YELP,2012-06-01,16.28,16.28,15.42,15.69
YELP,2012-06-04,15.65,15.65,14.1,15.22
YELP,2012-06-05,15.17,15.26,14.53,15.22
YELP,2012-06-06,15.46,16.59,15.17,16.46
YELP,2012-06-07,16.52,17.88,16.21,17.52
YELP,2012-06-08,17.4,20.12,17.14,19.64
YELP,2012-06-11,19.54,20.39,18.33,18.85
YELP,2012-06-12,18.76,19.8,18.04,19.65
YELP,2012-06-13,19.62,19.89,18.82,19.78
YELP,2012-06-14,19.24,19.9,19.02,19.85
YELP,2012-06-15,19.75,21.2,19.18,21.13
YELP,2012-06-18,20.62,22.0,20.3,21.15
YELP,2012-06-19,21.55,21.66,20.67,21.39
YELP,2012-06-20,21.14,21.39,20.71,21.07
YELP,2012-06-21,21.07,21.25,20.58,21.0
YELP,2012-06-22,21.32,21.67,21.0,21.64
YELP,2012-06-25,21.42,22.48,21.2,21.95
YELP,2012-06-26,21.98,22.36,21.75,22.04
YELP,2012-06-27,21.92,23.48,21.14,22.79
YELP,2012-06-28,22.64,22.7,22.01,22.51
YELP,2012-06-29,23.37,23.48,22.57,22.73
YELP,2012-07-02,23.4,23.74,22.97,23.74
YELP,2012-07-03,24.1,25.0,23.98,24.72
YELP,2012-07-05,24.98,27.74,24.98,26.16
YELP,2012-07-06,26.0,26.5,25.03,25.3
YELP,2012-07-09,26.32,27.52,24.4,24.79
YELP,2012-07-10,24.9,25.0,22.52,22.63
YELP,2012-07-11,22.6,23.13,20.77,21.36
YELP,2012-07-12,21.01,22.17,20.52,22.14
YELP,2012-07-13,22.38,22.89,21.5,21.64
YELP,2012-07-16,21.57,21.68,21.0,21.43
YELP,2012-07-17,21.95,23.33,21.43,23.02
YELP,2012-07-18,22.94,23.22,22.49,22.7
YELP,2012-07-19,22.74,24.38,22.56,24.0
YELP,2012-07-20,24.0,24.73,23.79,24.05
YELP,2012-07-23,23.73,24.26,23.11,23.29
YELP,2012-07-24,24.09,24.09,22.16,22.51
YELP,2012-07-25,22.73,22.73,21.0,21.5
YELP,2012-07-26,21.42,21.74,19.24,19.68
YELP,2012-07-27,19.07,19.73,18.88,19.51
YELP,2012-07-30,19.71,22.2,19.61,20.62
YELP,2012-07-31,20.52,20.91,19.64,19.96
YELP,2012-08-01,20.05,20.67,18.53,18.82
YELP,2012-08-02,20.95,23.47,20.69,22.0
YELP,2012-08-03,22.47,23.4,21.5,23.4
YELP,2012-08-06,23.4,26.49,23.33,25.43
YELP,2012-08-07,25.83,26.1,24.51,25.84
YELP,2012-08-08,25.74,26.49,24.67,26.46
YELP,2012-08-09,26.45,28.93,24.92,25.73
YELP,2012-08-10,25.64,26.39,24.8,25.85
YELP,2012-08-13,25.79,25.85,23.75,23.87
YELP,2012-08-14,23.79,24.69,22.03,22.29
YELP,2012-08-15,22.27,22.77,21.55,22.11
YELP,2012-08-16,22.12,22.5,21.4,21.76
YELP,2012-08-17,21.82,23.0,21.2,21.5
YELP,2012-08-20,21.47,21.5,19.93,20.22
YELP,2012-08-21,20.12,20.22,18.79,19.0
YELP,2012-08-22,18.96,19.13,17.61,17.87
YELP,2012-08-23,17.92,18.39,17.8,18.19
YELP,2012-08-24,18.2,20.29,18.2,19.48
YELP,2012-08-27,19.5,19.74,18.71,19.11
YELP,2012-08-28,18.87,19.0,18.09,18.26
YELP,2012-08-29,17.51,22.89,17.5,22.37
YELP,2012-08-30,22.35,22.35,21.42,21.69
YELP,2012-08-31,21.82,22.22,21.43,22.0
YELP,2012-09-04,21.99,24.41,21.7,24.25
YELP,2012-09-05,24.04,26.36,24.03,25.77
YELP,2012-09-06,25.89,26.6,24.39,25.55
YELP,2012-09-07,25.47,25.97,24.27,24.82
YELP,2012-09-10,24.74,25.71,24.5,25.07
YELP,2012-09-11,24.87,26.3,24.83,26.2
YELP,2012-09-12,26.3,26.5,25.5,25.8
YELP,2012-09-13,25.73,26.0,23.79,23.95
YELP,2012-09-14,24.38,26.5,24.06,26.18
YELP,2012-09-17,25.58,26.25,25.16,25.7
YELP,2012-09-18,24.94,25.73,24.3,24.77
