ticker,date,open,high,low,close
YPF,1993-06-29,21.25,22.12,21.12,21.88
YPF,1993-06-30,22.0,23.0,21.62,21.75
YPF,1993-07-01,21.38,21.62,21.0,21.25
YPF,1993-07-02,21.12,21.25,20.75,21.12
YPF,1993-07-06,20.88,21.0,20.62,20.75
YPF,1993-07-07,20.88,21.0,20.62,20.88
YPF,1993-07-08,20.88,21.0,20.62,20.75
YPF,1993-07-09,20.75,20.75,20.25,20.25
YPF,1993-07-12,20.25,20.62,20.25,20.38
YPF,1993-07-13,20.38,20.5,20.25,20.5
YPF,1993-07-14,20.5,20.5,19.88,20.25
YPF,1993-07-15,20.12,20.38,19.88,19.88
YPF,1993-07-16,19.88,20.12,19.12,19.5
YPF,1993-07-19,19.25,19.38,18.88,19.0
YPF,1993-07-20,19.25,19.62,19.25,19.5
YPF,1993-07-21,19.5,19.62,19.38,19.5
YPF,1993-07-22,19.5,19.62,19.38,19.62
YPF,1993-07-23,19.62,19.75,19.5,19.62
YPF,1993-07-26,20.0,20.12,19.88,20.0
YPF,1993-07-27,20.12,20.38,20.0,20.38
YPF,1993-07-28,20.5,20.75,20.38,20.62
YPF,1993-07-29,20.62,20.75,20.5,20.62
YPF,1993-07-30,20.62,20.62,20.25,20.25
YPF,1993-08-02,20.38,20.62,20.38,20.5
YPF,1993-08-03,20.5,20.62,20.12,20.38
YPF,1993-08-04,20.25,20.5,20.12,20.12
YPF,1993-08-05,20.38,20.38,20.0,20.0
YPF,1993-08-06,20.0,20.12,19.62,19.88
YPF,1993-08-09,20.0,20.5,20.0,20.25
YPF,1993-08-10,20.5,20.75,20.38,20.38
YPF,1993-08-11,20.5,20.62,20.5,20.62
YPF,1993-08-12,20.62,21.0,20.5,20.88
YPF,1993-08-13,21.0,21.62,21.0,21.62
YPF,1993-08-16,21.62,22.12,21.5,22.0
YPF,1993-08-17,21.88,22.88,21.88,22.88
YPF,1993-08-18,22.88,23.25,22.5,22.62
YPF,1993-08-19,22.75,22.75,21.88,22.0
YPF,1993-08-20,21.88,22.62,21.75,22.62
YPF,1993-08-23,22.62,22.62,22.38,22.62
YPF,1993-08-24,22.62,23.0,22.12,23.0
YPF,1993-08-25,23.25,23.75,23.25,23.25
YPF,1993-08-26,23.38,24.0,23.25,24.0
YPF,1993-08-27,23.88,24.0,23.38,23.62
YPF,1993-08-30,23.25,23.88,23.25,23.88
YPF,1993-08-31,23.88,24.12,23.75,23.88
YPF,1993-09-01,23.88,24.12,23.75,24.12
YPF,1993-09-02,24.12,24.38,24.0,24.0
YPF,1993-09-03,24.12,24.25,24.0,24.12
YPF,1993-09-07,24.12,24.38,22.5,22.62
YPF,1993-09-08,23.88,23.88,23.12,23.5
YPF,1993-09-09,23.5,23.62,23.25,23.25
YPF,1993-09-10,23.25,23.62,23.12,23.5
YPF,1993-09-13,23.38,23.5,23.12,23.38
YPF,1993-09-14,23.25,23.62,23.12,23.5
YPF,1993-09-15,23.5,23.75,23.38,23.62
YPF,1993-09-16,23.62,24.0,23.62,23.62
YPF,1993-09-17,23.75,23.88,23.5,23.5
YPF,1993-09-20,24.0,24.0,23.5,23.62
YPF,1993-09-21,23.62,23.75,23.12,23.38
YPF,1993-09-22,23.62,23.75,23.38,23.5
YPF,1993-09-23,23.62,23.75,23.5,23.5
YPF,1993-09-24,23.62,23.75,23.12,23.25
YPF,1993-09-27,23.38,23.75,23.38,23.75
YPF,1993-09-28,23.88,24.25,23.75,24.0
YPF,1993-09-29,24.25,24.5,24.12,24.38
YPF,1993-09-30,24.88,25.5,24.88,25.38
YPF,1993-10-01,25.5,25.75,25.38,25.62
YPF,1993-10-04,25.88,26.12,25.88,26.0
YPF,1993-10-05,26.0,26.38,25.88,26.25
YPF,1993-10-06,26.25,26.25,25.75,25.75
YPF,1993-10-07,25.88,26.25,25.75,26.25
YPF,1993-10-08,26.25,27.25,26.25,27.25
YPF,1993-10-11,27.5,27.62,27.12,27.25
YPF,1993-10-12,27.25,27.38,26.75,27.38
YPF,1993-10-13,27.38,27.62,26.88,26.88
YPF,1993-10-14,26.88,27.38,26.0,26.38
YPF,1993-10-15,27.0,27.12,26.75,26.88
YPF,1993-10-18,27.0,28.0,26.88,27.75
YPF,1993-10-19,27.75,28.12,27.38,27.75
YPF,1993-10-20,27.5,28.12,27.5,27.75
YPF,1993-10-21,27.75,28.38,27.5,28.12
YPF,1993-10-22,28.25,29.0,28.12,28.75
YPF,1993-10-25,28.5,28.62,27.5,27.75
YPF,1993-10-26,27.25,27.88,27.25,27.75
YPF,1993-10-27,27.75,28.12,27.38,27.5
YPF,1993-10-28,27.75,28.0,27.75,27.88
YPF,1993-10-29,26.88,27.5,26.62,27.25
YPF,1993-11-01,27.0,27.38,26.75,26.88
YPF,1993-11-02,26.75,26.88,26.38,26.5
YPF,1993-11-03,25.75,26.12,25.5,25.62
YPF,1993-11-04,25.62,26.62,25.5,25.62
YPF,1993-11-05,25.0,25.5,24.38,25.5
YPF,1993-11-08,25.25,25.88,24.62,25.88
YPF,1993-11-09,26.0,26.38,25.5,25.75
YPF,1993-11-10,25.75,27.12,25.75,26.75
YPF,1993-11-11,26.88,27.25,26.5,26.75
YPF,1993-11-12,26.62,27.38,26.62,27.12
YPF,1993-11-15,27.0,27.38,27.0,27.12
YPF,1993-11-16,27.25,27.5,26.5,26.62
YPF,1993-11-17,26.62,27.0,26.12,26.88
YPF,1993-11-18,27.0,27.25,26.75,26.88
YPF,1993-11-19,26.62,26.88,26.5,26.88
YPF,1993-11-22,26.62,26.62,26.38,26.5
YPF,1993-11-23,26.5,26.62,26.12,26.25
YPF,1993-11-24,26.12,26.38,25.62,26.0
YPF,1993-11-26,25.38,25.88,25.12,25.88
YPF,1993-11-29,24.88,25.12,24.25,24.62
YPF,1993-11-30,24.75,25.0,24.5,24.75
YPF,1993-12-01,24.88,25.38,24.88,25.0
YPF,1993-12-02,25.12,25.12,24.62,24.75
YPF,1993-12-03,24.62,24.75,24.0,24.38
YPF,1993-12-06,24.25,25.0,24.25,24.88
