ticker,date,open,high,low,close
ZEPP,2018-02-08,11.355,11.355,9.964,10.645
ZEPP,2018-02-09,10.825,10.976,10.409,10.768
ZEPP,2018-02-12,10.815,11.099,10.607,10.607
ZEPP,2018-02-13,10.778,10.778,10.503,10.598
ZEPP,2018-02-14,10.503,10.655,10.276,10.598
ZEPP,2018-02-15,10.598,10.626,10.418,10.427
ZEPP,2018-02-16,10.427,10.483,10.399,10.409
ZEPP,2018-02-20,10.513,10.55,10.418,10.55
ZEPP,2018-02-21,10.607,10.806,10.598,10.683
ZEPP,2018-02-22,10.806,10.806,10.503,10.55
ZEPP,2018-02-23,10.494,10.55,10.456,10.456
ZEPP,2018-02-26,10.494,10.626,10.465,10.55
ZEPP,2018-02-27,10.503,10.527,10.409,10.437
ZEPP,2018-02-28,10.456,10.484,10.361,10.409
ZEPP,2018-03-01,10.409,10.465,10.409,10.409
ZEPP,2018-03-02,10.456,10.55,10.409,10.541
ZEPP,2018-03-05,10.56,11.317,10.56,11.194
ZEPP,2018-03-06,11.497,11.941,10.976,11.061
ZEPP,2018-03-07,11.326,11.374,10.891,10.957
ZEPP,2018-03-08,10.976,11.222,10.882,10.957
ZEPP,2018-03-09,10.938,11.051,10.702,10.768
ZEPP,2018-03-12,10.702,10.863,10.702,10.778
ZEPP,2018-03-13,10.759,10.91,10.238,10.409
ZEPP,2018-03-14,10.427,10.636,10.333,10.38
ZEPP,2018-03-15,10.352,10.664,10.219,10.238
ZEPP,2018-03-16,10.314,10.617,10.276,10.276
ZEPP,2018-03-19,10.276,10.588,10.276,10.409
ZEPP,2018-03-20,10.446,10.588,10.427,10.456
ZEPP,2018-03-21,10.456,10.55,10.456,10.541
ZEPP,2018-03-22,10.465,10.484,10.371,10.418
ZEPP,2018-03-23,10.352,10.365,9.529,10.106
ZEPP,2018-03-26,10.409,10.503,9.557,9.652
ZEPP,2018-03-27,10.058,10.645,9.708,10.115
ZEPP,2018-03-28,10.191,10.432,9.841,9.879
ZEPP,2018-03-29,9.935,10.163,9.793,10.058
ZEPP,2018-04-02,10.058,10.068,9.547,9.85
ZEPP,2018-04-03,9.916,9.935,9.2825,9.765
ZEPP,2018-04-04,9.708,9.765,9.3298,9.3298
ZEPP,2018-04-05,9.3771,9.4623,9.292,9.3961
ZEPP,2018-04-06,9.4718,9.5,9.0649,9.15
ZEPP,2018-04-09,9.2163,9.2546,9.1785,9.2352
ZEPP,2018-04-10,9.1784,9.557,9.1784,9.415
ZEPP,2018-04-11,9.3487,9.4812,9.0838,9.1595
ZEPP,2018-04-12,9.1595,9.3014,8.9986,9.0176
ZEPP,2018-04-13,9.0838,9.1046,8.6675,8.9419
